date,open,high,low,close,volume
2020-10-22,18.0,20.81,17.71,19.75,2471300
2020-10-23,19.0,19.69,18.67,18.9,1545100
2020-10-26,18.9,19.45,18.63,19.4,203000
2020-10-27,19.24,19.8,19.0,19.46,296900
2020-10-28,19.4,19.64,18.97,19.11,213600
2020-10-29,19.08,19.83,19.08,19.12,113500
2020-10-30,19.21,19.45,18.94,19.0,31900
2020-11-02,19.4,20.25,19.34,19.95,203100
2020-11-03,19.65,20.11,19.29,20.01,268600
2020-11-04,19.96,20.87,19.94,20.37,57900
2020-11-05,19.96,20.073,19.51,19.71,114300
2020-11-06,19.61,20.61,19.57,20.09,148600
2020-11-09,18.12,19.34,17.88,19.13,563500
2020-11-10,18.3,19.2,18.02,19.05,499000
2020-11-11,18.84,18.98,18.53,18.6,211400
2020-11-12,18.2,18.96,18.17,18.8,433800
2020-11-13,18.57,18.84,18.51,18.73,122900
2020-11-16,18.42,18.7,18.38,18.48,88800
2020-11-17,18.65,18.91,18.54,18.69,58400
2020-11-18,18.46,18.52,18.18,18.2,67400
2020-11-19,18.33,19.3,18.33,19.03,112900
2020-11-20,18.73,19.37,18.667,19.09,46700
2020-11-23,18.701,18.907,18.43,18.44,41700
2020-11-24,18.72,19.06,18.69,18.84,62300
2020-11-25,18.52,18.89,18.42,18.48,98300
2020-11-27,18.58,19.08,18.58,19.03,31200
2020-11-30,19.1,19.38,19.047,19.06,170800
2020-12-01,19.1,19.31,18.875,19.28,61400
2020-12-02,19.26,19.42,19.11,19.28,45600
2020-12-03,18.91,19.35,18.805,18.96,48400
2020-12-04,18.9,19.24,18.85,19.01,40300
2020-12-07,18.8,19.0,18.67,18.98,34000
2020-12-08,18.8,19.07,18.72,19.01,29300
2020-12-09,18.92,19.12,18.5,18.76,84300
2020-12-10,18.61,18.945,18.464,18.88,36300
2020-12-11,18.69,19.09,18.65,19.02,61200
2020-12-14,19.12,19.7,19.115,19.57,31600
2020-12-15,19.55,19.99,19.36,19.56,210600
2020-12-16,19.65,19.9,19.47,19.69,75000
2020-12-17,19.68,20.19,19.6,19.99,73600
2020-12-18,19.57,19.92,19.32,19.64,117300
2020-12-21,19.17,20.05,19.17,19.84,475000
2020-12-22,19.62,20.09,19.48,19.92,865100
2020-12-23,19.93,20.29,19.93,20.16,22300
2020-12-24,20.26,20.37,20.0,20.3,14400
2020-12-28,20.42,20.9,20.42,20.7,64500
2020-12-29,20.3,20.68,20.2,20.3,410900
2020-12-30,20.52,23.48,20.48,22.45,372600
2020-12-31,22.03,22.03,20.7,21.55,241500
2021-01-04,21.17,21.17,20.203,20.47,99500
