date,open,high,low,close,volume
2001-02-08,3.5208,3.625,3.5208,3.625,28200
2001-02-09,3.6458,3.7083,3.625,3.7083,6000
2001-02-12,3.7292,3.9375,3.6901,3.8333,106200
2001-02-13,3.8125,3.8333,3.6146,3.6146,29400
2001-02-14,3.6458,3.7292,3.1979,3.2708,384600
2001-02-15,3.2708,3.4375,3.25,3.2917,459000
2001-02-16,3.2917,3.4583,3.1667,3.375,42000
2001-02-20,3.2917,3.2917,3.1875,3.1875,11400
2001-02-21,3.1667,3.1667,3.0938,3.0938,218400
2001-02-22,3.1042,3.1667,3.0417,3.1667,49800
2001-02-23,3.0625,3.1875,2.9792,3.0,33600
2001-02-26,3.0,3.0,3.0,3.0,600
2001-02-27,3.0,3.0,2.9792,3.0,46800
2001-02-28,3.0,3.0312,2.9167,3.0208,97200
2001-03-01,2.9974,2.9974,2.875,2.875,20400
2001-03-02,2.8854,2.8854,2.7917,2.8333,27600
2001-03-05,2.8333,2.8333,2.8333,2.8333,7800
2001-03-06,2.9167,3.0,2.8958,2.9375,28200
2001-03-07,2.9766,3.0,2.9583,2.9896,4200
2001-03-08,2.9583,2.9583,2.9375,2.9375,10200
2001-03-09,2.8958,2.9688,2.875,2.9375,13800
2001-03-12,2.9375,2.9375,2.8021,2.8021,19800
2001-03-13,2.7812,2.7917,2.7812,2.7812,18000
2001-03-14,2.7812,2.7812,2.6458,2.6458,36600
2001-03-15,2.6458,2.7188,2.6146,2.6146,12600
2001-03-16,2.6042,2.6875,2.5938,2.6875,52200
2001-03-19,2.7083,2.875,2.6875,2.7917,37200
2001-03-20,2.875,2.9271,2.7292,2.7292,49800
2001-03-21,2.6667,2.75,2.6146,2.6146,24600
2001-03-22,2.6354,2.6354,2.4167,2.5,100800
2001-03-23,2.5,2.5833,2.4479,2.5833,25800
2001-03-26,2.4583,2.5,2.4583,2.4583,42600
2001-03-27,2.4896,2.4896,2.4375,2.4375,22800
2001-03-28,2.4167,2.4167,2.375,2.375,62400
2001-03-29,2.3958,2.3958,2.3125,2.3125,88200
2001-03-30,2.3125,2.4271,2.3125,2.4271,8400
2001-04-02,2.4167,2.5208,2.4167,2.4271,52200
2001-04-03,2.3854,2.4167,2.3438,2.4167,123000
2001-04-04,2.375,2.4375,2.3646,2.3776,51600
2001-04-05,2.3958,2.5104,2.3958,2.4583,18000
2001-04-06,2.5417,2.5417,2.4375,2.4792,25800
2001-04-09,2.5167,2.5167,2.5167,2.5167,1800
2001-04-10,2.5167,2.7083,2.5167,2.7083,42000
2001-04-11,2.68,2.68,2.68,2.68,16800
2001-04-12,2.68,2.7083,2.68,2.6967,16800
2001-04-16,2.6967,2.7033,2.6967,2.7033,10800
2001-04-17,2.7283,2.7283,2.7217,2.7217,1200
2001-04-18,2.7667,2.945,2.7667,2.8333,24600
2001-04-19,2.8,2.8,2.7717,2.7833,6000
2001-04-20,2.7583,2.7583,2.6417,2.6417,22200
2001-04-23,2.7417,2.7417,2.555,2.7,43200
2001-04-24,2.7,2.855,2.7,2.7233,22200
2001-04-25,2.7167,2.7917,2.7167,2.7167,4200
2001-04-26,2.8333,2.9983,2.7667,2.875,30000
2001-04-27,2.9167,2.9833,2.9083,2.9333,8400
