date,open,high,low,close,volume
2016-01-04,0.95,0.95,0.88,0.91,1069800
2016-01-05,0.9,0.95,0.9,0.94,830700
2016-01-06,0.93,0.94,0.86,0.91,997900
2016-01-07,0.86,0.9,0.78,0.79,1235600
2016-01-08,0.82,0.89,0.8,0.83,1099700
2016-01-11,0.83,0.83,0.83,0.83,0
2016-01-12,0.58,0.58,0.15,0.19,7469500
2016-01-13,0.19,0.2,0.13,0.13,4483700
2016-01-14,0.13,0.15,0.11,0.15,2855100
2016-01-15,0.16,0.25,0.15,0.2,2696100
2016-01-19,0.21,0.24,0.16,0.19,1763100
2016-01-20,0.19,0.22,0.16,0.22,1264300
2016-01-21,0.2,0.38,0.2,0.34,2242100
2016-01-22,0.34,0.51,0.32,0.47,2176700
2016-01-25,0.49,0.79,0.49,0.77,3580500
2016-01-26,0.79,0.79,0.49,0.51,2531600
2016-01-27,0.5,0.57,0.43,0.56,1123200
2016-01-28,0.57,0.74,0.56,0.71,879500
2016-01-29,0.7,0.73,0.62,0.69,740800
2016-02-01,0.7,0.72,0.64,0.68,325600
2016-02-02,0.66,0.7,0.62,0.67,259100
2016-02-03,0.67,0.73,0.62,0.72,441000
2016-02-04,0.71,0.73,0.64,0.7,336000
2016-02-05,0.72,0.72,0.67,0.71,101100
2016-02-09,0.43,0.54,0.43,0.46,159500
2016-02-10,0.48,0.55,0.46,0.46,221700
2016-02-11,0.5,0.51,0.43,0.51,133400
2016-02-12,0.46,0.53,0.44,0.47,103300
2016-02-16,0.45,0.52,0.45,0.48,128000
2016-02-17,0.5,0.53,0.42,0.48,201200
2016-02-18,0.46,0.52,0.43,0.5,161300
2016-02-19,0.47,0.5,0.43,0.5,82100
2016-02-23,0.43,0.47,0.43,0.46,125100
2016-02-24,0.46,0.47,0.42,0.47,131500
2016-02-25,0.47,0.47,0.4,0.4,152900
2016-02-26,0.4,0.46,0.4,0.45,143600
2016-02-29,0.42,0.45,0.4,0.4,26500
2016-03-01,0.4,0.43,0.4,0.4,44000
2016-03-02,0.4,0.43,0.4,0.41,121500
2016-03-03,0.43,0.45,0.41,0.43,209600
2016-03-04,0.41,0.45,0.41,0.44,112100
2016-03-07,0.42,0.45,0.42,0.44,49700
2016-03-08,0.45,0.49,0.4,0.43,284300
2016-03-09,0.42,0.44,0.4,0.41,153600
2016-03-10,0.4,0.42,0.38,0.4,104500
2016-03-11,0.39,0.4,0.34,0.37,125200
2016-03-14,0.36,0.38,0.33,0.36,125600
2016-03-15,0.34,0.36,0.26,0.29,214200
2016-03-16,0.29,0.3,0.25,0.29,242500
2016-03-17,0.29,0.29,0.26,0.26,139700
2016-03-18,0.27,0.27,0.21,0.23,754000
2016-03-21,0.23,0.29,0.23,0.29,342100
2016-03-22,0.3,0.34,0.28,0.29,146500
2016-03-23,0.29,0.3,0.27,0.3,27900
2016-03-24,0.28,0.33,0.27,0.31,72300
2016-03-28,0.31,0.33,0.3,0.31,97500
2016-03-29,0.28,0.34,0.28,0.32,144700
2016-03-30,0.32,0.34,0.3,0.3,183200
2016-03-31,0.31,0.36,0.31,0.31,119800
2016-04-01,0.32,0.34,0.3,0.3,126300
2016-04-05,0.31,0.33,0.29,0.32,116600
2016-04-06,0.32,0.32,0.31,0.32,32800
2016-04-07,0.32,0.32,0.3,0.31,46100
2016-04-08,0.31,0.32,0.31,0.31,38400
2016-04-11,0.32,0.32,0.31,0.32,158100
2016-04-12,0.32,0.32,0.31,0.32,120200
2016-04-13,0.32,0.35,0.32,0.35,123300
2016-04-14,0.32,0.45,0.32,0.42,363800
2016-04-15,0.42,0.49,0.39,0.41,92800
2016-04-18,0.38,0.43,0.38,0.39,144100
2016-04-19,0.39,0.41,0.38,0.39,201200
2016-04-20,0.38,0.4,0.38,0.38,43700
2016-04-21,0.38,0.38,0.33,0.38,81100
2016-04-22,0.38,0.38,0.35,0.38,74400
2016-04-25,0.37,0.38,0.34,0.34,53500
2016-04-26,0.32,0.38,0.32,0.35,75400
2016-04-27,0.33,0.36,0.33,0.34,39800
2016-04-28,0.36,0.36,0.32,0.32,53700
2016-04-29,0.32,0.34,0.32,0.33,59100
2016-05-03,0.32,0.36,0.32,0.35,177900
2016-05-04,0.36,0.45,0.35,0.43,374600
2016-05-05,0.44,0.48,0.4,0.47,383400
2016-05-06,0.47,0.49,0.35,0.4,269000
2016-05-09,0.42,0.42,0.38,0.4,52100
2016-05-10,0.4,0.44,0.39,0.43,48800
