date,open,high,low,close,volume
2012-11-28,19.75,20.0,19.75,20.0,1077300
2012-11-29,19.95,20.0,19.91,20.0,219900
2012-11-30,20.0,20.01,19.95,20.0,106000
2012-12-03,20.01,20.01,20.0,20.0,24700
2012-12-04,20.0,20.01,19.95,20.0,135900
2012-12-05,19.98,20.0,19.98,20.0,97700
2012-12-06,20.35,20.4,20.0,20.0,23800
2012-12-07,20.0,20.1,20.0,20.03,33400
2012-12-10,20.0,20.25,20.0,20.19,62200
2012-12-11,20.0,20.15,20.0,20.06,15300
2012-12-12,20.1,20.1,20.03,20.09,11600
2012-12-13,20.03,20.1,20.0,20.0,49100
2012-12-14,20.0,20.03,19.95,20.0,40100
2012-12-17,20.1,20.1,20.05,20.1,4800
2012-12-18,20.29,20.29,19.53,20.0,9800
2012-12-19,20.0,20.01,19.96,20.0,28200
2012-12-20,20.15,20.15,20.0,20.01,14000
2012-12-21,20.0,20.01,20.0,20.0,38900
2012-12-24,20.04,20.04,20.0,20.0,1300
2012-12-26,20.02,20.05,20.02,20.05,3300
2012-12-27,20.05,20.05,19.95,20.0,21400
2012-12-28,20.01,20.07,20.01,20.01,10900
2012-12-31,20.0,20.12,20.0,20.01,10100
2013-01-02,20.0,20.07,20.0,20.01,28500
2013-01-03,20.01,20.08,20.0,20.01,14000
2013-01-04,20.0,20.0,20.0,20.0,17800
2013-01-07,20.0,20.29,19.96,20.16,53300
2013-01-08,19.9,19.9,19.78,19.81,255000
2013-01-09,19.8,20.02,19.8,20.02,86200
2013-01-10,20.0,20.05,19.85,19.95,143800
2013-01-11,19.9,19.99,19.7,19.99,68000
2013-01-14,19.9,19.96,19.68,19.75,39900
2013-01-15,19.89,19.89,19.4,19.42,80300
2013-01-16,19.74,19.75,19.24,19.34,88600
2013-01-17,19.34,19.59,19.34,19.4,19700
2013-01-18,19.42,19.6,19.42,19.6,19800
2013-01-22,19.65,19.65,19.3,19.57,51900
2013-01-23,19.6,19.6,19.37,19.4,4000
2013-01-24,19.35,19.5,19.33,19.35,63000
2013-01-25,19.34,19.52,19.15,19.2,100000
2013-01-28,19.46,19.46,19.08,19.15,107900
2013-01-29,19.12,19.27,19.09,19.25,81600
2013-01-30,19.23,19.6,19.18,19.41,51300
2013-01-31,19.5,19.5,19.1,19.22,98300
2013-02-01,19.29,19.31,19.11,19.3,24300
2013-02-04,19.27,19.27,19.08,19.22,53300
2013-02-05,19.25,19.25,19.11,19.2,48500
2013-02-06,19.17,19.24,19.14,19.23,55600
2013-02-07,19.14,19.25,19.11,19.25,55700
2013-02-08,19.25,19.31,19.12,19.21,58200
2013-02-11,19.25,19.27,19.12,19.27,21400
2013-02-12,19.21,19.41,19.21,19.32,21100
2013-02-13,19.31,19.49,19.2,19.41,30400
2013-02-14,19.39,19.4,19.28,19.39,6800
2013-02-15,19.43,19.45,19.27,19.31,18000
2013-02-19,19.43,20.0,19.42,19.48,43400
2013-02-20,19.7,19.73,19.48,19.58,99200
2013-02-21,19.68,19.82,19.51,19.71,60900
2013-02-22,19.78,19.85,19.48,19.57,61800
2013-02-25,19.58,19.65,19.45,19.5,99900
2013-02-26,19.52,19.55,19.42,19.45,31600
2013-02-27,19.48,19.61,19.46,19.53,29200
2013-02-28,19.75,19.75,19.54,19.67,32100
2013-03-01,19.68,19.84,19.61,19.8,34800
2013-03-04,19.76,19.82,19.62,19.64,35200
2013-03-05,19.69,19.79,19.6,19.66,42100
2013-03-06,19.64,19.7,19.54,19.6,28500
2013-03-07,19.6,19.68,19.5,19.61,38300
2013-03-08,19.59,19.75,19.51,19.56,50800
2013-03-11,19.68,19.68,19.52,19.59,30100
2013-03-12,19.51,19.59,19.47,19.5,68600
2013-03-13,19.58,19.58,19.41,19.46,121400
2013-03-14,19.51,19.8,19.51,19.73,37200
2013-03-15,19.73,19.83,19.43,19.48,35600
2013-03-18,19.48,19.68,19.45,19.64,47400
2013-03-19,19.58,19.61,19.51,19.53,5200
2013-03-20,19.5,19.66,19.41,19.55,54200
2013-03-21,19.45,19.58,19.42,19.57,50000
2013-03-22,19.68,19.68,19.45,19.5,60800
2013-03-25,19.5,19.64,19.4,19.5,83500
2013-03-26,19.45,19.59,19.44,19.58,90700
2013-03-27,19.6,19.82,19.5,19.72,107200
2013-03-28,19.78,20.0,19.62,20.0,342100
2013-04-01,19.98,20.21,19.87,19.98,51500
2013-04-02,19.97,20.01,19.87,20.01,54600
2013-04-03,19.94,20.0,19.85,19.98,47600
2013-04-04,19.95,19.99,19.79,19.99,72200
2013-04-05,19.9,19.99,19.73,19.99,39100
2013-04-08,19.97,20.0,19.75,20.0,111200
2013-04-09,19.96,19.96,19.73,19.83,54600
2013-04-10,19.8,19.98,19.67,19.82,122100
2013-04-11,19.89,19.93,19.72,19.84,65000
2013-04-12,19.77,19.89,19.71,19.85,87400
2013-04-15,19.78,19.79,19.67,19.78,64900
2013-04-16,19.79,19.85,19.75,19.84,25900
2013-04-17,19.75,19.88,19.75,19.8,49600
2013-04-18,19.82,19.82,19.65,19.78,6000
2013-04-19,19.83,19.83,19.51,19.69,88100
2013-04-22,19.69,19.75,19.58,19.72,70100
2013-04-23,19.63,19.79,19.63,19.79,123500
2013-04-24,19.76,19.79,19.66,19.76,47900
2013-04-25,19.79,19.86,19.73,19.79,67000
2013-04-26,19.77,19.88,19.76,19.86,20900
2013-04-29,19.68,19.92,19.68,19.89,71200
2013-04-30,19.94,19.95,19.87,19.9,95000
2013-05-01,19.93,19.98,19.88,19.92,51900
2013-05-02,19.94,20.01,19.93,19.99,28500
2013-05-03,19.9,20.09,19.9,20.07,81700
2013-05-06,19.97,20.04,19.9,19.94,44900
2013-05-07,19.99,20.03,19.9,19.93,61700
2013-05-08,19.95,19.96,19.81,19.95,83200
2013-05-09,19.88,20.09,19.87,20.0,176100
2013-05-10,20.0,20.41,19.83,20.11,215800
2013-05-13,20.21,20.21,20.01,20.18,109400
2013-05-14,20.2,20.2,19.92,20.08,81700
2013-05-15,20.25,20.25,19.93,20.08,113800
2013-05-16,19.98,19.98,19.71,19.94,27000
2013-05-17,19.95,19.97,19.72,19.87,51000
2013-05-20,19.94,19.94,19.74,19.93,73000
2013-05-21,19.94,19.94,19.57,19.75,68100
2013-05-22,19.84,19.93,19.56,19.85,68100
2013-05-23,19.8,19.87,19.57,19.87,53900
2013-05-24,19.83,19.97,19.68,19.93,74000
2013-05-28,19.98,19.98,19.51,19.89,112800
2013-05-29,19.86,19.86,19.54,19.69,78400
2013-05-30,19.78,19.78,19.55,19.74,115200
2013-05-31,19.8,19.88,19.7,19.88,88300
2013-06-03,19.84,19.85,19.61,19.81,113000
2013-06-04,19.72,19.87,19.6,19.65,73800
2013-06-05,19.7,19.7,19.54,19.7,49200
2013-06-06,19.73,19.73,19.43,19.68,94200
2013-06-07,19.68,19.73,19.46,19.63,68900
2013-06-10,19.69,19.71,19.4,19.64,71300
2013-06-11,19.6,19.6,19.4,19.54,66000
2013-06-12,19.58,19.58,19.28,19.28,77800
2013-06-13,19.47,19.6,19.26,19.32,46600
2013-06-14,19.4,19.4,19.16,19.19,71800
2013-06-17,19.28,19.39,19.16,19.22,72200
2013-06-18,19.17,19.25,18.42,18.58,301200
2013-06-19,18.58,19.15,18.57,18.94,171300
2013-06-20,19.08,19.33,18.75,19.1,127300
2013-06-21,19.22,19.39,18.8,19.05,93700
2013-06-24,19.1,19.28,18.7,18.92,72900
2013-06-25,19.27,19.27,18.58,18.79,111900
2013-06-26,18.83,19.16,18.77,19.0,64100
2013-06-27,19.13,19.3,18.91,19.1,28900
2013-06-28,19.21,19.22,18.69,18.79,70600
2013-07-01,18.96,19.31,18.96,19.0,38300
2013-07-02,19.11,19.11,18.75,18.93,35000
2013-07-03,18.99,19.14,18.89,18.98,25400
2013-07-05,18.98,19.07,18.81,19.02,28800
2013-07-08,19.11,19.11,18.95,18.97,34300
2013-07-09,19.09,19.1,18.75,18.97,76700
2013-07-10,19.02,19.13,18.91,19.08,83500
2013-07-11,19.05,19.14,18.78,19.08,64100
2013-07-12,19.09,19.15,19.0,19.11,58200
2013-07-15,19.1,19.22,19.01,19.15,44100
2013-07-16,19.18,19.23,18.81,19.02,59300
2013-07-17,19.17,19.29,19.01,19.27,47400
2013-07-18,19.22,19.22,19.1,19.22,65200
2013-07-19,19.18,19.18,18.85,19.13,67700
2013-07-22,19.15,19.16,18.9,18.97,64100
2013-07-23,18.97,18.97,18.65,18.81,86200
2013-07-24,18.91,19.02,18.21,18.59,132900
2013-07-25,18.59,18.78,18.28,18.78,44400
2013-07-26,18.86,18.99,18.66,18.98,25100
2013-07-29,19.06,19.06,18.53,18.89,82400
2013-07-30,19.02,19.17,18.55,18.9,60300
2013-07-31,18.93,19.02,18.77,19.0,33200
2013-08-01,18.89,19.09,18.89,18.99,45000
2013-08-02,19.09,19.09,18.91,19.05,36000
2013-08-05,19.04,19.05,18.92,19.02,41100
2013-08-06,19.05,19.05,18.61,18.89,51300
2013-08-07,18.94,18.98,18.53,18.98,69900
2013-08-08,19.06,19.06,18.7,19.0,45400
2013-08-09,18.97,19.12,18.91,19.02,48000
2013-08-12,19.14,19.24,18.84,19.13,27400
2013-08-13,19.07,19.12,18.79,19.08,37900
2013-08-14,18.91,19.03,18.68,18.93,56000
2013-08-15,18.74,18.91,18.29,18.42,48700
2013-08-16,18.37,18.45,17.93,18.43,64100
2013-08-19,18.56,18.66,18.25,18.3,64300
2013-08-20,18.16,18.44,18.01,18.44,79600
