date,open,high,low,close,volume
2000-10-05,16.8602,17.1667,16.5536,16.7376,6600
2000-10-06,16.7989,17.0441,16.7376,16.7989,5900
2000-10-09,16.431,16.4923,16.3084,16.431,10100
2000-10-10,16.1858,16.431,16.1858,16.2471,50700
2000-10-11,16.2471,16.431,16.2471,16.431,41300
2000-10-12,16.1858,16.3084,16.1858,16.3084,36100
2000-10-13,16.2471,17.6572,16.2471,17.5346,690800
2000-10-16,17.6572,17.6572,16.4923,16.9828,29400
2000-10-17,16.431,17.2894,16.431,17.1667,11100
2000-10-18,16.6763,17.6572,16.6763,17.5959,21500
2000-10-19,17.6572,18.5769,17.6572,18.5769,28100
2000-10-20,18.8834,19.2819,18.5769,19.2819,40500
2000-10-23,19.3739,19.6191,19.3126,19.5578,48600
2000-10-24,19.5578,19.6191,19.3126,19.5578,8000
2000-10-25,19.2513,19.2513,17.5959,17.9638,38500
2000-10-26,17.9025,17.9484,16.1858,16.6763,67200
2000-10-27,17.6572,17.6572,16.9215,17.0441,91000
2000-10-30,16.9215,17.412,16.6763,16.7682,72100
2000-10-31,16.9828,16.9828,16.5536,16.8602,38800
2000-11-01,16.9215,16.9215,16.1858,16.1858,192800
2000-11-02,16.6763,16.9215,16.5536,16.6763,30700
2000-11-03,16.9215,16.9215,16.5536,16.9215,30900
2000-11-06,16.6763,16.9828,16.1858,16.3084,17200
2000-11-07,16.3084,16.431,16.3084,16.431,5900
2000-11-08,16.6763,16.7682,16.431,16.431,600
2000-11-09,16.6763,16.6763,16.3697,16.6763,30500
2000-11-10,16.6763,16.6763,16.0632,16.1858,115900
2000-11-13,16.3084,16.6763,16.3084,16.431,80000
2000-11-14,16.5536,16.5996,16.3084,16.431,54300
2000-11-15,16.5536,16.615,16.3084,16.5536,93600
2000-11-16,16.431,16.6763,16.3084,16.6763,37900
2000-11-17,16.5536,16.7989,16.3084,16.4923,18200
2000-11-20,16.431,16.5536,16.0632,16.1858,10600
2000-11-21,16.1858,16.5536,16.1858,16.5536,21700
2000-11-22,16.5536,16.6763,16.1858,16.3697,33000
2000-11-24,16.6763,16.9215,16.431,16.7989,14200
2000-11-27,16.6763,16.7989,16.1858,16.431,96900
2000-11-28,16.431,17.2894,16.2471,17.2894,56500
2000-11-29,16.4923,18.1477,16.431,17.6572,18700
2000-11-30,17.8412,18.2703,17.412,17.5346,27100
2000-12-01,17.1667,17.6572,16.615,17.1667,19500
2000-12-04,17.1361,17.7798,17.1054,17.1667,24400
2000-12-05,17.5653,18.1477,17.412,18.1477,50800
