date,open,high,low,close,volume
2000-10-05,7.5,7.5,7.5,7.5,2200
2000-10-06,7.375,7.375,7.125,7.125,5900
2000-10-09,7.125,7.125,7.125,7.125,0
2000-10-10,7.0625,7.0625,6.875,6.875,5200
2000-10-11,6.9375,6.9375,6.75,6.875,23400
2000-10-12,6.875,6.875,6.875,6.875,8000
2000-10-13,6.875,7.5,6.5,7.0,9000
2000-10-16,7.9375,7.9375,7.9375,7.9375,100
2000-10-17,7.625,7.75,7.5625,7.75,9700
2000-10-18,7.6875,7.875,7.3125,7.4375,8800
2000-10-19,7.5,7.5,7.5,7.5,5000
2000-10-20,7.5,7.5,7.5,7.5,0
2000-10-23,7.3125,7.3125,7.0625,7.0625,1200
2000-10-24,7.0625,7.0625,7.0625,7.0625,200
2000-10-25,7.0625,7.0625,7.0625,7.0625,0
2000-10-26,7.0625,7.0625,7.0625,7.0625,1000
2000-10-27,7.0625,7.0625,7.0625,7.0625,0
2000-10-30,7.0312,7.0312,7.0312,7.0312,600
2000-10-31,7.4844,7.4844,7.4688,7.4844,5000
2000-11-01,7.4844,7.4844,7.4844,7.4844,0
2000-11-02,6.875,6.875,6.5,6.5,13300
2000-11-03,6.75,6.75,6.75,6.75,1000
2000-11-06,6.75,6.75,6.75,6.75,0
2000-11-07,6.75,6.75,6.75,6.75,0
2000-11-08,6.375,6.375,6.375,6.375,2000
2000-11-09,6.125,6.125,6.0,6.0,4800
2000-11-10,6.5,6.625,6.5,6.625,7000
2000-11-13,7.0,7.0,6.5625,6.5625,700
2000-11-14,6.5625,6.75,6.0625,6.625,7000
2000-11-15,6.625,6.625,6.625,6.625,0
2000-11-16,6.625,6.625,6.625,6.625,0
2000-11-17,6.625,6.625,6.625,6.625,0
2000-11-20,6.625,6.625,6.625,6.625,0
2000-11-21,6.625,6.625,6.625,6.625,0
2000-11-22,6.625,6.625,6.625,6.625,0
2000-11-24,7.25,7.25,7.25,7.25,600
2000-11-27,7.25,7.5,7.25,7.5,6100
2000-11-28,7.0,7.0,6.5,6.5,12300
2000-11-29,6.5,6.5,6.5,6.5,4800
2000-11-30,6.5312,7.0,6.5312,7.0,2600
2000-12-01,7.0,7.25,7.0,7.25,2700
2000-12-04,7.4375,7.4375,7.4375,7.4375,300
2000-12-05,7.4375,7.4375,7.4375,7.4375,0
2000-12-06,6.75,7.375,6.75,7.375,1900
2000-12-07,7.375,7.375,7.375,7.375,0
2000-12-08,7.125,7.125,6.625,6.625,2600
2000-12-11,7.3594,7.3594,6.4375,7.0,2100
2000-12-12,6.375,6.375,6.125,6.1562,7600
2000-12-13,6.125,6.25,6.125,6.125,7500
2000-12-14,6.25,6.25,6.25,6.25,300
2000-12-15,6.25,6.25,6.25,6.25,100
2000-12-18,7.1875,7.1875,6.5,6.5,3100
2000-12-19,6.25,6.25,6.25,6.25,6000
2000-12-20,6.25,6.25,5.875,5.875,2800
2000-12-21,5.875,5.875,5.75,5.75,5200
2000-12-22,6.25,6.25,6.25,6.25,1000
2000-12-26,6.25,6.25,6.25,6.25,0
2000-12-27,5.875,5.875,5.875,5.875,200
2000-12-28,5.875,6.125,5.625,5.875,2500
2000-12-29,5.5,5.5,5.3125,5.375,3500
2001-01-02,5.375,5.375,5.375,5.375,1000
2001-01-03,5.875,5.875,5.625,5.625,2200
2001-01-04,6.125,6.125,6.125,6.125,400
2001-01-05,6.125,6.125,6.125,6.125,0
2001-01-08,5.8125,5.8125,5.5625,5.5625,2000
2001-01-09,5.5,5.5,5.5,5.5,200
2001-01-10,6.0625,6.0625,6.0625,6.0625,300
2001-01-11,5.5625,5.5625,5.0625,5.5,1500
2001-01-12,5.0625,6.0,5.0625,5.5,7200
2001-01-16,5.5,5.5,5.5,5.5,0
2001-01-17,6.0,6.0,6.0,6.0,1000
2001-01-18,6.0,6.0,6.0,6.0,0
2001-01-19,6.0,6.0,6.0,6.0,10100
2001-01-22,6.0,6.0,6.0,6.0,0
2001-01-23,6.0,6.75,6.0,6.75,1300
2001-01-24,6.75,6.75,6.75,6.75,200
2001-01-25,6.75,6.75,6.625,6.625,7400
2001-01-26,6.6875,6.6875,6.5,6.5,1700
2001-01-29,6.5,6.5,6.5,6.5,0
2001-01-30,6.5,6.5,6.5,6.5,0
2001-01-31,6.5,6.5,6.5,6.5,0
2001-02-01,6.75,6.75,6.6875,6.6875,2500
2001-02-02,7.0,7.0,7.0,7.0,3500
2001-02-05,7.0,7.0,7.0,7.0,0
2001-02-06,6.75,6.75,6.5,6.625,11200
2001-02-07,6.625,6.625,6.625,6.625,0
2001-02-08,6.625,6.625,6.625,6.625,0
2001-02-09,6.625,6.625,6.625,6.625,0
2001-02-12,6.625,6.625,6.625,6.625,300
2001-02-13,6.6875,6.8125,6.5,6.625,5300
2001-02-14,6.625,6.6875,6.625,6.6875,200
2001-02-15,6.6875,6.6875,6.6875,6.6875,0
2001-02-16,6.6875,6.6875,6.625,6.625,2000
2001-02-20,7.1875,7.1875,6.9375,6.9375,1700
2001-02-21,6.9375,6.9375,6.9375,6.9375,0
2001-02-22,6.9375,6.9375,6.9375,6.9375,200
2001-02-23,6.9375,6.9375,6.625,6.625,1200
2001-02-26,6.625,6.6875,6.625,6.6875,600
2001-02-27,6.6875,6.6875,6.6875,6.6875,0
2001-02-28,7.75,7.75,6.625,6.9375,3400
2001-03-01,6.9375,6.9375,6.9375,6.9375,100
2001-03-02,6.9375,6.9375,6.9375,6.9375,0
2001-03-05,6.9375,6.9375,6.9375,6.9375,0
2001-03-06,6.9375,6.9375,6.9375,6.9375,0
2001-03-07,7.0,7.0,7.0,7.0,200
2001-03-08,6.5,6.9375,6.5,6.9375,800
2001-03-09,6.9375,6.9375,6.9375,6.9375,0
2001-03-12,6.5938,6.5938,6.5,6.5,1900
2001-03-13,6.25,6.25,6.0,6.0,1200
2001-03-14,6.25,6.25,6.25,6.25,2500
2001-03-15,6.0625,6.125,6.0625,6.125,1400
2001-03-16,6.5,6.5,6.5,6.5,500
2001-03-19,6.5,6.5,6.5,6.5,0
2001-03-20,6.5,6.5,6.5,6.5,7200
2001-03-21,6.5,6.5,6.5,6.5,0
2001-03-22,6.5,6.5,6.5,6.5,0
2001-03-23,6.9375,6.9375,6.75,6.75,11000
2001-03-26,6.75,6.75,6.75,6.75,0
2001-03-27,6.625,6.6875,6.625,6.6875,16800
2001-03-28,7.25,7.25,6.9375,7.0,32200
2001-03-29,6.9375,7.0,6.9375,7.0,23000
2001-03-30,6.9375,7.4375,6.9375,7.0,16800
2001-04-02,6.5625,7.5,6.5625,7.5,800
2001-04-03,7.5,7.5,7.5,7.5,0
2001-04-04,7.5,8.0,7.0,7.8125,12900
2001-04-05,7.75,8.0,7.75,7.875,28700
2001-04-06,7.625,7.625,7.625,7.625,10000
2001-04-09,7.38,8.0,7.37,8.0,21100
2001-04-10,8.0,8.1,8.0,8.0,36000
2001-04-11,8.0,8.0,8.0,8.0,500
2001-04-12,8.0,8.0,8.0,8.0,0
2001-04-16,8.12,8.2,8.12,8.13,3300
2001-04-17,8.13,8.13,8.13,8.13,0
2001-04-18,8.0,8.05,8.0,8.05,2000
2001-04-19,7.95,7.95,7.95,7.95,200
2001-04-20,7.95,7.95,7.95,7.95,0
2001-04-23,8.05,8.14,8.05,8.14,5400
2001-04-24,8.45,8.45,8.02,8.03,8900
2001-04-25,8.25,8.25,7.91,8.0,54300
2001-04-26,8.0,8.35,8.0,8.0,2000
2001-04-27,8.0,8.0,8.0,8.0,500
2001-04-30,8.0,8.0,7.95,7.95,3200
2001-05-01,7.99,8.1,7.94,8.1,113600
2001-05-02,8.0,8.0,8.0,8.0,700
2001-05-03,8.0,8.0,8.0,8.0,0
2001-05-04,8.0,8.0,8.0,8.0,0
2001-05-07,8.0,8.0,7.99,7.99,5000
2001-05-08,7.9,7.9,7.85,7.85,1400
2001-05-09,7.85,7.85,7.85,7.85,0
2001-05-10,8.0,8.0,7.88,7.88,2000
2001-05-11,8.0,8.0,8.0,8.0,7700
2001-05-14,8.14,8.14,8.14,8.14,100
2001-05-15,8.0,8.2,8.0,8.2,4900
2001-05-16,8.2,8.2,8.2,8.2,0
2001-05-17,8.01,8.1,8.01,8.01,5600
2001-05-18,8.01,8.01,8.01,8.01,0
2001-05-21,8.01,8.01,8.01,8.01,0
2001-05-22,8.0,8.0,6.0,7.5,7700
2001-05-23,7.5,7.5,7.5,7.5,0
2001-05-24,7.5,7.5,7.5,7.5,0
2001-05-25,7.5,7.5,7.5,7.5,0
2001-05-29,8.0,8.15,8.0,8.0,12000
2001-05-30,8.0,8.1,8.0,8.1,1500
2001-05-31,8.0,8.05,8.0,8.05,900
2001-06-01,8.05,8.2,8.0,8.15,6600
2001-06-04,8.15,8.3,8.15,8.15,6100
2001-06-05,8.06,8.12,8.06,8.12,2700
2001-06-06,8.12,8.12,8.12,8.12,0
2001-06-07,8.34,8.34,8.0,8.0,5200
2001-06-08,8.25,8.25,8.25,8.25,5000
2001-06-11,8.25,8.25,8.25,8.25,0
2001-06-12,8.3,8.3,8.15,8.15,25400
2001-06-13,8.5,8.75,8.5,8.75,1500
2001-06-14,8.75,10.37,8.75,9.5,3000
2001-06-15,9.5,9.75,9.5,9.75,2700
2001-06-18,9.6,9.6,9.6,9.6,1500
2001-06-19,9.69,9.9,9.69,9.75,6200
2001-06-20,9.5,9.5,9.4,9.5,1600
2001-06-21,9.35,9.35,9.35,9.35,600
2001-06-22,9.25,9.25,9.25,9.25,500
2001-06-25,9.35,9.35,9.35,9.35,5000
2001-06-26,9.18,9.5,9.15,9.5,3700
