date,open,high,low,close,volume
2000-10-05,4.125,4.125,4.0625,4.0625,148400
2000-10-06,4.0625,4.0938,4.0,4.0,115600
2000-10-09,4.1875,4.3125,4.0938,4.2812,48800
2000-10-10,4.25,4.3125,4.1875,4.1875,100000
2000-10-11,4.1562,4.3281,4.0625,4.1562,108800
2000-10-12,4.1719,4.1719,4.0156,4.0156,114800
2000-10-13,4.0938,4.125,4.0,4.0156,108800
2000-10-16,4.0156,4.1562,4.0156,4.0938,228000
2000-10-17,4.1562,4.1562,4.0,4.0312,125200
2000-10-18,4.0312,4.125,4.0312,4.1094,121600
2000-10-19,4.1094,4.1562,4.0469,4.0938,73200
2000-10-20,4.0938,4.125,4.0938,4.0938,6800
2000-10-23,4.0625,4.125,4.0312,4.125,84800
2000-10-24,4.125,4.1562,4.1094,4.1562,110800
2000-10-25,4.0312,4.25,4.0312,4.1719,130400
2000-10-26,4.1094,4.25,4.0312,4.1094,128000
2000-10-27,4.125,4.125,4.1094,4.125,68400
2000-10-30,4.1094,4.25,4.1094,4.207,62000
2000-10-31,4.2031,4.25,4.1406,4.1875,103600
2000-11-01,4.125,4.1562,4.125,4.1406,36800
2000-11-02,4.1719,4.25,4.1562,4.25,162000
2000-11-03,4.1406,4.25,4.1406,4.1875,64400
2000-11-06,4.1875,4.2188,4.125,4.1406,76400
2000-11-07,4.125,4.1875,4.125,4.1875,24400
2000-11-08,4.1406,4.2188,4.1406,4.2188,51600
2000-11-09,4.1875,4.25,4.1875,4.2031,92400
2000-11-10,4.1562,4.2188,4.1562,4.1562,49200
2000-11-13,4.1875,4.1875,3.9844,4.0312,100000
2000-11-14,4.1875,4.1875,3.9375,3.9531,133200
2000-11-15,4.2188,4.2188,3.9375,4.0625,80800
2000-11-16,4.0312,4.0625,3.9688,4.0625,68800
2000-11-17,4.0625,4.0625,3.9375,4.0,65600
2000-11-20,3.9375,4.0781,3.9375,3.9688,145600
2000-11-21,4.0625,4.125,3.9688,3.9688,38400
2000-11-22,4.125,4.25,4.0625,4.125,29600
2000-11-24,4.1406,4.25,4.125,4.2188,32400
2000-11-27,4.2422,4.2422,4.125,4.2188,63200
2000-11-28,4.0938,4.25,4.0938,4.125,35600
2000-11-29,4.125,4.1562,4.0,4.125,56800
2000-11-30,4.0156,4.125,4.0,4.125,28400
2000-12-01,4.125,4.125,3.9375,3.9688,139200
2000-12-04,3.9062,4.0625,3.9062,4.0625,37600
2000-12-05,4.0625,4.0625,3.75,4.0625,216400
2000-12-06,4.0938,4.125,4.0625,4.0625,17200
2000-12-07,3.8906,4.0938,3.875,3.875,82400
2000-12-08,3.875,4.0,3.875,4.0,19600
2000-12-11,3.9844,4.125,3.875,3.9062,148000
2000-12-12,3.8906,4.0312,3.875,3.9531,143200
2000-12-13,4.0,4.0,3.8125,3.8281,338000
2000-12-14,3.9688,4.125,3.875,3.9062,211600
2000-12-15,3.8984,4.25,3.875,3.9375,324800
2000-12-18,4.0,4.0,3.9375,3.9375,37600
2000-12-19,3.9531,4.1875,3.9531,4.0312,34400
2000-12-20,4.125,4.1875,4.0312,4.1719,140800
2000-12-21,4.125,4.2344,4.0312,4.2188,90400
2000-12-22,4.2188,4.2344,3.9688,4.0156,63600
2000-12-26,4.0938,4.25,4.0,4.25,133600
2000-12-27,4.2188,4.375,4.125,4.25,211200
2000-12-28,4.25,4.5625,4.2188,4.5156,205200
2000-12-29,4.5312,4.5312,4.3125,4.5,69200
2001-01-02,4.5625,4.5625,4.1562,4.3438,188800
2001-01-03,4.2812,4.375,4.2188,4.375,104800
2001-01-04,4.375,4.5625,4.3125,4.3125,276800
2001-01-05,4.375,4.375,4.25,4.375,98000
2001-01-08,4.375,4.375,4.2969,4.375,106400
2001-01-09,4.375,4.6094,4.3125,4.4688,443600
2001-01-10,4.5156,4.5625,4.5,4.5312,280000
2001-01-11,4.5312,4.5625,4.4688,4.5625,155200
2001-01-12,4.5938,4.5938,4.4531,4.5312,95600
2001-01-16,4.4688,4.5938,4.4688,4.5625,178800
2001-01-17,4.5938,4.7031,4.5625,4.6875,232400
2001-01-18,4.8594,4.875,4.5625,4.5938,223600
2001-01-19,4.625,4.625,4.5312,4.5625,153200
