date,open,high,low,close,volume
2000-10-05,4.0,4.125,3.875,4.0,32400
2000-10-06,4.0,4.125,3.9375,4.0,35300
2000-10-09,4.1875,4.1875,3.875,4.0,34300
2000-10-10,4.0,4.0625,3.8125,3.9375,44000
2000-10-11,4.0,4.0625,3.875,4.0,40500
2000-10-12,4.0,4.0,3.875,3.875,26700
2000-10-13,3.8125,3.9375,3.8125,3.8125,30200
2000-10-16,3.875,3.9375,3.8125,3.8125,17900
2000-10-17,3.8125,4.0,3.8125,3.8125,11500
2000-10-18,3.75,3.875,3.75,3.875,25700
2000-10-19,3.875,4.0,3.75,3.7812,27000
2000-10-20,3.9219,4.0,3.7812,3.875,32000
2000-10-23,3.875,4.0,3.75,3.875,88600
2000-10-24,4.0625,4.0625,3.9062,4.0312,38500
2000-10-25,4.0312,4.0312,3.9375,3.9375,18600
2000-10-26,4.0,4.0625,3.875,4.0625,44100
2000-10-27,3.9375,4.0,3.9375,3.9375,10900
2000-10-30,4.0,4.0312,3.9375,4.0,12600
2000-10-31,4.0312,4.0312,4.0,4.0,14300
2000-11-01,4.0312,4.0625,4.0,4.0312,15100
2000-11-02,4.0625,4.1562,4.0,4.0938,32800
2000-11-03,4.0312,4.2188,4.0312,4.2188,16300
2000-11-06,4.0469,4.25,4.0312,4.1562,13700
2000-11-07,4.2031,4.25,4.0312,4.1875,47800
2000-11-08,4.125,4.2188,4.125,4.1562,9700
2000-11-09,4.2031,4.2031,4.125,4.1562,8700
2000-11-10,4.1875,4.1875,4.1562,4.1562,25600
2000-11-13,4.2188,4.2188,4.125,4.125,5100
2000-11-14,4.125,4.125,4.125,4.125,6900
2000-11-15,4.125,4.1562,4.125,4.125,6900
2000-11-16,4.25,4.25,4.0938,4.125,27300
2000-11-17,4.125,4.1875,4.125,4.125,11700
2000-11-20,4.125,4.125,4.0312,4.125,21500
2000-11-21,4.125,4.125,3.9688,4.0,56200
2000-11-22,3.9688,4.0,3.9688,3.9688,11400
2000-11-24,4.0,4.0938,4.0,4.0625,9100
2000-11-27,4.0,4.1875,4.0,4.125,20000
2000-11-28,4.125,4.75,4.0,4.25,54700
2000-11-29,4.2812,4.5,4.125,4.5,12200
2000-11-30,4.3125,4.3125,4.25,4.25,28200
2000-12-01,4.0625,4.375,4.0,4.375,6300
2000-12-04,4.125,4.25,4.0,4.0,14000
2000-12-05,4.0,4.375,4.0,4.0938,22700
2000-12-06,4.0312,4.25,4.0312,4.1875,9600
2000-12-07,4.0625,4.375,4.0625,4.375,7100
2000-12-08,4.375,4.4375,4.375,4.375,28700
2000-12-11,4.4844,4.5,4.375,4.375,8100
2000-12-12,4.3125,4.4375,4.3125,4.4375,8500
2000-12-13,4.375,4.5,4.375,4.5,25900
2000-12-14,4.375,4.5,4.25,4.25,43900
2000-12-15,4.375,4.375,4.25,4.25,8200
2000-12-18,4.25,4.5,4.25,4.25,22800
2000-12-19,4.25,4.3125,4.125,4.125,32800
2000-12-20,4.125,4.3125,4.125,4.1875,38000
2000-12-21,4.125,4.2188,4.125,4.1562,8100
2000-12-22,4.1562,4.3125,4.1562,4.25,21000
2000-12-26,4.25,4.3125,4.1875,4.1875,13100
2000-12-27,4.25,4.3125,4.1875,4.3125,31500
2000-12-28,4.3125,4.3125,4.0,4.1562,74800
2000-12-29,4.1562,4.25,4.125,4.25,17500
2001-01-02,4.1562,4.5,4.125,4.125,17300
2001-01-03,4.375,4.75,4.25,4.5,35900
2001-01-04,4.5,4.5,4.25,4.3125,21800
2001-01-05,4.5,4.5,4.5,4.5,1200
2001-01-08,4.5,4.5,4.2812,4.3125,18500
2001-01-09,4.2812,4.4375,4.2812,4.3125,1100
2001-01-10,4.4375,4.5,4.375,4.5,15200
2001-01-11,4.375,4.5,4.25,4.375,11600
2001-01-12,4.5,4.5,4.0,4.1875,52800
2001-01-16,4.2344,4.4375,4.2344,4.4375,15200
2001-01-17,4.375,4.5,4.25,4.25,11200
2001-01-18,4.4219,4.4219,4.1875,4.1875,9900
2001-01-19,4.125,4.25,4.125,4.125,18200
2001-01-22,4.125,4.25,4.125,4.125,9200
2001-01-23,4.1875,4.25,4.1875,4.1875,18500
2001-01-24,4.25,4.375,4.1875,4.25,12700
2001-01-25,4.3125,4.375,4.1875,4.1875,22500
2001-01-26,4.1875,4.375,4.1875,4.25,35600
2001-01-29,4.2812,4.5625,4.25,4.5625,49300
2001-01-30,4.5,4.5,4.375,4.375,24600
2001-01-31,4.4375,4.5,4.375,4.375,56700
2001-02-01,4.375,4.5,4.125,4.3125,33900
2001-02-02,4.3125,4.3125,4.125,4.125,53400
2001-02-05,4.125,4.25,4.0625,4.1875,33700
2001-02-06,4.2188,4.2188,4.0625,4.1562,5100
2001-02-07,4.125,4.1875,4.125,4.1875,6000
2001-02-08,4.1875,4.1875,4.0625,4.1875,5300
2001-02-09,4.1875,4.1875,4.0625,4.1875,6900
2001-02-12,4.125,4.25,4.0,4.25,11400
2001-02-13,4.25,4.25,4.0,4.0625,9500
2001-02-14,4.125,4.1875,4.0625,4.1875,21500
2001-02-15,4.1875,4.1875,4.0625,4.0625,13300
2001-02-16,4.0625,4.1875,4.0625,4.1875,8200
2001-02-20,4.1875,4.1875,4.125,4.1875,12800
2001-02-21,4.125,4.125,4.125,4.125,6500
2001-02-22,4.125,4.1875,4.125,4.125,16500
2001-02-23,4.125,4.1875,4.0312,4.0625,141600
2001-02-26,4.1875,4.25,4.0,4.125,530300
2001-02-27,4.2969,4.2969,4.0312,4.0625,32500
2001-02-28,4.125,4.1875,4.0625,4.0625,63900
2001-03-01,4.125,4.1875,4.0312,4.0625,48700
2001-03-02,4.125,4.3125,4.0625,4.25,45200
2001-03-05,4.25,4.25,4.0,4.0312,59700
2001-03-06,4.0938,4.25,4.0,4.1875,12100
2001-03-07,4.0625,4.1875,4.0,4.0,31900
2001-03-08,4.125,4.1875,4.0,4.0312,50800
2001-03-09,4.0625,4.0938,4.0,4.0625,109600
2001-03-12,4.0312,4.0625,4.0,4.0,36000
2001-03-13,4.0625,4.0938,4.0,4.0,88500
2001-03-14,4.0625,4.0625,4.0,4.0,22600
2001-03-15,4.0625,4.0938,4.0,4.0,11700
2001-03-16,4.0,4.0625,4.0,4.0,59900
2001-03-19,4.0312,4.0625,4.0,4.0,1600
2001-03-20,4.0625,4.0625,4.0,4.0,17300
2001-03-21,4.0,4.0625,3.875,3.875,45100
2001-03-22,4.0,4.0625,3.875,4.0625,120800
2001-03-23,4.0625,4.1875,4.0,4.0625,236200
2001-03-26,4.1875,4.25,4.125,4.125,65400
2001-03-27,4.1406,4.5,4.1406,4.4375,51400
2001-03-28,4.25,4.4375,4.1875,4.4375,30800
2001-03-29,4.4688,4.625,4.3125,4.625,73200
2001-03-30,4.5469,4.75,4.3125,4.5625,158400
2001-04-02,4.375,4.5625,4.3125,4.5,10500
2001-04-03,4.5,4.5,4.3125,4.375,9900
2001-04-04,4.4375,4.5,4.4062,4.4375,19800
2001-04-05,4.4375,4.4375,4.1875,4.2812,34900
2001-04-06,4.2812,4.375,4.2812,4.375,13900
2001-04-09,4.12,4.25,4.05,4.2,25400
2001-04-10,4.3,4.4,4.3,4.4,800
2001-04-11,4.39,4.5,4.25,4.45,9500
2001-04-12,4.45,4.5,4.3,4.5,11600
2001-04-16,4.5,4.5,4.35,4.4,8200
2001-04-17,4.44,4.65,4.37,4.55,23600
2001-04-18,4.5,4.65,4.41,4.41,22700
2001-04-19,4.46,4.6,4.46,4.52,32500
2001-04-20,4.55,4.59,4.49,4.51,6800
2001-04-23,4.6,4.6,4.5,4.51,18400
2001-04-24,4.53,4.6,4.52,4.59,6900
2001-04-25,4.53,4.65,4.51,4.52,25600
2001-04-26,4.55,4.79,4.4,4.79,32700
2001-04-27,4.85,5.0,4.56,4.95,31600
2001-04-30,4.94,5.13,4.77,5.0,65100
2001-05-01,4.91,5.0,4.77,5.0,16500
2001-05-02,4.99,5.17,4.94,5.0,17400
2001-05-03,5.15,5.15,4.97,5.0,14700
2001-05-04,5.14,5.15,5.0,5.12,66700
2001-05-07,5.15,5.15,5.05,5.05,4400
2001-05-08,5.16,5.17,5.07,5.12,23900
2001-05-09,5.16,5.37,5.16,5.24,15900
2001-05-10,5.35,5.57,5.3,5.41,16500
2001-05-11,5.4,5.5,5.25,5.3,33300
2001-05-14,5.42,5.42,5.35,5.4,10800
2001-05-15,5.37,5.5,5.27,5.5,32500
2001-05-16,5.55,5.97,5.42,5.75,24200
2001-05-17,5.75,5.99,5.5,5.7,11900
2001-05-18,5.89,5.89,5.5,5.8,15100
2001-05-21,5.56,5.6,5.25,5.32,9800
2001-05-22,5.18,5.57,5.18,5.39,14200
2001-05-23,5.39,5.62,5.39,5.6,16800
2001-05-24,5.62,5.62,5.31,5.5,18000
2001-05-25,5.35,5.48,5.35,5.48,7000
2001-05-29,5.38,5.45,5.25,5.35,7600
2001-05-30,5.26,5.45,5.03,5.1,64200
2001-05-31,5.06,5.15,5.06,5.07,19800
2001-06-01,5.15,5.22,5.07,5.22,23300
2001-06-04,5.29,5.4,5.1,5.35,4900
2001-06-05,5.25,5.38,5.25,5.38,3900
2001-06-06,5.38,5.38,5.3,5.32,46700
2001-06-07,5.31,5.35,5.31,5.35,11000
2001-06-08,5.31,5.35,5.24,5.3,16300
2001-06-11,5.3,5.35,5.2,5.2,28600
2001-06-12,5.3,5.3,5.25,5.25,21600
2001-06-13,5.25,5.34,5.12,5.14,26100
2001-06-14,5.07,5.08,4.83,5.0,28200
2001-06-15,5.0,5.07,4.91,5.07,18400
2001-06-18,5.0,5.01,5.0,5.0,10300
2001-06-19,5.0,5.05,5.0,5.05,7300
2001-06-20,5.05,5.05,5.0,5.0,19100
2001-06-21,5.05,5.05,5.0,5.02,9400
2001-06-22,5.0,5.04,4.9,5.0,8800
2001-06-25,5.05,5.05,5.01,5.01,3500
2001-06-26,5.05,5.1,5.0,5.05,62500
2001-06-27,5.05,5.09,5.05,5.07,15500
2001-06-28,5.09,5.17,5.05,5.17,8900
2001-06-29,5.2,5.29,5.13,5.15,78600
2001-07-02,5.15,5.3,5.15,5.3,14700
2001-07-03,5.3,5.3,5.3,5.3,2300
2001-07-05,5.3,5.35,5.2,5.35,31200
2001-07-06,5.27,5.4,5.27,5.38,15100
2001-07-09,5.38,5.38,5.18,5.18,12500
2001-07-10,5.21,5.21,5.18,5.19,2000
2001-07-11,5.38,5.5,5.2,5.5,47500
2001-07-12,5.41,5.45,5.4,5.4,3800
2001-07-13,5.51,5.6,5.5,5.59,5400
2001-07-16,5.46,5.6,5.28,5.28,7000
2001-07-17,5.5,5.5,5.43,5.5,3900
2001-07-18,5.51,5.74,5.51,5.57,4200
2001-07-19,5.61,5.74,5.51,5.73,11300
2001-07-20,5.52,5.8,5.41,5.8,8200
