date,open,high,low,close,volume
2000-10-05,17.0,17.1875,16.5,16.75,255600
2000-10-06,16.6875,16.75,16.375,16.4375,255700
2000-10-09,16.75,17.0625,16.625,16.6875,85000
2000-10-10,16.75,17.125,16.625,16.875,113900
2000-10-11,17.125,17.25,16.5,16.625,154900
2000-10-12,16.75,17.8125,16.6875,17.5,364600
2000-10-13,17.5,17.9375,17.3125,17.4375,231500
2000-10-16,17.1875,17.4375,17.0625,17.0625,66100
2000-10-17,17.0,17.0,16.375,16.5625,119500
2000-10-18,16.5625,16.6875,16.1875,16.1875,148500
2000-10-19,16.1875,16.5,16.125,16.4375,61800
2000-10-20,16.25,16.375,15.9375,16.125,322800
2000-10-23,16.0,16.125,15.875,16.0,113800
2000-10-24,16.0,16.0,15.6875,15.75,126200
2000-10-25,15.4375,15.4375,15.0,15.25,115300
2000-10-26,14.875,14.9375,14.25,14.5625,582500
2000-10-27,14.4375,14.6875,14.1875,14.625,190500
2000-10-30,14.5,14.8125,14.4375,14.5,265800
2000-10-31,14.375,14.5,14.25,14.375,216300
2000-11-01,14.4375,14.5625,14.25,14.3125,99400
2000-11-02,14.375,14.5,14.0625,14.0625,206800
2000-11-03,14.125,14.1875,13.8125,14.1875,125000
2000-11-06,14.1875,14.25,14.0625,14.125,71300
2000-11-07,14.25,14.4375,14.0,14.125,246900
2000-11-08,14.25,14.25,13.5,14.0,246800
2000-11-09,13.5,14.0625,13.5,13.75,188900
2000-11-10,13.5625,13.75,13.5625,13.6875,153600
2000-11-13,13.5,13.9375,13.5,13.625,209800
2000-11-14,13.5,13.5625,13.375,13.375,162300
2000-11-15,13.4375,13.5,13.25,13.3125,150500
2000-11-16,13.4375,13.4375,13.125,13.25,205200
2000-11-17,13.1875,13.3125,12.8125,12.8125,320000
2000-11-20,12.875,13.125,12.75,12.875,156800
2000-11-21,12.75,12.9375,12.625,12.8125,267900
2000-11-22,12.75,13.3125,12.75,13.3125,517100
2000-11-24,13.25,13.25,12.8125,12.9375,278100
2000-11-27,12.6875,13.1875,12.6875,13.1875,625100
2000-11-28,13.0625,13.125,12.75,12.9375,386500
2000-11-29,12.9375,12.9375,12.75,12.8125,139500
2000-11-30,12.75,12.8125,12.375,12.375,367400
2000-12-01,12.4375,12.75,12.25,12.5625,385700
2000-12-04,13.0,13.375,12.8125,13.3125,520200
2000-12-05,13.125,13.3125,13.0625,13.1875,488900
2000-12-06,13.4375,14.4375,13.3125,14.25,396000
2000-12-07,14.4375,14.4375,13.9375,14.0625,251500
2000-12-08,13.9375,14.125,13.5625,14.0625,314300
2000-12-11,13.9375,14.0625,13.625,14.0,209000
2000-12-12,14.0,14.125,14.0,14.0,147300
2000-12-13,14.0,14.0625,13.6875,13.8125,181900
2000-12-14,13.875,13.875,13.3125,13.5625,98500
2000-12-15,13.6875,14.125,13.5625,14.125,339900
2000-12-18,14.1875,14.1875,13.875,13.875,211200
2000-12-19,14.125,14.25,13.9375,14.0625,151200
2000-12-20,14.375,14.75,14.3125,14.6875,399500
2000-12-21,14.875,15.375,14.8125,15.25,445800
2000-12-22,15.125,15.3125,15.0,15.125,172600
2000-12-26,15.25,15.25,14.875,14.875,164200
2000-12-27,15.375,15.375,14.875,15.0625,178500
2000-12-28,15.125,15.25,14.9375,15.0625,296400
