date,open,high,low,close,volume
2002-04-26,15.0,15.01,15.0,15.0,304100
2002-04-29,15.0,15.08,15.0,15.03,37200
2002-04-30,15.0,15.1,15.0,15.06,50900
2002-05-01,15.18,15.18,15.01,15.1,31900
2002-05-02,15.1,15.1,15.02,15.1,12400
2002-05-03,15.15,15.3,15.1,15.2,9100
2002-05-06,15.1,15.1,15.01,15.09,6700
2002-05-07,15.05,15.1,15.0,15.0,17300
2002-05-08,15.05,15.07,15.0,15.07,3100
2002-05-09,15.01,15.1,15.0,15.0,7100
2002-05-10,15.0,15.09,15.0,15.0,15600
2002-05-13,15.0,15.06,15.0,15.01,9300
2002-05-14,15.07,15.07,15.0,15.0,9900
2002-05-15,15.06,15.06,15.0,15.0,14000
2002-05-16,15.0,15.05,15.0,15.01,4100
2002-05-17,15.0,15.06,15.0,15.0,16200
2002-05-20,15.0,15.08,15.0,15.0,19600
2002-05-21,15.0,15.03,15.0,15.03,29700
2002-05-22,15.03,15.03,15.0,15.03,4200
2002-05-23,15.0,15.01,15.0,15.01,11700
2002-05-24,15.0,15.01,15.0,15.0,19600
2002-05-28,15.0,15.05,15.0,15.0,31100
2002-05-29,15.0,15.01,15.0,15.01,34100
2002-05-30,15.0,15.02,15.0,15.0,125400
2002-05-31,15.0,15.01,15.0,15.0,30500
2002-06-03,15.0,15.02,15.0,15.02,49700
2002-06-04,15.0,15.01,15.0,15.0,10900
2002-06-05,15.0,15.07,15.0,15.07,19000
2002-06-06,15.01,15.01,15.0,15.0,4200
2002-06-07,15.0,15.0,15.0,15.0,1400
2002-06-10,15.0,15.01,15.0,15.0,13100
2002-06-11,15.0,15.05,15.0,15.0,24400
2002-06-12,15.0,15.0,14.5,14.5,25200
2002-06-13,14.5,14.6,14.5,14.6,5600
2002-06-14,14.59,14.59,14.59,14.59,1000
2002-06-17,14.55,14.63,14.55,14.61,8800
2002-06-18,14.7,14.7,14.53,14.53,5200
2002-06-19,14.59,14.6,14.45,14.57,21100
2002-06-20,14.59,14.71,14.59,14.71,8200
2002-06-21,14.64,14.77,14.64,14.77,9200
2002-06-24,14.59,14.69,14.54,14.69,7900
2002-06-25,14.73,14.73,14.52,14.6,15300
2002-06-26,14.55,14.6,14.38,14.38,27400
2002-06-27,14.38,14.57,14.15,14.18,59300
2002-06-28,14.24,14.27,13.75,14.05,56000
2002-07-01,14.05,14.08,13.95,13.95,29700
2002-07-02,13.98,14.35,13.98,14.3,18400
2002-07-03,14.34,14.4,14.14,14.4,15900
2002-07-05,14.45,14.45,14.2,14.3,22400
2002-07-08,14.34,14.55,14.34,14.55,10100
2002-07-09,14.5,14.65,14.43,14.6,12300
2002-07-10,14.65,14.77,14.62,14.66,17600
2002-07-11,14.67,14.69,14.61,14.61,8900
2002-07-12,14.6,14.6,14.36,14.48,20100
2002-07-15,14.5,14.65,14.5,14.65,6300
2002-07-16,14.68,14.68,14.45,14.5,10100
2002-07-17,14.51,14.53,14.34,14.45,18800
2002-07-18,14.49,14.57,14.46,14.5,11100
2002-07-19,14.46,14.7,14.44,14.7,13500
2002-07-22,14.71,14.71,14.44,14.44,13900
2002-07-23,14.43,14.59,14.43,14.55,14700
2002-07-24,14.4,14.45,14.33,14.43,16900
2002-07-25,14.33,14.45,14.33,14.45,6200
2002-07-26,14.5,14.6,14.5,14.59,9400
2002-07-29,14.61,14.63,14.54,14.63,5900
2002-07-30,14.63,14.63,14.5,14.5,22400
2002-07-31,14.56,14.56,14.5,14.53,10800
2002-08-01,14.61,14.65,14.58,14.58,8200
2002-08-02,14.64,14.69,14.61,14.61,12700
2002-08-05,14.58,14.79,14.55,14.79,24300
2002-08-06,14.81,14.9,14.81,14.84,10800
2002-08-07,14.89,14.9,14.7,14.7,9000
2002-08-08,14.81,14.91,14.67,14.67,20700
2002-08-09,14.7,14.83,14.7,14.83,5500
2002-08-12,14.87,14.98,14.83,14.98,2600
2002-08-13,14.88,14.95,14.74,14.74,9300
2002-08-14,14.8,14.96,14.75,14.75,10800
2002-08-15,14.72,14.78,14.68,14.77,8900
2002-08-16,14.75,14.8,14.74,14.74,2000
2002-08-19,14.76,14.79,14.6,14.6,13500
2002-08-20,14.69,14.69,14.56,14.56,9700
2002-08-21,14.56,14.65,14.56,14.6,9900
2002-08-22,14.59,14.69,14.59,14.65,10000
2002-08-23,14.68,14.68,14.56,14.56,8000
2002-08-26,14.58,14.63,14.52,14.55,25700
2002-08-27,14.6,14.75,14.56,14.75,31000
2002-08-28,14.75,14.9,14.69,14.83,12600
2002-08-29,14.8,14.9,14.8,14.88,10300
2002-08-30,14.95,14.95,14.9,14.9,8800
2002-09-03,14.95,14.99,14.87,14.95,15800
2002-09-04,14.98,14.98,14.98,14.98,2200
2002-09-05,15.0,15.0,14.86,14.86,10100
2002-09-06,14.9,14.98,14.9,14.95,21000
2002-09-09,15.0,15.0,14.93,14.95,11100
2002-09-10,14.95,15.0,14.9,14.96,10600
2002-09-11,14.95,14.99,14.87,14.98,15000
2002-09-12,14.82,14.94,14.82,14.94,4500
2002-09-13,14.9,14.9,14.81,14.87,16700
2002-09-16,14.81,14.84,14.79,14.8,5600
2002-09-17,14.88,14.88,14.78,14.8,7400
2002-09-18,14.75,14.75,14.56,14.66,46000
2002-09-19,14.62,14.7,14.5,14.58,53900
2002-09-20,14.57,14.7,14.53,14.6,28000
2002-09-23,14.58,14.61,14.55,14.55,18500
2002-09-24,14.57,14.71,14.57,14.69,15000
2002-09-25,14.62,14.69,14.62,14.68,17600
2002-09-26,14.69,14.69,14.6,14.65,15700
2002-09-27,14.7,14.74,14.65,14.67,15800
2002-09-30,14.65,14.77,14.63,14.7,9100
2002-10-01,14.78,14.89,14.76,14.76,13200
2002-10-02,14.83,14.9,14.83,14.88,18900
2002-10-03,14.85,14.99,14.85,14.95,15900
2002-10-04,14.85,14.95,14.8,14.94,25500
2002-10-07,14.9,14.96,14.9,14.96,9000
2002-10-08,14.95,14.99,14.89,14.92,18500
2002-10-09,14.94,14.94,14.92,14.92,900
2002-10-10,14.85,14.85,14.78,14.78,3300
2002-10-11,14.82,14.82,14.61,14.75,16100
2002-10-14,14.75,14.75,14.51,14.54,13500
2002-10-15,14.57,14.6,14.5,14.53,18000
2002-10-16,14.61,14.64,14.44,14.64,13900
2002-10-17,14.65,14.65,14.55,14.65,9400
2002-10-18,14.62,14.62,14.53,14.56,5100
2002-10-21,14.66,14.7,14.51,14.51,16200
2002-10-22,14.56,14.56,14.31,14.38,19200
2002-10-23,14.43,14.43,14.34,14.34,15200
2002-10-24,14.2,14.2,14.13,14.19,15300
2002-10-25,14.1,14.29,14.1,14.15,7300
2002-10-28,14.25,14.26,14.08,14.1,19300
2002-10-29,14.1,14.15,14.1,14.1,12700
2002-10-30,14.16,14.27,14.12,14.27,5100
2002-10-31,14.3,14.3,13.9,14.0,19100
2002-11-01,14.1,14.1,14.02,14.04,5000
2002-11-04,14.1,14.25,14.1,14.25,17900
2002-11-05,14.25,14.25,14.09,14.09,4500
2002-11-06,14.14,14.14,14.03,14.05,6600
2002-11-07,14.03,14.11,14.0,14.1,11600
2002-11-08,14.15,14.2,13.95,14.05,18000
2002-11-11,14.08,14.24,14.05,14.24,7700
2002-11-12,14.25,14.26,14.16,14.25,17000
2002-11-13,14.16,14.16,13.81,13.92,39000
2002-11-14,13.87,13.9,13.78,13.86,28700
2002-11-15,13.91,13.92,13.68,13.68,30100
2002-11-18,13.73,13.77,13.64,13.71,28200
2002-11-19,13.7,13.83,13.65,13.82,23400
2002-11-20,13.88,13.9,13.65,13.72,15900
2002-11-21,13.73,13.73,13.45,13.48,39000
2002-11-22,13.55,13.56,13.43,13.5,22400
2002-11-25,13.55,13.56,13.4,13.46,23200
2002-11-26,13.63,13.65,13.4,13.4,36500
2002-11-27,13.46,13.5,13.36,13.43,21300
2002-11-29,13.45,13.53,13.45,13.53,4400
2002-12-02,13.53,13.53,13.45,13.45,13400
2002-12-03,13.53,13.75,13.5,13.73,23300
2002-12-04,13.75,13.8,13.75,13.78,13800
2002-12-05,13.75,13.75,13.65,13.7,28700
2002-12-06,13.73,13.81,13.7,13.81,10900
2002-12-09,13.87,13.93,13.75,13.93,22200
2002-12-10,13.93,13.97,13.81,13.97,17800
2002-12-11,14.0,14.03,13.92,13.99,13400
2002-12-12,13.75,13.77,13.63,13.67,31800
2002-12-13,13.58,13.62,13.44,13.54,24700
2002-12-16,13.6,13.6,13.42,13.5,34500
2002-12-17,13.44,13.5,13.41,13.42,48800
2002-12-18,13.48,13.48,13.26,13.35,58800
2002-12-19,13.3,13.34,13.22,13.34,77500
2002-12-20,13.27,13.43,13.22,13.38,20100
2002-12-23,13.46,13.55,13.36,13.36,53100
2002-12-24,13.3,13.49,13.3,13.44,26100
2002-12-26,13.45,13.64,13.45,13.55,31300
2002-12-27,13.6,13.6,13.51,13.51,33500
2002-12-30,13.5,13.65,13.5,13.61,16700
2002-12-31,13.65,13.94,13.57,13.9,49700
2003-01-02,13.94,13.98,13.91,13.93,16800
2003-01-03,13.93,14.08,13.85,14.07,33800
2003-01-06,14.06,14.09,14.04,14.05,18900
2003-01-07,13.99,14.07,13.95,14.05,21300
2003-01-08,14.08,14.08,13.87,14.07,21400
2003-01-09,14.07,14.07,13.86,13.93,16500
2003-01-10,13.95,13.95,13.7,13.7,29400
2003-01-13,13.47,13.95,13.44,13.84,26500
