date,open,high,low,close,volume
2016-06-01,23.0,25.0,23.0,25.0,200
2016-06-02,25.0,25.0,25.0,25.0,0
2016-06-03,25.0,25.0,25.0,25.0,0
2016-06-06,25.0,25.0,25.0,25.0,0
2016-06-07,25.0,25.0,25.0,25.0,0
2016-06-08,25.0,25.0,25.0,25.0,0
2016-06-09,25.0,25.0,25.0,25.0,0
2016-06-10,25.0,25.575,25.0,25.575,3900
2016-06-13,25.2,25.2,25.2,25.2,400
2016-06-14,25.01,25.398,25.01,25.395,1800
2016-06-15,25.28,26.0,25.0,26.0,1300
2016-06-16,25.5,26.99,25.5,26.49,19500
2016-06-17,27.5,31.02,27.5,29.28,13400
2016-06-20,28.23,28.23,21.34,21.47,264000
2016-06-21,21.99,22.32,21.0,21.5,186500
2016-06-22,21.28,21.28,20.39,20.93,210400
2016-06-23,21.0,21.35,20.62,20.62,118500
2016-06-24,19.61,20.22,19.32,19.95,140000
2016-06-27,19.89,19.94,18.15,18.5,214600
2016-06-28,18.52,18.83,18.02,18.34,289200
2016-06-29,18.37,18.69,18.01,18.34,320700
2016-06-30,18.54,19.13,18.26,19.09,119800
2016-07-01,19.1,19.12,18.31,18.49,49600
2016-07-05,18.59,19.17,18.59,18.66,109400
2016-07-06,18.59,19.05,18.42,19.03,55600
2016-07-07,19.31,19.31,18.57,18.61,39800
2016-07-08,18.55,18.87,18.55,18.65,36100
2016-07-11,18.55,18.79,18.36,18.68,39000
2016-07-12,18.72,19.07,18.69,19.02,53900
2016-07-13,19.32,19.89,19.12,19.49,165400
2016-07-14,19.73,21.29,19.73,21.09,74400
2016-07-15,21.03,21.41,20.83,21.21,124300
2016-07-18,21.37,21.62,20.84,21.41,39000
2016-07-19,21.32,21.53,21.08,21.37,43200
2016-07-20,21.29,21.53,20.975,21.32,25300
2016-07-21,21.48,21.59,21.241,21.32,15600
2016-07-22,21.29,21.32,20.85,21.07,63700
2016-07-25,21.24,21.24,20.88,21.09,17500
2016-07-26,21.0,21.25,20.96,21.19,10800
2016-07-27,20.95,21.11,20.93,21.05,28600
2016-07-28,21.0,21.25,20.96,21.11,11400
2016-07-29,21.2,21.484,21.14,21.32,11800
2016-08-01,21.26,21.292,20.98,20.98,14600
2016-08-02,21.02,21.35,20.43,20.47,122100
2016-08-03,20.07,20.44,20.0,20.0,83700
2016-08-04,20.41,20.76,20.101,20.58,44500
2016-08-05,20.55,21.0,20.35,21.0,35500
2016-08-08,20.73,21.99,20.73,21.99,20200
2016-08-09,22.0,22.32,21.865,22.19,10700
2016-08-10,22.2,22.84,22.2,22.61,18300
2016-08-11,22.56,22.92,22.32,22.46,12300
2016-08-12,22.38,22.465,22.04,22.05,15000
2016-08-15,22.11,22.11,21.31,21.54,49300
2016-08-16,21.53,21.678,21.19,21.35,39400
2016-08-17,21.26,21.37,21.12,21.28,23700
2016-08-18,21.36,21.38,21.15,21.27,66300
2016-08-19,21.17,21.49,20.51,20.51,32700
2016-08-22,21.14,21.43,21.1,21.23,20200
2016-08-23,21.24,21.63,21.24,21.35,36600
2016-08-24,21.34,22.17,21.34,21.93,32900
2016-08-25,21.87,22.645,21.81,22.31,17200
2016-08-26,22.5,22.86,22.5,22.57,12700
2016-08-29,22.59,23.27,22.55,23.08,23600
2016-08-30,23.08,23.19,22.86,23.03,43300
2016-08-31,23.09,23.09,22.71,23.09,30300
2016-09-01,22.74,23.049,22.74,22.92,6100
2016-09-02,23.02,23.228,23.02,23.14,15800
2016-09-06,23.36,23.82,23.27,23.78,15000
2016-09-07,23.72,23.82,23.05,23.05,17500
2016-09-08,23.5,23.815,23.5,23.7,7800
2016-09-09,23.47,23.67,23.14,23.14,6700
2016-09-12,23.48,23.48,23.13,23.24,6500
2016-09-13,23.05,23.22,22.62,22.62,6200
2016-09-14,22.56,22.76,22.26,22.73,8200
2016-09-15,22.51,23.01,22.39,22.55,20300
2016-09-16,22.49,23.45,22.43,23.12,17000
2016-09-19,22.72,23.0,22.22,23.0,11900
2016-09-20,22.81,23.0,22.563,22.99,12200
2016-09-21,22.76,23.09,22.73,22.95,9400
2016-09-22,23.15,23.19,22.82,23.03,18800
2016-09-23,22.97,23.11,22.76,22.97,16100
2016-09-26,22.97,23.14,22.959,23.0,16500
2016-09-27,23.0,23.92,22.91,23.9,8100
2016-09-28,23.77,25.12,23.61,25.0,27600
2016-09-29,24.96,26.87,24.933,25.76,88100
2016-09-30,26.27,26.46,25.76,26.43,24100
2016-10-03,26.33,26.33,25.3,25.67,12500
2016-10-04,25.68,25.68,24.83,25.01,10700
2016-10-05,24.89,25.589,24.79,24.79,7900
2016-10-06,25.34,25.46,25.07,25.44,10800
2016-10-07,25.42,25.48,24.73,24.73,7000
2016-10-10,25.05,25.3,25.05,25.23,10900
2016-10-11,24.98,25.13,24.65,24.66,5800
2016-10-12,24.65,24.65,24.3,24.3,4900
2016-10-13,24.22,24.44,24.22,24.24,3600
2016-10-14,24.39,24.39,24.09,24.09,7400
2016-10-17,24.05,24.06,23.44,23.44,9900
2016-10-18,23.65,24.05,23.47,24.01,11900
2016-10-19,24.09,24.31,23.88,24.0,21000
2016-10-20,24.02,24.43,23.73,24.2,14000
2016-10-21,24.0,24.222,23.91,24.0,8200
2016-10-24,24.28,24.28,23.85,23.85,3100
2016-10-25,23.93,24.1,23.782,23.87,16000
2016-10-26,23.69,23.852,23.09,23.24,13200
2016-10-27,23.29,23.449,23.03,23.03,11100
2016-10-28,23.25,23.6,23.19,23.34,65300
2016-10-31,23.32,23.5,23.22,23.22,56800
2016-11-01,23.61,24.3,23.61,24.22,8900
2016-11-02,24.18,24.424,23.87,24.1,19200
2016-11-03,23.87,24.04,23.87,23.94,7500
2016-11-04,23.99,24.09,23.706,23.75,7900
2016-11-07,24.01,24.053,23.666,23.81,8300
2016-11-08,23.82,24.0,23.78,23.85,12000
2016-11-09,23.5,23.89,23.117,23.89,21900
2016-11-10,23.51,24.23,23.51,24.17,7000
2016-11-11,23.87,24.18,23.76,24.18,7900
2016-11-14,23.99,23.99,21.72,22.99,56800
2016-11-15,23.1,23.22,22.8,22.8,57100
2016-11-16,23.47,23.79,22.5,22.5,10900
2016-11-17,23.54,23.99,23.4,23.99,15000
2016-11-18,23.79,23.91,23.68,23.8,4100
2016-11-21,23.93,24.22,23.87,24.22,13400
2016-11-22,24.22,25.21,24.21,24.99,21500
2016-11-23,25.0,25.5,24.86,25.5,4600
2016-11-25,25.62,26.08,25.62,26.0,7000
2016-11-28,26.84,26.84,26.023,26.34,31400
2016-11-29,26.4,26.4,25.77,26.17,17600
2016-11-30,26.17,26.65,26.12,26.39,6600
2016-12-01,26.37,26.86,26.37,26.72,3700
2016-12-02,26.8,26.86,26.49,26.75,4700
2016-12-05,26.69,26.78,26.25,26.36,11400
2016-12-06,26.37,26.37,26.08,26.18,3100
2016-12-07,26.09,26.51,26.07,26.37,6000
2016-12-08,26.27,26.36,25.85,26.05,15900
2016-12-09,26.09,26.32,25.581,25.68,11400
2016-12-12,25.61,26.0,25.49,25.49,5900
2016-12-13,25.45,26.11,25.45,25.91,6700
2016-12-14,25.14,25.14,24.18,24.22,68100
2016-12-15,24.13,24.39,24.0,24.39,16000
2016-12-16,24.41,24.41,24.17,24.26,26700
2016-12-19,24.43,24.43,24.08,24.15,6400
2016-12-20,24.16,24.21,24.0,24.0,20300
2016-12-21,24.1,24.36,24.05,24.35,15400
2016-12-22,24.05,24.28,24.03,24.06,10500
2016-12-23,24.1,24.35,24.07,24.35,10800
2016-12-27,24.35,24.35,24.09,24.25,1700
2016-12-28,24.12,24.24,24.1,24.21,7900
2016-12-29,24.11,24.303,23.76,23.76,8600
2016-12-30,24.09,24.37,23.906,24.06,23600
2017-01-03,24.22,24.27,24.02,24.033,3200
2017-01-04,24.0,24.59,24.0,24.475,16400
2017-01-05,24.49,24.94,24.41,24.94,8400
2017-01-06,24.71,24.71,24.36,24.36,8500
2017-01-09,24.52,24.54,24.265,24.52,7200
2017-01-10,24.5,24.5,23.66,23.99,36100
2017-01-11,23.84,24.129,23.8,23.88,4400
2017-01-12,23.91,24.77,23.91,24.65,7200
2017-01-13,24.66,25.23,24.59,25.074,26100
2017-01-17,25.1,25.43,25.1,25.31,10500
2017-01-18,25.18,25.28,24.95,24.98,17000
2017-01-19,24.87,25.04,24.69,24.75,10400
2017-01-20,24.739,24.908,24.56,24.68,6100
2017-01-23,24.68,24.88,24.46,24.56,11700
2017-01-24,24.9,25.19,24.82,24.96,10400
2017-01-25,24.98,25.64,24.98,25.16,7700
2017-01-26,25.34,25.43,24.89,24.94,10000
2017-01-27,25.0,25.24,24.87,24.89,17100
2017-01-30,24.8,25.24,24.77,25.08,5500
2017-01-31,25.1,25.24,24.44,24.44,17800
2017-02-01,24.98,25.05,24.48,24.55,20100
2017-02-02,24.56,24.87,24.55,24.87,3400
2017-02-03,24.77,25.1,24.74,25.08,4200
2017-02-06,24.93,24.93,24.4,24.6,7400
2017-02-07,24.48,24.76,24.4,24.76,9900
2017-02-08,24.7,25.1,24.65,25.05,7700
2017-02-09,25.03,25.422,24.98,25.4,16300
2017-02-10,25.39,26.47,25.39,26.16,16600
2017-02-13,26.31,26.5,26.16,26.3,13300
2017-02-14,26.363,26.363,26.03,26.22,4900
2017-02-15,26.3,26.3,26.03,26.04,6800
2017-02-16,26.06,26.325,26.06,26.27,8400
2017-02-17,26.3,26.3,25.99,26.26,12600
2017-02-21,26.17,26.3,26.08,26.16,3400
2017-02-22,26.14,26.14,25.9,26.01,8800
2017-02-23,26.05,26.308,26.03,26.14,7800
2017-02-24,26.02,26.02,25.53,25.58,3900
2017-02-27,25.5,25.722,25.4,25.45,3000
2017-02-28,25.38,25.46,25.24,25.37,2500
2017-03-01,25.52,25.84,25.15,25.63,15000
2017-03-02,25.67,25.7,25.3,25.3,6500
2017-03-03,25.3,25.41,24.93,25.22,19600
2017-03-06,25.03,25.03,24.52,24.55,11100
2017-03-07,24.58,24.797,24.56,24.7,5800
2017-03-08,24.57,24.65,24.395,24.45,7700
2017-03-09,24.38,24.96,24.38,24.96,7900
2017-03-10,24.81,25.27,24.81,25.12,9400
2017-03-13,25.18,25.5,25.0,25.02,9000
2017-03-14,24.92,25.14,24.92,25.0,13400
2017-03-15,25.12,25.46,25.04,25.36,16100
2017-03-16,25.2,25.67,24.95,24.95,12000
