date,open,high,low,close,volume
2020-09-25,20.0,20.05,20.0,20.0,2619300
2020-09-28,20.14,20.2,20.05,20.2,414600
2020-09-29,20.22,20.22,20.085,20.17,416200
2020-09-30,20.24,20.5,20.2,20.46,430200
2020-10-01,20.6,20.6,20.26,20.3,315600
2020-10-02,20.17,20.48,20.15,20.46,239600
2020-10-05,20.55,20.55,20.29,20.37,214900
2020-10-06,20.3,20.44,20.16,20.26,335300
2020-10-07,20.39,20.45,20.27,20.37,156800
2020-10-08,20.4,20.58,20.29,20.42,226400
2020-10-09,20.48,20.5,20.35,20.48,221900
2020-10-12,20.55,20.6,20.38,20.48,148500
2020-10-13,20.5,20.54,20.4,20.46,139000
2020-10-14,20.5,20.54,20.41,20.46,151200
2020-10-15,20.39,20.5,20.37,20.49,128200
2020-10-16,20.5,20.58,20.44,20.5,112700
2020-10-19,20.5,20.58,20.42,20.45,140600
2020-10-20,20.5,20.57,20.401,20.56,142700
2020-10-21,20.53,20.58,20.4,20.48,117100
2020-10-22,20.58,20.58,20.44,20.49,113700
2020-10-23,20.54,20.6,20.42,20.54,122700
2020-10-26,20.38,20.4,20.03,20.1,272700
2020-10-27,20.17,20.25,20.02,20.05,263000
2020-10-28,20.0,20.035,19.3,19.93,317000
2020-10-29,19.99,20.1,19.905,19.96,165800
2020-10-30,20.0,20.0,19.656,19.78,209000
2020-11-02,19.83,20.09,19.82,20.07,82400
2020-11-03,20.1,20.22,20.0,20.12,97500
2020-11-04,20.23,20.46,20.095,20.35,104700
2020-11-05,20.35,20.466,20.05,20.35,119500
2020-11-06,20.39,20.46,20.25,20.46,86300
2020-11-09,20.62,20.98,20.06,20.6,176400
2020-11-10,20.6,20.88,20.45,20.54,223000
2020-11-11,20.79,21.0,20.5,20.63,145000
2020-11-12,20.64,20.739,20.4,20.52,92800
2020-11-13,20.58,20.61,20.41,20.51,87100
2020-11-16,20.98,21.05,20.5,20.6,173500
2020-11-17,20.7,21.0,20.6,20.963,153600
2020-11-18,21.07,21.33,20.74,21.01,220200
2020-11-19,21.01,21.232,20.76,20.88,137700
2020-11-20,20.72,20.849,20.5,20.78,228700
2020-11-23,20.89,20.98,20.692,20.96,125800
2020-11-24,20.92,20.98,20.731,20.82,110900
2020-11-25,20.8,20.858,20.5,20.635,176600
2020-11-27,20.77,20.8,20.57,20.76,41400
2020-11-30,20.74,21.25,20.6,21.25,162600
2020-12-01,21.25,21.45,21.08,21.08,160900
2020-12-02,21.19,21.78,21.0,21.65,217800
2020-12-03,21.46,22.13,21.46,21.92,190300
2020-12-04,21.9,22.27,21.65,21.87,184800
2020-12-07,21.95,22.86,21.53,21.9,158100
2020-12-08,22.2,22.42,21.69,22.21,244600
2020-12-09,22.05,23.47,22.0,22.11,333800
2020-12-10,22.35,22.99,22.01,22.68,238800
2020-12-11,22.7,22.9,22.05,22.83,284300
2020-12-14,22.59,23.244,22.35,22.54,358600
2020-12-15,22.54,23.0,22.454,23.0,329400
2020-12-16,22.9,23.29,22.72,23.09,277400
2020-12-17,23.13,23.739,22.99,23.12,296700
2020-12-18,23.48,23.684,22.81,22.97,262800
2020-12-21,22.53,23.64,22.53,22.99,200200
2020-12-22,23.15,24.0,23.02,23.5,307800
2020-12-23,23.51,23.8,23.05,23.34,219900
2020-12-24,23.48,23.58,23.11,23.33,81100
2020-12-28,23.4,23.44,22.799,22.94,227000
2020-12-29,23.0,23.0,21.89,22.22,254500
2020-12-30,22.39,22.5,22.132,22.44,142600
2020-12-31,22.27,22.74,21.5,21.77,229600
2021-01-04,21.79,22.063,21.05,21.52,210800
