date,open,high,low,close,volume
2000-10-05,6.6667,6.6667,6.6667,6.6667,0
2000-10-06,6.6667,6.75,6.6667,6.75,1800
2000-10-09,6.75,6.75,6.75,6.75,0
2000-10-10,6.75,6.75,6.75,6.75,0
2000-10-11,6.75,6.75,6.75,6.75,900
2000-10-12,6.75,6.75,6.6944,6.6944,2200
2000-10-13,6.6667,6.6944,6.6667,6.6944,1800
2000-10-16,6.6667,6.75,6.6667,6.75,1300
2000-10-17,6.75,6.75,6.75,6.75,0
2000-10-18,6.6667,6.6667,6.6667,6.6667,400
2000-10-19,6.5556,6.5556,6.5556,6.5556,3700
2000-10-20,6.5,6.5,6.5,6.5,400
2000-10-23,6.5833,6.5833,6.5833,6.5833,1300
2000-10-24,6.5556,6.6667,6.5556,6.6389,2700
2000-10-25,6.5833,6.5833,6.5,6.5,9100
2000-10-26,6.5278,6.5278,6.5278,6.5278,4600
2000-10-27,6.6667,6.6667,6.5556,6.5556,3600
2000-10-30,6.4444,6.8611,6.3889,6.8611,37300
2000-10-31,6.75,6.75,6.7222,6.7222,5800
2000-11-01,6.7222,6.8611,6.7222,6.7778,10000
2000-11-02,6.8611,6.8889,6.7778,6.8889,6300
2000-11-03,6.8889,6.8889,6.8889,6.8889,0
2000-11-06,6.8889,6.8889,6.8889,6.8889,1500
2000-11-07,6.7778,6.8333,6.7778,6.8333,900
2000-11-08,6.8889,6.8889,6.8889,6.8889,1300
2000-11-09,6.7778,6.7778,6.6667,6.7778,4600
2000-11-10,6.7222,6.7222,6.7222,6.7222,6700
2000-11-13,6.6111,6.6111,6.6111,6.6111,400
2000-11-14,6.7222,6.7222,6.6667,6.6667,1900
2000-11-15,6.5556,6.5556,6.5556,6.5556,1000
2000-11-16,6.5,6.6111,6.5,6.5556,3300
2000-11-17,6.5,6.5,6.3889,6.5,9600
2000-11-20,6.5,6.6111,6.5,6.5556,14500
2000-11-21,6.5833,6.5833,6.5833,6.5833,4500
2000-11-22,6.4444,6.5556,6.4444,6.5556,900
2000-11-24,6.5,6.5,6.5,6.5,600
2000-11-27,6.5,6.5278,6.5,6.5278,11400
2000-11-28,6.5,6.5,6.5,6.5,4500
2000-11-29,6.5,6.5,6.4722,6.4722,900
2000-11-30,6.4444,6.5556,6.3611,6.5556,8500
2000-12-01,6.5556,6.5556,6.5556,6.5556,0
2000-12-04,6.4444,6.4444,6.4444,6.4444,900
2000-12-05,6.4167,6.4167,6.4167,6.4167,1300
2000-12-06,6.3611,6.5833,6.3611,6.5833,6900
2000-12-07,6.6111,6.6111,6.5,6.6111,3600
2000-12-08,6.5,6.5556,6.5,6.5278,1500
2000-12-11,6.5556,6.5556,6.5556,6.5556,100
2000-12-12,6.5,6.6111,6.5,6.6111,8100
2000-12-13,6.6111,6.6111,6.6111,6.6111,3100
2000-12-14,6.5,6.6667,6.5,6.6667,2400
2000-12-15,6.5833,6.6111,6.5556,6.6111,4200
2000-12-18,6.6111,6.6111,6.6111,6.6111,0
2000-12-19,6.6667,6.6667,6.5556,6.5556,1500
2000-12-20,6.6111,6.6111,6.5,6.5,3300
2000-12-21,6.4444,6.5,6.25,6.25,23400
2000-12-22,6.25,6.3333,6.25,6.3333,3700
2000-12-26,6.3333,6.5,6.3333,6.4444,2800
2000-12-27,6.3333,6.3333,6.3333,6.3333,5100
2000-12-28,6.2778,6.3889,6.2778,6.2778,6000
2000-12-29,6.2778,6.2778,6.2778,6.2778,1000
