date,open,high,low,close,volume
2013-02-26,20.0,20.06,20.0,20.0,1925500
2013-02-27,20.03,20.03,20.0,20.0,292700
2013-02-28,20.0,20.02,20.0,20.0,122300
2013-03-01,20.0,20.01,20.0,20.0,210000
2013-03-04,20.0,20.03,20.0,20.0,141100
2013-03-05,20.0,20.02,20.0,20.0,45900
2013-03-06,20.0,20.04,20.0,20.0,42900
2013-03-07,20.02,20.03,20.0,20.0,49400
2013-03-08,20.01,20.08,20.0,20.0,75000
2013-03-11,20.02,20.02,20.0,20.0,14500
2013-03-12,20.01,20.01,20.0,20.0,80500
2013-03-13,20.0,20.01,20.0,20.0,95400
2013-03-14,20.0,20.1,20.0,20.1,50800
2013-03-15,20.1,20.15,20.0,20.0,17800
2013-03-18,20.0,20.07,20.0,20.0,44600
2013-03-19,20.0,20.15,20.0,20.01,35600
2013-03-20,20.05,20.05,20.0,20.0,218600
2013-03-21,20.03,20.03,20.0,20.0,20100
2013-03-22,20.0,20.01,20.0,20.0,129200
2013-03-25,20.0,20.5,20.0,20.15,88400
2013-03-26,20.15,20.16,20.0,20.0,82100
2013-03-27,20.0,20.01,20.0,20.0,51500
2013-03-28,20.01,20.03,20.0,20.0,20700
2013-04-01,20.0,20.05,20.0,20.0,608600
2013-04-02,20.0,20.02,20.0,20.0,304900
2013-04-03,20.0,20.01,20.0,20.0,174600
2013-04-04,20.0,20.01,20.0,20.0,177500
2013-04-05,20.05,20.05,19.9,19.9,28900
2013-04-08,19.9,19.99,19.9,19.9,65200
2013-04-09,19.97,20.04,19.9,20.0,101400
2013-04-10,20.04,20.04,20.0,20.0,128600
2013-04-11,20.01,20.02,20.0,20.0,187100
2013-04-12,20.0,20.0,19.54,19.55,67300
2013-04-15,19.55,19.87,19.5,19.55,41800
2013-04-16,19.74,19.97,19.61,19.92,82800
2013-04-17,19.74,19.8,19.62,19.65,24900
2013-04-18,19.55,19.69,19.5,19.56,13000
2013-04-19,19.52,19.59,19.45,19.51,21200
2013-04-22,19.5,19.74,19.33,19.37,100900
2013-04-23,19.36,19.55,19.19,19.46,138100
2013-04-24,19.35,19.52,19.05,19.08,76400
2013-04-25,19.15,19.15,18.69,18.8,88100
2013-04-26,18.91,18.98,18.8,18.9,46100
2013-04-29,18.84,19.25,18.84,19.25,48900
2013-04-30,19.25,19.43,19.06,19.16,79300
2013-05-01,19.3,19.3,19.0,19.1,75800
2013-05-02,19.22,19.38,19.15,19.26,46900
2013-05-03,19.22,19.29,19.05,19.29,43300
2013-05-06,19.19,19.43,19.15,19.29,64300
2013-05-07,19.17,19.42,19.17,19.39,50800
2013-05-08,19.33,19.42,19.3,19.33,80900
2013-05-09,19.36,19.65,19.35,19.37,99800
2013-05-10,19.41,19.5,19.39,19.47,39800
2013-05-13,19.36,19.37,18.91,19.0,29000
2013-05-14,19.0,19.05,18.6,18.77,187500
2013-05-15,18.87,18.87,18.56,18.68,275600
2013-05-16,18.74,18.94,18.66,18.84,106200
2013-05-17,18.74,18.81,18.66,18.76,94500
2013-05-20,18.68,18.9,18.64,18.9,118000
2013-05-21,18.79,18.87,18.67,18.79,158200
2013-05-22,18.76,18.87,18.66,18.66,183600
2013-05-23,18.62,18.71,18.51,18.58,163600
2013-05-24,18.52,18.63,18.07,18.37,144000
2013-05-28,18.44,18.56,18.21,18.21,173400
2013-05-29,18.11,18.36,17.76,18.18,326900
2013-05-30,18.17,18.42,17.83,18.28,144200
2013-05-31,18.43,18.43,17.74,18.0,196400
2013-06-03,18.0,18.06,17.38,17.6,230700
2013-06-04,17.42,17.95,17.05,17.66,349800
2013-06-05,17.71,17.91,17.43,17.51,211500
2013-06-06,17.7,17.93,17.52,17.71,155700
2013-06-07,17.85,18.15,17.65,17.94,125700
2013-06-10,17.82,17.95,17.51,17.59,160300
2013-06-11,17.44,17.5,17.11,17.26,349400
2013-06-12,17.2,17.42,16.9,17.1,57200
2013-06-13,17.1,17.68,16.92,17.33,245400
2013-06-14,17.39,18.15,17.25,18.0,110600
2013-06-17,17.8,18.08,17.66,17.75,273200
2013-06-18,17.9,17.9,17.21,17.26,273800
2013-06-19,17.18,17.52,17.1,17.11,172200
2013-06-20,17.0,17.23,16.88,17.0,261700
2013-06-21,16.92,17.33,16.66,17.2,168300
2013-06-24,17.2,17.2,16.36,16.9,335900
2013-06-25,16.81,17.18,16.42,16.47,305300
2013-06-26,16.61,17.02,16.54,16.61,191000
2013-06-27,16.66,17.24,16.66,17.2,104200
2013-06-28,17.33,17.56,17.02,17.56,193400
2013-07-01,17.43,17.85,17.38,17.68,228400
2013-07-02,17.79,17.79,17.2,17.39,64300
2013-07-03,17.38,17.38,17.03,17.03,39000
2013-07-05,17.0,17.05,16.5,16.6,55700
2013-07-08,16.65,16.92,16.4,16.46,144800
