date,open,high,low,close,volume
2000-10-05,6.4375,6.5,6.375,6.4375,58600
2000-10-06,6.4375,6.5,6.375,6.4375,59800
2000-10-09,6.4375,6.5,6.375,6.4375,75400
2000-10-10,6.4375,6.5,6.4375,6.4375,36000
2000-10-11,6.4375,6.4375,6.375,6.4375,38000
2000-10-12,6.375,6.375,6.3125,6.375,111100
2000-10-13,6.375,6.4375,6.3125,6.375,29500
2000-10-16,6.4375,6.4375,6.375,6.375,79500
2000-10-17,6.375,6.4375,6.375,6.4375,76500
2000-10-18,6.375,6.4375,6.3125,6.375,84500
2000-10-19,6.4375,6.4375,6.375,6.4375,123600
2000-10-20,6.375,6.4375,6.375,6.4375,37200
2000-10-23,6.375,6.4375,6.375,6.375,47400
2000-10-24,6.375,6.4375,6.375,6.4375,125300
2000-10-25,6.4375,6.5,6.375,6.4375,74100
2000-10-26,6.375,6.4375,6.375,6.4375,113700
2000-10-27,6.375,6.4375,6.375,6.375,52900
2000-10-30,6.4375,6.4375,6.375,6.375,49000
2000-10-31,6.4375,6.4375,6.375,6.375,66800
2000-11-01,6.4375,6.5,6.375,6.4375,39700
2000-11-02,6.4375,6.5,6.375,6.4375,60400
2000-11-03,6.4375,6.4375,6.375,6.4375,49400
2000-11-06,6.4375,6.5,6.375,6.4375,56300
2000-11-07,6.4375,6.4375,6.375,6.375,200200
2000-11-08,6.375,6.4375,6.375,6.375,32600
2000-11-09,6.4375,6.4375,6.375,6.375,99300
2000-11-10,6.375,6.4375,6.375,6.4375,87100
2000-11-13,6.375,6.4375,6.3125,6.4375,93100
2000-11-14,6.375,6.4375,6.3125,6.4375,42800
2000-11-15,6.4375,6.4375,6.3125,6.375,158700
2000-11-16,6.3125,6.4375,6.3125,6.4375,95400
2000-11-17,6.375,6.4375,6.375,6.375,88700
2000-11-20,6.375,6.4375,6.375,6.375,44600
2000-11-21,6.4375,6.4375,6.375,6.375,73800
2000-11-22,6.4375,6.4375,6.375,6.375,61900
2000-11-24,6.375,6.4375,6.375,6.4375,22900
2000-11-27,6.4375,6.5,6.375,6.4375,139600
2000-11-28,6.375,6.4375,6.375,6.4375,52000
2000-11-29,6.375,6.4375,6.375,6.4375,109400
2000-11-30,6.375,6.4375,6.375,6.4375,56900
2000-12-01,6.4375,6.5,6.375,6.375,114500
2000-12-04,6.375,6.5,6.375,6.375,60600
2000-12-05,6.375,6.4375,6.375,6.4375,116900
2000-12-06,6.375,6.4375,6.3125,6.3125,119000
2000-12-07,6.3125,6.4375,6.3125,6.375,73900
2000-12-08,6.375,6.4375,6.375,6.4375,53600
2000-12-11,6.375,6.375,6.3125,6.3125,96200
2000-12-12,6.375,6.4375,6.3125,6.375,111600
2000-12-13,6.375,6.4375,6.375,6.4375,104100
2000-12-14,6.4375,6.4375,6.375,6.4375,63400
2000-12-15,6.5,6.5,6.4375,6.5,76100
2000-12-18,6.5,6.625,6.5,6.625,208500
2000-12-19,6.625,6.625,6.5,6.625,121700
2000-12-20,6.625,6.625,6.5,6.625,75600
2000-12-21,6.5625,6.625,6.5,6.5625,146100
2000-12-22,6.625,6.625,6.5,6.625,78400
2000-12-26,6.5625,6.75,6.5625,6.6875,92300
2000-12-27,6.6875,6.6875,6.625,6.6875,63600
