date,open,high,low,close,volume
2014-10-29,20.0,20.0,19.94,20.0,939400
2014-10-30,20.0,20.0,19.95,20.0,73300
2014-10-31,20.0,20.19,19.95,20.0,148000
2014-11-03,20.05,20.96,19.95,20.0,79000
2014-11-04,20.15,20.15,19.95,20.03,78400
2014-11-05,20.0,20.04,19.99,20.0,92000
2014-11-06,20.0,20.01,19.99,20.0,32800
2014-11-07,20.012,20.03,20.0,20.03,29400
2014-11-10,20.0,20.05,19.98,20.0,40600
2014-11-11,20.0,20.03,19.99,20.0,26800
2014-11-12,20.0,20.04,19.98,20.006,63100
2014-11-13,20.01,20.1,20.0,20.04,31500
2014-11-14,20.016,20.33,20.0,20.1,43100
2014-11-17,20.02,20.12,20.0,20.1,32600
2014-11-18,20.09,20.19,20.0,20.0,34200
2014-11-19,20.05,20.05,20.0,20.0,37000
2014-11-20,20.05,20.05,20.0,20.002,44700
2014-11-21,20.1,20.1,20.0,20.0,37100
2014-11-24,20.0,20.03,20.0,20.0,31500
2014-11-25,20.0,20.1,20.0,20.0,48300
2014-11-26,20.01,20.08,20.0,20.0,50000
2014-11-28,20.1,20.1,20.0,20.0,24900
2014-12-01,20.0,20.05,19.82,20.0,135300
2014-12-02,20.09,20.09,19.95,20.0,58200
2014-12-03,20.04,20.05,19.96,20.0,42000
2014-12-04,20.1,20.1,19.95,20.0,36900
2014-12-05,20.0,20.25,19.96,20.208,57500
2014-12-08,19.94,19.94,18.55,19.01,450200
2014-12-09,19.0,19.1,18.85,18.91,158600
2014-12-10,19.05,19.15,18.67,18.88,106700
2014-12-11,19.1,19.1,17.755,18.12,175900
2014-12-12,18.09,18.17,17.43,17.43,160000
2014-12-15,17.9,17.9,16.65,16.9,211300
2014-12-16,17.0,17.19,16.5,16.61,347000
2014-12-17,16.52,17.4,16.51,17.36,216700
2014-12-18,17.28,17.87,17.16,17.21,318600
2014-12-19,17.46,17.55,17.12,17.24,342700
2014-12-22,17.37,17.62,17.11,17.6,235800
2014-12-23,17.79,17.96,17.51,17.62,232100
2014-12-24,17.79,17.83,17.22,17.38,168600
2014-12-26,17.59,17.74,17.4,17.5,188300
2014-12-29,17.55,17.7,17.24,17.4,345800
2014-12-30,17.5,17.69,17.41,17.68,273700
2014-12-31,17.65,17.86,17.12,17.59,604800
2015-01-02,17.6,17.79,17.51,17.78,182500
2015-01-05,17.7,17.7,17.38,17.43,80400
2015-01-06,17.28,17.58,17.28,17.48,112600
2015-01-07,17.65,17.99,17.53,17.69,132500
2015-01-08,17.75,18.17,17.75,18.12,85900
2015-01-09,18.24,18.31,17.95,18.19,80100
2015-01-12,18.29,18.29,18.03,18.13,79200
2015-01-13,17.9,18.34,17.83,17.94,109900
2015-01-14,17.89,18.15,17.74,18.04,206900
2015-01-15,18.13,18.35,17.73,17.788,109700
2015-01-16,17.91,18.05,17.72,17.74,120300
2015-01-20,17.89,18.08,17.53,17.62,125300
2015-01-21,17.58,17.84,17.58,17.71,142300
2015-01-22,17.8,18.13,17.7,17.84,152100
2015-01-23,17.78,18.29,17.55,18.0,137000
2015-01-26,18.06,18.31,17.92,18.3,94600
2015-01-27,18.29,18.3,18.01,18.23,154100
2015-01-28,18.21,18.3,17.99,18.08,145500
2015-01-29,18.2,18.36,17.92,18.16,210000
2015-01-30,18.24,18.25,18.01,18.06,138800
2015-02-02,18.3,18.3,17.4,17.71,114800
2015-02-03,17.74,18.1,17.74,17.95,183700
2015-02-04,18.08,18.19,17.84,18.12,94400
2015-02-05,18.22,18.34,18.02,18.2,76100
2015-02-06,18.07,18.19,18.05,18.14,116500
2015-02-09,18.0,18.14,17.935,18.136,122100
2015-02-10,18.01,18.17,18.01,18.14,85400
2015-02-11,18.13,18.46,18.06,18.08,76500
2015-02-12,18.3,18.33,17.9,17.98,101100
2015-02-13,18.0,18.36,17.97,18.34,133600
2015-02-17,18.3,18.47,17.97,18.07,87500
2015-02-18,18.22,18.26,17.9,18.12,92500
2015-02-19,18.21,18.25,17.96,18.11,92000
2015-02-20,18.04,18.14,18.01,18.07,106200
2015-02-23,18.04,18.24,17.96,18.05,100600
2015-02-24,18.03,18.101,17.91,17.91,158900
2015-02-25,18.0,18.22,17.97,18.169,127600
2015-02-26,18.02,18.22,18.02,18.09,88400
2015-02-27,18.05,18.22,18.05,18.06,159200
2015-03-02,18.04,18.15,17.98,18.11,114700
2015-03-03,18.07,18.428,17.97,18.29,149000
2015-03-04,18.18,18.29,18.07,18.19,118800
2015-03-05,18.22,18.26,18.02,18.12,143400
2015-03-06,18.16,18.16,17.79,17.84,99700
2015-03-09,17.85,17.97,17.72,17.76,63500
2015-03-10,17.77,17.77,17.34,17.41,106500
2015-03-11,17.43,17.539,17.34,17.37,105700
2015-03-12,17.36,17.46,17.23,17.29,132000
2015-03-13,17.34,17.47,17.16,17.35,105000
2015-03-16,17.35,17.59,17.3,17.33,161300
2015-03-17,17.26,17.45,17.22,17.31,110300
2015-03-18,17.43,17.6,17.21,17.52,70500
2015-03-19,17.47,17.73,17.46,17.64,120900
2015-03-20,17.7,17.82,17.5,17.62,370800
2015-03-23,17.62,17.74,17.56,17.56,259400
2015-03-24,17.6,17.74,17.56,17.56,234800
2015-03-25,17.61,17.78,17.5,17.75,252600
2015-03-26,17.6,17.85,17.6,17.75,146200
2015-03-27,17.59,17.82,17.59,17.73,83300
2015-03-30,17.7,17.97,17.68,17.85,216400
2015-03-31,18.03,18.19,17.75,17.83,427100
2015-04-01,17.78,18.01,17.78,18.0,133900
2015-04-02,17.87,17.995,17.78,17.83,156000
2015-04-06,17.73,18.11,17.73,17.87,150000
2015-04-07,17.86,17.96,17.78,17.8,121000
2015-04-08,17.89,17.899,17.76,17.84,66700
2015-04-09,17.92,18.0,17.85,17.88,76700
2015-04-10,17.84,17.99,17.84,17.96,62900
2015-04-13,17.93,18.08,17.73,17.82,113300
2015-04-14,17.75,17.882,17.68,17.7,105000
2015-04-15,17.76,17.92,17.73,17.83,75500
2015-04-16,17.83,17.96,17.75,17.827,81600
2015-04-17,17.82,17.909,17.58,17.67,87400
2015-04-20,17.67,17.93,17.67,17.9,96400
2015-04-21,17.85,18.01,17.79,17.86,65000
2015-04-22,17.88,17.96,17.85,17.91,76100
2015-04-23,17.9,18.1,17.89,18.03,91700
2015-04-24,18.13,18.14,18.09,18.1,135100
2015-04-27,18.1,18.214,18.02,18.02,88200
2015-04-28,18.03,18.18,17.98,18.06,107600
