date,open,high,low,close,volume
2000-10-05,8.825,8.9,8.825,8.85,243500
2000-10-06,8.875,8.875,8.65,8.65,130000
2000-10-09,8.6,8.625,8.6,8.6,7000
2000-10-10,8.65,8.65,8.65,8.65,78200
2000-10-11,8.65,8.65,8.625,8.625,28500
2000-10-12,8.65,8.65,8.5,8.5,6500
2000-10-13,8.5,8.5,8.3,8.3,21700
2000-10-16,8.3,8.3,8.3,8.3,0
2000-10-17,8.3,8.3,8.2,8.2,234200
2000-10-18,8.1,8.225,8.1,8.2,247000
2000-10-19,8.225,8.25,8.225,8.25,92500
2000-10-20,8.25,8.5,8.25,8.4,262000
2000-10-23,8.4,8.4,8.4,8.4,91000
2000-10-24,8.4,8.4,8.4,8.4,490500
2000-10-25,8.4,8.4,8.2,8.25,102200
2000-10-26,8.2,8.2,8.05,8.05,77000
2000-10-27,8.05,8.05,7.775,7.775,95000
2000-10-30,7.775,7.8,7.4,7.425,66500
2000-10-31,7.375,7.8,7.375,7.725,203000
2000-11-01,7.6,7.65,7.6,7.65,79000
2000-11-02,7.65,7.775,7.65,7.775,140700
2000-11-03,7.8,8.125,7.8,8.125,11700
2000-11-06,8.225,8.475,8.225,8.45,257000
2000-11-07,8.45,8.45,8.25,8.25,86500
2000-11-08,8.3,8.45,8.3,8.4,47700
2000-11-09,8.45,8.45,8.35,8.35,250000
2000-11-10,8.35,8.35,8.35,8.35,7030700
2000-11-13,8.35,8.35,8.35,8.35,71500
2000-11-14,8.35,8.35,8.35,8.35,66500
2000-11-15,8.35,8.35,8.1,8.1,22700
2000-11-16,8.1,8.1,8.075,8.1,25000
2000-11-17,8.1,8.1,8.1,8.1,71500
2000-11-20,8.05,8.05,8.0,8.0,68000
2000-11-21,7.9,7.9,7.625,7.65,69500
2000-11-22,7.6,7.975,7.6,7.975,173200
2000-11-24,7.875,8.0,7.875,8.0,155700
2000-11-27,8.05,8.1,8.0,8.0,66200
2000-11-28,7.95,7.95,7.8,7.8,99700
2000-11-29,7.9,7.95,7.85,7.95,38500
2000-11-30,7.9,7.925,7.85,7.925,64700
2000-12-01,7.875,7.95,7.825,7.9,73500
2000-12-04,7.925,7.925,7.75,7.75,37500
2000-12-05,7.8,7.9,7.7,7.775,36700
2000-12-06,7.8,7.875,7.8,7.8,17200
2000-12-07,7.8,7.875,7.8,7.85,26500
2000-12-08,7.825,7.825,7.75,7.75,91500
2000-12-11,7.875,7.95,7.875,7.95,6500
2000-12-12,7.9,8.25,7.9,8.25,431500
2000-12-13,8.25,8.375,8.25,8.275,249500
2000-12-14,8.3,8.35,8.3,8.325,61700
2000-12-15,8.3,8.325,8.3,8.3,66200
2000-12-18,8.3,8.6,8.3,8.5,124000
2000-12-19,8.5,8.525,8.5,8.525,46700
2000-12-20,8.45,8.475,8.4,8.475,39000
2000-12-21,8.35,8.5,8.35,8.475,73200
2000-12-22,8.5,8.525,8.5,8.525,16200
2000-12-26,8.55,8.55,8.525,8.55,81500
2000-12-27,8.55,8.6,8.55,8.55,30200
2000-12-28,8.5,8.5,8.325,8.375,50500
