date,open,high,low,close,volume
2000-10-05,13.75,14.375,13.125,14.375,14600
2000-10-06,14.375,14.375,13.125,13.125,10900
2000-10-09,13.75,13.75,12.5,12.5,5300
2000-10-10,12.5,13.75,12.5,12.5,15600
2000-10-11,12.5,13.125,10.625,10.625,28800
2000-10-12,11.25,12.5,11.25,12.5,19200
2000-10-13,12.5,13.75,12.5,12.5,12800
2000-10-16,12.5,13.125,10.625,11.25,16600
2000-10-17,11.25,11.25,10.625,10.625,14200
2000-10-18,11.25,11.25,10.625,11.25,18700
2000-10-19,10.625,12.5,10.625,11.875,15200
2000-10-20,12.5,12.5,10.625,11.875,7300
2000-10-23,11.875,11.875,10.625,10.625,20200
2000-10-24,11.25,11.25,10.0,10.0,29200
2000-10-25,10.625,11.25,10.0,10.0,26300
2000-10-26,10.625,11.25,10.0,10.625,18700
2000-10-27,11.25,11.25,10.625,11.25,5300
2000-10-30,10.625,11.875,10.625,11.25,7100
2000-10-31,10.625,10.625,10.0,10.0,9700
2000-11-01,10.0,10.625,10.0,10.0,10400
2000-11-02,10.625,11.25,10.0,11.25,10100
2000-11-03,10.625,11.25,10.0,11.25,8600
2000-11-06,11.25,11.25,10.625,10.625,4600
2000-11-07,10.625,11.25,10.0,10.0,5500
2000-11-08,10.625,10.625,10.0,10.625,13400
2000-11-09,10.0,10.625,9.375,10.0,15200
2000-11-10,10.0,10.0,9.375,9.375,10400
2000-11-13,9.375,10.0,9.375,9.375,4800
2000-11-14,10.0,10.0,8.125,9.375,17000
2000-11-15,9.375,9.375,8.125,8.75,19700
2000-11-16,8.125,9.375,8.125,8.75,11800
2000-11-17,8.75,9.375,8.125,8.125,11600
2000-11-20,8.75,8.75,8.125,8.75,6800
2000-11-21,8.75,8.75,8.125,8.125,8000
2000-11-22,8.125,9.375,8.125,8.75,22200
2000-11-24,9.375,10.0,8.75,10.0,8000
2000-11-27,9.375,13.75,9.375,13.125,48100
2000-11-28,14.375,14.375,12.5,13.75,36900
2000-11-29,13.75,13.75,10.625,11.875,44400
2000-11-30,11.875,12.5,10.625,11.25,15200
2000-12-01,10.0,11.875,10.0,11.25,11600
2000-12-04,12.5,12.5,10.625,11.875,12100
2000-12-05,11.875,11.875,10.0,11.25,13700
2000-12-06,11.25,13.75,10.0,13.75,21100
2000-12-07,13.125,15.0,13.125,15.0,15300
2000-12-08,13.75,17.5,13.125,16.875,38400
2000-12-11,15.625,16.875,13.75,14.375,25000
2000-12-12,13.75,13.75,11.875,11.875,16900
2000-12-13,11.875,13.75,11.25,11.875,11500
2000-12-14,12.5,13.125,11.25,11.875,9200
2000-12-15,11.875,11.875,10.625,11.875,15600
2000-12-18,11.25,12.5,10.625,11.25,19600
2000-12-19,11.25,11.875,10.625,11.25,12100
2000-12-20,11.875,11.875,10.625,10.625,30400
2000-12-21,11.875,11.875,10.0,10.625,27800
2000-12-22,10.0,10.625,10.0,10.0,23400
2000-12-26,10.625,10.625,9.375,10.0,30800
2000-12-27,8.75,10.0,8.75,9.375,28200
2000-12-28,8.75,10.0,8.75,8.75,22600
2000-12-29,8.75,9.375,8.75,9.375,46200
2001-01-02,8.75,10.0,8.75,8.75,13800
2001-01-03,9.375,10.0,8.75,8.75,18300
2001-01-04,9.375,10.0,8.75,10.0,10000
2001-01-05,10.0,10.0,9.375,9.375,10000
2001-01-08,10.0,11.25,10.0,11.25,10100
2001-01-09,11.25,11.875,10.0,10.625,12000
2001-01-10,10.625,10.625,10.0,10.0,8500
2001-01-11,10.625,11.25,10.0,11.25,10500
2001-01-12,11.25,11.875,10.625,11.875,18200
2001-01-16,12.5,12.5,11.25,11.875,15500
2001-01-17,12.5,13.125,11.875,13.125,13400
2001-01-18,13.125,13.125,12.5,13.125,17600
2001-01-19,14.375,14.375,13.125,13.125,17000
2001-01-22,13.75,15.625,13.125,15.625,26700
2001-01-23,15.625,15.625,13.75,14.375,27600
2001-01-24,13.75,14.375,12.5,14.375,14100
2001-01-25,15.0,15.0,13.125,15.0,6900
2001-01-26,15.0,15.0,13.75,15.0,10400
2001-01-29,15.0,15.0,13.8,14.2,4600
2001-01-30,14.8,16.0,14.4,15.7,8000
2001-01-31,15.2,15.7,15.1,15.3,6400
2001-02-01,15.5,15.6,15.0,15.1,13400
2001-02-02,15.4,15.4,14.3,15.0,5300
2001-02-05,14.0,14.5,13.5,13.9,7100
2001-02-06,13.5,14.1,13.2,13.9,4800
2001-02-07,13.9,13.9,13.0,13.0,7500
2001-02-08,13.0,13.4,11.3,11.3,10000
2001-02-09,11.9,12.9,11.7,12.5,4900
2001-02-12,12.0,12.4,11.5,11.5,5400
2001-02-13,11.3,12.0,11.3,11.9,4200
2001-02-14,12.4,12.4,10.8,12.0,3400
2001-02-15,12.0,12.2,11.6,11.8,2100
2001-02-16,11.9,12.9,11.4,12.3,9300
2001-02-20,12.7,12.9,12.0,12.5,5600
2001-02-21,12.0,12.5,11.2,11.4,4400
2001-02-22,12.2,12.9,11.4,12.0,3600
2001-02-23,12.0,13.9,12.0,13.8,19100
2001-02-26,14.0,15.5,13.9,14.5,34500
2001-02-27,15.4,15.6,14.0,15.3,22500
2001-02-28,15.4,16.0,13.2,16.0,23000
2001-03-01,15.1,15.9,14.8,15.8,18100
2001-03-02,15.9,15.9,14.3,14.3,13800
2001-03-05,15.3,15.4,14.0,14.5,12800
2001-03-06,14.5,14.5,13.4,13.4,5000
2001-03-07,14.0,14.2,13.2,13.2,4300
2001-03-08,13.6,15.4,13.6,14.7,22800
2001-03-09,15.0,17.4,14.7,15.3,38400
2001-03-12,15.0,15.0,14.4,14.7,26900
2001-03-13,14.5,14.7,13.3,13.8,16500
2001-03-14,14.0,14.0,12.5,12.5,15200
2001-03-15,13.5,13.5,12.1,12.2,14000
2001-03-16,12.3,12.5,11.5,11.6,15000
2001-03-19,11.0,12.3,10.6,10.6,24100
2001-03-20,11.5,12.7,10.8,12.1,17400
2001-03-21,12.1,12.2,10.6,10.8,18500
2001-03-22,11.0,11.1,10.1,10.2,21900
2001-03-23,10.5,11.2,9.6,9.6,43800
2001-03-26,10.6,10.8,10.0,10.2,11300
2001-03-27,10.5,10.7,9.9,10.4,16600
2001-03-28,10.4,10.4,10.0,10.3,11600
2001-03-29,10.3,10.3,9.8,10.2,12700
2001-03-30,10.1,10.5,10.1,10.4,8900
2001-04-02,11.0,11.0,10.1,10.1,9000
2001-04-03,10.2,10.3,10.0,10.2,111400
2001-04-04,10.5,10.5,9.9,10.4,41800
2001-04-05,10.0,11.0,9.8,10.0,14600
2001-04-06,10.0,12.0,10.0,11.8,12600
2001-04-09,10.8,12.0,10.6,10.9,9800
2001-04-10,10.9,11.5,10.3,10.4,12200
2001-04-11,10.4,10.7,10.2,10.7,12100
2001-04-12,11.3,15.0,10.2,15.0,47600
2001-04-16,12.0,12.5,11.6,12.2,21700
2001-04-17,12.0,12.0,10.7,10.7,14100
2001-04-18,11.5,12.5,11.2,12.5,133900
2001-04-19,12.1,12.5,11.6,11.7,20300
2001-04-20,11.9,12.4,11.5,11.6,11800
2001-04-23,12.0,12.1,10.6,10.7,9300
2001-04-24,11.0,12.0,11.0,12.0,19700
2001-04-25,12.0,12.0,10.4,10.4,30000
2001-04-26,11.0,11.9,11.0,11.8,281700
2001-04-27,11.9,12.7,11.9,12.3,33500
2001-04-30,12.0,12.5,11.2,12.5,16300
2001-05-01,12.6,13.4,11.9,13.4,21100
2001-05-02,14.2,14.3,12.7,13.4,33900
2001-05-03,13.7,13.8,12.4,12.4,10400
2001-05-04,12.7,13.7,12.0,12.1,14000
2001-05-07,12.2,12.8,12.1,12.5,18000
2001-05-08,12.7,12.8,12.4,12.6,9500
2001-05-09,13.6,14.8,12.8,13.6,41200
2001-05-10,14.0,14.9,13.7,14.6,29300
2001-05-11,14.2,14.4,13.1,13.2,33500
2001-05-14,13.7,15.4,13.5,15.4,29300
2001-05-15,15.0,15.1,13.5,14.8,34100
2001-05-16,15.0,17.4,14.7,17.2,98800
2001-05-17,17.4,17.5,15.6,16.5,74100
2001-05-18,16.7,19.9,16.0,19.5,107600
2001-05-21,19.5,20.2,17.6,19.1,99600
2001-05-22,17.0,18.5,16.5,16.7,51000
2001-05-23,17.5,18.0,16.5,18.0,40700
2001-05-24,18.4,19.5,12.5,12.5,74200
2001-05-25,15.0,16.0,14.1,15.1,41500
2001-05-29,14.8,15.1,12.6,12.6,61800
2001-05-30,12.8,13.6,12.5,12.5,73000
2001-05-31,12.8,13.9,12.1,12.1,63200
2001-06-01,12.4,13.6,12.4,13.6,31000
2001-06-04,13.2,16.5,13.1,15.1,32500
2001-06-05,15.2,16.7,14.0,16.4,41800
2001-06-06,16.2,16.4,13.2,13.2,38200
2001-06-07,13.7,14.3,13.4,13.7,36300
2001-06-08,14.2,16.9,13.9,16.5,53700
2001-06-11,16.0,16.0,14.0,14.3,41000
2001-06-12,14.9,16.0,14.8,15.5,27700
2001-06-13,16.1,16.4,15.1,16.4,27700
2001-06-14,16.0,17.4,15.2,16.8,72600
2001-06-15,16.8,16.8,14.3,14.3,39200
2001-06-18,15.3,16.0,14.2,16.0,35800
2001-06-19,14.9,16.0,14.5,14.8,14400
2001-06-20,14.9,14.9,13.5,13.6,36200
2001-06-21,13.8,14.5,13.2,13.4,22100
2001-06-22,13.4,14.9,13.4,13.6,24300
2001-06-25,14.5,14.7,13.1,13.5,22900
2001-06-26,14.4,15.2,13.5,14.8,41600
2001-06-27,15.2,15.2,13.6,13.6,120800
2001-06-28,13.8,14.5,13.3,13.5,20500
2001-06-29,13.7,14.0,12.6,13.3,51600
2001-07-02,13.4,13.4,12.1,12.1,25500
2001-07-03,12.0,12.9,12.0,12.4,16500
2001-07-05,12.0,12.8,11.8,11.8,22100
2001-07-06,12.0,12.6,11.8,12.5,25200
2001-07-09,12.9,12.9,12.0,12.3,13700
2001-07-10,12.5,12.9,12.1,12.8,22100
2001-07-11,13.0,13.0,12.3,12.8,31900
2001-07-12,12.5,12.5,12.1,12.1,16900
2001-07-13,12.0,12.1,11.5,11.5,35500
2001-07-16,11.9,11.9,11.0,11.1,36700
2001-07-17,11.1,11.4,10.9,11.0,17200
2001-07-18,11.0,11.4,10.8,11.4,45000
2001-07-19,11.4,11.4,10.5,10.6,26300
2001-07-20,11.0,11.2,10.5,10.8,16200
2001-07-23,11.0,11.0,10.1,10.4,24100
2001-07-24,10.4,11.0,10.3,10.5,19100
2001-07-25,11.0,11.0,10.2,10.4,18100
2001-07-26,10.2,10.4,9.5,9.6,47600
2001-07-27,9.5,10.0,8.7,10.0,38100
2001-07-30,9.6,9.6,9.2,9.5,13900
2001-07-31,9.5,9.7,9.1,9.3,23000
2001-08-01,9.3,9.3,9.0,9.1,21600
2001-08-02,8.9,9.2,8.9,9.0,45600
2001-08-03,8.9,9.3,8.7,9.3,26800
2001-08-06,9.0,9.0,8.7,9.0,25600
2001-08-07,8.7,8.9,8.5,8.6,27500
2001-08-08,8.5,9.0,8.2,8.9,32100
2001-08-09,9.0,9.2,8.6,8.8,73400
2001-08-10,8.8,8.9,8.2,8.9,70600
2001-08-13,8.8,8.8,8.3,8.8,38300
2001-08-14,8.6,8.8,8.5,8.8,25200
2001-08-15,8.7,8.7,8.5,8.5,18900
2001-08-16,8.5,8.8,8.5,8.8,16200
2001-08-17,8.8,9.9,8.7,9.3,76800
2001-08-20,9.5,9.5,8.8,9.3,31500
2001-08-21,9.3,9.4,8.6,8.6,25100
2001-08-22,8.7,9.0,8.6,8.6,21500
2001-08-23,8.6,8.8,8.5,8.8,23600
2001-08-24,8.8,8.8,8.4,8.4,15300
2001-08-27,8.4,8.4,8.0,8.0,22000
2001-08-28,8.3,9.0,7.7,9.0,24200
2001-08-29,9.0,9.2,8.5,9.1,18800
2001-08-30,9.0,9.0,8.5,8.7,10200
2001-08-31,8.8,8.9,8.3,8.3,9700
2001-09-04,8.3,8.7,7.9,8.3,22400
2001-09-05,8.1,8.3,7.7,7.7,17900
2001-09-06,8.0,8.0,7.0,7.5,35000
2001-09-07,7.3,8.5,6.3,8.5,70100
2001-09-10,8.4,8.4,6.5,7.3,41500
2001-09-17,8.9,8.9,7.3,8.5,56300
2001-09-18,8.5,8.9,8.0,8.6,23100
2001-09-19,8.8,9.6,8.5,9.3,109600
2001-09-20,9.4,9.5,8.7,9.3,53800
2001-09-21,9.5,9.7,9.1,9.2,43300
2001-09-24,8.7,9.0,8.2,8.2,26100
2001-09-25,8.7,8.7,8.1,8.3,11700
2001-09-26,8.4,8.5,7.8,8.1,64100
2001-09-27,8.2,8.3,7.8,8.2,17900
2001-09-28,8.1,8.6,8.1,8.4,16900
2001-10-01,8.2,9.4,8.1,9.4,40000
2001-10-02,9.4,9.4,8.7,9.1,15300
2001-10-03,9.2,9.3,8.8,9.0,15800
2001-10-04,9.0,9.3,8.6,9.2,40400
2001-10-05,9.2,9.4,9.0,9.3,42900
2001-10-08,9.4,9.4,9.1,9.3,21800
2001-10-09,9.1,9.2,8.2,8.3,32800
2001-10-10,8.2,8.6,8.1,8.4,17100
2001-10-11,8.2,8.3,7.6,8.0,27100
2001-10-12,8.3,8.5,8.0,8.3,9500
2001-10-15,8.2,8.5,8.0,8.4,7100
2001-10-16,8.2,8.5,8.1,8.5,4000
2001-10-17,8.5,8.8,8.2,8.8,7400
2001-10-18,8.5,8.7,7.9,8.3,33400
2001-10-19,8.1,8.3,7.8,8.2,12500
