date,open,high,low,close,volume
2000-10-05,7.4375,7.4375,7.4375,7.4375,200
2000-10-06,7.4375,7.4375,7.3438,7.3438,2800
2000-10-09,7.3125,7.3125,7.0625,7.125,8400
2000-10-10,6.875,6.9062,6.75,6.8125,6800
2000-10-11,6.5,6.5,6.25,6.25,3400
2000-10-12,6.1875,6.1875,5.9375,5.9688,14400
2000-10-13,5.9062,6.1875,5.9062,6.1875,13600
2000-10-16,6.0,6.0312,6.0,6.0312,16600
2000-10-17,6.0,6.0,5.9062,5.9062,2200
2000-10-18,5.875,5.875,5.875,5.875,200
2000-10-19,5.875,5.875,5.875,5.875,19000
2000-10-20,5.875,5.875,5.875,5.875,0
2000-10-23,5.8125,5.8125,5.8125,5.8125,200
2000-10-24,5.75,5.75,5.5,5.5,8600
2000-10-25,5.875,5.875,5.75,5.75,3400
2000-10-26,6.0,6.0625,5.9375,6.0625,4800
2000-10-27,6.1562,6.375,6.1562,6.375,6600
2000-10-30,6.9375,7.0,6.875,6.9688,19200
2000-10-31,7.0,7.125,7.0,7.125,25600
2000-11-01,7.1875,7.25,7.1875,7.2188,25800
2000-11-02,7.25,7.25,7.125,7.125,1200
2000-11-03,7.4375,7.5,7.4375,7.5,9600
2000-11-06,7.4375,7.4688,7.4375,7.4688,7200
2000-11-07,7.4062,7.4062,7.3438,7.3438,400
2000-11-08,7.375,7.375,7.3438,7.3438,6400
2000-11-09,7.3125,7.3125,7.1875,7.1875,3600
2000-11-10,7.25,7.25,7.0938,7.1562,13000
2000-11-13,7.0312,7.0312,6.7812,6.7812,3200
2000-11-14,7.0,7.125,7.0,7.0625,5000
2000-11-15,7.0,7.0,6.9688,6.9688,800
2000-11-16,7.5,7.625,7.5,7.5312,23800
2000-11-17,7.4062,7.4375,7.3125,7.4375,7000
2000-11-20,7.4375,7.4375,7.3125,7.375,10000
2000-11-21,7.4375,7.4375,7.4062,7.4062,3000
2000-11-22,7.4062,7.4375,7.3125,7.4062,4400
2000-11-24,7.6562,7.7188,7.5938,7.6875,13400
2000-11-27,7.625,7.625,7.5625,7.5625,7600
2000-11-28,7.25,7.25,7.1875,7.1875,10800
2000-11-29,7.125,7.125,7.125,7.125,800
2000-11-30,7.0625,7.0625,7.0,7.0625,3800
2000-12-01,7.0,7.0,6.9375,6.9375,6400
2000-12-04,7.0312,7.0312,7.0312,7.0312,2400
2000-12-05,7.0,7.0938,7.0,7.0938,7200
2000-12-06,7.125,7.1875,7.125,7.1875,1600
2000-12-07,7.1562,7.2812,7.1562,7.1562,8000
2000-12-08,7.3125,7.4688,7.3125,7.4688,3000
2000-12-11,7.4062,7.4062,7.3125,7.375,8400
2000-12-12,7.375,7.375,7.375,7.375,0
2000-12-13,7.4062,7.4062,7.375,7.375,25600
2000-12-14,7.6562,7.7188,7.625,7.7188,28200
2000-12-15,7.5,7.5,7.4375,7.5,8400
2000-12-18,7.625,7.625,7.375,7.625,1000
2000-12-19,7.5,7.7188,7.4688,7.5625,6400
2000-12-20,7.5,7.5,7.4375,7.4375,600
2000-12-21,7.5,7.5,7.4375,7.4688,23400
2000-12-22,7.625,7.625,7.5312,7.5938,11000
2000-12-26,7.5938,7.5938,7.5938,7.5938,0
2000-12-27,7.5,7.5,7.4375,7.5,25400
2000-12-28,7.5625,7.7188,7.5625,7.6562,19800
2000-12-29,7.6562,7.6562,7.5938,7.5938,23000
2001-01-02,7.75,7.875,7.6875,7.6875,40400
2001-01-03,7.7188,8.0,7.7188,8.0,14600
2001-01-04,8.1875,8.25,8.125,8.25,12800
2001-01-05,8.125,8.25,7.9375,7.9375,17200
2001-01-08,8.1875,8.3125,8.1875,8.2812,15400
2001-01-09,8.4062,8.4688,8.3438,8.4375,60000
2001-01-10,8.4375,8.4375,8.3125,8.375,13200
2001-01-11,8.375,8.5,8.375,8.5,1400
2001-01-12,8.4375,8.4375,8.1875,8.1875,7800
2001-01-16,8.0625,8.0938,8.0,8.0,5000
2001-01-17,8.0,8.0,7.75,7.75,4800
2001-01-18,7.75,7.75,7.75,7.75,0
2001-01-19,7.75,7.9375,7.75,7.875,3800
2001-01-22,7.875,8.0,7.875,7.9375,800
2001-01-23,7.9375,7.9375,7.9375,7.9375,0
2001-01-24,8.0625,8.0625,8.0312,8.0312,5600
2001-01-25,7.9688,8.0,7.9688,8.0,1600
2001-01-26,8.0,8.0,8.0,8.0,0
2001-01-29,7.875,7.875,7.875,7.875,2000
2001-01-30,7.875,7.875,7.875,7.875,0
2001-01-31,7.875,7.875,7.875,7.875,0
2001-02-01,7.875,7.95,7.875,7.95,6600
2001-02-02,7.925,7.925,7.895,7.895,1200
2001-02-05,7.875,7.875,7.65,7.65,3400
2001-02-06,7.65,7.65,7.65,7.65,0
2001-02-07,7.8,7.8,7.8,7.8,1200
2001-02-08,7.725,7.725,7.725,7.725,4200
2001-02-09,7.975,8.0,7.96,7.96,14000
2001-02-12,7.96,8.05,7.96,8.05,10800
2001-02-13,7.95,7.95,7.95,7.95,7200
2001-02-14,7.95,7.95,7.95,7.95,200
2001-02-15,7.95,8.0,7.95,8.0,1800
2001-02-16,7.95,7.95,7.95,7.95,4000
2001-02-20,8.5,8.6,8.45,8.45,50400
2001-02-21,8.35,8.35,8.2,8.2,27000
2001-02-22,8.165,8.19,8.165,8.165,25400
2001-02-23,8.5,8.55,8.485,8.485,9800
2001-02-26,8.49,8.49,8.485,8.485,12000
2001-02-27,8.485,8.485,8.485,8.485,0
2001-02-28,8.175,8.175,8.095,8.095,6000
2001-03-01,7.975,7.975,7.975,7.975,1000
2001-03-02,7.9,7.9,7.85,7.85,1000
2001-03-05,7.85,7.85,7.85,7.85,0
2001-03-06,7.9,7.9,7.9,7.9,600
2001-03-07,7.855,7.855,7.775,7.775,2400
2001-03-08,7.6,7.625,7.525,7.615,14400
2001-03-09,7.49,7.49,7.35,7.35,6600
2001-03-12,7.275,7.35,6.775,7.0,13000
2001-03-13,6.75,6.75,6.625,6.7,12800
2001-03-14,6.45,6.45,6.225,6.245,11200
2001-03-15,6.7,6.75,6.7,6.75,9600
2001-03-16,6.7,6.7,6.7,6.7,2600
2001-03-19,6.7,6.7,6.695,6.695,5200
2001-03-20,6.745,6.8,6.745,6.75,5400
2001-03-21,6.75,6.75,6.75,6.75,0
2001-03-22,6.725,6.725,6.5,6.5,7600
2001-03-23,6.575,6.65,6.575,6.65,5600
2001-03-26,6.925,6.93,6.925,6.925,19800
2001-03-27,6.775,6.795,6.775,6.795,5600
2001-03-28,6.76,6.79,6.7,6.7,12600
2001-03-29,6.75,6.75,6.75,6.75,1200
2001-03-30,7.0,7.1,6.95,6.975,49000
2001-04-02,7.22,7.22,7.1,7.105,40400
2001-04-03,6.875,6.875,6.625,6.75,10600
2001-04-04,6.6,6.6,6.375,6.375,8800
2001-04-05,6.5,6.6,6.49,6.6,7600
2001-04-06,6.625,6.705,6.6,6.705,11000
2001-04-09,6.63,6.75,6.63,6.675,1000
2001-04-10,6.445,6.445,6.3,6.425,14600
2001-04-11,6.15,6.25,6.1,6.25,13000
2001-04-12,6.2,6.2,6.2,6.2,200
2001-04-16,6.25,6.25,6.25,6.25,4200
2001-04-17,6.3,6.3,6.3,6.3,1600
2001-04-18,6.375,6.55,6.375,6.55,3200
2001-04-19,6.6,6.69,6.6,6.605,7000
2001-04-20,6.5,6.5,6.5,6.5,400
2001-04-23,6.55,6.55,6.55,6.55,7600
2001-04-24,6.55,6.575,6.55,6.575,1000
2001-04-25,6.6,6.6,6.48,6.48,11400
2001-04-26,6.53,6.575,6.505,6.505,19800
2001-04-27,6.945,7.095,6.945,7.075,8000
2001-04-30,7.175,7.25,7.175,7.25,6200
2001-05-01,7.225,7.25,7.1,7.25,20200
2001-05-02,7.6,8.125,7.6,8.125,33000
2001-05-03,7.5,7.545,7.5,7.545,13000
2001-05-04,7.6,7.625,7.55,7.625,800
2001-05-07,7.5,7.525,7.5,7.5,2000
2001-05-08,7.5,7.5,7.5,7.5,1200
2001-05-09,7.765,7.875,7.765,7.875,1600
2001-05-10,7.75,7.825,7.69,7.75,3400
2001-05-11,7.77,7.77,7.75,7.75,3200
2001-05-14,7.75,7.75,7.585,7.585,3600
2001-05-15,7.9,7.945,7.9,7.925,28000
2001-05-16,8.005,8.135,8.005,8.035,7800
2001-05-17,8.05,8.175,8.05,8.125,8800
2001-05-18,8.175,8.175,8.15,8.15,50000
2001-05-21,8.25,8.5,8.25,8.4,23000
2001-05-22,8.345,8.345,8.17,8.225,22400
2001-05-23,8.175,8.175,8.1,8.1,5600
2001-05-24,8.1,8.1,8.1,8.1,0
2001-05-25,8.175,8.18,8.175,8.175,3000
2001-05-29,8.22,8.3,8.18,8.18,2600
2001-05-30,8.05,8.1,8.05,8.1,800
2001-05-31,8.125,8.27,8.125,8.27,1200
2001-06-01,8.175,8.3,8.17,8.17,1800
2001-06-04,8.875,9.05,8.875,8.875,35800
2001-06-05,8.75,8.75,8.65,8.65,9200
2001-06-06,8.525,8.525,8.4,8.45,16600
2001-06-07,8.45,8.45,8.45,8.45,0
2001-06-08,8.45,8.45,8.45,8.45,0
2001-06-11,8.755,8.755,8.7,8.7,3800
2001-06-12,8.625,8.625,8.625,8.625,3600
2001-06-13,8.625,8.625,8.38,8.38,3000
2001-06-14,8.375,8.375,7.825,7.825,29600
2001-06-15,8.0,8.0,8.0,8.0,3000
2001-06-18,7.75,7.75,7.75,7.75,4000
2001-06-19,7.675,7.675,7.6,7.6,30400
2001-06-20,7.7,7.7,7.65,7.65,6200
2001-06-21,8.0,8.1,7.99,8.1,21600
2001-06-22,7.995,8.035,7.975,8.035,1400
2001-06-25,8.0,8.075,8.0,8.05,4800
2001-06-26,8.05,8.075,8.045,8.075,17000
2001-06-27,8.075,8.075,8.075,8.075,0
2001-06-28,7.85,7.85,7.85,7.85,200
2001-06-29,7.85,7.85,7.85,7.85,0
2001-07-02,7.945,7.945,7.945,7.945,1000
2001-07-03,7.855,7.855,7.675,7.75,35200
2001-07-05,7.75,7.75,7.75,7.75,0
2001-07-06,7.67,7.675,7.67,7.675,6800
2001-07-09,7.675,7.675,7.675,7.675,0
2001-07-10,7.675,7.77,7.675,7.675,4600
2001-07-11,7.55,7.55,7.55,7.55,6200
2001-07-12,7.625,7.8,7.61,7.8,30600
2001-07-13,7.85,8.125,7.825,8.05,20600
2001-07-16,7.95,7.975,7.805,7.875,5000
2001-07-17,7.755,7.755,7.755,7.755,800
2001-07-18,7.5,7.6,7.5,7.6,800
2001-07-19,7.6,7.6,7.6,7.6,0
2001-07-20,7.475,7.475,7.25,7.25,3400
2001-07-23,7.25,7.25,7.25,7.25,0
2001-07-24,7.275,7.275,7.275,7.275,400
2001-07-25,7.275,7.275,7.275,7.275,0
2001-07-26,7.255,7.255,7.2,7.205,24400
2001-07-27,7.205,7.205,7.205,7.205,0
2001-07-30,7.075,7.075,6.775,6.775,9000
2001-07-31,6.5,6.5,6.425,6.445,3000
2001-08-01,6.45,6.45,6.45,6.45,800
2001-08-02,6.45,6.45,6.4,6.4,6600
2001-08-03,6.4,6.4,6.4,6.4,0
2001-08-06,6.4,6.4,6.0,6.0,9800
2001-08-07,5.76,5.8,5.76,5.76,8000
2001-08-08,5.7,5.75,5.625,5.75,5200
2001-08-09,5.72,5.75,5.625,5.75,3000
2001-08-10,5.75,5.88,5.75,5.76,7200
2001-08-13,5.77,5.82,5.77,5.82,28200
2001-08-14,5.8,5.87,5.8,5.85,3800
2001-08-15,5.85,5.85,5.85,5.85,0
2001-08-16,5.835,5.845,5.835,5.845,1400
2001-08-17,5.8,5.8,5.8,5.8,1600
2001-08-20,5.8,5.8,5.785,5.785,600
2001-08-21,5.7,5.7,5.7,5.7,7000
2001-08-22,5.7,5.7,5.7,5.7,1000
2001-08-23,5.7,5.7,5.675,5.695,7000
2001-08-24,5.65,5.65,5.65,5.65,1000
2001-08-27,5.69,5.69,5.69,5.69,1000
2001-08-28,5.645,5.645,5.505,5.6,3400
2001-08-29,5.6,5.62,5.6,5.6,7200
2001-08-30,5.7,5.8,5.675,5.8,33800
2001-08-31,6.0,6.075,6.0,6.075,10000
2001-09-04,5.99,5.99,5.99,5.99,5000
2001-09-05,6.475,6.62,6.475,6.55,20200
2001-09-06,6.495,6.5,6.495,6.5,6200
2001-09-07,6.375,6.395,6.375,6.375,5600
2001-09-10,6.25,6.375,6.25,6.375,600
2001-09-17,6.1,6.1,5.25,5.25,43800
2001-09-18,4.75,4.75,4.525,4.545,35200
2001-09-19,4.565,4.64,4.565,4.64,34000
2001-09-20,4.55,4.55,4.375,4.375,21800
2001-09-21,4.2,4.375,4.2,4.375,21800
2001-09-24,4.87,5.2,4.86,5.075,11200
2001-09-25,5.25,5.325,5.09,5.1,18000
2001-09-26,4.97,4.97,4.7,4.75,12000
2001-09-27,4.8,4.825,4.775,4.825,5800
2001-09-28,5.0,5.0,4.975,4.975,4600
2001-10-01,4.975,4.975,4.975,4.975,400
2001-10-02,4.95,4.95,4.95,4.95,800
2001-10-03,5.0,5.075,5.0,5.075,1400
2001-10-04,5.25,5.325,5.25,5.275,10600
2001-10-05,5.405,5.405,5.325,5.405,6800
2001-10-08,5.405,5.405,5.405,5.405,0
2001-10-09,5.625,5.635,5.625,5.635,14400
2001-10-10,5.7,5.715,5.625,5.625,3600
2001-10-11,5.695,5.7,5.695,5.7,600
2001-10-12,5.495,5.495,5.38,5.4,3200
2001-10-15,5.35,5.35,5.3,5.3,2000
2001-10-16,5.3,5.3,5.3,5.3,0
2001-10-17,5.475,5.475,5.45,5.45,6000
2001-10-18,5.45,5.45,5.45,5.45,0
2001-10-19,5.3,5.5,5.3,5.5,2400
2001-10-22,5.5,5.5,5.25,5.25,12800
2001-10-23,5.58,5.58,5.56,5.58,2600
2001-10-24,5.58,5.58,5.5,5.5,1000
2001-10-25,5.5,5.5,5.5,5.5,0
2001-10-26,5.575,5.575,5.575,5.575,200
2001-10-29,5.575,5.69,5.575,5.69,16400
2001-10-30,5.695,5.695,5.695,5.695,400
2001-10-31,5.695,5.695,5.695,5.695,400
2001-11-01,5.75,5.85,5.75,5.85,13800
2001-11-02,5.8,5.8,5.8,5.8,800
2001-11-05,5.9,6.15,5.9,6.05,12800
2001-11-06,6.2,6.2,6.2,6.2,4200
2001-11-07,5.995,5.995,5.9,5.95,1000
2001-11-08,6.0,6.0,6.0,6.0,200
2001-11-09,6.0,6.0,6.0,6.0,2400
2001-11-12,6.0,6.0,5.955,5.995,25200
2001-11-13,5.995,5.995,5.995,5.995,0
2001-11-14,6.125,6.25,6.125,6.25,1000
2001-11-15,6.29,6.495,6.29,6.495,6400
2001-11-16,6.525,6.8,6.525,6.7,19800
2001-11-19,6.8,6.8,6.8,6.8,7000
2001-11-20,6.5,6.5,6.5,6.5,1400
2001-11-21,6.5,6.5,6.5,6.5,0
2001-11-23,6.5,6.5,6.5,6.5,0
2001-11-26,6.5,6.5,6.5,6.5,0
2001-11-27,6.5,6.5,6.5,6.5,0
2001-11-28,6.45,6.45,6.25,6.25,3200
2001-11-29,6.25,6.25,6.25,6.25,0
2001-11-30,6.35,6.355,6.35,6.355,1400
2001-12-03,6.355,6.475,6.355,6.475,600
2001-12-04,6.375,6.375,6.375,6.375,400
2001-12-05,6.3,6.3,6.3,6.3,400
2001-12-06,6.375,6.425,6.375,6.405,1400
2001-12-07,6.405,6.405,6.405,6.405,0
2001-12-10,6.405,6.405,6.405,6.405,0
2001-12-11,6.425,6.425,6.415,6.415,11200
2001-12-12,6.36,6.36,6.28,6.35,7600
2001-12-13,6.325,6.33,6.325,6.33,1000
2001-12-14,6.33,6.33,6.33,6.33,0
2001-12-17,6.25,6.25,6.05,6.05,1400
2001-12-18,5.95,5.95,5.95,5.95,200
2001-12-19,5.955,5.955,5.955,5.955,200
2001-12-20,6.1,6.105,6.1,6.105,600
2001-12-21,6.0,6.005,6.0,6.005,400
2001-12-24,6.005,6.005,6.005,6.005,0
2001-12-26,5.965,5.965,5.965,5.965,1200
2001-12-27,5.965,5.965,5.965,5.965,0
2001-12-28,5.965,5.965,5.965,5.965,0
2001-12-31,5.96,5.96,5.96,5.96,1200
2002-01-02,6.175,6.35,6.175,6.35,1000
2002-01-03,6.35,6.355,6.35,6.355,600
2002-01-04,6.25,6.25,6.25,6.25,1000
2002-01-07,6.505,6.55,6.505,6.54,9400
2002-01-08,6.595,6.75,6.595,6.75,2600
2002-01-09,6.75,6.8,6.75,6.78,2400
2002-01-10,6.78,6.78,6.78,6.78,0
2002-01-11,6.78,6.78,6.78,6.78,0
2002-01-14,6.76,6.765,6.6,6.75,4800
2002-01-15,6.4,6.4,6.4,6.4,4000
2002-01-16,6.495,6.495,6.4,6.4,1800
2002-01-17,6.4,6.4,6.4,6.4,0
2002-01-18,6.405,6.405,6.405,6.405,200
2002-01-22,6.405,6.405,6.405,6.405,0
2002-01-23,6.4,6.4,6.4,6.4,200
2002-01-24,6.41,6.525,6.41,6.45,1000
2002-01-25,6.65,6.65,6.645,6.65,6600
2002-01-28,6.975,7.05,6.97,7.01,7800
2002-01-29,7.1,7.1,7.08,7.09,4800
2002-01-30,7.11,7.25,7.11,7.195,9200
2002-01-31,6.875,6.905,6.87,6.905,5800
2002-02-01,6.855,6.875,6.855,6.87,3200
2002-02-04,6.85,6.855,6.85,6.855,800
2002-02-05,6.81,6.9,6.81,6.9,2800
2002-02-06,6.89,6.9,6.89,6.9,1200
2002-02-07,6.9,6.9,6.875,6.875,600
2002-02-08,6.885,6.925,6.8,6.925,4000
2002-02-11,7.03,7.2,7.03,7.2,7000
2002-02-12,7.205,7.225,7.2,7.2,1600
2002-02-13,7.2,7.2,7.2,7.2,0
2002-02-14,7.2,7.2,7.2,7.2,0
2002-02-15,7.175,7.175,7.13,7.13,10200
2002-02-19,7.13,7.13,7.13,7.13,600
2002-02-20,7.135,7.265,7.135,7.265,6000
2002-02-21,7.2,7.2,7.07,7.15,8200
2002-02-22,7.15,7.165,7.15,7.165,1600
2002-02-25,7.135,7.15,7.005,7.15,10400
2002-02-26,7.12,7.12,7.075,7.075,1000
2002-02-27,7.1,7.175,7.1,7.15,3400
2002-02-28,7.15,7.15,7.075,7.075,1200
2002-03-01,7.05,7.075,7.05,7.075,2200
2002-03-04,7.075,7.075,7.075,7.075,1200
2002-03-05,7.075,7.075,7.075,7.075,0
2002-03-06,7.075,7.4,7.075,7.25,13600
2002-03-07,7.135,7.135,7.135,7.135,2000
2002-03-08,7.135,7.135,7.135,7.135,0
2002-03-11,7.085,7.085,7.085,7.085,800
2002-03-12,7.2,7.21,7.2,7.21,3800
2002-03-13,7.205,7.205,7.205,7.205,2600
2002-03-14,7.205,7.205,7.205,7.205,0
2002-03-15,7.175,7.175,7.075,7.075,2000
2002-03-18,7.1,7.16,7.1,7.16,4600
2002-03-19,7.2,7.2,7.175,7.175,600
2002-03-20,7.175,7.175,7.1,7.105,3200
2002-03-21,7.105,7.105,7.105,7.105,0
2002-03-22,7.1,7.1,7.05,7.05,800
2002-03-25,7.05,7.05,7.045,7.045,600
2002-03-26,7.045,7.045,7.045,7.045,0
2002-03-27,7.045,7.045,7.045,7.045,0
2002-03-28,7.045,7.045,7.045,7.045,0
2002-04-01,7.025,7.025,7.0,7.0,1000
2002-04-02,7.0,7.0,6.75,6.75,5600
2002-04-03,6.75,6.75,6.75,6.75,0
2002-04-04,6.8,6.82,6.8,6.82,600
2002-04-05,6.95,7.0,6.95,6.995,2000
2002-04-08,7.0,7.0,7.0,7.0,1600
2002-04-09,7.05,7.05,7.05,7.05,4600
2002-04-10,7.2,7.2,7.075,7.125,2000
2002-04-11,7.145,7.15,7.1,7.15,4200
2002-04-12,7.21,7.3,7.205,7.3,6600
2002-04-15,7.38,7.6,7.38,7.6,2200
2002-04-16,7.51,7.51,7.475,7.475,400
2002-04-17,7.725,7.75,7.69,7.7,3800
2002-04-18,7.675,7.685,7.675,7.68,3800
2002-04-19,7.68,7.68,7.675,7.675,3200
2002-04-22,7.675,7.675,7.675,7.675,200
2002-04-23,7.675,7.675,7.675,7.675,0
2002-04-24,7.675,7.675,7.675,7.675,200
2002-04-25,7.65,7.65,7.65,7.65,1000
2002-04-26,7.65,7.65,7.65,7.65,0
2002-04-29,7.775,7.8,7.65,7.8,6800
2002-04-30,7.96,8.0,7.96,8.0,2600
2002-05-01,8.025,8.4,8.025,8.25,4800
2002-05-02,8.24,8.24,8.125,8.125,5400
2002-05-03,8.15,8.35,8.15,8.35,6400
2002-05-06,8.275,8.275,8.2,8.2,2200
2002-05-07,8.225,8.225,8.2,8.2,3600
2002-05-08,8.15,8.15,8.15,8.15,400
2002-05-09,8.025,8.275,8.025,8.15,18200
2002-05-10,8.15,8.15,8.15,8.15,0
2002-05-13,8.15,8.15,8.15,8.15,0
2002-05-14,8.03,8.03,8.03,8.03,0
2002-05-15,8.055,8.35,8.055,8.31,8200
2002-05-16,8.3,8.325,8.275,8.325,2000
2002-05-17,8.5,8.655,8.5,8.655,6000
2002-05-20,8.665,8.85,8.665,8.83,3600
2002-05-21,8.8,8.8,8.7,8.7,3400
2002-05-22,8.7,8.7,8.7,8.7,0
2002-05-23,8.695,8.695,8.695,8.695,200
2002-05-24,8.675,8.675,8.67,8.67,600
2002-05-28,8.55,8.575,8.55,8.575,4400
2002-05-29,8.55,8.61,8.55,8.61,4000
2002-05-30,8.6,8.6,8.6,8.6,200
2002-05-31,8.625,8.675,8.625,8.655,6400
2002-06-03,8.7,8.7,8.69,8.69,1800
2002-06-04,8.685,8.685,8.675,8.675,800
2002-06-05,9.165,9.175,9.165,9.175,26400
2002-06-06,9.15,9.15,9.06,9.06,5200
2002-06-07,9.165,9.25,9.165,9.25,6200
2002-06-10,9.225,9.25,9.2,9.25,9800
2002-06-11,9.22,9.24,9.205,9.24,7600
2002-06-12,9.24,9.24,9.175,9.225,214600
2002-06-13,9.215,9.215,9.125,9.125,3000
2002-06-14,9.15,9.15,9.14,9.14,6400
2002-06-17,9.135,9.135,9.135,9.135,200
2002-06-18,9.165,9.165,9.0,9.0,4400
2002-06-19,8.85,8.85,8.65,8.65,10600
2002-06-20,8.375,8.375,8.3,8.325,11400
2002-06-21,8.325,8.4,8.325,8.395,2400
2002-06-24,8.575,8.575,8.5,8.5,2600
2002-06-25,8.46,8.46,8.325,8.325,2800
2002-06-26,8.275,8.275,8.095,8.13,11200
2002-06-27,8.13,8.13,8.13,8.13,0
2002-06-28,8.13,8.135,8.13,8.135,400
2002-07-01,8.145,8.145,8.135,8.135,16200
2002-07-02,8.275,8.295,8.2,8.295,1000
