date,open,high,low,close,volume
2020-10-28,10.114,10.705,9.0,9.88,90700
2020-10-29,9.95,10.25,9.8,10.0,81500
2020-10-30,10.2,11.16,10.155,10.3,144600
2020-11-02,10.3,11.03,10.08,10.22,52000
2020-11-03,10.31,10.31,10.0,10.1,41300
2020-11-04,10.15,10.37,10.03,10.18,103700
2020-11-05,10.24,10.24,9.75,9.82,201400
2020-11-06,10.0,10.21,9.71,10.05,99200
2020-11-09,10.57,10.64,10.02,10.16,708600
2020-11-10,10.33,10.737,10.33,10.64,278500
2020-11-11,10.77,11.15,10.77,10.96,129400
2020-11-12,11.0,11.88,10.98,11.88,172000
2020-11-13,12.48,12.695,12.13,12.29,156400
2020-11-16,12.596,12.596,12.04,12.35,103000
2020-11-17,12.16,12.81,12.088,12.59,130000
2020-11-18,12.59,13.18,12.43,12.66,243000
2020-11-19,12.59,13.32,12.59,12.95,123000
2020-11-20,13.03,13.74,13.0,13.65,132600
2020-11-23,13.98,14.6,13.85,14.2,237200
2020-11-24,14.28,14.39,13.53,13.61,264900
2020-11-25,13.99,14.33,13.57,13.98,399200
2020-11-27,13.95,14.47,13.76,14.44,139700
2020-11-30,14.5,14.74,13.76,14.12,356400
2020-12-01,14.35,14.79,14.035,14.77,101800
2020-12-02,14.8,15.29,14.42,15.04,198700
2020-12-03,15.1,15.73,15.0,15.39,306000
2020-12-04,15.5,16.405,15.0,15.45,261000
2020-12-07,15.84,18.14,15.45,17.19,1367200
2020-12-08,17.13,17.39,15.85,16.06,299000
2020-12-09,15.98,17.5,15.63,16.13,633800
2020-12-10,16.49,17.57,16.465,16.71,340500
2020-12-11,16.88,17.23,16.75,16.9,583100
2020-12-14,17.11,18.235,16.79,17.04,996600
2020-12-15,17.13,17.54,16.86,17.19,606500
2020-12-16,17.18,18.835,15.31,16.34,1499300
2020-12-17,16.62,18.45,16.34,18.27,1335900
2020-12-18,18.32,18.66,16.98,17.12,3409500
2020-12-21,17.12,18.146,16.66,17.07,1071500
2020-12-22,17.0,17.53,16.5,17.41,1083900
2020-12-23,17.36,17.65,17.02,17.24,243900
2020-12-24,17.13,18.1,16.75,17.76,134300
2020-12-28,17.76,18.03,17.405,17.78,389100
2020-12-29,17.66,17.66,16.86,16.98,419200
2020-12-30,17.08,17.346,16.83,17.12,316000
2020-12-31,17.17,17.17,16.5,16.58,157800
2021-01-04,16.67,17.0,16.36,16.41,283100
