date,open,high,low,close,volume
2002-11-14,18.75,18.75,17.5,17.96,11726200
2002-11-15,18.25,18.56,18.1,18.4,2374400
2002-11-18,18.85,18.95,18.61,18.63,1956100
2002-11-19,18.45,18.58,18.37,18.5,828800
2002-11-20,18.55,18.69,18.35,18.65,463200
2002-11-21,18.65,18.75,18.4,18.5,881500
2002-11-22,18.0,18.25,17.8,18.17,843800
2002-11-25,18.01,18.1,17.78,17.96,440500
2002-11-26,18.15,18.25,18.05,18.11,888700
2002-11-27,18.15,18.9,18.15,18.8,710800
2002-11-29,18.9,18.95,18.78,18.79,189300
2002-12-02,18.95,18.95,18.63,18.65,523900
2002-12-03,18.66,18.66,18.35,18.42,323800
2002-12-04,18.2,18.25,17.95,18.12,324600
2002-12-05,18.25,18.25,18.1,18.2,140300
2002-12-06,18.2,18.38,18.15,18.28,137900
2002-12-09,18.03,18.03,17.6,17.65,576800
2002-12-10,17.78,17.85,17.7,17.82,317200
2002-12-11,18.0,18.0,17.85,17.85,305900
2002-12-12,17.8,17.82,17.65,17.81,385600
2002-12-13,18.0,18.0,17.75,17.87,234200
2002-12-16,17.9,18.05,17.8,17.9,361400
2002-12-17,17.98,18.01,17.9,17.92,196400
2002-12-18,17.85,17.85,17.44,17.5,519000
2002-12-19,17.3,17.45,17.25,17.44,320200
2002-12-20,17.65,17.9,17.65,17.9,263700
2002-12-23,17.9,17.97,17.75,17.9,166500
2002-12-24,17.9,17.99,17.75,17.81,161200
2002-12-26,17.85,17.95,17.81,17.81,103200
2002-12-27,17.76,17.76,17.45,17.55,99600
2002-12-30,17.3,17.3,17.15,17.27,205700
2002-12-31,17.27,17.34,17.26,17.28,137900
2003-01-02,17.45,17.9,17.45,17.86,73000
2003-01-03,17.83,17.85,17.72,17.73,73100
2003-01-06,17.73,18.2,17.7,18.05,121000
2003-01-07,17.9,18.05,17.88,17.88,155200
2003-01-08,18.65,18.65,18.5,18.6,684500
2003-01-09,18.82,19.03,18.82,19.03,1075800
2003-01-10,18.85,19.0,18.8,18.9,453200
2003-01-13,19.25,19.35,19.05,19.23,1148000
2003-01-14,19.29,19.4,19.26,19.4,430900
2003-01-15,19.5,19.5,19.2,19.27,575400
2003-01-16,19.25,19.27,19.0,19.13,485700
2003-01-17,18.65,18.9,18.65,18.88,159700
2003-01-21,19.05,19.08,18.85,18.85,526100
2003-01-22,19.0,19.17,19.0,19.11,327600
2003-01-23,19.36,19.42,19.28,19.42,408400
2003-01-24,19.35,19.4,19.06,19.06,206100
2003-01-27,19.2,19.41,19.18,19.3,456100
2003-01-28,19.35,19.35,19.02,19.3,332700
2003-01-29,19.2,19.25,19.07,19.24,259900
2003-01-30,19.2,19.2,18.9,18.91,94100
2003-01-31,19.0,19.2,18.9,19.2,243400
2003-02-03,19.15,19.44,19.15,19.3,159000
2003-02-04,19.05,19.19,19.02,19.02,102300
2003-02-05,19.17,19.3,19.1,19.1,216300
2003-02-06,19.25,19.25,19.05,19.13,306000
2003-02-07,19.15,19.2,19.1,19.11,132800
2003-02-10,19.12,19.2,19.12,19.2,125800
2003-02-11,19.18,19.29,19.1,19.11,96700
2003-02-12,19.15,19.25,19.1,19.14,189900
2003-02-13,19.05,19.05,18.8,18.92,205400
2003-02-14,18.82,18.95,18.65,18.75,219300
2003-02-18,18.75,18.83,18.75,18.81,60200
2003-02-19,18.82,18.87,18.77,18.87,75300
2003-02-20,18.95,19.03,18.95,18.95,63200
2003-02-21,18.85,19.0,18.8,19.0,265900
2003-02-24,18.85,18.92,18.66,18.71,25200
2003-02-25,18.65,18.72,18.35,18.67,221400
2003-02-26,18.59,18.7,18.45,18.55,83100
2003-02-27,18.4,18.55,18.4,18.52,37100
2003-02-28,18.34,18.38,18.25,18.32,37600
2003-03-03,18.38,18.5,18.35,18.36,10700
2003-03-04,18.36,18.36,18.0,18.01,77800
2003-03-05,17.9,17.98,17.81,17.98,48400
2003-03-06,17.88,17.93,17.66,17.79,84000
2003-03-07,17.25,17.5,17.22,17.45,79200
2003-03-10,17.3,17.34,17.2,17.26,54300
2003-03-11,17.1,17.12,16.9,17.0,247200
2003-03-12,17.36,17.59,17.35,17.59,134500
2003-03-13,17.55,18.05,17.45,18.04,159800
2003-03-14,17.94,17.94,17.72,17.88,20300
2003-03-17,17.8,18.12,17.8,18.08,87300
2003-03-18,18.05,18.21,18.0,18.16,104600
2003-03-19,18.12,18.17,18.03,18.15,78500
2003-03-20,18.15,18.44,18.15,18.4,153000
2003-03-21,18.3,18.57,18.25,18.57,107700
2003-03-24,18.03,18.05,17.85,17.94,65300
2003-03-25,17.74,18.15,17.74,18.1,57500
2003-03-26,17.9,18.2,17.86,18.18,86900
2003-03-27,18.05,18.15,17.9,18.12,43700
2003-03-28,18.1,18.2,18.05,18.05,52300
2003-03-31,17.8,18.02,17.8,17.95,45900
2003-04-01,17.6,17.86,17.35,17.78,75000
2003-04-02,18.0,18.05,17.88,18.04,50600
2003-04-03,18.0,18.0,17.65,17.9,44200
2003-04-04,17.9,18.03,17.75,17.9,40700
2003-04-07,18.05,18.1,17.8,17.85,222700
2003-04-08,17.74,17.74,17.38,17.5,85200
2003-04-09,17.28,17.35,17.02,17.35,92100
2003-04-10,17.35,17.37,17.25,17.31,19400
2003-04-11,17.49,17.75,17.49,17.69,72600
2003-04-14,17.65,17.7,17.58,17.7,202400
2003-04-15,17.7,17.7,17.5,17.55,33300
2003-04-16,18.0,18.2,17.99,18.06,53000
2003-04-17,18.35,18.53,18.3,18.4,31900
2003-04-21,18.25,18.49,18.1,18.29,108100
2003-04-22,18.29,18.4,17.93,18.4,53700
2003-04-23,17.9,18.1,17.85,18.1,217000
2003-04-24,18.02,18.2,18.02,18.1,205800
2003-04-25,18.75,18.9,18.75,18.82,144300
2003-04-28,18.7,19.22,18.65,19.1,154400
2003-04-29,19.15,19.15,18.95,18.98,254800
2003-04-30,18.85,19.03,18.81,19.0,65900
2003-05-01,18.9,19.0,18.86,18.96,36000
2003-05-02,19.06,19.44,19.05,19.43,159900
2003-05-05,19.61,19.85,19.56,19.57,149900
2003-05-06,19.49,19.69,19.45,19.53,64000
2003-05-07,19.52,19.52,19.2,19.33,76700
2003-05-08,19.33,19.33,19.15,19.2,49300
2003-05-09,19.23,19.55,19.23,19.51,40800
2003-05-12,20.05,20.25,20.01,20.21,279200
2003-05-13,20.08,20.13,19.84,20.0,105100
2003-05-14,19.68,19.75,19.45,19.65,71000
2003-05-15,19.7,19.7,19.41,19.51,133100
2003-05-16,19.51,19.54,19.42,19.5,99600
2003-05-19,19.6,19.79,19.6,19.75,43700
2003-05-20,19.7,19.75,19.6,19.64,93700
2003-05-21,19.95,20.07,19.9,20.03,123400
2003-05-22,20.3,20.44,20.25,20.38,172100
2003-05-23,20.75,21.0,20.73,20.97,122700
2003-05-27,21.0,21.4,21.0,21.37,162800
2003-05-28,21.2,21.2,20.91,21.06,106200
2003-05-29,21.05,21.07,20.85,20.97,44100
2003-05-30,21.4,21.55,21.36,21.45,161900
2003-06-02,21.6,22.0,21.6,21.94,192300
2003-06-03,21.69,21.86,21.56,21.82,151900
2003-06-04,21.83,22.31,21.75,22.3,96400
2003-06-05,22.18,22.3,22.0,22.3,121500
2003-06-06,22.55,23.07,22.5,22.87,217000
2003-06-09,22.7,22.7,22.49,22.5,114200
2003-06-10,21.8,21.8,21.36,21.6,249000
2003-06-11,21.43,21.71,21.42,21.67,77600
2003-06-12,21.96,22.0,21.75,21.94,213300
2003-06-13,22.65,22.8,22.52,22.8,82700
2003-06-16,22.75,23.14,22.66,23.14,101300
2003-06-17,23.35,23.35,22.96,23.15,208100
