date,open,high,low,close,volume
2013-10-04,18.5,19.2,18.06,18.5,5532600
2013-10-07,18.21,18.6,17.9,18.1,526900
2013-10-08,18.1,18.18,17.4,17.56,712700
2013-10-09,17.4,17.74,17.35,17.42,102800
2013-10-10,17.47,17.71,17.42,17.56,400900
2013-10-11,17.58,18.24,17.58,18.06,280800
2013-10-14,18.06,18.18,18.0,18.15,44100
2013-10-15,18.1,18.14,17.8,18.05,83800
2013-10-16,18.0,18.02,17.85,18.0,52600
2013-10-17,17.97,18.0,17.65,17.87,69400
2013-10-18,17.76,17.87,17.68,17.85,75600
2013-10-21,17.76,17.83,17.51,17.82,54200
2013-10-22,17.82,17.89,17.82,17.83,58000
2013-10-23,17.87,17.9,17.8,17.85,31600
2013-10-24,17.86,18.14,17.82,18.09,50100
2013-10-25,17.87,18.2,17.85,18.2,35300
2013-10-28,18.15,18.23,17.85,17.95,12400
2013-10-29,18.2,18.2,17.85,17.86,43400
2013-10-30,17.99,17.99,17.85,17.85,22300
2013-10-31,17.85,17.95,17.85,17.95,192200
2013-11-01,18.0,18.05,17.8,17.88,69000
2013-11-04,17.88,17.95,17.72,17.85,35800
2013-11-05,17.88,17.9,17.7,17.84,25400
2013-11-06,17.88,17.9,17.44,17.65,95700
2013-11-07,17.67,17.69,17.41,17.56,40500
2013-11-08,17.6,17.64,17.35,17.45,30800
2013-11-11,17.6,17.71,17.13,17.64,81400
2013-11-12,17.71,17.9,17.25,17.9,61500
2013-11-13,17.9,17.93,17.6,17.71,41800
2013-11-14,17.71,17.72,17.32,17.72,88900
2013-11-15,17.61,17.73,17.5,17.68,39200
2013-11-18,17.66,17.7,17.61,17.63,2700
2013-11-19,17.61,17.61,17.5,17.58,48600
2013-11-20,17.53,17.58,17.4,17.52,41100
2013-11-21,17.5,17.63,17.4,17.61,69200
2013-11-22,17.6,17.67,17.55,17.56,40900
2013-11-25,17.59,17.72,17.52,17.55,40400
2013-11-26,17.45,17.55,17.45,17.5,78800
2013-11-27,17.6,17.7,17.48,17.55,35900
2013-11-29,17.68,17.75,17.51,17.65,10700
2013-12-02,17.58,17.62,17.36,17.5,38800
2013-12-03,17.51,17.57,17.4,17.54,53400
2013-12-04,17.49,17.53,17.45,17.5,27100
2013-12-05,17.51,17.58,17.45,17.55,51700
2013-12-06,17.59,17.71,17.53,17.64,42900
2013-12-09,17.62,17.62,17.4,17.5,115300
2013-12-10,17.41,17.47,17.14,17.47,184800
2013-12-11,17.29,17.71,17.25,17.45,55200
2013-12-12,17.52,17.55,17.34,17.4,178700
2013-12-13,17.47,17.62,17.35,17.62,184200
2013-12-16,17.65,17.75,17.59,17.71,99000
2013-12-17,17.65,18.35,17.54,18.13,64800
2013-12-18,18.15,18.45,18.02,18.21,119100
2013-12-19,18.31,18.49,18.07,18.35,279500
2013-12-20,18.27,18.48,18.03,18.2,248100
2013-12-23,18.13,18.46,18.0,18.3,44100
2013-12-24,17.76,18.11,17.76,18.03,74700
2013-12-26,18.0,18.17,17.86,18.04,48200
2013-12-27,18.0,18.07,17.75,17.94,51600
2013-12-30,17.99,17.99,17.5,17.61,69400
2013-12-31,17.6,17.94,17.47,17.8,73400
2014-01-02,17.84,18.55,17.84,18.5,70400
2014-01-03,18.57,18.77,18.5,18.6,49100
2014-01-06,18.73,18.88,18.51,18.59,62000
2014-01-07,18.6,18.77,18.45,18.51,183500
2014-01-08,18.51,18.64,18.45,18.5,84700
2014-01-09,18.6,18.61,18.4,18.45,55600
2014-01-10,18.5,18.55,18.27,18.46,25800
2014-01-13,18.49,18.55,18.45,18.51,81800
2014-01-14,18.65,19.09,18.5,18.93,365500
2014-01-15,18.84,19.01,18.83,18.95,130400
2014-01-16,19.0,19.06,18.8,19.06,101800
2014-01-17,18.97,19.08,18.74,18.88,37000
2014-01-21,18.91,19.03,18.7,18.88,37300
2014-01-22,18.83,19.01,18.75,18.8,13900
2014-01-23,18.75,18.9,18.5,18.64,22800
2014-01-24,18.64,18.9,18.29,18.4,36300
2014-01-27,18.4,18.45,17.68,18.13,30900
2014-01-28,18.03,18.2,17.88,18.13,35900
2014-01-29,18.13,18.17,17.91,18.02,32100
2014-01-30,18.12,18.2,17.95,18.06,21200
2014-01-31,18.02,18.18,18.0,18.05,10300
2014-02-03,18.05,18.31,18.05,18.22,48500
2014-02-04,18.3,18.47,18.13,18.19,43900
2014-02-05,18.29,18.42,18.05,18.17,48400
2014-02-06,18.19,18.65,18.18,18.32,34800
2014-02-07,18.43,18.66,18.3,18.37,27400
2014-02-10,18.38,18.49,18.3,18.31,6300
2014-02-11,18.4,18.6,18.35,18.55,22300
2014-02-12,18.6,18.68,18.38,18.57,44300
2014-02-13,18.69,18.74,18.39,18.4,11800
2014-02-14,18.45,18.69,18.45,18.54,9200
2014-02-18,18.67,18.75,18.45,18.59,41100
2014-02-19,18.64,18.72,18.49,18.51,37600
2014-02-20,18.5,18.59,18.27,18.34,32600
2014-02-21,18.35,18.48,17.98,18.15,23000
2014-02-24,18.16,18.24,18.14,18.24,19400
2014-02-25,18.26,18.44,18.12,18.17,26800
2014-02-26,18.19,18.59,18.16,18.38,50500
2014-02-27,18.29,18.37,18.2,18.33,12000
2014-02-28,18.37,18.37,18.15,18.18,8200
2014-03-03,18.18,18.23,17.9,17.92,27000
2014-03-04,18.08,18.23,18.0,18.23,61900
2014-03-05,18.23,18.49,18.23,18.23,24500
2014-03-06,18.24,18.29,18.07,18.23,17800
2014-03-07,18.28,18.28,17.7,17.9,97800
2014-03-10,17.8,18.52,17.8,18.41,98900
2014-03-11,18.45,18.61,18.26,18.35,139400
2014-03-12,18.35,18.35,18.25,18.35,35600
2014-03-13,18.4,18.44,18.2,18.33,68500
2014-03-14,18.4,18.42,18.26,18.3,53400
2014-03-17,18.46,18.55,18.05,18.25,79800
2014-03-18,18.23,18.29,18.07,18.27,44400
2014-03-19,18.4,18.52,18.35,18.36,100100
2014-03-20,18.3,18.44,18.3,18.4,40800
2014-03-21,18.41,18.64,18.29,18.3,87400
2014-03-24,18.38,18.6,18.32,18.4,50900
2014-03-25,18.49,18.69,18.43,18.69,54000
2014-03-26,18.76,19.32,18.73,18.96,249000
2014-03-27,18.97,19.15,18.89,19.1,93400
2014-03-28,19.45,19.45,19.09,19.13,107500
2014-03-31,18.75,18.99,18.6,18.75,93400
2014-04-01,18.84,18.9,18.65,18.8,99200
2014-04-02,18.69,19.05,18.69,18.95,193500
2014-04-03,18.91,19.18,18.75,18.94,100600
