date,open,high,low,close,volume
2018-01-19,17.5,18.0,17.05,17.77,18176900
2018-01-22,17.89,18.0,17.56,17.79,2261600
2018-01-23,17.95,17.95,17.41,17.64,2391200
2018-01-24,17.83,17.83,17.54,17.63,1419900
2018-01-25,17.6,18.05,17.31,17.75,3198700
2018-01-26,17.81,17.89,17.65,17.75,562100
2018-01-29,17.61,17.99,17.58,17.95,947300
2018-01-30,17.92,17.97,17.59,17.91,925600
2018-01-31,17.91,18.35,17.83,18.28,1161100
2018-02-01,18.27,18.41,18.12,18.27,974300
2018-02-02,18.23,18.29,17.85,18.18,1226100
2018-02-05,18.12,18.29,17.8,17.94,613400
2018-02-06,17.84,17.99,17.25,17.8,1929500
2018-02-07,17.74,18.1,17.65,18.02,510500
2018-02-08,17.94,18.02,17.66,17.68,484600
2018-02-09,17.71,17.95,16.13,17.79,1018700
2018-02-12,17.57,17.93,17.35,17.53,559500
2018-02-13,17.65,18.09,17.61,17.96,334500
2018-02-14,17.94,18.01,17.7,17.98,391900
2018-02-15,18.0,18.08,17.89,17.92,393900
2018-02-16,17.93,18.07,17.83,17.98,341800
2018-02-20,18.0,18.03,17.9,17.97,390900
2018-02-21,18.0,18.02,17.78,17.9,641400
2018-02-22,17.85,17.95,17.66,17.85,564400
2018-02-23,17.81,18.25,17.8,18.22,747700
2018-02-26,18.27,18.37,18.08,18.09,330900
2018-02-27,18.17,18.25,17.92,18.0,718600
2018-02-28,18.0,18.06,17.9,18.0,720200
2018-03-01,18.0,18.26,17.86,17.91,733100
2018-03-02,17.82,18.1,17.18,17.9,563600
2018-03-05,17.91,17.95,17.7,17.76,377400
2018-03-06,17.8,18.15,17.75,17.77,266700
2018-03-07,17.78,17.93,17.72,17.74,257700
2018-03-08,17.88,18.0,17.78,17.86,249600
2018-03-09,17.95,18.05,17.81,17.97,471500
2018-03-12,18.33,18.34,17.93,18.13,364900
2018-03-13,18.05,18.21,17.75,17.91,256100
2018-03-14,17.9,18.06,17.77,17.94,456300
2018-03-15,17.98,18.42,17.98,18.33,493300
2018-03-16,18.32,18.67,18.11,18.67,7694500
2018-03-19,18.67,18.79,18.48,18.7,740800
2018-03-20,18.78,18.78,18.46,18.72,451200
2018-03-21,18.6,19.13,18.55,18.88,970600
2018-03-22,18.76,18.95,18.73,18.85,368300
2018-03-23,18.83,18.95,18.57,18.66,563700
2018-03-26,18.84,18.9,18.52,18.65,885900
2018-03-27,18.75,18.8,18.45,18.47,259200
2018-03-28,18.38,18.7,18.3,18.63,759300
2018-03-29,18.55,19.28,18.55,19.08,726000
2018-04-02,19.0,19.22,18.57,18.58,529200
2018-04-03,18.79,18.79,18.53,18.65,569800
2018-04-04,18.5,18.97,18.436,18.82,552900
2018-04-05,18.8,18.875,18.65,18.84,555200
