date,open,high,low,close,volume
2000-10-05,11.5417,11.6667,11.5417,11.5833,6300
2000-10-06,11.6667,11.7083,11.5417,11.625,7500
2000-10-09,11.7083,11.7083,11.7083,11.7083,400
2000-10-10,11.7083,11.75,11.5417,11.75,10200
2000-10-11,11.75,11.8333,11.4583,11.5,9100
2000-10-12,11.5833,11.5833,11.3333,11.3333,11400
2000-10-13,11.3333,11.4167,11.1667,11.3333,9700
2000-10-16,11.4167,11.5,11.1667,11.3333,16200
2000-10-17,11.3333,11.4583,11.2917,11.4167,4600
2000-10-18,11.4167,11.5833,11.4167,11.5833,8200
2000-10-19,11.6667,11.75,11.6667,11.6667,7300
2000-10-20,11.625,11.7917,11.625,11.7917,6000
2000-10-23,11.7917,11.7917,11.6667,11.7083,1500
2000-10-24,11.7917,12.0,11.6667,12.0,9700
2000-10-25,11.875,11.9583,11.8333,11.8333,13800
2000-10-26,11.75,11.9167,11.7083,11.7083,11700
2000-10-27,11.7083,11.8333,11.5,11.5,11400
2000-10-30,11.5833,11.7083,11.5833,11.7083,10300
2000-10-31,11.6667,11.75,11.5,11.5833,14500
2000-11-01,11.6667,11.7083,11.5417,11.5833,6700
2000-11-02,11.5417,11.7083,11.5417,11.625,4300
2000-11-03,11.6667,11.75,11.5833,11.75,8100
2000-11-06,11.6667,11.6667,11.5417,11.5417,5200
2000-11-07,11.6667,11.6667,11.5417,11.6667,8400
2000-11-08,11.6667,11.6667,11.5417,11.5417,4200
2000-11-09,11.6667,11.6667,11.5833,11.625,14400
2000-11-10,11.6667,11.6667,11.5417,11.5417,10000
2000-11-13,11.625,11.7917,11.5833,11.75,19000
2000-11-14,11.7917,11.9167,11.7083,11.8333,20400
2000-11-15,11.875,12.0833,11.875,12.0,18100
2000-11-16,12.1667,12.1667,11.6667,11.9583,36600
2000-11-17,11.9583,12.0833,11.875,12.0,17500
2000-11-20,12.0833,12.125,11.75,11.8333,28300
2000-11-21,11.9167,12.0,11.8333,11.9583,4600
2000-11-22,12.0,12.0833,11.8333,11.9583,18100
2000-11-24,12.0,12.0417,11.9167,12.0417,4900
2000-11-27,12.0,12.3333,11.9167,12.1667,38200
2000-11-28,12.1667,12.3333,12.1667,12.1667,31600
2000-11-29,12.25,12.5,12.1667,12.375,27100
2000-11-30,12.3333,12.4583,12.2917,12.4167,13000
2000-12-01,12.25,12.25,12.0,12.25,21300
2000-12-04,12.1667,12.25,12.0,12.125,5500
2000-12-05,12.1667,12.3333,12.0417,12.3333,20500
2000-12-06,12.3333,12.4167,12.2917,12.4167,6600
2000-12-07,12.25,12.5,12.1667,12.2917,14700
2000-12-08,12.25,12.3333,12.25,12.3333,2200
2000-12-11,12.4167,12.5,12.25,12.3333,22600
2000-12-12,12.3333,12.3333,12.1667,12.25,7300
2000-12-13,12.1667,12.25,12.0833,12.2083,4800
2000-12-14,12.25,12.3333,12.25,12.25,4200
2000-12-15,12.1667,12.2917,12.0417,12.125,12400
2000-12-18,12.125,12.2917,12.125,12.1667,8700
2000-12-19,12.1667,12.4167,12.1667,12.25,17500
2000-12-20,12.1667,12.1667,12.1667,12.1667,1500
2000-12-21,12.25,12.3333,12.0417,12.0833,5400
2000-12-22,12.0833,12.2083,12.0833,12.2083,13200
2000-12-26,12.125,12.2083,12.0417,12.2083,11100
2000-12-27,12.2083,12.2083,12.0,12.2083,8500
2000-12-28,12.0417,12.3333,12.0,12.25,7300
2000-12-29,12.25,12.4167,12.1667,12.4167,41700
2001-01-02,12.5,12.5,12.25,12.4583,5100
2001-01-03,12.5,12.75,12.5,12.5,13600
2001-01-04,12.5,12.5833,12.375,12.5833,10800
2001-01-05,12.75,12.75,12.5417,12.625,13000
2001-01-08,12.6667,12.7083,12.5,12.5833,9300
2001-01-09,12.5833,12.7083,12.5417,12.625,2100
2001-01-10,12.5833,12.6667,12.5,12.6667,14700
2001-01-11,12.7083,12.7083,12.5,12.5833,8800
2001-01-12,12.6667,12.6667,12.4167,12.5833,8500
2001-01-16,12.5,12.625,12.25,12.25,15300
2001-01-17,12.375,12.375,12.0417,12.125,16900
2001-01-18,12.0833,12.25,11.5833,11.9167,20500
2001-01-19,11.9583,12.1667,11.6667,12.0,14500
2001-01-22,12.0833,12.125,11.9167,12.0417,6700
2001-01-23,12.1667,12.1667,11.8333,12.0417,9100
2001-01-24,12.2083,12.2083,11.9167,11.9583,5100
2001-01-25,12.0,12.0833,12.0,12.0833,2800
2001-01-26,12.125,12.2917,12.0833,12.2917,14400
2001-01-29,12.3333,12.4133,12.1667,12.4,14400
2001-01-30,12.2333,12.4,12.08,12.2667,24000
2001-01-31,12.2,12.3667,11.9333,12.1,28500
2001-02-01,12.1667,12.2667,12.0,12.0667,27300
2001-02-02,12.0,12.0667,11.9333,12.0667,8700
2001-02-05,12.0667,12.2,12.0267,12.1333,4300
2001-02-06,12.3,12.3267,12.1667,12.3067,6600
2001-02-07,12.3267,12.3267,12.3067,12.3267,4000
2001-02-08,12.3267,12.3267,12.1333,12.3,11800
2001-02-09,12.2333,12.2933,12.2333,12.2933,2400
2001-02-12,12.2333,12.2933,12.1733,12.2333,4600
2001-02-13,12.2667,12.2933,12.1333,12.1333,9900
2001-02-14,12.1467,12.2267,12.1467,12.2267,2200
2001-02-15,12.1667,12.2733,12.1667,12.2133,9000
2001-02-16,12.1333,12.1667,12.0867,12.1667,2400
2001-02-20,12.26,12.2933,12.0,12.14,21900
2001-02-21,12.2333,12.2333,12.1333,12.1667,3100
2001-02-22,12.2,12.26,12.1,12.26,5500
2001-02-23,12.3,12.3267,12.2,12.3,5500
2001-02-26,12.3267,12.3867,12.3267,12.3667,5100
2001-02-27,12.4067,12.4067,12.3,12.3867,26200
2001-02-28,12.3333,12.3333,12.2,12.2867,12700
2001-03-01,12.3333,12.4,12.2667,12.2667,21400
2001-03-02,12.2333,12.26,12.2333,12.26,600
2001-03-05,12.3333,12.3333,12.2,12.2667,2500
2001-03-06,12.1067,12.2333,12.0333,12.2,9100
2001-03-07,12.3667,12.3933,12.2667,12.2667,14100
2001-03-08,12.0067,12.3,12.0067,12.2933,8100
2001-03-09,12.2333,12.3067,12.1667,12.3,3300
2001-03-12,12.3333,12.3333,12.2,12.26,6900
2001-03-13,12.2933,12.3,12.2333,12.2333,5800
2001-03-14,12.3,12.3,12.28,12.28,1300
2001-03-15,12.3267,12.3267,12.2,12.2667,5700
2001-03-16,12.1333,12.2667,12.1333,12.2667,6100
2001-03-19,12.3333,12.3333,12.2333,12.3333,5100
2001-03-20,12.2667,12.3333,12.2333,12.3333,6000
2001-03-21,12.36,12.36,12.2333,12.2667,7500
2001-03-22,12.3267,12.3267,12.2333,12.2933,6400
2001-03-23,12.24,12.3267,12.24,12.2733,2700
2001-03-26,12.3267,12.3267,12.1,12.1,7900
2001-03-27,12.1333,12.18,12.1,12.1667,4900
2001-03-28,12.2667,12.2667,12.1667,12.2667,3700
2001-03-29,12.2533,12.2533,12.2,12.2,1600
2001-03-30,12.1667,12.2333,12.0,12.1333,11400
2001-04-02,12.1333,12.16,12.0,12.16,7200
2001-04-03,12.0,12.0667,11.9333,11.9667,7500
2001-04-04,12.0,12.0333,11.7333,11.8667,8800
2001-04-05,11.9667,12.1267,11.9667,12.1267,7900
2001-04-06,12.1667,12.2267,12.1333,12.2,4500
2001-04-09,12.2267,12.2267,12.1333,12.1333,1800
2001-04-10,12.2333,12.2667,12.1333,12.1467,7800
2001-04-11,12.1333,12.1333,11.9333,12.1333,16900
2001-04-12,12.16,12.26,12.16,12.2,4600
2001-04-16,12.1,12.1667,12.1,12.1667,1000
2001-04-17,12.1,12.1667,12.0,12.1,5800
2001-04-18,12.16,12.16,12.14,12.1533,900
2001-04-19,12.1,12.2667,12.0667,12.16,11200
2001-04-20,12.1333,12.2467,12.1333,12.2467,16600
2001-04-23,12.3,12.3,12.1733,12.2,16300
2001-04-24,12.2667,12.3267,12.1333,12.1667,18000
2001-04-25,12.1533,12.5,12.1533,12.5,23700
2001-04-26,12.5,12.5,12.3333,12.5,17400
2001-04-27,12.5,12.5533,12.4333,12.4333,5200
2001-04-30,12.5667,12.6,12.4,12.5,16500
2001-05-01,12.5,12.5,12.4,12.5,14700
2001-05-02,12.4,12.4667,12.3333,12.4667,14500
2001-05-03,12.4933,12.4933,12.4333,12.4333,4000
2001-05-04,12.3,12.4933,12.2667,12.4933,16200
2001-05-07,12.3267,12.5,12.28,12.4,19600
2001-05-08,12.4933,12.4933,12.2667,12.3,14100
2001-05-09,12.3667,12.4,12.3333,12.3333,3300
2001-05-10,12.2333,12.4,12.2333,12.4,3600
2001-05-11,12.4667,12.4933,12.4,12.4667,9900
2001-05-14,12.5333,12.5333,12.2,12.3333,10800
2001-05-15,12.3333,12.4667,12.3,12.4333,16800
2001-05-16,12.4933,12.5333,12.3667,12.4667,14400
2001-05-17,12.4,12.5,12.4,12.4333,9300
2001-05-18,12.5,12.5,12.34,12.4267,11200
2001-05-21,12.4667,12.5333,12.36,12.4,6700
2001-05-22,12.4667,12.5667,12.4667,12.5,17500
