date,open,high,low,close,volume
2012-03-14,9.2727,9.2727,9.2727,9.2727,0
2012-03-15,9.2727,9.2727,9.2727,9.2727,0
2012-03-16,9.2727,9.2727,9.2727,9.2727,0
2012-03-19,9.2727,9.2727,9.2727,9.2727,0
2012-03-20,9.2727,9.2727,9.2727,9.2727,0
2012-03-21,9.2727,9.2727,9.2727,9.2727,0
2012-03-22,9.2727,9.2727,9.2727,9.2727,0
2012-03-23,9.2727,9.2727,9.2727,9.2727,0
2012-03-26,9.2727,9.2727,9.2727,9.2727,0
2012-03-27,9.2727,9.2727,9.2727,9.2727,0
2012-03-28,9.2727,9.2727,9.2727,9.2727,0
2012-03-29,9.2727,9.2727,9.2727,9.2727,0
2012-03-30,9.2727,9.2727,9.2727,9.2727,0
2012-04-02,9.2727,9.2727,9.2727,9.2727,0
2012-04-03,9.2727,9.2727,9.2727,9.2727,0
2012-04-04,9.2727,9.2727,9.2727,9.2727,0
2012-04-05,9.2727,9.2727,9.2727,9.2727,0
2012-04-09,9.2727,9.2727,9.2727,9.2727,0
2012-04-10,9.2727,9.2727,9.2727,9.2727,0
2012-04-11,9.3182,9.3182,9.3182,9.3182,300
2012-04-12,9.3182,9.3182,9.3182,9.3182,0
2012-04-13,9.3182,9.3182,9.3182,9.3182,0
2012-04-16,9.3182,9.3182,9.3182,9.3182,0
2012-04-17,9.3182,9.3182,9.3182,9.3182,0
2012-04-18,9.3182,9.3182,9.3182,9.3182,0
2012-04-19,9.3182,9.3182,9.3182,9.3182,0
2012-04-20,9.3182,9.3182,9.3182,9.3182,0
2012-04-23,9.3182,9.3182,9.3182,9.3182,0
2012-04-24,11.1364,11.1364,11.1364,11.1364,100
2012-04-25,11.1364,11.1364,11.1364,11.1364,0
2012-04-26,11.1364,11.1364,11.1364,11.1364,0
2012-04-27,11.1364,11.1364,11.1364,11.1364,0
2012-04-30,11.1364,11.1364,11.1364,11.1364,0
2012-05-01,11.1364,11.1364,11.1364,11.1364,0
2012-05-02,11.1364,11.1364,11.1364,11.1364,0
2012-05-03,10.9091,10.9091,10.9091,10.9091,300
2012-05-04,10.9091,10.9091,10.9091,10.9091,0
2012-05-07,10.9091,11.3636,10.9091,11.3636,400
2012-05-08,11.8182,11.8182,10.0,10.0,400
2012-05-09,10.0,10.0,10.0,10.0,0
2012-05-10,10.0,10.0,10.0,10.0,0
2012-05-11,10.0,10.0,10.0,10.0,0
2012-05-14,10.0,10.0,10.0,10.0,0
2012-05-15,11.3636,11.3636,11.3636,11.3636,400
2012-05-16,11.3636,11.3636,11.3636,11.3636,0
2012-05-17,11.3636,11.3636,11.3636,11.3636,0
2012-05-18,11.3636,11.3636,11.3636,11.3636,0
2012-05-21,11.3636,11.3636,11.3636,11.3636,0
2012-05-22,11.3636,11.3636,11.3636,11.3636,100
2012-05-23,11.3636,11.3636,11.3636,11.3636,0
2012-05-24,11.3636,11.3636,11.3636,11.3636,0
2012-05-25,11.3636,11.3636,11.3636,11.3636,0
2012-05-29,11.3636,11.3636,11.3636,11.3636,0
2012-05-30,11.3636,11.3636,11.3636,11.3636,0
2012-05-31,11.3636,11.3636,11.3636,11.3636,0
2012-06-01,10.0,10.0,10.0,10.0,200
2012-06-04,10.0,10.0,10.0,10.0,0
2012-06-05,10.0,10.0,10.0,10.0,0
2012-06-06,10.0,10.0,10.0,10.0,0
2012-06-07,10.0,10.0,10.0,10.0,0
2012-06-08,10.0,10.0,10.0,10.0,0
2012-06-11,10.0,10.0,10.0,10.0,0
2012-06-12,10.0,10.0,10.0,10.0,0
2012-06-13,10.0,10.0,10.0,10.0,0
2012-06-14,10.0,10.0,10.0,10.0,0
2012-06-15,10.0,10.0,10.0,10.0,0
2012-06-18,10.0,10.0,10.0,10.0,0
2012-06-19,10.0,10.0,10.0,10.0,0
2012-06-20,10.0,10.0,10.0,10.0,0
2012-06-21,10.0,10.0,10.0,10.0,400
2012-06-22,10.0,10.0,10.0,10.0,0
2012-06-25,10.0,10.0,10.0,10.0,0
2012-06-26,10.6818,10.8182,10.0182,10.8182,1600
2012-06-27,10.6818,10.6818,10.0182,10.0182,1400
2012-06-28,10.8545,10.8545,10.6818,10.6818,700
2012-06-29,10.6818,10.6818,10.6818,10.6818,300
2012-07-02,10.6818,10.6818,10.6818,10.6818,0
2012-07-03,11.3,11.3,11.3,11.3,100
2012-07-05,11.8182,11.8182,11.8182,11.8182,100
2012-07-06,11.8182,11.8182,11.8182,11.8182,0
2012-07-09,11.8182,11.8182,11.8182,11.8182,0
2012-07-10,11.8182,11.8182,11.8182,11.8182,0
2012-07-11,11.8182,11.8182,11.8182,11.8182,0
2012-07-12,11.8182,11.8182,11.8182,11.8182,0
2012-07-13,10.8727,10.8727,10.0909,10.6818,1700
2012-07-16,10.6818,10.6818,10.6818,10.6818,0
2012-07-17,10.6818,10.6818,10.6818,10.6818,0
2012-07-18,10.6818,10.6818,10.6818,10.6818,0
2012-07-19,10.4545,10.4545,10.4545,10.4545,200
2012-07-20,10.4545,10.4545,10.4545,10.4545,0
2012-07-23,10.4545,10.4545,10.4545,10.4545,0
2012-07-24,10.4545,10.4545,10.4545,10.4545,0
2012-07-25,10.4545,10.4545,10.1364,10.1364,700
2012-07-26,10.3636,10.3636,10.3636,10.3636,100
2012-07-27,10.3636,10.3636,10.3636,10.3636,0
2012-07-30,10.3636,10.3636,10.3636,10.3636,0
2012-07-31,10.9091,10.9091,10.6818,10.6818,1300
2012-08-01,10.8182,10.9091,10.8182,10.9091,700
