date,open,high,low,close,volume
2014-05-19,255.12,276.0,255.12,273.6,80000
2014-05-20,271.2,276.6,258.6,265.92,86100
2014-05-21,276.0,276.0,259.8,262.32,104400
2014-05-22,262.32,262.32,262.32,262.32,0
2014-05-23,264.0,266.16,260.4,263.52,56200
2014-05-27,264.0,265.8,259.32,264.24,24100
2014-05-28,265.68,269.76,259.32,268.92,37200
2014-05-29,270.0,276.24,268.56,274.68,36400
2014-05-30,274.32,283.56,252.0,276.72,268000
2014-06-02,273.48,295.08,269.52,279.0,129400
2014-06-03,278.4,298.68,273.96,277.2,315800
2014-06-04,277.92,282.12,270.96,274.08,188400
2014-06-05,274.44,279.36,271.2,272.04,147300
2014-06-06,272.04,278.88,269.52,273.0,204000
2014-06-09,273.0,284.16,271.8,275.52,172800
2014-06-10,281.16,287.88,273.96,283.8,243600
2014-06-11,284.16,305.4,279.12,298.2,167300
2014-06-12,299.16,315.96,298.2,309.24,172900
2014-06-13,308.64,326.88,306.0,324.48,114100
2014-06-16,324.72,340.8,324.36,336.0,176800
2014-06-17,335.88,340.44,314.1,321.48,209400
2014-06-18,317.88,321.36,306.96,316.92,159300
2014-06-19,316.68,321.36,306.0,309.72,167600
2014-06-20,309.0,317.94,301.44,303.0,244900
2014-06-23,302.28,306.72,296.4,305.16,115400
2014-06-24,305.64,308.28,301.2,302.4,104100
2014-06-25,300.36,309.84,299.4,302.88,155500
2014-06-26,302.76,309.6,298.2,305.4,81300
2014-06-27,303.72,315.48,302.328,312.12,636800
2014-06-30,312.36,312.96,299.04,300.36,118800
2014-07-01,300.0,318.24,300.0,311.52,159700
2014-07-02,309.84,323.16,306.96,318.6,74800
2014-07-03,319.08,328.68,316.8,326.04,27200
2014-07-07,325.2,338.28,322.68,324.6,101000
2014-07-08,325.44,326.4,319.8,324.6,218100
2014-07-09,326.4,332.16,320.4,329.4,60200
2014-07-10,323.16,326.04,318.96,319.92,79400
2014-07-11,318.96,324.84,318.0,321.96,60800
2014-07-14,325.08,325.68,318.0,319.56,90600
2014-07-15,318.24,321.12,312.36,320.28,40100
2014-07-16,321.0,321.0,313.2,315.48,55100
2014-07-17,313.8,317.28,303.48,304.32,67800
2014-07-18,303.48,314.04,303.0,308.76,62100
2014-07-21,309.36,309.48,301.68,305.52,50600
2014-07-22,307.68,309.24,304.44,306.24,32200
2014-07-23,306.24,307.92,301.56,307.08,39400
2014-07-24,308.4,308.4,303.12,304.56,42300
2014-07-25,302.4,305.76,298.8,303.72,48600
2014-07-28,304.92,316.8,299.16,314.4,116600
2014-07-29,313.92,315.84,308.52,311.64,76000
2014-07-30,313.68,317.4,309.84,312.6,87600
2014-07-31,309.72,311.04,299.28,304.8,121200
2014-08-01,305.52,310.68,300.12,307.2,199100
2014-08-04,307.56,310.92,303.0,308.28,231400
2014-08-05,305.88,310.08,300.48,304.32,95500
2014-08-06,302.04,308.88,286.32,294.6,238500
2014-08-07,294.96,301.56,292.44,299.4,85000
2014-08-08,298.8,306.72,296.88,304.2,137500
