date,open,high,low,close,volume
2018-08-02,18.0,18.18,17.49,17.81,14835900
2018-08-03,17.94,19.45,17.76,18.55,3003900
2018-08-06,18.75,18.79,18.44,18.5,1057700
2018-08-07,18.45,18.75,18.1,18.36,1367700
2018-08-08,18.25,18.42,17.8,18.13,4004200
2018-08-09,18.0,18.48,17.89,18.22,879800
2018-08-10,18.33,18.36,17.99,18.0,1808500
2018-08-13,18.08,18.37,17.75,17.91,770000
2018-08-14,18.1,18.27,17.78,18.01,300200
2018-08-15,17.85,18.19,17.5,17.62,346000
2018-08-16,17.51,18.07,17.25,17.47,777600
2018-08-17,17.5,18.09,17.33,17.84,364900
2018-08-20,17.91,18.19,17.5,17.85,425000
2018-08-21,17.79,18.04,17.56,17.82,393800
2018-08-22,17.66,17.77,17.4,17.48,1257300
2018-08-23,17.52,17.77,17.51,17.55,209100
2018-08-24,17.8,17.8,17.45,17.65,369800
2018-08-27,18.02,18.17,17.8,17.84,561400
2018-08-28,18.1,18.11,17.8,18.0,336100
2018-08-29,18.1,18.1,17.76,17.82,707300
2018-08-30,17.84,17.99,17.6,17.75,520100
2018-08-31,17.82,17.86,17.63,17.66,239100
2018-09-04,17.68,17.95,17.45,17.55,1047900
2018-09-05,17.48,17.64,17.28,17.56,822900
2018-09-06,17.8,18.06,17.5,18.03,1362900
2018-09-07,18.01,18.04,17.4,17.94,846800
2018-09-10,18.03,18.47,18.03,18.3,953300
2018-09-11,18.21,18.75,18.21,18.59,956700
2018-09-12,18.57,18.93,18.35,18.39,612500
2018-09-13,18.39,18.5,17.95,18.09,1129400
2018-09-14,18.06,18.32,18.0,18.03,734700
2018-09-17,18.04,18.4,17.8,17.8,669700
2018-09-18,17.89,18.08,17.74,17.94,840900
2018-09-19,17.95,18.35,17.63,17.63,1202600
2018-09-20,17.72,18.2,17.62,18.0,1547200
2018-09-21,18.03,18.07,17.78,18.0,6062800
2018-09-24,18.0,18.11,17.8,17.99,829400
2018-09-25,17.97,18.0,17.5,17.56,460700
2018-09-26,17.66,17.79,17.37,17.47,652100
2018-09-27,17.46,17.59,17.02,17.05,890600
2018-09-28,17.01,17.12,16.65,16.99,1280700
2018-10-01,17.12,17.26,16.67,16.86,943100
2018-10-02,16.93,16.98,16.45,16.53,658300
2018-10-03,16.53,16.72,16.1,16.38,587700
2018-10-04,16.42,16.84,16.27,16.67,972700
2018-10-05,16.64,16.88,16.35,16.55,560900
2018-10-08,16.51,16.97,16.21,16.37,473400
2018-10-09,16.42,16.44,16.2,16.29,593400
2018-10-10,16.22,16.24,15.14,15.32,1693800
2018-10-11,15.21,15.88,15.17,15.5,1134500
2018-10-12,15.61,16.02,15.61,15.88,592800
2018-10-15,15.86,16.26,15.7,16.19,337800
2018-10-16,16.21,16.5,16.15,16.5,376000
2018-10-17,16.41,16.45,16.14,16.33,357000
2018-10-18,16.21,16.3,16.0,16.04,234200
2018-10-19,16.04,16.18,15.89,15.99,442500
2018-10-22,16.05,16.23,15.83,15.84,393300
2018-10-23,15.71,15.72,15.38,15.6,613500
2018-10-24,15.61,15.95,15.49,15.56,501400
2018-10-25,15.64,16.3,15.56,16.13,591400
2018-10-26,16.05,16.23,15.71,16.04,308400
2018-10-29,16.14,16.25,15.83,15.88,716200
2018-10-30,15.89,16.23,15.75,16.05,612300
2018-10-31,16.23,16.4,16.16,16.26,353400
2018-11-01,16.32,16.45,16.17,16.4,425300
2018-11-02,16.47,16.53,16.2,16.44,389400
2018-11-05,16.43,16.75,16.27,16.45,272600
2018-11-06,16.46,17.13,16.46,17.08,1109900
2018-11-07,17.09,17.54,16.92,17.45,535900
2018-11-08,17.39,17.76,17.36,17.76,342600
2018-11-09,17.68,17.78,17.52,17.7,212200
2018-11-12,17.73,17.77,16.43,16.48,431200
2018-11-13,16.49,16.93,16.34,16.85,255700
2018-11-14,17.9,19.14,17.9,18.65,3526100
2018-11-15,18.65,18.9,18.15,18.29,835000
2018-11-16,18.25,18.5,18.07,18.3,666800
2018-11-19,18.34,18.46,18.1,18.26,640900
2018-11-20,18.17,18.31,17.4,17.57,866400
2018-11-21,17.7,17.97,17.53,17.88,1102700
2018-11-23,17.9,18.42,17.9,18.12,489500
2018-11-26,18.23,18.49,17.64,18.17,1014400
2018-11-27,18.18,18.25,18.01,18.15,1214700
2018-11-28,18.25,18.49,18.16,18.35,1287600
2018-11-29,18.26,18.7,18.01,18.58,1008400
2018-11-30,18.58,18.65,18.45,18.62,980800
2018-12-03,18.76,19.24,18.62,19.0,942700
