date,open,high,low,close,volume
2015-02-06,16.25,16.44,15.5,15.5,3498100
2015-02-09,15.49,15.94,15.18,15.8,446300
2015-02-10,15.6,16.25,15.47,15.9,677200
2015-02-11,16.2,16.2,15.65,15.92,252100
2015-02-12,15.88,16.16,15.83,15.95,99500
2015-02-13,16.1,16.12,15.75,15.79,57700
2015-02-17,16.1,16.14,15.86,15.86,45900
2015-02-18,16.05,16.07,15.87,15.9,59300
2015-02-19,15.82,16.0,15.82,15.88,41000
2015-02-20,15.85,16.57,15.8,15.99,243700
2015-02-23,15.9,16.47,15.55,16.33,85800
2015-02-24,16.26,16.67,16.26,16.49,343200
2015-02-25,16.8,16.8,16.26,16.47,100900
2015-02-26,16.5,16.5,16.12,16.42,35900
2015-02-27,16.32,16.56,16.02,16.1,497800
2015-03-02,16.1,16.5,16.1,16.47,77200
2015-03-03,16.35,16.645,16.32,16.5,110000
2015-03-04,16.49,16.65,16.16,16.49,85800
2015-03-05,16.53,16.86,16.17,16.22,60700
2015-03-06,16.1,16.19,15.25,15.54,185200
2015-03-09,15.55,15.78,15.5,15.64,353100
2015-03-10,15.55,15.92,15.43,15.61,172800
2015-03-11,15.57,15.86,15.545,15.62,89300
2015-03-12,15.74,15.97,15.65,15.81,212000
2015-03-13,15.8,16.03,15.41,15.46,302200
2015-03-16,15.61,15.81,15.45,15.5,211000
2015-03-17,15.51,15.79,15.4,15.56,236000
2015-03-18,15.51,15.78,15.46,15.67,116900
2015-03-19,15.6,15.88,15.6,15.81,221100
2015-03-20,15.74,16.09,15.74,15.98,548000
2015-03-23,16.05,16.45,16.05,16.14,217500
2015-03-24,16.21,16.44,15.95,16.17,358200
2015-03-25,16.22,16.37,15.98,16.09,220200
2015-03-26,16.07,16.38,16.07,16.17,183600
2015-03-27,16.17,16.34,15.955,16.18,162800
2015-03-30,16.34,16.34,16.06,16.16,175300
2015-03-31,16.07,16.5,16.05,16.05,1564600
2015-04-01,16.18,16.27,15.83,16.2,297300
2015-04-02,16.2,16.41,16.1,16.23,131300
2015-04-06,16.2,16.52,16.185,16.37,184800
2015-04-07,16.21,16.34,16.11,16.17,274600
2015-04-08,16.11,16.3,16.1,16.18,128000
2015-04-09,16.2,16.25,15.94,16.06,190600
2015-04-10,16.06,16.41,15.96,16.22,295600
2015-04-13,16.19,16.34,16.19,16.28,93700
2015-04-14,16.33,16.43,16.22,16.4,255000
2015-04-15,16.39,16.59,16.28,16.43,133400
2015-04-16,16.25,16.48,16.19,16.21,100000
2015-04-17,16.1,16.16,15.88,15.99,146300
2015-04-20,16.04,16.35,16.03,16.09,78600
2015-04-21,16.12,16.25,16.071,16.16,241600
2015-04-22,16.12,16.2,15.97,16.05,103000
2015-04-23,15.97,16.24,15.97,16.15,223200
2015-04-24,16.2,16.26,16.1,16.19,159200
2015-04-27,16.19,16.24,16.12,16.22,213800
2015-04-28,16.24,16.35,16.08,16.16,57900
2015-04-29,16.19,16.2,16.03,16.13,46300
2015-04-30,16.06,16.06,15.7,15.75,94800
2015-05-01,15.78,16.12,15.75,15.77,83600
2015-05-04,15.84,16.08,15.805,15.98,59500
2015-05-05,15.91,16.01,15.67,15.86,119900
2015-05-06,15.88,16.04,15.67,15.88,48000
2015-05-07,15.85,16.04,15.805,15.97,86400
2015-05-08,16.11,16.35,16.1,16.19,46300
2015-05-11,16.05,16.2,15.97,16.05,26400
2015-05-12,15.94,16.13,15.7,15.92,45100
2015-05-13,15.95,15.996,15.39,15.43,109800
2015-05-14,15.33,15.63,15.32,15.54,133100
2015-05-15,15.5,15.7,15.3,15.65,65100
2015-05-18,15.75,16.07,15.75,15.85,72300
2015-05-19,15.9,15.95,15.71,15.93,51100
2015-05-20,16.29,16.29,15.95,16.0,47100
2015-05-21,16.02,16.08,15.985,16.0,50800
2015-05-22,15.99,16.01,15.93,15.99,35800
2015-05-26,16.32,16.32,15.76,15.97,66600
2015-05-27,15.88,16.18,15.841,16.1,51000
2015-05-28,16.02,16.06,15.65,15.73,60500
2015-05-29,15.7,15.86,15.48,15.53,112300
2015-06-01,15.61,16.06,15.49,16.01,52800
2015-06-02,15.93,15.93,15.63,15.65,26100
2015-06-03,15.65,16.07,15.5,15.8,34700
2015-06-04,15.7,15.76,15.54,15.73,50100
2015-06-05,15.62,15.8,15.5,15.57,73000
2015-06-08,15.59,15.74,15.44,15.46,30400
2015-06-09,15.34,15.56,15.25,15.46,19200
2015-06-10,15.49,15.72,15.46,15.5,26800
2015-06-11,15.6,15.74,15.43,15.7,51000
2015-06-12,15.67,15.95,15.5,15.93,77100
2015-06-15,15.82,15.895,15.68,15.82,36300
2015-06-16,15.75,15.85,15.69,15.71,68500
2015-06-17,15.77,15.898,15.7,15.78,16000
2015-06-18,15.83,16.125,15.74,16.07,122400
2015-06-19,16.07,16.12,15.8,15.87,166400
2015-06-22,15.89,16.04,15.68,15.91,59200
2015-06-23,15.95,15.95,15.65,15.83,40900
2015-06-24,15.87,16.02,15.7,15.87,165700
2015-06-25,15.83,15.92,15.57,15.81,89900
2015-06-26,15.86,16.0,15.81,16.0,414400
2015-06-29,15.91,16.05,15.8,15.83,192200
2015-06-30,15.812,15.94,15.665,15.92,51000
2015-07-01,15.93,16.0,15.67,15.9,44200
2015-07-02,15.9,15.9,15.71,15.74,13100
2015-07-06,15.69,15.96,15.545,15.68,143700
2015-07-07,15.7,15.834,15.53,15.72,407600
2015-07-08,15.63,15.89,15.6,15.7,25600
2015-07-09,15.87,15.96,15.61,15.68,146300
2015-07-10,15.78,15.93,15.63,15.74,158100
2015-07-13,15.83,15.85,15.72,15.78,157100
2015-07-14,15.74,15.81,15.7,15.77,132100
2015-07-15,15.83,15.86,15.61,15.69,209400
2015-07-16,15.77,15.81,15.65,15.7,68700
2015-07-17,15.74,15.752,15.6,15.64,33100
2015-07-20,15.6,15.76,15.6,15.7,72600
2015-07-21,15.66,15.76,15.59,15.63,217400
2015-07-22,15.66,15.75,15.62,15.69,48500
2015-07-23,15.68,15.72,15.59,15.62,159300
2015-07-24,15.6,15.72,15.595,15.61,153600
2015-07-27,15.6,15.74,15.59,15.67,155400
2015-07-28,15.65,15.67,15.54,15.61,118800
2015-07-29,15.59,15.77,15.57,15.68,66400
2015-07-30,15.6,15.71,15.6,15.64,35500
2015-07-31,15.77,15.89,15.675,15.8,69400
2015-08-03,15.8,15.84,15.69,15.73,251500
2015-08-04,15.74,15.8,15.55,15.66,111600
2015-08-05,15.69,15.75,15.6,15.63,262900
2015-08-06,15.67,15.72,15.54,15.55,179300
2015-08-07,15.54,15.7,15.51,15.58,143000
2015-08-10,15.62,15.89,15.58,15.7,144200
2015-08-11,15.72,15.9,15.68,15.71,74200
2015-08-12,15.75,15.83,15.72,15.8,150200
2015-08-13,15.8,15.96,15.73,15.87,215300
2015-08-14,15.65,15.91,15.65,15.83,232900
2015-08-17,15.85,16.02,15.8,15.9,136300
2015-08-18,15.9,15.91,15.76,15.81,76800
2015-08-19,15.84,15.86,15.76,15.84,84600
2015-08-20,15.78,15.9,15.65,15.74,97200
2015-08-21,15.72,15.8,15.38,15.64,121000
2015-08-24,15.36,15.69,15.3,15.31,150800
2015-08-25,15.64,15.78,15.25,15.29,118400
2015-08-26,15.61,15.66,15.28,15.57,74500
2015-08-27,15.73,15.83,15.36,15.75,165800
2015-08-28,15.71,15.76,15.58,15.69,109800
2015-08-31,15.63,15.75,15.63,15.68,152500
2015-09-01,15.53,15.7,15.52,15.7,124400
2015-09-02,15.74,15.8,15.66,15.78,84000
2015-09-03,15.8,15.875,15.7,15.78,132000
2015-09-04,15.64,15.72,15.55,15.59,180800
2015-09-08,15.77,15.8,15.65,15.7,65200
2015-09-09,15.78,15.79,15.58,15.71,155100
2015-09-10,15.72,16.0,15.65,15.83,139700
2015-09-11,15.76,15.99,15.75,15.94,101200
2015-09-14,15.92,16.03,15.835,15.91,147100
2015-09-15,15.87,16.0,15.803,15.95,38600
2015-09-16,15.91,16.09,15.85,16.02,131300
2015-09-17,16.02,16.23,15.81,16.06,168400
2015-09-18,15.91,16.32,15.91,16.14,218300
2015-09-21,16.22,16.4,16.07,16.2,248900
2015-09-22,16.12,16.22,15.87,16.04,72000
2015-09-23,16.02,16.19,15.92,16.02,61700
2015-09-24,15.96,16.14,15.93,16.1,55500
2015-09-25,16.13,16.22,15.895,15.98,85700
2015-09-28,16.01,16.06,15.93,16.0,63500
2015-09-29,16.0,16.07,15.95,16.01,79700
2015-09-30,16.03,16.11,15.895,15.95,70400
2015-10-01,16.01,16.18,15.71,15.95,243800
2015-10-02,15.9,16.0,15.84,15.95,66200
2015-10-05,16.02,16.08,15.96,16.0,80700
2015-10-06,16.0,16.13,15.98,16.01,40300
2015-10-07,15.99,16.29,15.98,16.2,61200
2015-10-08,16.26,16.41,16.12,16.22,81900
2015-10-09,16.25,16.445,16.21,16.37,54500
2015-10-12,16.41,17.06,16.41,17.0,85500
2015-10-13,16.96,17.19,16.92,17.02,66200
2015-10-14,17.02,17.18,16.84,17.04,56100
2015-10-15,17.07,17.42,17.02,17.38,83700
2015-10-16,17.42,17.81,17.39,17.68,137200
2015-10-19,17.66,17.99,17.66,17.68,38800
2015-10-20,17.64,17.785,17.51,17.7,61500
2015-10-21,17.7,17.78,17.57,17.57,32200
2015-10-22,17.57,17.9,17.41,17.5,85500
2015-10-23,17.54,17.57,17.211,17.39,43900
2015-10-26,17.41,17.5,17.31,17.41,36400
2015-10-27,17.34,17.48,17.18,17.35,34000
2015-10-28,17.41,17.85,17.355,17.78,41400
2015-10-29,17.61,17.77,17.56,17.73,57600
2015-10-30,17.69,17.84,17.45,17.48,61000
2015-11-02,17.51,17.605,17.46,17.5,93100
2015-11-03,17.37,17.76,17.33,17.7,75600
2015-11-04,17.72,17.968,17.6,17.7,53600
2015-11-05,18.12,18.15,17.44,17.68,50300
2015-11-06,17.65,17.7,16.61,16.62,119900
2015-11-09,16.62,16.96,16.5,16.87,86900
2015-11-10,16.9,17.15,16.83,17.14,65500
2015-11-11,17.19,17.36,17.1,17.28,57700
2015-11-12,17.25,17.28,16.89,16.92,35000
2015-11-13,16.73,17.66,16.73,17.26,169200
2015-11-16,17.26,17.835,17.04,17.69,115700
2015-11-17,17.73,18.1,17.61,17.63,74000
2015-11-18,17.63,17.93,17.45,17.69,62100
2015-11-19,17.69,17.825,17.57,17.71,70800
2015-11-20,17.71,17.96,17.69,17.71,99000
2015-11-23,17.66,18.15,17.57,17.94,74600
2015-11-24,17.88,18.13,17.61,18.0,82000
2015-11-25,18.07,18.17,17.83,17.9,81800
2015-11-27,17.92,18.51,17.92,18.27,62700
2015-11-30,18.34,18.82,17.85,17.86,789600
2015-12-01,17.88,17.98,17.65,17.86,83200
2015-12-02,17.62,17.92,17.075,17.35,93600
2015-12-03,17.26,17.38,16.82,17.11,74900
2015-12-04,17.13,17.41,16.99,17.32,42700
2015-12-07,17.34,17.34,17.07,17.14,51000
2015-12-08,17.1,17.1,16.85,16.98,82000
2015-12-09,16.85,17.23,16.85,17.1,105900
2015-12-10,17.16,17.59,16.82,17.19,61000
2015-12-11,17.05,17.56,17.05,17.46,87800
2015-12-14,17.41,17.545,17.125,17.21,73200
2015-12-15,17.24,17.62,17.17,17.54,329000
2015-12-16,17.59,17.87,17.45,17.85,358900
2015-12-17,17.85,17.9,17.41,17.54,367500
2015-12-18,17.55,17.55,17.1,17.23,208400
2015-12-21,17.25,17.25,16.85,17.0,71200
2015-12-22,17.0,17.15,16.83,16.99,156000
2015-12-23,17.08,17.15,17.0,17.1,117100
2015-12-24,17.09,17.09,16.96,17.0,63700
2015-12-28,16.97,17.05,16.876,17.0,62400
2015-12-29,17.0,17.17,16.89,17.12,138800
2015-12-30,17.1,17.22,17.03,17.04,32500
2015-12-31,17.06,17.34,17.01,17.18,101700
2016-01-04,17.1,17.17,16.66,16.81,95600
2016-01-05,16.89,17.7,16.85,17.51,89500
2016-01-06,17.35,17.74,17.35,17.56,45400
2016-01-07,17.41,17.69,17.37,17.58,63400
2016-01-08,17.6,17.65,17.25,17.27,73600
2016-01-11,17.35,17.58,17.19,17.31,75900
2016-01-12,17.41,17.41,17.01,17.07,98800
2016-01-13,17.07,17.75,17.07,17.37,134600
2016-01-14,17.5,17.76,17.21,17.21,64100
2016-01-15,17.11,17.23,17.0,17.15,74000
2016-01-19,17.33,17.54,17.04,17.25,168300
2016-01-20,17.12,17.12,16.5,16.59,137900
2016-01-21,16.7,16.99,16.41,16.53,47800
2016-01-22,16.69,16.987,16.69,16.93,42900
