date,open,high,low,close,volume
2012-11-02,23.11,23.74,22.35,22.35,6563000
2012-11-05,22.45,22.91,21.75,22.7,887800
2012-11-06,22.9,22.9,22.38,22.5,116000
2012-11-07,22.5,22.84,21.8,22.68,229400
2012-11-08,22.59,22.69,22.2,22.24,62600
2012-11-09,22.15,22.72,22.11,22.51,57900
2012-11-12,22.5,22.52,21.82,22.06,79900
2012-11-13,22.0,22.0,21.4,21.7,174900
2012-11-14,21.61,21.89,21.32,21.53,99800
2012-11-15,21.3,21.58,21.2,21.36,45800
2012-11-16,21.31,21.48,20.52,21.24,147900
2012-11-19,21.5,21.65,21.25,21.45,46600
2012-11-20,21.1,21.37,20.85,21.3,140900
2012-11-21,21.23,21.55,20.96,21.45,196700
2012-11-23,21.67,22.75,21.62,21.88,39900
2012-11-26,21.94,22.19,21.92,22.16,73500
2012-11-27,22.46,23.0,22.35,23.0,170200
2012-11-28,22.9,23.05,22.54,22.9,46900
2012-11-29,22.87,23.06,22.32,22.4,30100
2012-11-30,22.55,22.59,21.63,22.45,44000
2012-12-03,22.88,23.16,22.72,22.84,101100
2012-12-04,22.73,22.73,22.4,22.58,19500
2012-12-05,22.39,22.69,22.26,22.61,39600
2012-12-06,22.57,23.11,22.34,22.73,47900
2012-12-07,22.84,22.84,22.45,22.75,35500
2012-12-10,22.84,22.84,22.51,22.65,23000
2012-12-11,22.63,22.63,22.3,22.37,34200
2012-12-12,22.28,22.43,22.28,22.42,23000
2012-12-13,22.35,22.35,21.75,21.81,22700
2012-12-14,21.76,21.84,21.73,21.8,7200
2012-12-17,21.67,21.98,21.5,21.98,8500
2012-12-18,22.11,22.99,21.78,22.35,50700
2012-12-19,22.48,22.69,22.35,22.5,39900
2012-12-20,22.7,22.95,22.42,22.89,27000
2012-12-21,22.88,23.23,22.24,22.24,55100
2012-12-24,22.29,23.23,22.29,23.02,26800
2012-12-26,23.08,23.15,22.59,22.66,12400
2012-12-27,22.72,22.94,22.51,22.53,10400
2012-12-28,22.51,22.73,22.47,22.6,3500
2012-12-31,21.55,23.11,21.3,23.0,24400
2013-01-02,23.23,23.98,23.1,23.85,96600
2013-01-03,23.82,24.37,23.52,23.98,84400
2013-01-04,24.07,24.42,23.87,23.91,60600
2013-01-07,23.91,24.17,23.74,23.8,55900
2013-01-08,23.78,23.84,23.07,23.33,42500
2013-01-09,23.22,23.7,22.76,23.58,39000
2013-01-10,23.82,24.46,23.54,24.36,206700
2013-01-11,24.32,25.0,24.3,24.84,76600
2013-01-14,24.88,24.98,24.43,24.49,72800
2013-01-15,24.23,24.71,24.23,24.64,19400
2013-01-16,24.45,25.0,24.45,24.51,175200
2013-01-17,24.95,24.95,24.6,24.65,31600
2013-01-18,24.63,24.74,24.2,24.49,12700
2013-01-22,24.45,25.27,24.45,25.14,66400
2013-01-23,25.55,25.74,24.92,25.73,26200
2013-01-24,25.69,25.9,25.24,25.51,27700
2013-01-25,25.6,25.89,25.5,25.81,45000
2013-01-28,25.9,26.5,25.23,25.7,60300
2013-01-29,25.63,26.1,25.24,25.78,24400
2013-01-30,25.72,25.72,25.33,25.47,43500
2013-01-31,25.48,25.95,25.45,25.89,348800
2013-02-01,25.89,26.47,25.51,26.11,83200
2013-02-04,26.07,26.14,25.78,26.06,142000
2013-02-05,25.81,27.02,25.81,26.97,37800
2013-02-06,26.79,26.99,26.52,26.56,26700
2013-02-07,26.41,27.3,26.22,27.02,466500
2013-02-08,27.02,27.97,26.64,26.89,49000
2013-02-11,27.02,27.17,26.54,26.8,21800
2013-02-12,27.15,27.8,26.63,27.8,31300
2013-02-13,27.69,28.43,27.2,28.43,20900
2013-02-14,27.8,28.81,27.8,28.28,29800
2013-02-15,28.12,28.58,27.01,27.36,118600
2013-02-19,27.6,28.94,27.56,28.45,41400
2013-02-20,28.45,28.47,27.88,28.36,29200
2013-02-21,28.13,28.71,27.39,27.8,63700
2013-02-22,27.87,28.27,27.6,27.66,17300
2013-02-25,28.05,28.67,27.65,27.65,29800
2013-02-26,27.75,28.24,27.16,27.9,55200
2013-02-27,27.91,28.02,27.46,27.81,39000
2013-02-28,27.78,28.24,27.5,28.18,45200
2013-03-01,27.84,28.1,27.72,28.1,229800
2013-03-04,28.19,28.43,27.8,27.89,27100
2013-03-05,28.18,28.99,27.71,28.99,58100
2013-03-06,28.95,28.95,27.66,28.76,113000
2013-03-07,28.49,29.4,28.08,28.95,127800
2013-03-08,29.24,29.4,28.59,29.11,40100
2013-03-11,29.05,29.5,28.66,29.32,38900
2013-03-12,29.34,29.48,28.05,29.17,101300
