date,open,high,low,close,volume
2000-10-05,2.9219,2.9219,2.9219,2.9219,400
2000-10-06,2.9219,2.9219,2.9219,2.9219,1200
2000-10-09,2.9219,2.9219,2.9219,2.9219,1600
2000-10-10,2.9375,3.0,2.9375,2.9531,14400
2000-10-11,2.9531,2.9531,2.9531,2.9531,800
2000-10-12,2.9375,3.0312,2.9375,3.0312,20000
2000-10-13,3.0156,3.0156,2.9688,2.9688,1200
2000-10-16,3.0625,3.0625,3.0312,3.0312,2000
2000-10-17,3.0938,3.0938,3.0938,3.0938,2400
2000-10-18,3.0625,3.0625,3.0625,3.0625,400
2000-10-19,3.0625,3.1562,3.0625,3.1562,18000
2000-10-20,3.3438,4.125,3.3438,4.0625,105200
2000-10-23,4.0938,4.1875,4.0625,4.0625,27200
2000-10-24,4.0312,4.0625,3.9375,4.0625,13200
2000-10-25,4.0,4.0,3.9688,4.0,11600
2000-10-26,4.0,4.0938,4.0,4.0938,16000
2000-10-27,4.0938,4.1562,4.0938,4.1562,14400
2000-10-30,4.125,4.125,4.125,4.125,1200
2000-10-31,4.0938,4.125,4.0938,4.125,2400
2000-11-01,4.0625,4.0625,4.0312,4.0312,5200
2000-11-02,4.0938,5.0312,4.0938,4.875,60800
2000-11-03,4.9688,4.9688,4.7031,4.7031,10400
2000-11-06,4.7031,4.7031,4.5,4.5469,20400
2000-11-07,4.5312,4.5312,4.4688,4.5,13600
2000-11-08,4.4375,4.4375,4.4375,4.4375,2800
2000-11-09,4.4688,4.4688,4.4688,4.4688,400
2000-11-10,4.4375,4.5,4.4375,4.4531,14400
2000-11-13,4.4375,4.4688,4.3125,4.3438,30000
2000-11-14,4.2812,4.2812,4.25,4.25,4000
2000-11-15,4.25,4.25,4.1562,4.1562,10400
2000-11-16,4.1562,4.1562,4.0625,4.0625,14400
2000-11-17,4.0312,4.0312,4.0312,4.0312,1200
2000-11-20,4.0312,4.0312,4.0312,4.0312,1600
2000-11-21,3.9688,4.0312,3.9688,4.0312,6400
2000-11-22,4.0,4.0,4.0,4.0,400
2000-11-24,4.0,4.0,4.0,4.0,0
2000-11-27,3.9688,3.9688,3.9688,3.9688,5600
2000-11-28,3.9062,3.9062,3.9062,3.9062,2800
2000-11-29,3.9062,4.1875,3.8906,3.9688,48400
