date,open,high,low,close,volume
2005-02-14,18.5,25.2,18.5,20.5,21600
2005-02-15,21.25,22.0,20.0,20.0,2000
2005-02-16,21.0,21.0,21.0,21.0,1000
2005-02-17,20.5,21.5,19.755,20.0,4200
2005-02-18,20.0,20.06,19.5,19.5,1400
2005-02-22,19.375,19.5,19.25,19.25,600
2005-02-23,19.0,19.0,18.0,18.25,5000
2005-02-24,18.25,18.25,17.25,17.275,10400
2005-02-25,17.25,17.25,16.6,16.6,13000
2005-02-28,16.5,16.5,16.125,16.49,12800
2005-03-01,16.45,16.5,15.8,16.45,13400
2005-03-02,16.45,16.45,15.4,15.5,9600
2005-03-03,15.7,15.8,15.475,15.475,7600
2005-03-04,15.815,15.875,15.35,15.35,9600
2005-03-07,15.525,15.525,15.525,15.525,200
2005-03-08,15.5,15.725,15.5,15.5,14600
2005-03-09,15.35,15.35,15.35,15.35,800
2005-03-10,15.625,15.625,15.2,15.2,10200
2005-03-11,15.2,15.2,15.2,15.2,0
2005-03-14,15.44,15.44,15.44,15.44,800
2005-03-15,15.44,15.81,15.44,15.5,2600
2005-03-16,15.5,15.5,15.5,15.5,1000
2005-03-17,15.5,15.5,14.75,15.0,1000
2005-03-18,15.25,15.25,15.0,15.0,1600
2005-03-21,14.625,14.7,13.5,13.85,14000
2005-03-22,14.0,14.0,13.8,13.8,400
2005-03-23,13.625,14.0,13.5,13.65,13000
2005-03-24,13.65,14.0,13.65,14.0,5000
2005-03-28,14.5,14.75,14.25,14.67,5600
2005-03-29,14.7,14.7,14.5,14.5,1000
2005-03-30,14.5,14.625,14.5,14.5,8000
2005-03-31,14.35,14.5,14.15,14.5,4800
2005-04-01,14.5,14.5,14.5,14.5,2000
2005-04-04,14.21,14.595,14.125,14.285,12400
2005-04-05,14.43,14.43,14.345,14.345,800
2005-04-06,14.74,14.74,14.415,14.625,5200
2005-04-07,14.625,14.625,14.625,14.625,0
2005-04-08,14.5,14.5,14.5,14.5,400
2005-04-11,14.75,14.75,14.37,14.375,2800
2005-04-12,14.375,14.375,14.375,14.375,0
2005-04-13,14.875,15.075,14.75,14.75,1600
2005-04-14,14.5,14.965,14.48,14.75,3200
2005-04-15,14.375,14.375,14.375,14.375,800
2005-04-18,14.375,14.5,14.375,14.5,2200
2005-04-19,14.25,14.25,14.25,14.25,200
2005-04-20,14.7,14.75,14.7,14.7,1000
2005-04-21,14.95,14.95,14.95,14.95,200
2005-04-22,15.0,15.0,15.0,15.0,7400
2005-04-25,15.0,15.0,15.0,15.0,13000
2005-04-26,15.0,15.0,15.0,15.0,800
2005-04-27,15.0,15.0,15.0,15.0,2200
2005-04-28,14.9,14.9,14.875,14.875,1600
2005-04-29,15.5,15.5,15.0,15.0,2800
2005-05-02,15.0,15.0,15.0,15.0,0
2005-05-03,15.0,15.0,15.0,15.0,0
2005-05-04,15.0,15.0,15.0,15.0,0
2005-05-05,15.0,15.0,15.0,15.0,0
2005-05-06,14.5,14.95,14.5,14.95,400
2005-05-09,14.505,14.655,14.505,14.64,1400
2005-05-10,14.64,14.64,14.64,14.64,0
2005-05-11,14.64,14.64,14.64,14.64,0
2005-05-12,14.64,14.64,14.64,14.64,0
2005-05-13,15.525,15.525,15.0,15.0,29200
2005-05-16,15.15,15.515,15.095,15.095,3000
2005-05-17,15.25,15.25,15.0,15.015,4000
2005-05-18,15.015,15.015,15.015,15.015,0
2005-05-19,15.015,15.015,15.015,15.015,0
2005-05-20,15.015,15.015,15.015,15.015,0
2005-05-23,15.25,15.25,15.25,15.25,600
