date,open,high,low,close,volume
2014-11-13,31.57,32.1,26.95,26.95,608300
2014-11-14,26.85,27.28,24.68,25.12,683200
2014-11-17,25.62,26.25,24.05,24.27,472400
2014-11-18,24.27,24.67,23.54,23.99,545300
2014-11-19,23.89,24.28,23.1,23.69,1007200
2014-11-20,23.69,24.31,23.36,23.42,340800
2014-11-21,24.0,24.08,23.028,23.37,574300
2014-11-24,22.91,23.99,22.87,22.96,408100
2014-11-25,23.04,23.62,21.66,22.3,1021900
2014-11-26,22.37,23.49,22.0,22.86,521400
2014-11-28,23.35,23.63,22.05,22.99,291500
2014-12-01,22.92,23.39,22.39,22.7,491000
2014-12-02,22.8,23.34,22.28,22.85,507100
2014-12-03,22.79,23.57,21.5,22.17,616900
2014-12-04,22.17,22.43,21.67,21.96,486900
2014-12-05,21.85,22.505,21.76,22.23,827100
2014-12-08,22.23,22.91,21.94,22.1,418600
2014-12-09,21.95,22.54,21.7,22.08,344500
2014-12-10,22.0,22.56,21.8,21.97,233900
2014-12-11,22.18,23.19,22.05,22.4,201900
2014-12-12,21.73,23.55,21.73,23.04,459500
2014-12-15,23.08,23.26,22.2,22.67,254400
2014-12-16,22.7,22.97,21.774,21.85,330600
2014-12-17,21.96,22.21,21.66,22.0,201500
2014-12-18,22.32,22.41,21.71,22.11,222900
2014-12-19,22.04,22.21,21.71,21.96,714100
2014-12-22,21.92,22.0,21.43,21.82,153000
2014-12-23,21.94,22.03,21.73,21.89,164700
2014-12-24,21.87,22.06,21.803,21.85,45600
2014-12-26,21.97,22.13,21.843,21.89,78700
2014-12-29,22.0,22.07,21.82,21.93,133800
2014-12-30,21.92,22.36,21.85,22.22,174400
2014-12-31,22.22,22.44,22.08,22.26,82700
2015-01-02,22.31,23.16,22.23,22.82,126100
2015-01-05,22.74,23.0,22.41,22.43,137400
2015-01-06,22.43,22.63,20.17,21.25,341600
2015-01-07,21.46,21.63,20.86,21.41,175500
2015-01-08,21.51,21.77,21.19,21.51,101300
2015-01-09,21.45,21.45,20.91,20.93,82300
2015-01-12,20.94,21.0,19.54,19.89,304100
2015-01-13,19.99,20.56,19.8,20.1,263100
2015-01-14,19.94,20.84,19.75,20.19,240300
2015-01-15,20.18,20.67,19.93,20.2,93800
2015-01-16,20.08,21.12,19.99,20.56,136300
2015-01-20,20.56,20.81,19.9,20.21,168000
2015-01-21,20.1,20.278,18.97,19.17,268000
2015-01-22,19.31,19.73,19.08,19.41,238900
2015-01-23,19.44,19.87,19.29,19.74,226600
2015-01-26,19.65,20.3,19.59,20.15,194700
2015-01-27,20.0,20.175,19.785,19.92,132600
2015-01-28,20.0,20.0,18.37,19.0,399200
2015-01-29,18.96,19.54,18.75,19.07,296100
2015-01-30,19.0,19.35,18.62,19.25,284500
2015-02-02,19.33,20.11,19.172,20.05,531300
