date,open,high,low,close,volume
2000-10-05,40.6875,40.875,36.75,37.625,57300
2000-10-06,37.75,37.75,32.25,34.75,70000
2000-10-09,34.6875,35.9375,34.5625,35.9375,119900
2000-10-10,35.625,35.75,34.25,34.75,36200
2000-10-11,34.625,35.0,33.375,34.4375,67100
2000-10-12,34.625,34.625,30.25,31.375,92700
2000-10-13,26.25,32.625,25.6875,31.9375,112800
2000-10-16,32.0,34.8594,32.0,34.375,57700
2000-10-17,34.375,35.1875,34.0,34.625,34700
2000-10-18,34.5,34.5,31.25,33.25,40900
2000-10-19,33.3125,34.8438,33.0,34.4375,73600
2000-10-20,34.375,38.75,34.125,37.5,42900
2000-10-23,36.6875,36.7031,35.375,35.875,37400
2000-10-24,35.5625,37.75,34.4375,35.75,46600
2000-10-25,34.875,37.0,34.0,35.75,61400
2000-10-26,35.75,36.4375,32.75,34.125,180800
2000-10-27,33.9375,33.9531,32.5625,33.625,93500
2000-10-30,33.5625,33.6875,32.0625,32.125,24900
2000-10-31,32.125,35.5625,31.25,35.0625,79900
2000-11-01,35.125,36.625,34.0625,35.5,126300
2000-11-02,35.5,39.0,35.5,37.4375,150500
2000-11-03,37.0,38.125,37.0,37.875,56400
2000-11-06,37.75,38.6875,37.0,37.875,52900
2000-11-07,37.9375,38.9375,36.0,38.875,124500
2000-11-08,39.0,39.0,37.75,38.375,64600
2000-11-09,38.4375,38.4375,37.625,38.3125,44700
2000-11-10,38.0,38.1875,33.0,33.0625,90500
2000-11-13,32.375,34.625,31.9375,34.375,118300
2000-11-14,35.3594,36.3125,34.75,35.0,132800
2000-11-15,35.0,35.25,33.5625,33.5625,45800
2000-11-16,32.5625,34.125,31.4375,31.5,90700
2000-11-17,32.375,32.75,31.0,31.875,33400
2000-11-20,29.8906,30.375,29.25,29.25,137700
2000-11-21,29.4375,29.4375,26.75,27.9688,84300
2000-11-22,27.8125,27.8125,25.5,25.8125,68600
2000-11-24,26.625,26.625,25.3125,25.625,29100
2000-11-27,25.625,28.0,23.5,25.0,163800
2000-11-28,25.0,25.25,22.0,22.5,63900
2000-11-29,22.3906,22.5,19.9375,20.3125,187700
2000-11-30,20.1875,20.25,15.0,17.25,183400
2000-12-01,18.0,18.625,16.5625,16.5625,206800
2000-12-04,17.5,18.5,15.375,16.0,452700
2000-12-05,16.2188,18.0,16.1875,18.0,244100
2000-12-06,17.9375,19.9375,17.0,18.0625,104100
2000-12-07,18.0625,18.125,17.25,17.9375,159200
2000-12-08,19.0,20.5,18.9375,19.75,207500
2000-12-11,20.0625,27.5,19.0625,27.0,255900
2000-12-12,26.5,27.0625,23.375,24.5625,117900
2000-12-13,24.125,24.625,22.8125,23.125,207800
2000-12-14,23.25,23.875,22.75,23.875,255400
2000-12-15,23.75,23.8125,23.0,23.375,177100
2000-12-18,23.25,23.875,23.0,23.0625,102000
2000-12-19,22.9375,23.0,21.375,21.375,95900
2000-12-20,20.75,20.9375,17.625,18.5625,118000
2000-12-21,18.0,22.125,18.0,20.3125,133800
2000-12-22,19.9375,23.5,19.375,23.5,239100
2000-12-26,22.75,25.0625,22.5625,24.4375,211500
2000-12-27,24.25,24.625,23.5,24.5,96700
2000-12-28,24.125,26.0625,24.125,25.6875,97400
2000-12-29,25.0,26.0625,25.0,25.6875,143300
2001-01-02,25.6875,25.75,22.5,23.5,133400
