date,open,high,low,close,volume
2012-11-28,19.95,19.98,19.93,19.98,1998200
2012-11-29,19.98,19.98,19.95,19.98,197500
2012-11-30,20.0,20.0,19.97,20.0,269700
2012-12-03,20.0,20.05,19.98,20.0,163600
2012-12-04,20.1,20.1,19.99,20.03,117800
2012-12-05,20.0,20.05,19.97,20.01,98200
2012-12-06,20.1,20.1,20.0,20.02,116600
2012-12-07,20.1,20.1,19.98,20.0,117600
2012-12-10,20.08,20.08,19.98,20.0,73100
2012-12-11,20.0,20.05,19.99,20.03,99000
2012-12-12,20.0,20.1,20.0,20.1,89600
2012-12-13,20.1,20.45,20.04,20.04,113900
2012-12-14,20.19,20.19,19.97,20.0,115800
2012-12-17,20.0,20.15,20.0,20.1,88100
2012-12-18,20.28,20.28,20.01,20.15,102100
2012-12-19,20.2,20.4,20.1,20.25,100700
2012-12-20,20.25,20.25,20.04,20.09,101900
2012-12-21,20.19,20.23,20.06,20.13,68400
2012-12-24,20.03,20.25,20.03,20.2,27800
2012-12-26,20.25,20.45,20.07,20.4,80700
2012-12-27,20.44,20.44,20.16,20.25,33800
2012-12-28,20.38,20.38,20.17,20.36,47100
2012-12-31,20.4,20.84,20.28,20.65,128500
2013-01-02,20.79,20.87,20.55,20.57,73000
2013-01-03,20.0,20.31,19.9,20.15,516500
2013-01-04,20.02,20.18,20.0,20.06,152300
2013-01-07,20.05,20.37,20.05,20.24,131800
2013-01-08,20.32,20.32,20.01,20.02,144200
2013-01-09,20.0,20.33,20.0,20.26,208900
2013-01-10,20.34,20.44,20.17,20.27,151000
2013-01-11,20.3,20.6,20.29,20.55,185700
2013-01-14,20.47,20.55,20.25,20.34,158800
2013-01-15,20.5,20.5,20.12,20.25,229400
2013-01-16,20.41,20.41,20.17,20.29,171700
2013-01-17,20.31,20.45,20.18,20.23,183500
2013-01-18,20.15,20.4,20.15,20.31,153100
2013-01-22,20.3,20.3,20.15,20.26,194000
2013-01-23,20.36,20.5,20.26,20.41,240200
2013-01-24,20.43,20.43,20.21,20.29,185600
2013-01-25,20.37,20.5,20.25,20.48,187500
2013-01-28,20.5,20.69,20.34,20.49,145800
2013-01-29,20.65,20.71,20.38,20.56,210100
2013-01-30,20.62,21.0,20.5,20.77,151300
2013-01-31,21.0,21.04,20.65,21.02,208200
2013-02-01,20.96,21.29,20.72,21.05,37200
2013-02-04,21.03,21.07,20.4,20.7,225800
2013-02-05,20.74,20.74,20.27,20.44,249100
2013-02-06,20.45,20.61,20.31,20.57,171900
2013-02-07,20.59,20.93,20.42,20.91,213600
2013-02-08,20.94,20.94,20.66,20.77,155700
2013-02-11,20.8,20.93,20.59,20.79,198800
2013-02-12,20.8,20.8,20.55,20.7,143200
2013-02-13,20.66,21.15,20.65,21.01,261200
2013-02-14,21.06,21.11,20.72,20.94,202600
2013-02-15,21.02,21.03,20.78,20.8,162100
2013-02-19,20.84,20.87,20.58,20.71,260000
2013-02-20,20.76,21.06,20.55,20.85,177000
2013-02-21,20.88,21.09,20.44,20.77,230000
2013-02-22,20.85,20.95,20.55,20.56,189900
2013-02-25,20.5,20.68,20.34,20.34,319900
2013-02-26,20.32,20.84,20.32,20.55,169800
2013-02-27,20.51,20.92,20.51,20.67,225700
2013-02-28,20.7,20.95,20.66,20.93,221400
2013-03-01,20.82,21.0,20.77,20.88,122200
2013-03-04,20.85,21.0,20.7,20.98,159200
2013-03-05,20.86,20.99,20.64,20.91,225900
2013-03-06,20.9,20.9,20.72,20.9,172100
2013-03-07,20.8,20.85,20.37,20.69,224000
2013-03-08,20.61,20.85,20.43,20.45,248600
2013-03-11,20.55,20.75,20.44,20.55,127400
2013-03-12,20.65,20.85,20.52,20.62,180600
2013-03-13,20.72,20.89,20.51,20.56,89800
2013-03-14,20.69,20.79,20.5,20.58,101100
2013-03-15,20.6,20.96,20.53,20.65,172000
2013-03-18,20.54,20.77,20.45,20.61,177400
2013-03-19,20.55,20.79,20.4,20.58,177000
2013-03-20,20.51,21.0,20.43,20.63,313400
2013-03-21,20.59,20.93,20.54,20.64,187600
2013-03-22,20.68,20.84,20.68,20.79,169900
2013-03-25,20.79,20.95,20.67,20.8,219100
2013-03-26,20.81,20.92,20.7,20.77,238300
2013-03-27,20.8,20.84,20.65,20.8,161800
2013-03-28,20.76,21.05,20.72,20.91,185200
2013-04-01,20.91,21.06,20.82,20.99,125900
2013-04-02,21.0,21.1,20.9,21.07,180400
2013-04-03,21.07,21.07,20.55,20.64,327400
2013-04-04,20.76,20.82,20.48,20.53,178200
2013-04-05,20.59,21.03,20.35,20.82,170100
2013-04-08,20.95,20.99,20.71,20.87,116300
2013-04-09,20.96,21.0,20.79,20.92,123300
2013-04-10,21.0,21.03,20.82,20.88,183900
2013-04-11,20.92,21.05,20.84,21.01,133200
2013-04-12,21.04,21.05,20.77,20.85,169800
2013-04-15,20.84,20.89,20.43,20.53,182100
2013-04-16,20.62,21.02,20.62,20.94,109400
2013-04-17,20.81,20.91,20.5,20.7,169400
2013-04-18,20.87,20.95,20.69,20.91,142200
2013-04-19,20.9,20.93,20.76,20.82,161800
2013-04-22,20.79,20.92,20.72,20.79,110100
2013-04-23,20.88,20.93,20.69,20.9,234900
2013-04-24,20.89,21.1,20.81,21.07,314300
2013-04-25,21.1,21.44,20.99,21.38,288600
2013-04-26,21.27,21.53,21.2,21.46,150700
2013-04-29,21.62,21.86,21.48,21.72,197200
2013-04-30,21.63,21.8,21.16,21.28,253000
2013-05-01,21.22,21.5,20.83,20.84,41600
2013-05-02,20.75,21.35,18.94,21.29,224700
2013-05-03,21.45,21.54,21.01,21.11,149600
2013-05-06,21.24,21.47,20.95,20.96,173500
2013-05-07,21.03,21.29,20.97,21.03,178800
2013-05-08,21.1,21.23,20.97,21.08,158900
2013-05-09,21.19,21.51,21.04,21.5,198000
2013-05-10,21.49,21.87,21.41,21.75,192600
2013-05-13,21.96,21.96,21.26,21.38,126800
2013-05-14,21.49,21.68,21.14,21.67,245200
2013-05-15,21.67,21.68,21.29,21.44,138700
2013-05-16,21.49,21.59,21.29,21.55,177800
2013-05-17,21.6,22.25,21.6,22.15,235700
2013-05-20,22.05,22.22,21.79,21.93,247400
2013-05-21,21.97,21.97,21.41,21.77,191900
2013-05-22,21.86,22.07,21.31,21.53,248900
2013-05-23,21.2,21.4,20.83,21.34,264000
2013-05-24,21.34,22.31,21.03,22.29,255500
2013-05-28,22.28,22.34,21.78,21.96,150200
2013-05-29,21.87,21.87,21.41,21.46,122400
2013-05-30,21.57,21.73,21.1,21.39,134000
2013-05-31,21.44,21.64,21.11,21.24,86900
2013-06-03,21.29,21.44,21.0,21.13,122700
2013-06-04,21.09,21.09,20.15,20.56,232400
2013-06-05,20.55,20.58,20.07,20.16,184900
2013-06-06,20.3,20.56,20.16,20.37,101800
2013-06-07,20.43,20.75,20.35,20.73,153000
2013-06-10,20.76,20.77,20.15,20.41,142700
2013-06-11,20.01,20.18,18.25,19.96,290200
2013-06-12,20.15,20.15,19.46,19.59,165500
2013-06-13,19.8,20.23,19.69,20.02,139100
2013-06-14,20.25,20.32,19.95,20.09,185300
2013-06-17,20.3,20.4,20.12,20.19,127500
2013-06-18,20.3,20.37,20.02,20.24,237700
2013-06-19,20.18,20.24,19.94,19.98,151100
2013-06-20,19.96,19.98,19.25,19.35,152200
2013-06-21,19.75,19.88,19.36,19.64,150500
2013-06-24,19.34,19.72,18.79,19.55,154800
2013-06-25,19.85,20.07,19.42,19.99,166000
2013-06-26,20.15,20.2,19.93,20.07,146700
2013-06-27,20.32,20.49,20.13,20.2,156600
2013-06-28,20.26,20.64,20.12,20.46,165900
2013-07-01,20.73,20.97,20.46,20.85,98600
2013-07-02,20.88,20.93,20.39,20.4,142200
2013-07-03,20.5,20.5,20.1,20.2,55700
2013-07-05,20.38,20.7,20.24,20.45,88700
2013-07-08,20.56,20.95,20.44,20.64,152900
2013-07-09,20.8,20.85,20.43,20.65,171500
2013-07-10,20.73,20.73,20.41,20.48,85100
2013-07-11,20.74,20.74,20.45,20.58,95700
2013-07-12,20.69,20.7,20.34,20.5,124600
2013-07-15,20.41,20.55,20.37,20.37,110100
2013-07-16,20.45,20.53,20.11,20.24,131600
2013-07-17,20.26,20.4,20.15,20.3,105500
2013-07-18,20.34,20.47,20.24,20.39,105300
2013-07-19,20.24,20.5,20.11,20.29,118000
2013-07-22,20.37,20.4,20.22,20.38,89000
2013-07-23,20.49,20.7,20.22,20.43,156200
2013-07-24,20.46,20.59,20.02,20.15,159100
2013-07-25,20.2,20.37,20.05,20.21,88500
2013-07-26,20.22,20.55,20.08,20.55,83100
2013-07-29,20.53,20.53,20.06,20.13,174400
2013-07-30,20.14,20.33,20.01,20.32,146100
2013-07-31,20.4,20.84,20.27,20.78,118300
2013-08-01,20.84,21.05,20.62,20.65,147100
2013-08-02,20.65,20.95,20.4,20.85,105900
2013-08-05,20.83,21.09,20.68,21.06,80800
2013-08-06,21.09,21.09,20.65,20.98,96400
2013-08-07,20.88,20.88,20.41,20.71,66500
2013-08-08,20.65,20.92,20.6,20.73,76100
2013-08-09,20.74,20.96,20.71,20.8,76800
2013-08-12,20.76,20.77,20.41,20.51,83200
2013-08-13,20.37,20.48,20.19,20.21,76200
2013-08-14,20.27,20.32,19.93,19.98,125900
2013-08-15,19.87,20.1,19.75,20.04,104200
2013-08-16,20.0,20.16,19.8,19.93,97800
2013-08-19,20.01,20.01,19.45,19.51,100500
2013-08-20,19.74,19.81,19.45,19.79,98900
2013-08-21,19.8,19.81,19.47,19.53,91200
2013-08-22,19.58,19.71,19.48,19.49,98600
2013-08-23,19.5,19.79,19.5,19.63,86000
2013-08-26,19.75,19.91,19.61,19.67,75400
2013-08-27,19.7,19.81,19.51,19.76,99300
2013-08-28,19.88,19.99,19.75,19.88,55500
2013-08-29,19.94,19.95,19.7,19.8,103200
2013-08-30,19.76,19.94,19.43,19.49,66500
2013-09-03,19.65,19.65,19.45,19.47,44400
2013-09-04,19.57,19.57,19.38,19.47,107200
2013-09-05,19.66,19.83,19.5,19.69,91000
2013-09-06,19.7,19.87,19.64,19.75,65300
2013-09-09,19.83,19.91,19.75,19.78,68600
2013-09-10,19.87,19.87,19.53,19.55,89400
2013-09-11,19.61,19.7,19.08,19.11,100300
2013-09-12,19.08,19.21,18.87,18.97,137200
2013-09-13,19.06,19.19,18.84,18.94,95700
2013-09-16,19.2,19.26,18.98,19.08,65100
2013-09-17,19.11,19.34,19.01,19.25,97700
2013-09-18,19.31,19.6,19.14,19.59,109100
2013-09-19,19.66,20.03,19.63,19.83,136000
2013-09-20,19.9,20.0,19.74,19.98,82900
2013-09-23,19.86,19.91,19.5,19.6,103400
2013-09-24,19.5,19.72,19.42,19.42,112200
2013-09-25,19.33,19.68,19.3,19.57,104300
2013-09-26,19.64,19.83,19.6,19.68,63400
2013-09-27,19.66,20.02,19.62,19.96,139500
2013-09-30,19.81,19.92,19.55,19.59,102500
2013-10-01,19.56,20.05,19.56,19.91,102100
2013-10-02,19.87,19.92,19.67,19.86,72200
2013-10-03,19.86,19.88,19.47,19.8,66700
2013-10-04,19.82,19.83,19.6,19.69,72100
2013-10-07,19.51,19.91,19.4,19.49,69700
2013-10-08,19.5,19.64,19.18,19.26,63200
2013-10-09,19.22,19.26,19.01,19.03,90300
2013-10-10,19.12,19.22,19.04,19.12,82600
2013-10-11,19.25,19.4,19.13,19.35,70500
2013-10-14,19.32,19.51,19.21,19.47,75100
2013-10-15,19.53,19.56,19.39,19.53,68500
2013-10-16,19.65,19.76,19.42,19.63,88800
2013-10-17,19.69,19.97,19.58,19.95,49600
2013-10-18,20.0,20.0,19.76,19.87,65700
2013-10-21,19.89,19.92,19.66,19.75,84600
2013-10-22,19.81,20.0,19.69,19.78,107500
2013-10-23,19.91,19.93,19.6,19.72,96200
2013-10-24,19.85,20.0,19.79,20.0,70700
2013-10-25,19.97,19.99,19.59,19.74,117300
2013-10-28,19.78,19.87,19.61,19.65,89300
2013-10-29,19.6,19.75,19.55,19.68,89800
2013-10-30,19.74,19.83,19.51,19.56,95900
2013-10-31,19.63,19.72,19.34,19.63,134800
2013-11-01,19.6,19.73,19.44,19.49,124800
