date,open,high,low,close,volume
2012-04-12,450.0,458.0,432.6,435.0,591500
2012-04-13,439.0,444.6,430.0,430.0,111000
2012-04-16,435.0,441.4,432.6,434.8,27900
2012-04-17,440.8,460.0,435.0,445.0,33500
2012-04-18,440.2,444.2,420.0,434.0,43900
2012-04-19,438.0,440.0,430.4,439.2,14900
2012-04-20,440.0,443.8,435.0,441.0,36400
2012-04-23,440.6,440.8,430.8,440.2,21200
2012-04-24,438.2,444.0,431.2,433.2,39900
2012-04-25,436.0,437.2,425.4,429.0,22600
2012-04-26,428.8,439.0,425.0,436.0,17300
2012-04-27,436.4,453.0,434.6,447.0,47700
2012-04-30,445.8,477.2,443.8,462.4,35800
2012-05-01,463.4,468.6,455.4,461.8,51700
2012-05-02,458.0,469.4,458.0,465.8,21800
2012-05-03,458.0,464.2,458.0,461.6,25500
2012-05-04,460.0,461.8,454.6,455.8,36700
2012-05-07,451.6,457.8,449.2,454.6,14800
2012-05-08,450.2,453.0,439.8,444.0,34800
2012-05-09,438.6,442.4,436.4,439.8,18300
2012-05-10,440.2,441.6,430.0,437.0,14100
2012-05-11,433.8,436.2,430.0,435.2,7400
2012-05-14,430.0,434.6,428.6,431.2,25200
2012-05-15,430.8,444.6,428.6,430.2,30400
2012-05-16,431.2,432.4,416.2,428.6,25600
2012-05-17,430.6,432.8,418.0,420.0,40000
2012-05-18,423.6,425.0,416.8,418.4,27800
2012-05-21,418.6,443.4,418.6,432.8,24000
2012-05-22,443.8,447.4,431.0,434.4,26500
2012-05-23,439.6,439.6,422.0,426.8,26200
2012-05-24,434.8,434.8,422.8,427.4,19400
2012-05-25,431.2,431.2,422.2,427.6,20000
2012-05-29,432.8,447.8,431.8,442.2,14300
2012-05-30,439.8,440.0,430.4,432.0,16900
2012-05-31,433.4,438.8,419.0,429.6,13100
2012-06-01,385.2,423.0,385.2,420.6,44300
2012-06-04,421.2,422.0,394.0,401.4,28800
2012-06-05,399.6,412.8,394.4,399.8,23600
2012-06-06,402.6,419.6,399.8,400.0,8000
2012-06-07,405.8,424.6,399.2,415.0,17700
2012-06-08,413.0,420.0,400.8,416.6,17600
2012-06-11,420.0,422.2,396.2,400.0,31000
2012-06-12,400.0,401.6,396.2,399.6,37500
2012-06-13,398.2,400.2,394.0,398.4,25000
2012-06-14,400.0,402.6,397.0,401.2,12300
2012-06-15,397.0,401.6,392.2,401.6,34200
2012-06-18,398.2,412.0,398.0,409.6,13400
2012-06-19,410.0,419.8,405.0,415.4,22300
2012-06-20,417.6,417.8,409.4,411.6,8600
2012-06-21,410.6,411.0,393.8,395.8,34700
2012-06-22,399.4,400.4,394.2,397.8,154200
2012-06-25,391.6,396.6,382.6,393.6,14200
2012-06-26,394.2,394.6,384.2,385.0,14700
2012-06-27,388.2,388.2,377.8,382.8,12800
2012-06-28,380.0,386.8,374.6,386.2,8400
2012-06-29,392.4,397.0,390.0,393.8,7800
2012-07-02,393.8,396.2,389.0,393.2,11000
2012-07-03,394.0,417.6,392.4,410.0,19100
2012-07-05,408.2,411.0,397.0,408.6,8800
2012-07-06,404.6,408.8,398.4,400.2,4800
2012-07-09,399.4,409.0,398.2,406.0,12100
2012-07-10,405.0,405.0,390.4,392.0,4400
2012-07-11,393.6,397.2,387.0,392.6,7700
2012-07-12,388.6,390.4,377.6,388.2,6300
2012-07-13,388.4,398.6,386.2,396.6,10500
2012-07-16,394.2,394.2,380.2,391.2,11500
2012-07-17,392.4,395.8,385.0,391.2,8900
2012-07-18,389.4,394.2,383.8,389.0,17400
2012-07-19,391.2,393.4,386.6,391.8,3300
2012-07-20,390.0,398.2,388.0,395.8,5900
2012-07-23,389.4,395.6,384.6,395.0,9500
2012-07-24,397.0,398.6,384.8,387.6,13500
2012-07-25,390.0,391.6,384.6,390.4,7100
2012-07-26,395.0,423.0,394.4,416.0,37200
2012-07-27,372.4,413.8,372.0,408.6,33400
2012-07-30,405.4,415.6,405.2,412.0,20200
2012-07-31,411.0,422.4,410.4,416.8,43500
2012-08-01,418.6,425.8,415.2,422.2,16500
2012-08-02,416.2,422.0,415.4,420.0,18300
2012-08-03,426.6,440.0,425.6,435.6,20600
2012-08-06,436.4,451.6,432.8,441.8,24300
2012-08-07,444.2,445.8,435.4,440.4,20400
2012-08-08,436.2,446.2,434.4,439.0,20700
2012-08-09,440.0,441.4,426.6,428.2,44500
2012-08-10,426.8,435.8,416.4,433.4,12200
2012-08-13,432.0,433.2,425.0,432.8,10500
2012-08-14,436.8,443.0,436.8,441.4,9100
2012-08-15,440.8,445.8,436.2,445.2,5700
2012-08-16,446.6,449.0,446.0,448.0,9200
2012-08-17,454.2,458.8,450.2,458.0,18300
2012-08-20,459.0,459.6,453.0,456.0,5400
2012-08-21,459.2,466.0,452.2,452.2,16100
2012-08-22,453.4,453.4,434.0,438.4,13200
2012-08-23,438.4,444.2,433.2,442.8,12800
2012-08-24,439.8,462.4,439.8,459.6,18300
2012-08-27,459.8,461.0,453.4,456.8,14000
2012-08-28,455.0,470.0,454.0,468.4,17900
2012-08-29,470.0,471.4,464.2,470.8,42600
2012-08-30,467.2,470.0,463.8,468.4,18700
2012-08-31,472.0,481.8,465.0,473.4,28300
2012-09-04,475.4,476.0,465.6,471.4,11600
2012-09-05,470.6,471.0,461.2,464.2,15900
2012-09-06,468.0,490.6,467.4,479.0,40000
2012-09-07,479.6,484.0,470.0,482.8,11600
2012-09-10,480.6,489.6,480.2,481.8,10600
2012-09-11,481.6,483.8,474.0,483.8,8100
2012-09-12,487.0,493.0,482.8,490.8,13600
