date,open,high,low,close,volume
2010-03-24,16.0,16.42,15.4,15.7,5219700
2010-03-25,16.25,16.25,15.96,16.06,1166700
2010-03-26,16.47,16.97,16.25,16.55,563600
2010-03-29,17.05,17.05,16.55,16.69,246800
2010-03-30,16.76,16.76,16.21,16.34,150600
2010-03-31,16.4,16.45,16.1,16.25,180200
2010-04-01,16.4,16.4,16.0,16.01,193800
2010-04-05,16.1,16.15,15.98,16.03,240600
2010-04-06,16.03,16.05,15.9,15.97,253000
2010-04-07,15.99,16.0,15.8,15.85,101700
2010-04-08,15.93,15.93,15.69,15.9,122500
2010-04-09,15.88,16.07,15.69,15.98,106600
2010-04-12,16.08,16.21,16.0,16.0,52800
2010-04-13,15.97,16.05,15.6,15.71,178600
2010-04-14,15.99,16.16,15.92,16.0,209900
2010-04-15,16.0,16.17,16.0,16.1,87500
2010-04-16,16.18,16.18,15.9,15.9,111200
2010-04-19,15.8,16.05,15.8,15.84,141300
2010-04-20,15.8,16.1,15.8,16.04,144900
2010-04-21,16.09,16.12,15.99,16.11,166700
2010-04-22,16.08,16.52,15.99,16.51,123500
2010-04-23,16.5,16.8,16.5,16.66,163100
2010-04-26,16.57,16.67,16.1,16.17,75400
2010-04-27,16.06,16.14,15.9,15.98,242200
2010-04-28,16.0,16.25,16.0,16.24,40700
2010-04-29,16.2,16.38,16.09,16.31,47000
2010-04-30,16.21,16.38,16.1,16.2,46500
2010-05-03,16.17,16.34,16.1,16.16,93700
2010-05-04,16.15,16.35,16.0,16.19,127800
2010-05-05,16.05,16.2,16.05,16.18,84100
2010-05-06,16.05,16.2,15.85,15.91,164900
2010-05-07,15.81,16.04,15.6,15.77,131800
2010-05-10,16.0,16.08,15.55,15.65,136500
2010-05-11,15.65,15.98,15.58,15.76,79000
2010-05-12,15.87,15.93,15.6,15.86,43000
2010-05-13,15.85,15.99,15.69,15.92,35600
2010-05-14,15.99,16.0,15.74,15.84,56900
2010-05-17,15.96,15.96,15.65,15.72,105100
2010-05-18,15.7,15.88,15.38,15.54,118200
2010-05-19,15.39,15.65,15.36,15.37,35000
2010-05-20,15.35,15.5,15.19,15.31,80300
2010-05-21,15.25,15.4,15.1,15.39,57100
2010-05-24,15.38,15.49,15.18,15.3,46900
2010-05-25,15.06,15.19,15.05,15.07,45500
2010-05-26,15.07,15.35,15.07,15.28,17200
2010-05-27,15.32,15.84,15.32,15.8,35900
2010-05-28,15.7,15.78,15.5,15.75,20300
2010-06-01,15.94,16.24,15.81,16.17,110600
2010-06-02,15.93,16.25,15.75,16.0,169700
2010-06-03,15.93,16.0,15.76,15.88,31600
2010-06-04,15.61,15.92,15.5,15.73,18600
2010-06-07,15.68,15.73,15.57,15.64,21000
2010-06-08,15.7,15.74,15.5,15.64,33900
2010-06-09,15.77,15.77,15.35,15.35,88900
2010-06-10,15.68,15.68,15.17,15.31,59700
2010-06-11,15.18,15.58,15.16,15.4,30800
2010-06-14,15.46,15.74,15.35,15.37,35300
2010-06-15,15.54,15.7,15.3,15.62,59000
2010-06-16,15.27,16.0,15.27,15.81,44100
2010-06-17,16.0,16.0,15.56,15.65,25300
2010-06-18,15.58,15.9,15.55,15.82,69700
2010-06-21,15.79,15.79,15.5,15.71,59800
2010-06-22,15.62,16.08,15.62,15.89,59300
2010-06-23,15.91,16.2,15.67,16.11,60300
2010-06-24,15.9,16.14,15.6,15.96,110300
2010-06-25,15.87,16.24,15.71,16.21,1747000
2010-06-28,16.16,16.16,15.69,15.8,47800
2010-06-29,15.53,15.93,15.53,15.71,74000
2010-06-30,15.76,15.85,15.66,15.73,26200
2010-07-01,15.73,15.73,15.42,15.46,29800
2010-07-02,15.61,15.72,15.43,15.54,21200
2010-07-06,15.6,15.82,15.6,15.76,71200
2010-07-07,15.68,15.8,15.5,15.6,59800
2010-07-08,15.67,15.74,15.52,15.6,36500
2010-07-09,15.54,15.8,15.5,15.73,25000
2010-07-12,15.72,15.83,15.2,15.2,62300
2010-07-13,15.28,15.79,15.2,15.7,87500
2010-07-14,15.61,15.61,15.37,15.49,31700
2010-07-15,15.59,15.59,15.14,15.22,54800
2010-07-16,15.13,15.31,14.92,14.95,98300
2010-07-19,15.0,15.0,14.89,14.93,72700
