date,open,high,low,close,volume
2003-08-27,25.0,25.01,25.0,25.0,320100
2003-08-28,25.01,25.01,25.0,25.01,8100
2003-08-29,25.01,25.01,25.0,25.0,6800
2003-09-02,25.0,25.01,25.0,25.01,27500
2003-09-03,25.0,25.01,25.0,25.01,16500
2003-09-04,25.01,25.01,25.0,25.0,15900
2003-09-05,25.01,25.05,25.01,25.04,10300
2003-09-08,25.14,25.14,25.02,25.02,9000
2003-09-09,25.02,25.1,25.01,25.1,13300
2003-09-10,25.1,25.15,25.01,25.04,17500
2003-09-11,25.02,25.04,25.0,25.0,14300
2003-09-12,25.02,25.04,25.0,25.01,24000
2003-09-15,25.04,25.04,25.01,25.04,15300
2003-09-16,25.04,25.05,25.0,25.04,20200
2003-09-17,25.04,25.05,25.01,25.01,6200
2003-09-18,25.05,25.2,25.0,25.12,31600
2003-09-19,25.2,25.2,25.01,25.18,4800
2003-09-22,25.2,25.2,25.1,25.19,2600
2003-09-23,25.15,25.15,25.05,25.11,11800
2003-09-24,25.18,25.26,25.06,25.06,8700
2003-09-25,25.13,25.2,25.13,25.18,4500
2003-09-26,25.2,25.2,25.05,25.14,13400
2003-09-29,25.05,25.05,25.0,25.0,38600
2003-09-30,25.0,25.1,25.0,25.0,62000
2003-10-01,25.0,25.01,25.0,25.01,44900
2003-10-02,25.01,25.01,25.0,25.01,32500
2003-10-03,25.0,25.05,25.0,25.01,5300
2003-10-06,25.05,25.2,25.0,25.04,13000
2003-10-07,25.1,25.17,25.02,25.17,9200
2003-10-08,25.1,25.17,25.04,25.09,8600
2003-10-09,25.03,25.03,24.93,24.99,78800
2003-10-10,24.99,25.01,24.86,25.0,9500
2003-10-13,25.0,25.1,24.9,25.0,25200
2003-10-14,25.0,25.05,25.0,25.02,23400
2003-10-15,25.1,25.26,25.02,25.2,19800
2003-10-16,25.2,25.5,25.06,25.35,42700
2003-10-17,25.39,25.49,25.32,25.32,13900
2003-10-20,25.41,25.49,25.33,25.4,22700
2003-10-21,25.47,25.47,25.22,25.32,22600
2003-10-22,25.4,25.55,25.31,25.4,16500
2003-10-23,25.32,25.4,25.32,25.33,13800
2003-10-24,25.31,25.41,25.3,25.33,16700
2003-10-27,25.31,25.36,25.17,25.29,26000
2003-10-28,25.23,25.34,25.11,25.26,38100
2003-10-29,25.22,25.33,25.21,25.32,21900
2003-10-30,25.3,25.38,25.25,25.27,14300
2003-10-31,25.22,25.39,25.22,25.39,9500
2003-11-03,25.39,25.44,25.25,25.41,14600
2003-11-04,25.4,25.44,25.3,25.44,29700
2003-11-05,25.44,25.44,25.32,25.4,15200
2003-11-06,25.41,25.44,25.3,25.44,18300
2003-11-07,25.55,25.55,25.36,25.5,22300
2003-11-10,25.4,25.5,25.37,25.5,7800
2003-11-11,25.51,25.59,25.45,25.59,19600
2003-11-12,25.59,25.65,25.56,25.56,18400
2003-11-13,25.56,25.7,25.56,25.6,13600
2003-11-14,25.61,25.75,25.51,25.6,17300
2003-11-17,25.52,25.75,25.5,25.71,30300
2003-11-18,25.71,25.71,25.55,25.66,44800
2003-11-19,25.52,25.56,25.4,25.55,20000
2003-11-20,25.5,25.7,25.41,25.45,26700
2003-11-21,25.44,25.74,25.35,25.64,47400
2003-11-24,25.5,25.62,25.35,25.41,67900
2003-11-25,25.4,25.45,25.19,25.21,29800
2003-11-26,25.25,25.29,25.02,25.14,17300
2003-11-28,25.07,25.2,25.0,25.16,13200
2003-12-01,25.11,25.11,24.85,25.02,72900
2003-12-02,25.07,25.1,24.95,24.95,32900
2003-12-03,24.99,25.23,24.93,25.18,28000
2003-12-04,25.18,25.25,25.01,25.19,16000
2003-12-05,25.27,25.39,25.27,25.34,16000
2003-12-08,25.31,25.35,25.15,25.28,31800
2003-12-09,25.35,25.43,25.17,25.4,58300
2003-12-10,25.35,25.48,25.16,25.25,29700
2003-12-11,25.33,25.49,25.18,25.31,34000
2003-12-12,25.41,25.5,25.11,25.3,40700
2003-12-15,25.4,25.44,25.15,25.4,17900
2003-12-16,25.49,25.49,25.3,25.3,32000
2003-12-17,25.4,25.55,25.11,25.41,91900
2003-12-18,25.45,25.55,25.22,25.35,62600
