date,open,high,low,close,volume
2000-10-05,1.6955,1.6955,1.6516,1.668,4754800
2000-10-06,1.6735,1.6735,1.6132,1.6132,6372600
2000-10-09,1.6187,1.6516,1.6187,1.6241,4916700
2000-10-10,1.6132,1.6461,1.6132,1.6406,1974600
2000-10-11,1.6241,1.6351,1.6077,1.6241,756100
2000-10-12,1.6187,1.6187,1.5473,1.5748,11818800
2000-10-13,1.5693,1.5912,1.5583,1.5638,10827600
2000-10-16,1.5638,1.668,1.5528,1.6296,3146800
2000-10-17,1.6187,1.679,1.6187,1.6735,4102600
2000-10-18,1.6516,1.6735,1.6241,1.6571,2916100
2000-10-19,1.668,1.679,1.5693,1.6516,6175500
2000-10-20,1.6626,1.679,1.6132,1.679,5663800
2000-10-23,1.6626,1.668,1.6241,1.6461,2855200
2000-10-24,1.6406,1.6516,1.6187,1.6351,2676300
2000-10-25,1.6351,1.6406,1.6132,1.6296,5988700
2000-10-26,1.679,1.679,1.3882,1.6461,51813900
2000-10-27,1.4321,1.4376,1.3882,1.4102,20001700
2000-10-30,1.4102,1.4102,1.3278,1.3333,16111000
2000-10-31,1.3827,1.3827,1.3004,1.3498,26904300
2000-11-01,1.3553,1.3663,1.3443,1.3608,10144000
2000-11-02,1.3553,1.3663,1.3388,1.3663,6939600
2000-11-03,1.3608,1.3663,1.3388,1.3443,6718900
2000-11-06,1.3333,1.3663,1.3333,1.3553,10063000
2000-11-07,1.3608,1.3663,1.3553,1.3663,5014800
2000-11-08,1.3608,1.3772,1.3608,1.3608,3462900
2000-11-09,1.3608,1.3717,1.3608,1.3663,7763800
2000-11-10,1.3553,1.3717,1.3553,1.3663,4629100
2000-11-13,1.3717,1.3827,1.3608,1.3717,5547700
2000-11-14,1.3663,1.3937,1.3663,1.3827,6134500
2000-11-15,1.3827,1.4102,1.3827,1.4047,8679300
2000-11-16,1.4047,1.4431,1.4047,1.4376,7855200
2000-11-17,1.4266,1.4321,1.4156,1.4211,3488400
