date,open,high,low,close,volume
2000-10-05,5.0938,5.125,4.9375,5.0,169600.0
2000-10-06,5.0312,5.0312,4.9062,4.9375,117800.0
2000-10-09,5.0,5.0,4.8125,4.9375,167800.0
2000-10-10,4.9062,5.0625,4.9062,4.9375,194200.0
2000-10-11,4.875,4.875,4.5312,4.5938,382400.0
2000-10-12,4.6562,4.8125,4.3125,4.5312,182800.0
2000-10-13,4.5312,4.5312,4.4062,4.4688,48400.0
2000-10-16,4.4688,4.4688,4.3438,4.4062,70000.0
2000-10-17,4.4688,4.4688,4.2812,4.2812,90400.0
2000-10-18,4.25,4.3125,4.0312,4.25,148200.0
2000-10-19,4.2812,4.6562,4.2812,4.6562,170200.0
2000-10-20,4.6562,4.6875,4.375,4.4688,112800.0
2000-10-23,4.4688,4.5,4.375,4.5,94200.0
2000-10-24,4.5,4.5,4.2812,4.2812,200600.0
2000-10-25,4.2812,4.2812,3.9688,4.0,214000.0
2000-10-26,4.0,4.0,3.3438,3.375,692200.0
2000-10-27,3.4375,3.625,3.4062,3.5,258400.0
2000-10-30,3.5,4.0,3.5,3.875,266000.0
2000-10-31,3.875,3.9375,3.6875,3.7188,258400.0
2000-11-01,3.7188,3.75,3.625,3.6875,224600.0
2000-11-02,3.6875,3.75,3.5312,3.75,290800.0
2000-11-03,3.8125,3.8125,3.5312,3.5312,379400.0
2000-11-06,3.5625,3.5625,3.375,3.4062,350200.0
2000-11-07,3.4062,3.5,3.375,3.4688,745600.0
2000-11-08,3.5625,3.75,3.5625,3.625,474000.0
2000-11-09,3.6562,3.7188,3.4688,3.625,345200.0
2000-11-10,2.125,2.625,2.125,2.5,4326800.0
2000-11-13,2.6875,2.875,2.625,2.8125,479000.0
2000-11-14,3.25,3.25,2.75,2.75,790800.0
2000-11-15,2.8125,2.8125,2.625,2.6875,302000.0
2000-11-16,2.7188,2.75,2.4688,2.5938,419400.0
2000-11-17,2.625,2.625,2.2188,2.3438,596800.0
2000-11-20,2.4375,2.625,2.4062,2.5,522200.0
2000-11-21,2.5625,2.5625,2.4375,2.4688,137000.0
2000-11-22,2.4375,2.4375,2.2188,2.3438,386800.0
2000-11-24,2.4062,2.4062,2.2812,2.3438,39000.0
2000-11-27,2.4062,2.4688,2.375,2.375,200800.0
2000-11-28,2.4375,2.625,2.4375,2.5312,364200.0
2000-11-29,2.4688,2.5625,2.4688,2.5,390200.0
2000-11-30,2.5,2.5312,2.25,2.2812,343400.0
2000-12-01,2.3438,2.4062,2.2188,2.3125,458400.0
2000-12-04,2.25,2.25,2.0625,2.0938,309800.0
2000-12-05,2.1875,2.1875,2.0312,2.0938,268200.0
2000-12-06,2.0625,2.125,1.75,1.9375,526600.0
2000-12-07,1.9688,2.125,1.9688,1.9688,154800.0
2000-12-08,2.0312,2.1562,2.0312,2.125,365800.0
2000-12-11,2.125,2.5,2.0938,2.3125,282200.0
2000-12-12,2.3438,2.5938,2.3438,2.4688,165200.0
2000-12-13,2.5,2.5,2.3125,2.375,140600.0
2000-12-14,2.375,2.4062,2.2812,2.375,129400.0
2000-12-15,2.3438,2.3438,2.1875,2.2188,180600.0
2000-12-18,2.2812,2.3125,2.0938,2.2188,255400.0
2000-12-19,2.1562,2.2812,2.125,2.1562,195600.0
2000-12-20,2.0938,2.2188,2.0312,2.2188,274800.0
2000-12-21,2.2812,2.2812,2.0625,2.2188,267600.0
2000-12-22,2.2812,2.2812,2.125,2.25,203600.0
2000-12-26,2.2188,2.2188,2.125,2.1875,102600.0
2000-12-27,2.1562,2.5938,2.0625,2.5,317400.0
2000-12-28,2.375,2.625,2.375,2.5625,343600.0
2000-12-29,2.5938,2.7188,2.5312,2.6562,369600.0
2001-01-02,2.7188,2.875,2.4062,2.5312,179600.0
2001-01-03,2.5938,2.6562,2.5,2.6562,185800.0
2001-01-04,2.6562,2.6875,2.5,2.5938,241000.0
2001-01-05,2.6562,2.6875,2.5312,2.5625,109000.0
2001-01-08,2.625,2.6562,2.4062,2.5938,152000.0
2001-01-09,2.6562,2.6562,2.4062,2.4062,533800.0
2001-01-10,2.4375,2.625,2.4375,2.5938,216600.0
2001-01-11,2.5625,2.9062,2.5625,2.75,193800.0
2001-01-12,2.8125,2.9688,2.75,2.875,235800.0
2001-01-16,3.0,3.3438,3.0,3.2188,323800.0
2001-01-17,3.2812,3.4375,3.1875,3.4062,274200.0
2001-01-18,3.375,3.4688,3.2812,3.4375,621400.0
2001-01-19,3.4375,3.4688,3.375,3.4062,394400.0
2001-01-22,3.4062,3.4688,3.4062,3.4062,449400.0
2001-01-23,3.4688,3.625,3.4688,3.5,737200.0
2001-01-24,3.5,3.6875,3.4688,3.6562,258400.0
2001-01-25,3.5938,3.7188,3.5312,3.6875,242400.0
2001-01-26,3.6562,3.8438,3.5938,3.8438,268600.0
2001-01-29,3.375,3.45,2.505,3.445,4178600.0
2001-01-30,3.445,3.75,3.3,3.65,1171400.0
2001-01-31,3.475,3.575,3.475,3.51,436200.0
2001-02-01,3.54,3.7,3.45,3.695,161200.0
2001-02-02,3.75,3.875,3.505,3.695,403800.0
2001-02-05,3.65,3.65,3.25,3.495,245200.0
2001-02-06,3.425,3.45,3.1,3.35,223000.0
2001-02-07,3.35,3.35,3.15,3.275,287400.0
2001-02-08,3.25,3.425,3.25,3.38,157000.0
2001-02-09,3.375,3.425,3.325,3.38,184400.0
2001-02-12,3.425,3.425,3.38,3.385,179400.0
2001-02-13,3.435,3.525,3.38,3.4,61000.0
2001-02-14,3.45,3.5,3.325,3.405,116400.0
2001-02-15,3.405,4.0,3.405,3.8,289200.0
2001-02-16,3.77,3.77,3.59,3.66,108000.0
2001-02-20,3.66,3.675,3.55,3.555,71600.0
2001-02-21,3.51,3.515,3.4,3.48,200600.0
2001-02-22,3.47,3.47,3.375,3.45,83000.0
2001-02-23,3.4,3.44,3.26,3.44,71400.0
2001-02-26,3.41,3.575,3.31,3.575,76000.0
2001-02-27,3.55,3.69,3.4,3.69,119800.0
2001-02-28,3.7,3.875,3.5,3.85,301200.0
2001-03-01,3.8,3.85,3.5,3.505,133800.0
2001-03-02,3.5,3.5,3.425,3.49,114800.0
2001-03-05,3.45,3.48,3.4,3.425,127400.0
2001-03-06,3.425,3.5,3.325,3.5,456200.0
2001-03-07,3.52,3.52,3.375,3.43,88800.0
2001-03-08,3.45,3.45,3.35,3.4,157400.0
2001-03-09,3.355,3.375,3.175,3.375,386000.0
2001-03-12,3.4,3.4,3.075,3.08,38200.0
2001-03-13,3.18,3.18,3.055,3.155,188800.0
2001-03-14,3.11,3.12,3.0,3.045,577800.0
2001-03-15,3.07,3.095,3.0,3.095,42800.0
2001-03-16,3.075,3.075,3.0,3.065,80800.0
2001-03-19,3.115,3.115,3.025,3.025,14000.0
2001-03-20,3.045,3.12,3.0,3.01,35200.0
2001-03-21,3.01,3.01,2.875,2.89,422800.0
2001-03-22,2.89,2.9,2.73,2.85,311000.0
2001-03-23,2.875,2.915,2.835,2.88,25400.0
2001-03-26,2.92,2.975,2.9,2.975,35400.0
2001-03-27,2.99,3.075,2.945,3.07,33400.0
2001-03-28,3.05,3.075,2.925,2.925,24000.0
2001-03-29,2.925,3.0,2.875,2.95,24800.0
2001-03-30,2.9,3.1,2.89,3.095,263200.0
2001-04-02,3.095,3.095,3.06,3.09,27400.0
2001-04-03,3.075,3.075,2.9,3.0,55200.0
2001-04-04,2.975,3.075,2.96,3.055,123400.0
2001-04-05,3.055,3.055,2.925,3.0,34200.0
2001-04-06,2.99,2.99,2.78,2.925,38400.0
2001-04-09,2.95,2.975,2.875,2.975,6600.0
