date,open,high,low,close,volume
2014-06-12,11.6232,11.6232,11.4976,11.4976,500
2014-06-13,11.4976,11.4976,11.4976,11.4976,0
2014-06-16,11.4976,11.4976,11.4976,11.4976,0
2014-06-17,11.4976,11.4976,11.4976,11.4976,0
2014-06-18,11.4976,11.4976,11.4976,11.4976,0
2014-06-19,11.4976,11.4976,11.4976,11.4976,0
2014-06-20,11.4976,11.4976,11.4976,11.4976,0
2014-06-23,11.4976,11.4976,11.4976,11.4976,0
2014-06-24,11.3527,11.7874,11.3527,11.401,19400
2014-06-25,11.1304,11.256,10.5314,10.5314,179900
2014-06-26,10.5314,10.6763,10.1932,10.1932,102300
2014-06-27,10.1932,10.4444,10.1932,10.3671,56300
2014-06-30,10.2899,10.4638,10.2802,10.3865,99400
2014-07-01,10.4155,10.57,10.3382,10.3865,103000
2014-07-02,10.2899,10.4734,10.2802,10.4444,122300
2014-07-03,10.3382,10.5314,10.3382,10.4444,45900
2014-07-07,10.3382,10.4348,10.2802,10.3285,111400
2014-07-08,10.2802,10.3575,10.2126,10.3285,93100
2014-07-09,10.2512,10.3092,10.1932,10.1932,107900
2014-07-10,10.2802,10.2802,10.0483,10.2705,147200
2014-07-11,10.2222,10.4058,10.2126,10.3865,63600
2014-07-14,10.3188,10.4348,10.2609,10.3092,109300
2014-07-15,10.2415,10.2899,10.1643,10.2029,99900
2014-07-16,10.2029,10.2415,10.1063,10.1836,108500
2014-07-17,10.2319,10.2802,10.1449,10.1449,54600
2014-07-18,10.1449,10.2029,10.1449,10.1836,40100
2014-07-21,10.1449,10.2899,10.1449,10.2415,85800
2014-07-22,10.2609,10.4541,10.2609,10.3382,134700
2014-07-23,10.2899,10.3961,10.2899,10.3382,71500
2014-07-24,10.2899,10.4251,10.2899,10.4058,57000
2014-07-25,10.3382,10.3961,10.3188,10.3382,54100
2014-07-28,10.4831,10.5797,10.1932,10.2802,77300
2014-07-29,10.2899,10.3575,10.2222,10.2415,39600
2014-07-30,10.2029,10.2415,10.1643,10.2126,64100
2014-07-31,10.1449,10.1932,10.1449,10.1739,62400
2014-08-01,10.1449,10.2512,10.0966,10.1159,38300
2014-08-04,10.0676,10.1836,10.0193,10.0966,89300
2014-08-05,9.9517,10.2415,9.9517,10.0483,86600
2014-08-06,9.9807,10.087,9.9614,10.0,120100
2014-08-07,10.0,10.0676,9.9903,9.9903,40100
2014-08-08,9.9614,10.0773,9.9614,10.029,65700
2014-08-11,10.0483,10.2126,10.0483,10.1063,102600
2014-08-12,10.0483,10.1932,10.0483,10.1353,141100
2014-08-13,10.087,10.1836,10.087,10.1449,45500
2014-08-14,10.1063,10.2319,10.1063,10.1449,89000
