date,open,high,low,close,volume
2020-10-29,15.0,17.105,14.63,15.0,1331500
2020-10-30,15.77,15.77,13.53,15.0,220500
2020-11-02,15.0,15.41,13.32,15.0,100500
2020-11-03,15.0,16.0,14.56,15.05,51900
2020-11-04,15.5,16.0,14.6,14.6,85600
2020-11-05,15.02,15.5,14.368,15.0,72700
2020-11-06,15.08,15.76,15.0,15.22,47100
2020-11-09,15.49,15.49,15.0,15.15,42200
2020-11-10,15.06,15.495,15.0,15.16,19900
2020-11-11,15.37,16.5,15.25,16.5,142500
2020-11-12,16.08,17.0,15.8,16.675,32500
2020-11-13,17.0,17.82,16.55,16.71,58900
2020-11-16,16.961,17.29,16.23,16.775,57200
2020-11-17,16.71,16.8,16.15,16.39,60000
2020-11-18,16.61,16.895,16.332,16.6,81800
2020-11-19,16.5,16.5,15.86,15.98,27200
2020-11-20,16.03,16.33,15.77,16.13,5600
2020-11-23,16.64,17.99,16.19,16.84,167000
2020-11-24,17.37,17.37,16.04,16.11,52400
2020-11-25,16.68,17.22,15.75,15.9,54900
2020-11-27,16.09,16.61,15.75,15.85,25300
2020-11-30,16.47,16.717,15.15,15.31,19500
2020-12-01,15.4,15.966,14.28,14.68,43100
2020-12-02,14.47,15.49,14.37,14.5,13300
2020-12-03,14.49,14.595,14.21,14.38,8400
2020-12-04,14.4,14.613,14.23,14.26,5200
2020-12-07,14.37,14.89,14.35,14.6,35300
2020-12-08,14.416,14.62,14.24,14.25,28000
2020-12-09,14.53,14.64,14.3,14.3,6500
2020-12-10,14.41,14.49,13.98,14.2,12300
2020-12-11,14.26,14.95,13.77,14.09,25800
2020-12-14,14.65,14.65,13.4,13.55,24600
2020-12-15,13.5,15.62,13.5,14.98,53800
2020-12-16,14.84,14.869,14.06,14.07,22800
2020-12-17,14.15,14.335,13.59,13.81,13500
2020-12-18,13.56,14.39,13.43,13.93,13600
2020-12-21,14.02,15.0,13.67,14.15,9800
2020-12-22,13.89,14.832,13.76,13.8,17900
2020-12-23,13.81,14.19,13.6,13.92,14000
2020-12-24,13.71,13.957,13.53,13.77,6400
2020-12-28,13.71,14.141,13.51,13.66,12700
2020-12-29,13.825,13.93,11.57,13.0,72500
2020-12-30,12.93,13.61,12.62,13.25,19000
2020-12-31,13.0,13.25,12.5,12.51,14600
2021-01-04,12.913,13.3,12.6,13.0,26700
