date,open,high,low,close,volume
2020-08-20,10.05,10.47,9.85,9.95,157800
2020-08-21,9.94,9.98,9.9,9.98,192600
2020-08-24,10.0,10.115,9.9,9.97,50600
2020-08-25,9.95,10.01,9.85,10.01,257700
2020-08-26,9.91,10.05,9.91,9.97,4600
2020-08-27,9.99,9.99,9.911,9.955,9200
2020-08-28,9.91,10.05,9.91,10.0,597800
2020-08-31,10.08,10.18,9.9,10.0,7500
2020-09-01,10.1,10.135,9.96,10.11,281200
2020-09-02,10.21,10.72,10.05,10.27,443800
2020-09-03,10.35,10.44,10.15,10.32,282800
2020-09-04,10.48,10.48,10.25,10.34,139800
2020-09-08,10.5,10.57,10.3,10.42,321300
2020-09-09,10.5,10.5,10.3,10.4,350400
2020-09-10,10.5,10.5,10.3,10.32,59900
2020-09-11,10.33,10.5,10.3,10.39,116100
2020-09-14,10.35,10.498,10.3,10.38,65000
2020-09-15,10.32,10.685,10.32,10.528,353000
2020-09-16,10.56,10.6,10.46,10.5,54200
2020-09-17,10.5,10.6,10.35,10.435,56900
2020-09-18,10.36,11.03,10.36,11.03,84400
2020-09-21,10.6,10.845,10.44,10.7,571300
2020-09-22,10.75,10.75,10.433,10.65,69800
2020-09-23,10.52,10.65,10.45,10.65,68500
2020-09-24,10.35,10.72,10.35,10.69,286100
2020-09-25,10.42,10.7,10.35,10.6,190800
2020-09-28,10.58,10.81,10.5,10.62,19200
2020-09-29,10.65,10.97,10.45,10.85,415400
2020-09-30,10.85,11.07,10.69,10.76,105000
2020-10-01,10.76,10.85,10.59,10.62,173200
2020-10-02,10.5,10.71,10.5,10.52,136300
2020-10-05,10.575,10.65,10.46,10.47,93800
2020-10-06,10.55,10.55,10.3,10.38,94300
2020-10-07,10.45,10.5,10.3,10.35,81400
2020-10-08,10.41,10.46,10.2,10.33,151800
2020-10-09,10.3,10.3,10.14,10.274,1446700
2020-10-12,10.3,10.31,10.25,10.3,79100
2020-10-13,10.46,10.46,10.21,10.294,85000
2020-10-14,10.31,10.365,10.23,10.3,73300
2020-10-15,10.3,10.3,10.26,10.3,21200
2020-10-16,10.36,10.36,10.2,10.3,24900
2020-10-19,10.34,10.41,10.25,10.27,44900
2020-10-20,10.38,10.38,10.26,10.26,341100
2020-10-21,10.26,10.3,10.25,10.25,17500
2020-10-22,10.25,10.25,10.15,10.22,43300
2020-10-23,10.25,10.27,10.12,10.15,129700
2020-10-26,10.1,10.15,10.03,10.065,59300
2020-10-27,10.16,10.16,9.94,10.0,155800
2020-10-28,9.9,10.09,9.89,9.89,1465500
2020-10-29,9.96,9.96,9.89,9.92,54200
2020-10-30,9.95,9.95,9.88,9.95,35100
2020-11-02,10.0,10.01,9.89,9.92,155800
2020-11-03,9.94,9.966,9.91,9.95,41300
2020-11-04,9.95,10.06,9.87,9.98,20200
2020-11-05,10.12,10.12,9.99,10.03,17300
2020-11-06,10.05,10.05,9.94,10.0,26300
2020-11-09,10.16,10.22,10.0,10.0,72400
2020-11-10,10.0,10.04,9.98,10.02,67800
2020-11-11,10.1,10.1,9.95,10.08,26100
2020-11-12,10.19,10.19,10.055,10.075,45300
2020-11-13,10.11,10.12,10.04,10.08,90100
2020-11-16,10.1,10.1,10.01,10.09,20300
2020-11-17,10.1,10.1,10.01,10.05,45900
2020-11-18,10.05,10.11,10.01,10.06,21300
2020-11-19,10.06,10.22,10.06,10.14,51700
2020-11-20,10.25,10.27,10.1,10.205,29000
2020-11-23,10.21,10.22,10.1,10.16,340500
2020-11-24,10.24,10.24,10.11,10.16,356500
2020-11-25,10.2,10.292,10.12,10.21,399800
2020-11-27,10.4,10.4,10.16,10.37,404200
2020-11-30,10.5,10.5,10.3,10.45,578700
2020-12-01,10.51,10.51,10.37,10.45,630400
2020-12-02,10.55,10.6,10.33,10.43,214600
2020-12-03,10.4,10.54,10.36,10.38,536300
2020-12-04,10.38,10.48,10.35,10.4,125400
2020-12-07,10.69,10.69,10.26,10.43,1507200
2020-12-08,10.6,10.63,10.41,10.57,1364100
2020-12-09,10.65,10.92,10.42,10.55,422700
2020-12-10,10.53,10.67,10.53,10.6,606700
2020-12-11,10.73,10.95,10.66,10.71,893000
2020-12-14,10.8,10.89,10.49,10.5,589000
2020-12-15,10.6,10.6,10.35,10.45,831400
2020-12-16,10.53,10.57,10.35,10.45,1835800
2020-12-17,10.39,10.5,10.35,10.5,415900
2020-12-18,10.5,10.511,10.425,10.49,213300
2020-12-21,10.5,10.54,10.47,10.5,475800
2020-12-22,10.6,10.73,10.56,10.71,1053300
2020-12-23,10.74,10.78,10.65,10.74,1156200
2020-12-24,10.99,11.15,10.791,10.85,2015500
2020-12-28,11.03,11.15,10.89,11.08,2562300
2020-12-29,11.1,11.1,10.68,10.85,1686700
2020-12-30,10.81,11.03,10.76,10.87,928700
2020-12-31,10.85,11.09,10.85,10.9,883900
2021-01-04,11.08,11.18,10.85,10.96,1263600
