date,open,high,low,close,volume
2013-12-12,43.7076,44.9798,43.605,44.118,12935400
2013-12-13,45.1235,45.9238,44.2206,45.3492,1224800
2013-12-16,47.3602,52.839,44.159,44.159,4717600
2013-12-17,44.3437,45.1235,44.2822,44.7541,2313800
2013-12-18,44.7952,45.5134,44.4463,44.7952,2857800
2013-12-19,44.631,45.9853,44.2206,45.7186,1469100
2013-12-20,46.17,46.2726,44.8567,45.0004,994800
2013-12-23,45.1645,45.5339,44.2411,44.2411,1220700
2013-12-24,44.3232,44.4668,43.3998,44.1385,1234000
2013-12-26,44.2411,45.0619,44.2206,44.5284,1309200
2013-12-27,44.3232,44.8157,44.2206,44.3232,1090300
2013-12-30,44.5694,45.0824,44.3232,44.9183,871800
2013-12-31,45.144,46.1084,45.0414,45.657,1134300
2014-01-02,45.657,45.8622,44.672,44.8567,1763700
2014-01-03,44.7336,45.3287,44.631,45.1645,461200
2014-01-06,45.1235,45.3902,44.6515,45.144,1172300
2014-01-07,45.144,45.3492,44.9388,45.144,1992500
2014-01-08,45.2056,45.2056,44.7336,45.2056,1154200
2014-01-09,45.144,45.185,44.5489,44.8772,459600
2014-01-10,44.6515,44.8567,44.2616,44.5079,812300
2014-01-13,44.2411,44.7952,44.2411,44.5694,728200
2014-01-14,44.5489,45.3697,44.4053,45.3492,1251600
2014-01-15,45.2466,45.4928,44.7952,44.9593,915200
2014-01-16,44.9388,45.2056,44.5079,45.0619,1130000
2014-01-17,45.0619,46.2931,44.7336,45.657,2702200
2014-01-21,46.1905,46.3547,44.8157,44.9798,1280200
2014-01-22,45.1235,46.1495,44.9388,46.0879,1428600
2014-01-23,46.0264,46.4983,45.3492,46.4983,936000
2014-01-24,45.8622,46.129,45.3287,46.0674,891000
2014-01-27,46.0674,46.0674,44.9183,45.1235,1099600
2014-01-28,44.8157,45.144,44.631,44.9388,686200
2014-01-29,44.7541,44.8978,44.2411,44.4463,437800
2014-01-30,44.6515,44.7746,44.3232,44.4463,520200
2014-01-31,44.1385,44.5079,43.7897,44.4258,428600
2014-02-03,44.4258,44.5284,42.7637,42.9894,1115000
2014-02-04,43.092,43.2562,42.7637,43.1536,835700
2014-02-05,42.7842,43.0099,42.1686,42.6816,694700
2014-02-06,42.7637,43.5024,42.7226,43.5024,294100
2014-02-07,43.6255,44.8772,43.5434,44.4258,513000
2014-02-10,44.4668,44.5079,43.7076,43.9333,562400
2014-02-11,44.59,44.672,44.0359,44.5079,642400
2014-02-12,44.6105,45.0414,44.3642,44.9183,436600
2014-02-13,44.6926,45.185,44.4258,45.0414,551600
2014-02-14,45.144,45.2466,44.8567,45.144,647800
2014-02-18,45.144,45.144,44.59,44.6515,616100
2014-02-19,44.6515,45.0414,44.118,44.1796,441000
2014-02-20,44.118,44.4668,43.7281,44.0975,602000
2014-02-21,44.118,45.5339,44.0564,45.4518,1166000
2014-02-24,45.5749,46.17,45.2261,45.6775,743100
