date,open,high,low,close,volume
2012-07-11,11.25,11.82,11.24,11.7,6851700
2012-07-12,11.61,12.0,11.61,11.93,712800
2012-07-13,12.09,12.15,11.8,12.0,443700
2012-07-16,12.0,12.0,11.83,11.93,99100
2012-07-17,11.98,12.0,11.91,12.0,253800
2012-07-18,12.0,12.05,11.98,12.01,175000
2012-07-19,12.01,12.03,11.97,12.0,193800
2012-07-20,12.0,12.04,11.99,12.04,356300
2012-07-23,11.96,12.26,11.96,12.24,143700
2012-07-24,12.25,12.25,12.17,12.24,61200
2012-07-25,12.25,12.41,12.25,12.41,86200
2012-07-26,12.49,12.58,12.44,12.5,163500
2012-07-27,12.58,12.59,12.28,12.46,56000
2012-07-30,12.4,12.49,12.34,12.34,36900
2012-07-31,12.49,12.49,12.39,12.42,42200
2012-08-01,12.49,12.5,12.41,12.45,45700
2012-08-02,12.43,12.48,12.42,12.48,36900
2012-08-03,12.48,12.49,12.43,12.47,25700
2012-08-06,12.37,12.46,12.35,12.37,53400
2012-08-07,12.3,12.45,12.25,12.43,102300
2012-08-08,12.39,12.45,12.35,12.42,67100
2012-08-09,12.44,12.44,12.38,12.41,28800
2012-08-10,12.44,12.45,12.4,12.45,51700
2012-08-13,12.27,12.43,12.27,12.31,24800
2012-08-14,12.39,12.43,12.3,12.35,16700
2012-08-15,12.35,12.42,12.35,12.36,43100
2012-08-16,12.36,12.42,12.35,12.4,53800
2012-08-17,12.44,12.46,12.36,12.46,58400
2012-08-20,12.45,12.46,12.41,12.43,25400
2012-08-21,12.48,12.52,12.41,12.46,91400
2012-08-22,12.47,12.52,12.46,12.5,66000
2012-08-23,12.46,12.52,12.46,12.5,46300
2012-08-24,12.51,12.55,12.46,12.51,46300
2012-08-27,12.55,12.65,12.53,12.55,56700
2012-08-28,12.64,12.75,12.59,12.72,55600
2012-08-29,12.75,12.8,12.51,12.61,54400
2012-08-30,12.55,12.68,12.55,12.65,16500
2012-08-31,12.69,12.74,12.49,12.58,39600
2012-09-04,12.71,12.75,12.57,12.69,23600
2012-09-05,12.67,12.75,12.65,12.73,40400
2012-09-06,12.73,12.8,12.6,12.77,72400
2012-09-07,12.78,12.8,12.59,12.71,59100
2012-09-10,12.65,12.81,12.5,12.69,42200
2012-09-11,12.68,12.74,12.6,12.63,38100
2012-09-12,12.65,12.75,12.52,12.59,31100
2012-09-13,12.55,12.79,12.55,12.7,46200
2012-09-14,12.61,12.78,12.61,12.69,22400
2012-09-17,12.05,12.78,12.04,12.62,69300
2012-09-18,12.76,12.8,12.68,12.8,33400
2012-09-19,12.79,12.99,12.78,12.85,55000
2012-09-20,12.81,12.9,12.81,12.88,31400
2012-09-21,12.88,12.97,12.84,12.97,188700
2012-09-24,12.74,12.95,12.74,12.93,69900
2012-09-25,12.94,13.18,12.93,13.07,83100
2012-09-26,13.09,13.2,12.95,13.19,97700
2012-09-27,13.2,13.25,12.8,12.99,124000
2012-09-28,12.99,13.29,12.83,13.25,2592400
2012-10-01,13.27,13.27,13.14,13.2,149800
2012-10-02,13.26,13.26,13.19,13.24,94600
2012-10-03,13.25,13.26,13.15,13.18,81300
2012-10-04,13.18,13.43,13.15,13.35,150600
2012-10-05,13.35,13.64,13.33,13.64,110200
2012-10-08,13.6,13.7,13.55,13.65,47400
2012-10-09,13.75,13.75,13.62,13.63,85300
2012-10-10,13.61,13.74,13.55,13.6,159900
2012-10-11,13.62,13.75,13.6,13.63,44100
2012-10-12,13.6,13.6,13.43,13.47,65100
2012-10-15,13.44,13.57,13.27,13.49,47700
2012-10-16,13.55,13.7,13.32,13.62,39300
2012-10-17,13.6,13.6,13.41,13.5,45100
2012-10-18,13.49,13.52,13.41,13.46,33600
2012-10-19,13.41,13.46,13.19,13.25,68700
2012-10-22,13.18,13.48,13.18,13.46,46000
2012-10-23,13.39,13.7,13.25,13.51,85700
2012-10-24,13.53,13.55,13.03,13.37,80300
2012-10-25,13.51,13.52,13.22,13.41,49900
2012-10-26,13.4,13.5,13.34,13.44,43400
2012-10-31,13.49,13.65,13.43,13.65,160300
2012-11-01,13.62,13.64,13.42,13.62,63900
2012-11-02,13.64,13.64,13.31,13.36,83500
2012-11-05,13.43,13.57,13.43,13.53,107200
2012-11-06,13.53,13.54,13.47,13.51,60600
2012-11-07,13.42,13.43,13.12,13.14,96500
2012-11-08,13.16,13.16,12.66,12.69,135100
2012-11-09,12.63,12.83,12.55,12.76,56200
2012-11-12,12.83,13.07,12.83,12.98,67300
2012-11-13,13.0,13.06,12.83,12.98,39700
2012-11-14,13.01,13.01,12.72,12.85,51600
2012-11-15,12.81,13.01,12.72,12.77,49800
2012-11-16,12.72,12.99,12.69,12.84,34500
2012-11-19,12.93,12.95,12.87,12.93,28700
2012-11-20,12.89,12.95,12.8,12.91,14000
2012-11-21,12.93,12.94,12.83,12.93,4900
2012-11-23,12.95,13.09,12.86,13.03,33100
2012-11-26,13.0,13.06,12.95,13.05,23800
2012-11-27,13.05,13.1,13.0,13.07,51000
2012-11-28,13.11,13.2,13.11,13.16,26500
2012-11-29,13.16,13.2,12.82,13.15,23800
2012-11-30,13.18,13.18,12.77,12.84,171100
