date,open,high,low,close,volume
2004-02-19,18.82,18.84,18.6,18.75,488600
2004-02-20,18.7,18.7,18.51,18.7,495800
2004-02-23,18.75,18.89,18.6,18.8,359200
2004-02-24,18.75,18.8,18.7,18.72,855700
2004-02-25,18.72,18.8,18.68,18.77,253600
2004-02-26,18.72,18.89,18.7,18.82,293500
2004-02-27,18.9,18.97,18.7,18.9,238500
2004-03-01,18.86,18.92,18.66,18.75,174700
2004-03-02,18.85,18.85,18.6,18.7,182400
2004-03-03,18.63,18.68,18.5,18.51,240800
2004-03-04,18.5,18.75,18.45,18.65,222200
2004-03-05,18.6,18.7,18.54,18.55,128700
2004-03-08,18.52,18.62,18.5,18.52,365400
2004-03-09,18.53,18.7,18.45,18.53,525500
2004-03-10,18.57,18.75,18.5,18.68,683900
2004-03-11,18.65,18.83,18.65,18.77,246400
2004-03-12,18.75,19.0,18.75,18.98,191400
2004-03-15,18.85,19.0,18.8,18.84,148700
2004-03-16,18.88,18.95,18.79,18.89,74300
2004-03-17,18.85,18.9,18.8,18.85,174300
2004-03-18,18.85,18.85,18.75,18.85,76900
2004-03-19,18.82,18.82,18.6,18.7,131200
2004-03-22,18.65,18.65,18.48,18.55,124400
2004-03-23,18.65,18.68,18.1,18.39,557600
2004-03-24,18.6,18.7,18.37,18.45,591000
2004-03-25,18.45,18.48,18.31,18.44,480200
2004-03-26,18.32,18.4,18.3,18.31,198200
2004-03-29,18.33,18.4,18.21,18.29,181700
2004-03-30,18.27,18.4,18.25,18.4,232300
2004-03-31,18.4,18.98,18.38,18.5,465600
2004-04-01,18.55,18.75,18.5,18.67,136800
2004-04-02,18.92,18.92,18.51,18.6,158300
2004-04-05,18.65,18.72,18.12,18.28,112600
2004-04-06,18.2,18.27,17.95,17.96,160300
2004-04-07,17.96,18.19,17.96,18.05,163000
2004-04-08,18.05,18.1,17.7,17.79,168200
2004-04-12,17.7,17.72,16.6,16.84,233600
2004-04-13,16.6,17.24,16.27,16.77,253000
2004-04-14,16.7,16.75,16.5,16.72,140000
2004-04-15,16.68,16.94,16.62,16.85,239100
2004-04-16,16.85,16.93,16.75,16.88,471900
2004-04-19,16.98,16.98,16.7,16.9,85500
2004-04-20,16.8,16.95,16.8,16.85,121200
2004-04-21,16.45,16.7,16.45,16.6,127000
2004-04-22,16.57,16.95,16.53,16.9,119800
2004-04-23,16.95,16.95,16.66,16.76,78700
2004-04-26,16.67,16.95,16.6,16.69,119300
2004-04-27,16.69,16.7,16.56,16.7,249300
2004-04-28,16.68,16.7,16.55,16.55,99500
2004-04-29,16.55,16.6,16.4,16.4,85800
2004-04-30,16.4,17.0,16.31,17.0,221400
2004-05-03,16.97,16.97,16.67,16.8,226600
2004-05-04,16.8,16.9,16.7,16.85,96200
2004-05-05,16.88,16.88,16.65,16.68,133700
2004-05-06,16.6,16.68,16.18,16.5,90200
2004-05-07,16.42,16.5,15.78,15.9,117900
2004-05-10,15.7,15.77,14.7,14.75,399700
2004-05-11,14.85,14.98,14.33,14.65,345400
2004-05-12,14.55,14.73,14.55,14.57,113100
2004-05-13,14.5,14.84,14.42,14.78,600700
2004-05-14,14.8,15.1,14.65,15.1,143300
2004-05-17,15.1,15.39,15.0,15.0,82900
2004-05-18,14.93,15.65,14.93,15.55,72200
2004-05-19,15.7,15.75,15.28,15.51,425400
2004-05-20,15.46,15.75,15.46,15.6,44200
2004-05-21,15.52,16.0,15.52,15.85,61600
2004-05-24,15.88,16.0,15.8,16.0,307600
2004-05-25,16.0,16.0,15.83,15.88,95900
2004-05-26,15.9,16.02,15.8,15.95,182700
2004-05-27,15.96,16.12,15.95,16.01,170500
2004-05-28,16.03,16.34,15.87,16.0,110800
2004-06-01,15.85,16.5,15.85,16.5,132200
2004-06-02,16.7,17.35,16.65,17.35,198700
2004-06-03,17.4,17.6,17.23,17.48,221300
2004-06-04,17.58,17.6,16.8,17.15,96700
2004-06-07,17.15,17.35,16.85,17.24,57200
2004-06-08,17.24,17.37,17.1,17.3,127600
2004-06-09,17.25,17.36,16.96,17.01,80500
2004-06-10,16.95,16.98,16.43,16.45,125900
2004-06-14,16.42,16.42,15.77,16.06,434200
2004-06-15,16.25,16.78,16.23,16.78,98200
2004-06-16,16.6,16.95,16.45,16.9,84800
2004-06-17,16.75,16.88,16.52,16.75,99400
2004-06-18,16.7,16.99,16.29,16.65,126800
2004-06-21,16.8,16.98,16.65,16.7,364000
2004-06-22,16.62,17.0,16.62,16.8,118500
2004-06-23,16.8,16.99,16.65,16.74,140000
2004-06-24,16.86,16.86,16.55,16.69,414600
2004-06-25,16.6,16.95,16.6,16.71,1463200
2004-06-28,16.45,16.6,16.2,16.5,148200
2004-06-29,16.65,16.75,16.45,16.55,401000
2004-06-30,16.6,16.62,16.37,16.6,205500
2004-07-01,16.42,16.79,16.42,16.7,94500
2004-07-02,16.7,17.01,16.56,16.94,298500
2004-07-06,16.94,16.94,16.5,16.71,91700
