date,open,high,low,close,volume
2000-10-05,7.875,7.875,7.875,7.875,200
2000-10-06,7.875,7.875,7.875,7.875,100
2000-10-09,7.875,7.875,7.875,7.875,1400
2000-10-10,7.875,8.0,7.875,7.875,5600
2000-10-11,7.875,7.875,7.75,7.75,9100
2000-10-12,7.6875,7.6875,7.6875,7.6875,100
2000-10-13,7.9844,8.5,7.875,8.125,52600
2000-10-16,8.375,8.375,7.75,7.75,5200
2000-10-17,7.7656,7.7656,7.75,7.75,5100
2000-10-18,7.75,7.75,7.75,7.75,0
2000-10-19,7.75,7.75,7.75,7.75,500
2000-10-20,7.75,7.75,7.625,7.625,4100
2000-10-23,7.5,7.5,6.625,7.0625,8200
2000-10-24,7.0625,8.25,7.0,8.25,19600
2000-10-25,8.25,8.25,8.25,8.25,0
2000-10-26,7.875,7.875,7.875,7.875,1300
2000-10-27,7.875,7.9375,7.875,7.875,1200
2000-10-30,7.875,7.875,7.875,7.875,3000
2000-10-31,8.0,8.0,8.0,8.0,6400
2000-11-01,7.875,8.0,7.875,8.0,8500
2000-11-02,7.8906,8.0,7.875,8.0,800
2000-11-03,8.0,8.0,8.0,8.0,0
2000-11-06,7.875,7.875,7.875,7.875,500
2000-11-07,7.875,7.875,7.875,7.875,0
2000-11-08,7.875,7.875,7.875,7.875,0
2000-11-09,7.875,7.875,7.875,7.875,1500
2000-11-10,7.875,8.0,7.875,8.0,6800
2000-11-13,8.0,8.0,8.0,8.0,0
2000-11-14,7.875,8.0,7.875,8.0,6700
2000-11-15,7.875,8.0,7.875,8.0,8900
2000-11-16,7.8906,7.8906,7.8906,7.8906,200
2000-11-17,7.8906,7.8906,7.8906,7.8906,0
2000-11-20,7.875,7.875,7.875,7.875,600
2000-11-21,7.875,7.875,7.875,7.875,1700
2000-11-22,7.875,7.875,7.875,7.875,0
2000-11-24,7.75,7.75,7.75,7.75,1000
2000-11-27,7.75,7.75,7.75,7.75,1300
2000-11-28,8.0,8.0,8.0,8.0,4300
2000-11-29,7.75,8.0,7.75,8.0,2500
2000-11-30,7.75,8.25,7.75,8.125,4000
2000-12-01,8.125,8.5,8.125,8.5,27100
2000-12-04,8.1875,8.625,8.0,8.625,43800
2000-12-05,8.5,8.5,8.125,8.125,20000
2000-12-06,8.125,8.125,8.125,8.125,5100
2000-12-07,8.125,8.125,8.125,8.125,2900
2000-12-08,8.125,8.125,8.125,8.125,2600
2000-12-11,8.125,8.125,8.125,8.125,13700
