date,open,high,low,close,volume
2020-11-24,9.649,9.66,9.649,9.66,7100
2020-11-25,9.66,9.68,9.66,9.66,1700
2020-11-27,9.8,9.8,9.66,9.71,11700
2020-11-30,10.4,10.4,9.74,9.9,83500
2020-12-01,9.95,9.95,9.89,9.91,11100
2020-12-02,9.97,9.97,9.78,9.85,11200
2020-12-03,9.95,9.95,9.75,9.751,77700
2020-12-04,9.86,9.89,9.75,9.87,114900
2020-12-07,10.0,10.02,9.8,9.9,141300
2020-12-08,9.98,9.98,9.8,9.91,364300
2020-12-09,10.39,10.39,9.88,9.96,765800
2020-12-10,10.0,10.07,9.91,10.05,109100
2020-12-11,10.35,10.52,10.0,10.22,420000
2020-12-14,10.5,10.5,10.11,10.19,315900
2020-12-15,10.22,10.22,10.06,10.15,333300
2020-12-16,10.33,10.33,10.086,10.1,531300
2020-12-17,10.15,10.17,10.1,10.13,113900
2020-12-18,10.2,10.23,10.09,10.14,115600
2020-12-21,10.17,10.17,10.07,10.11,167100
2020-12-22,10.15,10.23,10.1,10.14,337200
2020-12-23,10.16,10.29,10.13,10.16,329700
2020-12-24,10.3,10.45,10.25,10.38,434000
2020-12-28,10.56,10.6,10.31,10.38,452100
2020-12-29,10.42,10.42,10.16,10.16,287700
2020-12-30,10.25,10.41,10.177,10.18,90500
2020-12-31,10.18,10.2,10.1,10.1,257800
2021-01-04,10.23,10.235,10.095,10.11,126300
