date,open,high,low,close,volume
2000-10-05,1.9688,1.9688,1.9062,1.9062,22000.0
2000-10-06,1.9375,1.9375,1.875,1.8906,153600.0
2000-10-09,1.875,1.875,1.875,1.875,3600.0
2000-10-10,1.875,1.875,1.875,1.875,40800.0
2000-10-11,1.875,1.9062,1.7969,1.8125,49600.0
2000-10-12,1.8438,2.0,1.8281,1.875,13600.0
2000-10-13,1.9062,1.9062,1.8125,1.8438,60000.0
2000-10-16,1.8281,1.875,1.8125,1.8594,66000.0
2000-10-17,1.8594,1.8594,1.8281,1.8594,16800.0
2000-10-18,1.8906,1.8906,1.8125,1.8438,82400.0
2000-10-19,1.8281,1.8281,1.8125,1.8281,40400.0
2000-10-20,1.8438,1.8438,1.75,1.7656,45200.0
2000-10-23,1.7656,1.8125,1.7656,1.8125,33600.0
2000-10-24,1.7812,1.7812,1.7656,1.7656,65200.0
2000-10-25,1.7656,1.7656,1.75,1.75,35600.0
2000-10-26,1.7812,1.7812,1.6562,1.6562,98400.0
2000-10-27,1.625,1.7031,1.625,1.6875,78800.0
2000-10-30,1.6562,1.6875,1.6562,1.6719,84800.0
2000-10-31,1.6406,1.8125,1.6406,1.8125,522000.0
2000-11-01,1.8125,1.8125,1.7344,1.75,89600.0
2000-11-02,1.7344,1.75,1.7188,1.7344,128400.0
2000-11-03,1.7344,1.75,1.6875,1.75,123600.0
2000-11-06,1.7656,1.7812,1.75,1.75,38000.0
2000-11-07,1.75,1.75,1.7188,1.75,18000.0
2000-11-08,1.7188,1.75,1.7188,1.75,36800.0
2000-11-09,1.7344,1.75,1.6875,1.6875,136000.0
2000-11-10,1.6562,1.7344,1.6562,1.6875,37200.0
2000-11-13,1.6875,1.7188,1.6875,1.7188,27200.0
2000-11-14,1.7188,1.8125,1.7188,1.75,322000.0
2000-11-15,1.75,1.75,1.7188,1.75,18400.0
2000-11-16,1.75,1.7812,1.7344,1.7656,58000.0
2000-11-17,1.7812,1.7969,1.75,1.7656,57600.0
2000-11-20,1.7031,1.7344,1.6875,1.7031,95600.0
2000-11-21,1.6875,1.6875,1.5938,1.6094,135200.0
2000-11-22,1.5938,1.6562,1.5625,1.6094,156000.0
2000-11-24,1.6406,1.6562,1.625,1.6562,15600.0
2000-11-27,1.6875,1.6875,1.6562,1.6562,360800.0
2000-11-28,1.6562,1.8125,1.6562,1.8125,98400.0
2000-11-29,1.7812,1.7812,1.7188,1.7188,26000.0
2000-11-30,1.6875,1.6875,1.5625,1.5625,169200.0
2000-12-01,1.5938,1.6406,1.5625,1.6094,60000.0
2000-12-04,1.6094,1.6562,1.6094,1.6562,46400.0
