date,open,high,low,close,volume
2000-10-05,4.7812,4.8438,4.7812,4.8438,38200
2000-10-06,4.8125,4.875,4.8125,4.8125,116800
2000-10-09,4.8125,4.8125,4.7812,4.7812,12000
2000-10-10,4.7812,4.7812,4.7812,4.7812,1000
2000-10-11,4.75,4.8438,4.75,4.8438,2800
2000-10-12,4.8125,4.8125,4.8125,4.8125,600
2000-10-13,4.7812,4.9688,4.7812,4.9688,39200
2000-10-16,5.0,5.5,5.0,5.5,53800
2000-10-17,5.5625,5.6875,5.5,5.5625,44400
2000-10-18,5.625,5.8125,5.5,5.8125,40400
2000-10-19,5.75,6.0,5.75,6.0,61600
2000-10-20,6.0,6.0,5.8125,5.9375,4400
2000-10-23,5.875,5.875,5.75,5.75,24600
2000-10-24,5.8125,6.0,5.8125,5.9375,14400
2000-10-25,5.9375,5.9375,5.9375,5.9375,0
2000-10-26,6.0,6.0625,6.0,6.0625,17800
2000-10-27,6.0625,6.1562,6.0,6.0625,16400
2000-10-30,6.0312,6.0312,5.8125,5.8125,26800
2000-10-31,5.8125,5.9688,5.8125,5.9688,8200
2000-11-01,5.9375,6.0,5.9375,6.0,48400
2000-11-02,5.9688,6.0,5.9375,5.9375,17600
2000-11-03,5.9375,6.0312,5.9375,6.0312,22000
2000-11-06,6.0312,6.0312,6.0312,6.0312,0
2000-11-07,6.0,6.0,5.875,5.875,11000
2000-11-08,5.9375,5.9375,5.9062,5.9062,5800
2000-11-09,5.875,5.9062,5.875,5.875,67800
2000-11-10,5.875,5.9062,5.875,5.875,9600
2000-11-13,5.875,5.9062,5.875,5.9062,7800
2000-11-14,5.875,5.875,5.875,5.875,6200
2000-11-15,5.8125,5.875,5.8125,5.875,4400
2000-11-16,5.875,5.875,5.875,5.875,3600
2000-11-17,5.875,5.9375,5.875,5.9062,15600
2000-11-20,5.875,6.0,5.875,5.9375,39800
2000-11-21,5.875,6.0625,5.8125,6.0,58800
2000-11-22,6.0,6.0,6.0,6.0,0
2000-11-24,6.0625,6.0625,6.0,6.0,3800
2000-11-27,6.0,6.4688,6.0,6.375,53200
2000-11-28,6.4375,6.5,6.4375,6.4375,53200
2000-11-29,6.4375,6.4688,6.4375,6.4688,4800
2000-11-30,6.4688,6.4688,6.25,6.25,17200
2000-12-01,6.25,6.375,6.25,6.375,9200
2000-12-04,6.375,6.375,6.3438,6.3438,12600
2000-12-05,6.3438,6.3438,6.2188,6.2188,16000
2000-12-06,6.25,6.25,6.1875,6.2188,11800
2000-12-07,6.1562,6.1562,6.0,6.0,15400
2000-12-08,6.0,6.0,5.875,5.875,14800
2000-12-11,5.8125,5.8125,5.5,5.5625,20600
2000-12-12,5.5625,5.625,5.5625,5.625,5800
2000-12-13,5.5938,5.5938,5.4062,5.4062,27400
2000-12-14,5.4062,5.5,5.4062,5.5,15200
2000-12-15,5.4688,5.625,5.4688,5.5,14400
2000-12-18,5.5,5.5,5.5,5.5,4400
2000-12-19,5.5,5.5,5.375,5.4062,26800
2000-12-20,5.4688,5.625,5.4375,5.625,19600
2000-12-21,5.5938,5.6875,5.5625,5.6875,43000
2000-12-22,5.6562,5.6562,5.625,5.6562,7600
2000-12-26,5.6562,5.6562,5.6562,5.6562,200
2000-12-27,5.6562,5.6875,5.6562,5.6875,34200
2000-12-28,5.6875,5.75,5.6562,5.6875,10800
2000-12-29,5.6875,5.75,5.6875,5.75,6000
