date,open,high,low,close,volume
2020-07-22,46.0,51.0,35.85,39.2,22417500
2020-07-23,41.48,43.25,39.25,39.88,5533000
2020-07-24,38.5,40.4,36.75,39.7,1272900
2020-07-27,39.82,42.5,39.5,40.29,1255900
2020-07-28,40.68,42.4,39.5,40.5,2372500
2020-07-29,40.0,41.0,40.0,40.3,545800
2020-07-30,39.8,41.47,38.99,41.28,586900
2020-07-31,42.4,42.873,40.02,40.6,522800
2020-08-03,40.29,40.663,37.65,38.13,1013000
2020-08-04,37.9,38.99,37.845,38.89,666300
2020-08-05,38.97,40.25,38.59,40.19,516000
2020-08-06,39.67,40.5,39.37,40.06,372200
2020-08-07,39.5,40.4,39.203,40.24,697900
2020-08-10,40.2,40.2,39.21,39.42,291500
2020-08-11,39.85,39.85,38.6,39.2,412300
2020-08-12,39.13,39.69,38.65,39.06,264200
2020-08-13,38.94,39.55,38.0,38.0,258700
2020-08-14,38.11,38.255,35.5,35.78,766100
2020-08-17,36.65,38.9,35.8,38.33,591700
2020-08-18,39.32,40.4,39.01,39.7,638200
2020-08-19,40.23,40.23,37.27,38.54,446000
2020-08-20,38.3,39.04,37.12,38.83,337800
2020-08-21,38.41,40.4,38.21,40.13,491100
2020-08-24,40.5,40.96,37.55,39.15,590400
2020-08-25,39.24,39.24,37.57,38.54,477300
2020-08-26,38.51,39.78,38.46,39.33,403700
2020-08-27,39.39,39.515,37.72,37.8,649900
2020-08-28,38.16,38.4,37.21,37.55,604200
2020-08-31,37.73,38.9,37.73,38.6,1101300
2020-09-01,39.5,41.22,37.85,41.18,2466200
2020-09-02,37.35,40.96,36.75,38.5,2213000
2020-09-03,37.89,38.89,37.5,38.59,536400
2020-09-04,38.64,38.64,34.61,36.66,838400
2020-09-08,35.93,35.93,33.34,33.9,916100
2020-09-09,34.41,35.3,34.0,34.93,461700
2020-09-10,35.13,35.6,33.53,33.78,535000
2020-09-11,33.93,34.4,32.55,33.06,364700
2020-09-14,33.41,34.19,32.88,33.09,413600
2020-09-15,33.34,33.592,31.95,32.35,474100
2020-09-16,32.5,33.26,31.62,32.3,462200
2020-09-17,31.66,33.32,31.358,33.07,442500
2020-09-18,33.33,33.37,32.8,33.26,2054100
2020-09-21,32.41,34.91,32.18,34.77,336000
2020-09-22,34.99,36.9,34.89,36.49,407400
2020-09-23,36.46,36.72,34.99,35.12,357100
2020-09-24,34.79,34.79,33.18,34.39,316400
2020-09-25,34.25,34.94,33.61,34.24,165200
2020-09-28,34.81,36.0,34.3,35.88,350900
2020-09-29,35.73,36.74,35.61,36.45,427700
2020-09-30,36.39,38.09,35.059,37.61,496700
2020-10-01,38.03,38.1,35.02,36.56,486100
2020-10-02,35.65,36.13,33.79,34.09,434700
2020-10-05,34.35,34.35,32.77,33.57,690900
2020-10-06,33.78,34.5,32.63,33.08,292000
2020-10-07,33.29,34.14,33.11,33.63,270100
2020-10-08,34.33,34.41,33.2,33.95,276700
2020-10-09,34.02,34.9,33.855,34.58,157700
2020-10-12,35.01,35.02,34.09,34.75,258300
2020-10-13,35.0,35.65,34.87,35.31,253100
2020-10-14,35.67,35.67,34.615,34.98,230900
2020-10-15,34.65,34.865,34.07,34.5,125300
2020-10-16,34.65,34.75,34.22,34.32,153100
2020-10-19,34.37,35.26,34.21,34.4,296700
2020-10-20,34.58,34.785,33.9,33.99,254800
2020-10-21,33.82,33.95,33.2,33.3,228900
2020-10-22,33.37,33.78,32.55,33.07,222400
2020-10-23,33.79,34.14,32.85,33.02,192700
2020-10-26,32.85,32.85,31.32,31.95,139300
2020-10-27,32.26,34.125,32.17,33.7,654600
2020-10-28,33.4,33.97,32.12,33.5,255000
2020-10-29,33.53,34.2,33.12,33.43,270200
2020-10-30,33.01,33.795,32.11,32.6,382800
2020-11-02,32.89,33.75,31.45,32.86,240000
2020-11-03,32.89,34.16,32.473,34.08,144100
2020-11-04,34.8,35.5,34.22,35.38,244000
2020-11-05,35.77,36.44,35.36,36.35,151500
2020-11-06,35.77,36.94,35.33,36.75,136700
2020-11-09,36.56,36.93,32.935,33.78,332300
2020-11-10,33.8,34.6,32.78,33.32,273300
2020-11-11,33.87,34.41,33.36,33.87,297100
2020-11-12,34.09,34.96,33.99,34.53,894800
2020-11-13,36.47,38.0,34.15,35.33,613000
2020-11-16,35.04,35.57,33.555,34.67,373400
2020-11-17,33.36,34.79,30.8,32.01,1608600
2020-11-18,31.76,33.38,30.71,33.02,1903200
2020-11-19,32.36,32.599,31.19,31.38,5743600
2020-11-20,31.5,32.31,31.24,31.41,2038200
2020-11-23,31.5,31.83,30.0,30.44,2077100
2020-11-24,30.55,31.19,29.99,30.41,1149800
2020-11-25,30.66,31.6,29.76,31.19,783500
2020-11-27,31.48,31.6,30.68,30.89,273200
2020-11-30,30.73,31.8,30.33,31.7,1118500
2020-12-01,31.67,32.19,31.3,31.48,715500
2020-12-02,31.29,31.99,30.88,31.08,500100
2020-12-03,31.18,31.8,30.91,31.55,689300
2020-12-04,31.56,32.09,31.0,31.48,379100
2020-12-07,31.58,31.88,31.28,31.74,650400
2020-12-08,32.0,32.15,31.1,31.75,446500
2020-12-09,31.55,31.85,30.67,31.48,440100
2020-12-10,31.19,31.7,31.04,31.62,287300
2020-12-11,31.5,32.24,31.373,32.23,742000
2020-12-14,32.23,33.23,31.75,32.18,886200
2020-12-15,32.18,32.471,31.38,31.99,321900
2020-12-16,32.33,33.24,32.01,32.93,407500
2020-12-17,33.0,33.25,31.85,32.52,637000
2020-12-18,32.53,33.68,32.43,33.66,880700
2020-12-21,33.13,33.56,32.47,33.51,628200
2020-12-22,33.75,34.6,33.71,34.34,741600
2020-12-23,34.21,34.38,32.0,32.36,732000
2020-12-24,32.74,32.82,31.69,32.05,468600
2020-12-28,32.2,32.643,30.9,31.29,826900
2020-12-29,31.62,32.18,29.8,30.18,848900
2020-12-30,30.12,30.43,29.35,29.46,802500
2020-12-31,29.51,29.985,29.033,29.92,1114600
2021-01-04,29.99,30.13,28.82,29.53,713200
