date,open,high,low,close,volume
2000-10-05,31.4375,32.5,31.0625,32.0,47900
2000-10-06,32.1875,32.1875,30.6875,31.75,91200
2000-10-09,30.625,31.75,30.625,31.25,38100
2000-10-10,31.5,31.5625,30.9375,31.0,131600
2000-10-11,30.9688,30.9688,30.375,30.375,48800
2000-10-12,31.3125,31.375,29.9375,29.9375,31300
2000-10-13,30.125,31.375,29.875,31.0,173900
2000-10-16,30.0156,31.0,29.625,31.0,60000
2000-10-17,30.75,31.1875,30.0,30.125,56800
2000-10-18,30.9219,31.375,30.0,30.6875,38000
2000-10-19,30.75,31.25,30.75,31.25,112200
2000-10-20,31.25,32.0,31.0,31.5625,84700
2000-10-23,31.0625,31.4375,30.5,30.625,34600
2000-10-24,30.875,31.75,30.8125,31.75,44000
2000-10-25,31.375,31.6875,29.5625,29.75,54700
2000-10-26,29.75,31.375,29.75,31.3125,53200
2000-10-27,30.6875,31.5625,30.25,30.75,45300
2000-10-30,30.5,32.0,30.5,31.75,56000
2000-10-31,30.5,32.0,30.375,31.0625,62100
2000-11-01,31.3125,32.0625,30.1875,32.0,60000
2000-11-02,32.125,32.5,31.5,32.0625,45900
2000-11-03,31.5,31.5625,30.75,30.9375,33200
2000-11-06,31.2812,31.625,30.875,31.125,41100
2000-11-07,30.75,31.25,30.75,31.0,51400
2000-11-08,31.0,31.4375,30.75,30.75,18400
2000-11-09,31.125,31.5,30.0,30.875,36200
2000-11-10,30.5312,30.5312,29.875,29.9375,46400
2000-11-13,29.75,30.875,29.75,30.8125,131900
2000-11-14,30.375,32.125,30.375,31.5625,88500
2000-11-15,31.4375,34.8125,31.0156,34.75,138400
2000-11-16,34.6875,34.6875,32.625,32.75,78700
2000-11-17,32.75,33.9375,32.5,32.5,100900
2000-11-20,32.9375,33.7344,32.75,33.25,154000
2000-11-21,33.9375,34.5,33.125,34.0,112200
2000-11-22,32.625,35.0,32.625,34.8125,75200
2000-11-24,33.625,35.0,33.625,34.875,37600
2000-11-27,34.6875,34.6875,34.125,34.1875,93900
2000-11-28,35.0,35.5,34.125,35.125,92100
2000-11-29,35.5,35.9375,34.75,35.7969,59800
2000-11-30,35.5625,37.0781,35.5625,35.9375,124600
2000-12-01,36.5,36.875,35.75,36.6875,98100
2000-12-04,36.5156,37.0,34.9375,37.0,142000
2000-12-05,36.0312,36.9375,35.875,36.625,78600
2000-12-06,36.875,37.0,36.5625,36.6875,101200
2000-12-07,36.9375,38.875,36.75,38.4375,99900
2000-12-08,38.4375,39.1875,37.75,39.0,197100
2000-12-11,38.375,39.375,37.8438,39.375,257600
2000-12-12,38.2344,38.8125,37.0,37.0,125300
2000-12-13,37.125,37.3125,36.25,36.5,80300
2000-12-14,36.875,36.9375,36.0,36.0625,42000
2000-12-15,33.625,37.0,33.5,36.9375,265600
2000-12-18,37.3125,38.0,35.875,37.1875,60400
2000-12-19,37.9375,38.0,36.25,36.9375,72300
2000-12-20,37.5,37.5,36.875,37.0,60800
2000-12-21,36.9375,38.125,36.875,37.5781,66600
2000-12-22,38.0,41.0,38.0,40.75,241800
2000-12-26,41.0,41.0,39.375,39.875,129100
2000-12-27,39.625,41.0,39.3438,41.0,85200
2000-12-28,41.0,41.125,40.0,41.0,91300
2000-12-29,40.625,41.0625,40.625,40.625,109800
2001-01-02,40.5625,41.9375,39.625,40.0,174900
2001-01-03,39.375,39.9375,39.0,39.875,60300
2001-01-04,39.9375,40.0,37.4375,38.0625,123200
2001-01-05,37.8125,38.5,37.75,38.125,69000
2001-01-08,37.8906,38.4375,37.75,38.375,106700
2001-01-09,38.0625,39.0,37.75,38.3125,116800
2001-01-10,38.25,39.25,37.9062,39.0625,158500
2001-01-11,38.75,38.8438,37.875,38.0625,69100
2001-01-12,38.3125,38.5,37.75,38.0,99100
2001-01-16,38.0,38.875,37.6562,37.9375,109000
2001-01-17,38.0,38.875,37.875,38.1875,48800
2001-01-18,38.25,38.5625,37.5625,38.0,62000
2001-01-19,38.25,38.25,36.8906,37.125,35900
2001-01-22,36.9375,39.0,36.6875,38.3125,77200
2001-01-23,38.0625,39.8125,36.8125,39.0,68600
2001-01-24,39.0,39.0,37.25,37.75,74000
2001-01-25,37.8125,39.0,37.8125,38.9375,31200
2001-01-26,37.7188,38.75,37.0,37.8125,51800
2001-01-29,38.125,38.625,36.9375,38.125,58900
2001-01-30,38.0625,38.9375,37.1875,38.0625,27800
2001-01-31,38.1875,38.1875,36.0,37.625,73900
2001-02-01,37.625,37.625,36.4531,37.25,20700
2001-02-02,36.3125,37.75,36.3125,37.625,43500
2001-02-05,37.5625,38.1875,36.1875,38.1875,35800
2001-02-06,37.125,38.25,36.4375,37.3125,46200
2001-02-07,37.9375,38.375,37.5,38.0,72700
2001-02-08,38.1875,38.875,37.1875,38.1875,79300
2001-02-09,37.4375,38.0625,36.9375,38.0,139100
2001-02-12,37.875,38.25,36.9375,38.125,38200
2001-02-13,38.0625,39.0,37.625,39.0,49700
2001-02-14,38.4062,39.0,37.4688,38.0625,28000
2001-02-15,38.375,38.5,37.125,38.4375,86400
2001-02-16,38.1875,38.25,37.875,37.875,20600
2001-02-20,38.0,38.125,36.875,36.875,32300
2001-02-21,36.75,38.0625,36.1875,36.25,81100
2001-02-22,36.25,38.3125,35.875,37.8125,53400
2001-02-23,37.9375,37.9844,35.9375,37.0,56400
2001-02-26,37.0,38.0,36.375,37.4375,67700
2001-02-27,37.125,38.0,36.9375,37.1875,51000
2001-02-28,36.9375,39.0,36.9375,38.5,106600
2001-03-01,38.4375,39.0,37.0,39.0,79200
2001-03-02,39.0,39.1875,38.0,39.1875,119200
