date,open,high,low,close,volume
2014-02-14,32.5,32.5,28.0,28.69,479500
2014-02-18,28.99,29.64,28.0,28.34,351800
2014-02-19,28.44,30.18,27.58,28.37,1133000
2014-02-20,28.15,29.36,28.15,29.09,580400
2014-02-21,29.4,29.4,28.74,29.0,641300
2014-02-24,29.2,29.25,28.94,29.02,1712700
2014-02-25,29.2,29.61,29.02,29.29,827400
2014-02-26,29.4,30.29,29.2,30.0,425100
2014-02-27,30.29,30.7,29.71,29.86,463900
2014-02-28,30.7,32.85,30.01,32.15,18716400
2014-03-03,31.23,31.78,30.3,31.3,5936900
2014-03-04,31.3,31.4,30.51,30.57,3279500
2014-03-05,30.26,31.0,30.13,30.3,2831600
2014-03-06,30.25,30.7,29.87,30.25,2871200
2014-03-07,29.75,30.08,29.51,29.53,4232100
2014-03-10,29.1,29.19,28.45,28.54,6595300
2014-03-11,28.13,29.71,27.87,28.97,5746200
2014-03-12,28.63,30.3,28.58,30.25,3619100
2014-03-13,30.53,31.26,29.98,31.17,3297400
2014-03-14,31.15,31.5,30.87,31.02,1551800
2014-03-17,31.0,31.57,30.75,31.43,2092400
2014-03-18,31.45,33.66,31.34,32.91,2002700
2014-03-19,32.78,33.1,31.51,32.01,2006800
2014-03-20,31.23,32.26,31.23,31.48,1601000
2014-03-21,31.57,32.17,31.25,31.92,1637700
2014-03-24,31.86,31.9,31.2,31.51,1100500
2014-03-25,30.99,32.39,30.79,32.05,1694900
2014-03-26,32.32,32.46,31.48,31.53,1620000
2014-03-27,31.31,31.96,31.21,31.61,819700
2014-03-28,31.51,32.28,31.3,31.6,775600
2014-03-31,31.52,31.8,30.75,31.57,1029400
2014-04-01,31.36,32.09,31.13,31.58,1166400
2014-04-02,31.23,31.71,31.02,31.61,927400
2014-04-03,31.41,31.7,30.93,31.65,926100
2014-04-04,31.59,32.22,30.92,31.25,1285800
2014-04-07,31.23,31.28,30.89,31.08,1011000
2014-04-08,30.96,31.5,30.94,31.29,635600
2014-04-09,31.25,31.71,31.22,31.64,1107000
2014-04-10,31.41,31.7,31.13,31.36,1203500
2014-04-11,31.35,31.59,30.72,30.82,509500
2014-04-14,30.82,31.2,29.94,30.2,578000
2014-04-15,30.15,30.5,29.9,30.46,520900
2014-04-16,30.53,30.71,29.52,29.99,1029900
2014-04-17,29.99,31.1,29.85,30.68,964500
2014-04-21,30.72,30.9,30.44,30.6,618000
2014-04-22,30.59,31.18,30.5,30.79,709300
2014-04-23,30.94,31.5,30.8,31.4,765200
2014-04-24,31.47,31.65,30.89,31.47,488500
2014-04-25,31.32,31.5,30.64,31.31,573800
2014-04-28,31.43,31.5,30.2,30.92,541100
2014-04-29,29.5,30.18,29.31,29.52,4404700
2014-04-30,29.42,29.69,27.7,27.93,1780000
2014-05-01,27.85,28.5,27.55,28.34,559200
2014-05-02,28.34,29.61,28.25,29.07,734900
2014-05-05,28.73,28.95,28.3,28.58,726400
2014-05-06,28.4,29.53,28.35,29.39,930100
2014-05-07,29.33,29.9,28.35,29.89,1120200
2014-05-08,29.77,30.58,28.84,29.26,1082000
2014-05-09,29.08,29.68,28.95,29.66,635100
2014-05-12,29.89,30.38,29.57,30.15,823200
2014-05-13,30.0,30.45,29.63,30.18,928500
2014-05-14,30.02,30.39,29.93,30.08,1201500
2014-05-15,29.99,30.36,29.85,30.22,1119600
2014-05-16,30.34,30.34,29.76,29.9,549100
2014-05-19,29.85,30.37,29.77,29.86,623900
2014-05-20,29.83,29.86,29.01,29.54,744400
2014-05-21,29.75,29.76,29.08,29.12,453800
2014-05-22,29.08,29.35,28.71,28.9,783600
2014-05-23,28.9,29.18,28.66,28.68,831200
2014-05-27,28.72,28.92,27.98,28.16,1744800
2014-05-28,28.21,28.44,28.16,28.2,1119200
2014-05-29,28.32,28.46,27.91,28.17,490200
2014-05-30,28.25,28.45,28.15,28.21,815000
2014-06-02,28.18,28.71,28.1,28.65,485000
2014-06-03,28.55,28.91,28.52,28.83,579100
2014-06-04,28.75,29.03,28.7,29.0,1000900
2014-06-05,29.0,29.78,29.0,29.64,1312300
2014-06-06,29.75,29.89,29.51,29.87,983200
2014-06-09,29.98,30.48,29.79,30.34,1271400
2014-06-10,30.31,30.58,30.17,30.34,1936800
2014-06-11,30.22,30.78,30.11,30.68,527300
2014-06-12,30.5,31.31,30.25,31.22,988500
2014-06-13,31.31,31.38,30.82,31.0,346000
2014-06-16,30.89,31.1,30.5,30.65,302300
2014-06-17,30.54,31.51,30.5,31.39,840000
2014-06-18,31.23,31.48,30.83,31.38,520200
2014-06-19,31.26,31.98,30.97,31.93,1238800
2014-06-20,31.92,32.25,31.77,32.22,943500
2014-06-23,32.14,32.61,31.83,32.48,1176600
2014-06-24,32.5,32.52,31.13,31.44,970700
2014-06-25,31.27,31.75,30.74,30.99,598500
2014-06-26,31.05,31.07,30.58,30.65,526400
2014-06-27,30.54,30.81,30.33,30.54,1607100
2014-06-30,30.5,31.12,30.5,30.74,697000
2014-07-01,30.88,31.28,30.74,31.09,674800
2014-07-02,30.9,31.05,30.06,30.11,736100
2014-07-03,30.17,30.85,30.15,30.58,863000
2014-07-07,30.45,30.45,29.63,30.14,770600
2014-07-08,30.1,30.21,29.79,29.93,1078900
2014-07-09,29.9,30.12,29.3,29.35,837500
2014-07-10,29.14,30.11,29.05,29.78,789600
2014-07-11,29.72,29.99,29.39,29.43,564500
2014-07-14,29.5,29.8,29.24,29.38,267000
2014-07-15,29.37,29.57,29.15,29.25,793200
2014-07-16,29.4,29.4,28.75,29.15,995000
2014-07-17,29.15,29.35,28.78,28.88,663800
2014-07-18,28.95,29.4,28.89,29.22,530700
2014-07-21,29.1,29.55,29.05,29.51,428400
2014-07-22,29.57,30.22,29.5,29.93,598900
2014-07-23,29.91,30.44,29.64,30.11,524400
2014-07-24,30.25,31.06,30.15,30.95,1237200
2014-07-25,30.82,30.82,29.37,29.63,2091000
2014-07-28,29.55,29.66,28.52,29.08,1684600
2014-07-29,29.9,30.75,28.63,28.69,2342700
2014-07-30,28.9,29.57,28.71,29.55,1103800
2014-07-31,29.23,29.38,28.96,29.08,860300
2014-08-01,28.87,29.58,28.67,29.45,999800
2014-08-04,29.51,30.06,29.45,29.78,1646700
2014-08-05,29.55,30.24,29.37,30.07,1215800
2014-08-06,30.0,30.77,29.85,30.35,901800
2014-08-07,30.5,30.72,30.31,30.55,610700
2014-08-08,30.72,31.91,30.68,31.78,1034800
2014-08-11,32.13,32.44,31.85,32.39,975700
2014-08-12,32.4,32.62,32.19,32.53,1242000
2014-08-13,32.53,32.7,31.95,32.18,809500
2014-08-14,32.13,32.21,31.4,32.03,889500
2014-08-15,32.08,32.18,31.48,32.06,400700
2014-08-18,32.2,32.45,31.8,31.96,388600
2014-08-19,32.0,32.05,31.61,31.92,499900
2014-08-20,31.84,32.02,31.56,31.97,676600
2014-08-21,32.08,32.62,31.96,32.51,567500
2014-08-22,32.4,32.71,32.22,32.57,267700
2014-08-25,32.63,32.71,32.12,32.61,469600
2014-08-26,32.81,33.82,32.63,33.54,1087900
2014-08-27,33.59,33.67,32.93,33.19,969900
2014-08-28,33.01,33.17,32.46,32.77,428100
