date,open,high,low,close,volume
2000-10-05,7.0,7.125,6.625,6.625,14700
2000-10-06,6.4375,6.6875,6.375,6.6875,9100
2000-10-09,6.4531,6.5,6.25,6.5,5000
2000-10-10,6.3125,6.3125,6.1875,6.1875,13800
2000-10-11,6.0625,6.25,5.75,5.75,60600
2000-10-12,5.75,6.0,5.75,6.0,6400
2000-10-13,6.0156,6.1094,5.75,6.0,28000
2000-10-16,6.0,6.375,6.0,6.375,8700
2000-10-17,6.2969,6.875,6.25,6.875,68300
2000-10-18,6.9844,7.1875,6.6406,7.0,7500
2000-10-19,7.25,8.0,6.75,7.5,63800
2000-10-20,7.7344,7.75,7.125,7.75,29300
2000-10-23,7.9219,8.75,7.75,8.5625,39600
2000-10-24,8.5469,8.5625,8.0625,8.125,56400
2000-10-25,8.0625,8.375,7.5625,7.5625,32100
2000-10-26,7.5625,7.8125,7.1875,7.8125,30200
2000-10-27,8.0,8.25,8.0,8.25,8000
2000-10-30,7.5,8.75,7.5,8.75,73700
2000-10-31,9.0,10.0,9.0,10.0,134600
2000-11-01,9.4688,10.6875,9.4375,10.4375,144300
2000-11-02,10.25,10.5,9.625,10.3125,85500
2000-11-03,10.0,10.0,9.5625,10.0,31200
2000-11-06,10.0625,11.4375,8.5,8.9688,279500
2000-11-07,9.3125,9.3125,8.5,9.0,38900
2000-11-08,9.0,9.0,8.375,8.375,23700
2000-11-09,8.25,8.625,7.8125,7.875,18900
2000-11-10,8.0,8.0,7.4375,7.75,35600
2000-11-13,6.8125,7.5,6.75,7.5,90400
2000-11-14,7.4375,8.0,6.875,7.125,16800
2000-11-15,7.625,8.25,7.625,8.1875,24500
2000-11-16,8.0625,8.0625,7.25,7.625,16700
2000-11-17,7.625,7.875,7.0,7.0,18800
2000-11-20,7.375,7.625,7.0,7.625,15500
2000-11-21,7.4375,7.75,7.1875,7.375,17700
2000-11-22,7.5,7.5,7.0312,7.25,12800
2000-11-24,7.5,7.6875,7.25,7.625,18300
2000-11-27,7.5,7.75,7.4375,7.6875,5900
2000-11-28,7.625,7.625,7.375,7.625,11500
2000-11-29,7.5,7.625,7.3125,7.5,13200
2000-11-30,7.375,7.5,6.0625,6.5625,74300
2000-12-01,6.8594,7.5625,6.8594,7.2188,9600
2000-12-04,7.1875,7.3125,6.6562,6.6875,41200
2000-12-05,6.75,7.75,6.75,7.6875,42900
2000-12-06,7.6875,7.7188,6.6875,7.0,42900
2000-12-07,7.0,7.0312,6.75,6.75,9800
2000-12-08,6.7656,7.0,6.5,6.5625,41900
2000-12-11,6.9844,7.0625,6.125,6.375,53800
2000-12-12,6.4062,7.0625,6.4062,6.875,20700
2000-12-13,6.9844,7.0,6.6875,6.6875,14400
2000-12-14,6.6875,6.75,6.5625,6.75,3900
2000-12-15,6.8125,6.8125,6.0,6.5,48400
2000-12-18,6.5625,6.625,6.3125,6.625,10600
2000-12-19,6.3906,6.4375,6.125,6.125,29300
2000-12-20,6.0,6.125,5.0,5.5,77800
2000-12-21,6.0,6.0,5.25,5.75,31300
2000-12-22,5.7969,6.25,5.75,6.125,28900
2000-12-26,6.0,6.0,5.4375,5.6875,26300
2000-12-27,5.6875,5.6875,5.4375,5.5625,31700
2000-12-28,5.75,5.75,5.5,5.5,23100
2000-12-29,5.6094,6.0,5.3125,5.5,37400
2001-01-02,6.0,6.0,5.5625,5.8125,22400
2001-01-03,6.2031,6.875,6.1875,6.875,45000
2001-01-04,6.9375,7.375,6.8125,7.0,23000
2001-01-05,7.1406,7.4375,6.6875,7.0,5100
