date,open,high,low,close,volume
2020-06-05,37.01,39.94,35.0,37.0,8606300
2020-06-08,36.0,37.08,35.8,36.1,1080300
2020-06-09,36.0,38.68,35.95,37.5,1160100
2020-06-10,37.58,39.48,37.58,38.05,748400
2020-06-11,36.7,37.17,35.565,36.25,425500
2020-06-12,36.7,38.41,36.7,38.04,288600
2020-06-15,37.86,38.74,37.27,38.45,140300
2020-06-16,38.9,39.45,37.68,38.58,287400
2020-06-17,38.66,39.2,37.5,37.59,160800
2020-06-18,37.11,39.29,37.02,39.29,449500
2020-06-19,39.59,41.33,38.235,39.62,391100
2020-06-22,40.12,42.27,40.0,41.5,312600
2020-06-23,42.07,42.39,40.2,41.0,247700
2020-06-24,40.44,40.44,38.81,40.03,386500
2020-06-25,40.03,40.87,39.06,40.53,244700
2020-06-26,40.84,41.47,40.0,40.03,69000
2020-06-29,40.01,41.34,40.01,41.1,88300
2020-06-30,41.99,42.88,41.475,42.56,320600
2020-07-01,43.0,43.24,38.54,39.2,707100
2020-07-02,39.67,41.45,39.5,39.61,228900
2020-07-06,40.16,40.26,38.23,39.16,199100
2020-07-07,38.62,39.19,36.805,37.16,382600
2020-07-08,37.17,39.81,37.17,39.54,175700
2020-07-09,40.97,40.97,38.5,38.88,160000
2020-07-10,39.57,39.6,38.0,38.32,89800
2020-07-13,38.7,38.7,37.2,37.5,136900
2020-07-14,37.37,37.81,36.9,37.47,267800
2020-07-15,38.0,38.49,37.04,37.36,91900
2020-07-16,36.82,37.21,34.9,34.9,273700
2020-07-17,35.28,36.156,34.57,35.2,173600
2020-07-20,35.42,36.25,35.19,35.32,92100
2020-07-21,35.85,36.99,35.55,35.93,185400
2020-07-22,36.35,36.35,34.88,36.2,72400
2020-07-23,36.51,37.84,35.9,37.15,223600
2020-07-24,36.78,37.12,35.0,36.31,302600
2020-07-27,36.26,36.26,34.91,35.34,140600
2020-07-28,35.69,36.23,34.92,35.53,28400
2020-07-29,35.4,36.49,35.2,35.95,45600
2020-07-30,36.13,36.563,35.63,35.79,40300
2020-07-31,35.5,36.58,35.04,35.24,179400
2020-08-03,35.0,35.05,32.945,33.42,575300
2020-08-04,33.83,34.45,33.4,34.0,157900
2020-08-05,34.43,35.0,33.76,33.81,454300
2020-08-06,34.16,34.595,33.03,33.2,148000
2020-08-07,33.09,33.477,31.25,31.96,251000
2020-08-10,32.0,32.06,31.38,31.49,192600
2020-08-11,31.33,31.48,30.75,30.99,118500
2020-08-12,31.04,31.5,30.605,31.15,129800
2020-08-13,31.27,31.45,31.0,31.25,94800
2020-08-14,31.12,31.795,31.12,31.38,117200
