date,open,high,low,close,volume
2000-10-05,1.32,1.32,1.12,1.12,50200
2000-10-06,1.0,1.12,0.68,1.06,144600
2000-10-09,1.0,1.06,0.94,0.94,19200
2000-10-10,1.0,1.06,0.94,1.0,32800
2000-10-11,1.0,1.06,0.82,0.88,47000
2000-10-12,0.82,1.0,0.82,0.88,66400
2000-10-13,0.88,1.06,0.88,0.94,48800
2000-10-16,1.06,1.06,0.94,1.0,2000
2000-10-17,1.0,1.0,0.94,1.0,34400
2000-10-18,0.625,1.065,0.375,1.065,189600
2000-10-19,0.97,1.0,0.815,0.845,136000
2000-10-20,0.82,0.845,0.78,0.815,171400
2000-10-23,0.815,1.0,0.815,1.0,33800
2000-10-24,0.975,1.345,0.97,1.345,96000
2000-10-25,1.345,1.36,1.25,1.33,60200
2000-10-26,1.335,1.345,1.22,1.28,139600
2000-10-27,1.33,1.375,1.22,1.25,45000
2000-10-30,1.25,1.345,1.19,1.315,177800
2000-10-31,1.28,1.345,1.065,1.345,160400
2000-11-01,1.315,1.315,1.095,1.095,62800
2000-11-02,1.0,1.065,0.875,1.065,209000
2000-11-03,1.015,1.065,1.0,1.065,91600
2000-11-06,1.03,1.03,0.94,1.0,39600
2000-11-07,0.985,1.0,0.905,0.905,51600
2000-11-08,0.915,0.97,0.905,0.97,14800
2000-11-09,0.905,0.94,0.89,0.905,150000
2000-11-10,0.89,0.905,0.89,0.89,25800
2000-11-13,0.9,0.905,0.815,0.905,128000
2000-11-14,0.89,1.03,0.89,1.0,47800
2000-11-15,0.94,0.97,0.875,0.97,101000
2000-11-16,0.905,1.0,0.905,1.0,72600
2000-11-17,0.94,1.0,0.94,0.94,74800
2000-11-20,0.985,1.045,0.985,1.0,67200
2000-11-21,1.0,1.0,0.905,1.0,32400
2000-11-22,0.94,1.0,0.815,1.0,116800
2000-11-24,0.905,1.0,0.845,0.845,26000
2000-11-27,0.94,1.0,0.905,1.0,80400
2000-11-28,0.875,1.0,0.875,1.0,53400
2000-11-29,0.945,1.0,0.94,1.0,51600
2000-11-30,0.97,1.0,0.875,1.0,124600
2000-12-01,0.905,1.0,0.875,1.0,43800
2000-12-04,0.985,1.0,0.94,1.0,45000
2000-12-05,1.0,1.065,0.985,1.03,124200
2000-12-06,1.03,1.065,1.03,1.065,188000
2000-12-07,1.03,1.065,1.0,1.03,82200
2000-12-08,1.065,1.28,1.065,1.22,66200
2000-12-11,1.22,1.375,1.0,1.375,143000
2000-12-12,1.315,1.44,1.25,1.25,66800
2000-12-13,1.375,1.5,1.36,1.39,55200
2000-12-14,1.39,1.39,1.39,1.39,0
2000-12-15,1.25,1.265,1.155,1.265,48200
2000-12-18,1.22,1.265,1.22,1.265,55800
2000-12-19,1.25,1.265,1.17,1.25,196400
2000-12-20,1.22,1.25,1.155,1.25,71000
2000-12-21,1.22,1.25,1.125,1.125,36400
2000-12-22,1.125,1.125,1.015,1.03,22800
2000-12-26,1.0,1.045,1.0,1.015,136800
2000-12-27,1.015,1.045,1.015,1.035,56400
2000-12-28,1.03,1.095,1.03,1.03,19000
2000-12-29,1.045,1.205,1.045,1.205,119400
2001-01-02,1.19,1.19,1.19,1.19,14000
2001-01-03,1.19,1.205,1.19,1.205,7600
2001-01-04,1.19,1.22,1.19,1.19,14800
2001-01-05,1.19,1.22,1.19,1.22,50400
2001-01-08,1.19,1.22,1.19,1.19,9600
2001-01-09,1.19,1.19,1.19,1.19,5200
2001-01-10,1.19,1.19,1.19,1.19,12200
2001-01-11,1.19,1.22,1.19,1.22,609000
2001-01-12,1.205,1.205,1.19,1.19,14200
2001-01-16,1.19,1.205,1.19,1.19,36200
2001-01-17,1.19,1.19,1.125,1.155,49000
2001-01-18,1.19,1.19,1.08,1.095,50200
2001-01-19,1.08,1.08,1.08,1.08,6200
2001-01-22,1.08,1.11,1.08,1.11,13600
2001-01-23,1.08,1.095,1.08,1.08,3800
2001-01-24,1.08,1.11,1.06,1.065,46200
2001-01-25,1.045,1.125,1.045,1.125,28200
2001-01-26,1.125,1.205,1.11,1.125,56200
2001-01-29,1.125,1.125,1.125,1.125,2200
2001-01-30,1.095,1.155,1.095,1.155,10000
2001-01-31,1.125,1.125,1.11,1.125,23600
2001-02-01,1.125,1.19,1.11,1.19,42000
2001-02-02,1.19,1.22,1.19,1.22,12200
2001-02-05,1.19,1.25,1.19,1.25,28800
2001-02-06,1.25,1.405,1.25,1.36,130000
2001-02-07,1.33,1.375,1.33,1.375,46400
2001-02-08,1.345,1.69,1.345,1.69,278000
2001-02-09,1.67,1.69,1.53,1.565,491400
2001-02-12,1.565,1.595,1.565,1.58,295000
2001-02-13,1.61,1.655,1.565,1.595,18400
2001-02-14,1.565,1.575,1.5,1.53,284400
2001-02-15,1.5,1.5,1.47,1.5,281200
2001-02-16,1.5,1.53,1.5,1.505,90000
2001-02-20,1.5,1.505,1.485,1.5,182400
2001-02-21,1.495,1.53,1.495,1.495,68400
2001-02-22,1.495,1.5,1.495,1.5,34800
2001-02-23,1.495,1.51,1.495,1.51,3800
2001-02-26,1.495,1.5,1.495,1.5,67000
2001-02-27,1.5,1.5,1.48,1.485,144400
2001-02-28,1.485,1.5,1.485,1.5,73000
2001-03-01,1.5,1.53,1.47,1.5,133600
2001-03-02,1.47,1.565,1.47,1.53,41400
2001-03-05,1.565,1.565,1.5,1.5,31200
2001-03-06,1.5,1.53,1.5,1.5,28800
2001-03-07,1.525,1.65,1.525,1.65,14800
2001-03-08,1.65,1.65,1.55,1.65,23000
2001-03-09,1.63,1.65,1.625,1.65,23200
2001-03-12,1.63,1.63,1.625,1.625,11400
2001-03-13,1.58,1.58,1.545,1.55,41400
2001-03-14,1.525,1.525,1.33,1.395,90600
2001-03-15,1.35,1.425,1.35,1.425,8000
2001-03-16,1.35,1.4,1.25,1.375,21200
2001-03-19,1.38,1.38,1.38,1.38,600
2001-03-20,1.42,1.42,1.3,1.3,10600
2001-03-21,1.25,1.25,1.225,1.225,4800
2001-03-22,1.225,1.225,1.2,1.2,1400
2001-03-23,1.125,1.225,1.125,1.225,21000
2001-03-26,1.225,1.25,1.225,1.25,22000
2001-03-27,1.255,1.255,1.23,1.25,27000
2001-03-28,1.25,1.25,1.2,1.225,38200
2001-03-29,1.25,1.25,1.25,1.25,4000
2001-03-30,1.25,1.25,1.25,1.25,14800
2001-04-02,1.25,1.25,1.25,1.25,3400
2001-04-03,1.175,1.175,1.15,1.15,3400
2001-04-04,1.15,1.15,1.14,1.14,1600
2001-04-05,1.075,1.19,1.075,1.19,6800
2001-04-06,1.19,1.2,1.19,1.2,11400
2001-04-09,1.075,1.195,1.075,1.15,3600
2001-04-10,1.15,1.15,1.15,1.15,1400
2001-04-11,1.075,1.175,1.075,1.15,3600
2001-04-12,1.15,1.15,1.13,1.15,4600
2001-04-16,1.125,1.15,1.125,1.15,4800
2001-04-17,1.13,1.22,1.13,1.2,55600
2001-04-18,1.225,1.225,1.145,1.22,13400
2001-04-19,1.225,1.25,1.15,1.25,30000
2001-04-20,1.25,1.35,1.225,1.35,10600
2001-04-23,1.35,1.35,1.25,1.35,3000
2001-04-24,1.345,1.44,1.345,1.44,1800
2001-04-25,1.4,1.4,1.385,1.4,2600
2001-04-26,1.375,1.375,1.275,1.375,31200
2001-04-27,1.35,1.35,1.28,1.35,6600
2001-04-30,1.285,1.35,1.285,1.35,12200
2001-05-01,1.325,1.425,1.325,1.375,5400
2001-05-02,1.35,1.4,1.35,1.375,3000
2001-05-03,1.28,1.35,1.28,1.35,1200
2001-05-04,1.325,1.325,1.28,1.28,2000
2001-05-07,1.3,1.325,1.28,1.3,15000
2001-05-08,1.28,1.3,1.25,1.3,5000
2001-05-09,1.25,1.25,1.16,1.205,63800
