date,open,high,low,close,volume
2000-10-05,9.1411,9.1411,9.1411,9.1411,100
2000-10-06,8.768,9.1411,8.768,9.1411,600
2000-10-09,9.1411,9.1411,9.1411,9.1411,0
2000-10-10,9.2344,9.3277,8.9546,9.3277,6900
2000-10-11,9.0945,9.3277,9.0945,9.0945,11700
2000-10-12,9.3277,9.421,8.8147,8.9079,80600
2000-10-13,8.8613,8.9546,8.8613,8.8613,3000
2000-10-16,8.9546,9.1411,8.9546,9.0012,700
2000-10-17,8.9546,9.0479,8.768,9.0479,16200
2000-10-18,8.8613,8.9546,8.768,8.768,25900
2000-10-19,8.9079,8.9079,8.9079,8.9079,1400
2000-10-20,8.768,8.9546,8.768,8.768,2900
2000-10-23,8.768,8.9546,8.768,8.768,8000
2000-10-24,8.768,8.9546,8.768,8.9546,1400
2000-10-25,8.768,8.768,8.768,8.768,7000
2000-10-26,8.768,8.768,8.768,8.768,21200
2000-10-27,8.768,8.8613,8.768,8.8613,10200
2000-10-30,8.9079,8.9546,8.8613,8.9546,5600
2000-10-31,8.9546,8.9546,8.9546,8.9546,0
2000-11-01,8.9546,8.9546,8.9546,8.9546,0
2000-11-02,8.7214,8.7214,8.6748,8.7214,20800
2000-11-03,8.6748,8.6748,8.6748,8.6748,1500
2000-11-06,8.768,8.768,8.5815,8.6281,9000
2000-11-07,8.6281,8.768,8.6281,8.6281,3600
2000-11-08,8.6281,8.6281,8.6281,8.6281,600
2000-11-09,8.6281,8.6281,8.6281,8.6281,4200
2000-11-10,8.6281,8.6281,8.6281,8.6281,800
2000-11-13,8.6281,8.6281,8.6281,8.6281,9000
2000-11-14,8.6281,8.6281,8.6281,8.6281,0
2000-11-15,8.6281,8.6281,8.6281,8.6281,500
2000-11-16,8.6281,8.6281,8.6281,8.6281,1000
2000-11-17,8.8613,8.8613,8.6748,8.6748,1200
2000-11-20,8.768,8.768,8.6281,8.6281,6400
2000-11-21,8.6281,8.6748,8.3949,8.5348,25800
2000-11-22,8.6748,8.6748,8.3949,8.3949,6300
2000-11-24,8.6748,8.6748,8.5815,8.5815,1500
2000-11-27,8.768,8.768,8.6748,8.6748,6300
2000-11-28,8.5815,8.5815,8.4882,8.5815,6000
2000-11-29,8.4882,8.6281,8.4882,8.5815,10700
2000-11-30,8.5815,8.5815,8.4882,8.5815,10100
2000-12-01,8.5815,8.5815,8.4882,8.4882,4000
2000-12-04,8.4882,8.6748,8.3949,8.6748,8900
2000-12-05,8.768,8.9546,8.768,8.9546,15500
2000-12-06,9.0945,9.0945,9.0012,9.0012,3200
2000-12-07,9.0012,9.3277,8.9546,9.0945,14500
2000-12-08,9.3277,9.6542,9.3277,9.5142,17000
2000-12-11,9.7008,9.7008,9.5142,9.7008,7900
2000-12-12,9.7008,9.7941,9.6075,9.7941,10200
2000-12-13,9.6075,9.7008,9.5142,9.5142,3200
2000-12-14,9.6075,9.7008,9.5142,9.5142,2600
2000-12-15,9.5142,9.5142,9.5142,9.5142,400
2000-12-18,9.5142,9.5142,9.421,9.421,1000
2000-12-19,9.6075,9.6075,9.6075,9.6075,500
2000-12-20,9.3277,9.3743,9.3277,9.3277,4600
2000-12-21,9.3277,9.6075,9.3277,9.6075,3100
2000-12-22,9.1411,9.1411,8.3949,8.9546,141500
2000-12-26,9.0012,9.0479,8.9079,8.9079,3300
2000-12-27,8.8613,8.8613,8.8613,8.8613,4800
2000-12-28,8.9079,8.9079,8.8147,8.8147,1400
2000-12-29,8.8147,8.9079,8.768,8.8613,7900
2001-01-02,8.768,8.8613,8.6748,8.6748,6900
2001-01-03,8.6748,8.9079,8.6748,8.8613,32600
2001-01-04,8.9079,9.0479,8.8613,8.9546,30900
2001-01-05,8.9546,9.8407,8.9079,9.8407,40100
2001-01-08,9.8874,10.8201,9.8874,10.0739,30600
2001-01-09,10.5403,10.6336,10.0739,10.447,10800
2001-01-10,10.5403,11.3331,10.5403,11.1,42900
2001-01-11,11.1932,12.126,11.1932,11.9394,28000
2001-01-12,11.8462,11.9394,11.2865,11.3098,17400
2001-01-16,11.4731,11.9394,11.1932,11.5663,33200
2001-01-17,11.1652,11.7039,10.9204,11.0673,42900
2001-01-18,11.1652,11.3611,10.9694,11.1163,30100
2001-01-19,11.3611,11.3611,10.9694,11.2632,22000
2001-01-22,11.2632,11.2632,10.7735,10.7735,8400
2001-01-23,10.8714,11.0183,10.2838,10.5776,9800
2001-01-24,10.5776,11.0673,10.5776,11.0673,7200
2001-01-25,11.0673,11.0673,10.7735,10.7735,3600
2001-01-26,10.9694,11.2142,10.8225,11.2142,3200
2001-01-29,11.1163,11.1163,11.0673,11.0673,5300
2001-01-30,11.0673,11.0673,10.8714,10.9694,11700
2001-01-31,10.9694,10.9694,10.8225,10.8225,5300
2001-02-01,10.9694,11.0673,10.9694,11.0673,3800
2001-02-02,11.0673,11.2632,10.8714,10.8714,10700
2001-02-05,10.8714,11.0673,10.8714,11.0673,5000
2001-02-06,10.8714,10.9694,10.8714,10.8714,3000
2001-02-07,11.0673,11.1652,11.0673,11.1652,3500
2001-02-08,11.1652,11.1652,10.8714,10.8714,1100
2001-02-09,11.0183,11.0183,10.8714,10.9204,8200
2001-02-12,10.8714,10.9694,10.8225,10.8225,5000
2001-02-13,11.0183,11.0673,10.8714,11.0673,38800
2001-02-14,11.1652,12.5364,11.1652,12.0467,16900
2001-02-15,12.4874,12.4874,11.7529,12.3405,9700
2001-02-16,12.2426,12.3405,11.7529,12.1447,5100
2001-02-20,12.2426,12.2426,11.8508,12.2426,2500
2001-02-21,12.1447,12.3405,11.9488,12.1447,7800
2001-02-22,12.1447,12.2426,11.9488,11.9488,4000
2001-02-23,12.2426,12.2426,11.9488,11.9488,6300
2001-02-26,12.2426,12.2426,11.2632,11.3611,36100
2001-02-27,11.655,11.9488,11.655,11.7529,1700
2001-02-28,11.8508,12.2426,11.8508,12.1447,7800
2001-03-01,12.1447,12.2426,12.1447,12.1447,6700
2001-03-02,12.2426,12.2426,12.0467,12.2426,8900
2001-03-05,12.2426,12.2426,12.0467,12.0467,5300
2001-03-06,12.2426,12.2426,12.0467,12.0467,2800
2001-03-07,12.1447,12.1447,12.0467,12.1447,3400
2001-03-08,12.1447,12.1447,11.9488,11.9488,4800
2001-03-09,12.0467,12.0467,11.9488,11.9488,5300
2001-03-12,11.8019,11.8508,11.8019,11.8508,400
2001-03-13,11.7529,11.7529,11.557,11.655,8900
2001-03-14,11.508,11.557,11.2632,11.557,5600
2001-03-15,11.557,11.557,11.557,11.557,100
2001-03-16,11.2632,11.2632,11.2632,11.2632,200
2001-03-19,11.655,11.655,11.2632,11.2632,3300
2001-03-20,11.557,11.557,11.2632,11.4591,5200
2001-03-21,11.4591,11.557,11.2632,11.2632,12800
2001-03-22,11.2632,11.3611,11.2632,11.3611,15900
2001-03-23,11.557,11.7529,11.3611,11.3611,2900
2001-03-26,11.3611,11.557,11.3611,11.3611,5000
2001-03-27,11.2671,11.7529,11.2671,11.7529,19600
2001-03-28,11.7529,11.7529,11.4787,11.4787,700
2001-03-29,11.7529,11.7529,11.4787,11.4787,800
2001-03-30,11.7529,11.9488,11.7529,11.8704,3500
2001-04-02,11.8704,11.8704,11.7216,11.7921,13800
2001-04-03,11.7529,11.7529,11.7529,11.7529,16600
2001-04-04,11.7529,11.7529,11.7529,11.7529,1200
2001-04-05,11.7529,11.7529,11.7529,11.7529,200
2001-04-06,11.7529,11.7529,11.7529,11.7529,0
2001-04-09,11.5962,11.5962,11.5962,11.5962,500
2001-04-10,11.7529,11.7529,11.5962,11.6745,4600
2001-04-11,11.7529,11.7529,11.6354,11.6354,5500
2001-04-12,11.7529,12.1055,11.7529,12.1055,20300
2001-04-16,12.1447,12.4816,12.1447,12.4581,16300
2001-04-17,12.1838,13.0457,12.1838,13.0065,15400
2001-04-18,13.1241,13.3983,13.0065,13.1632,14700
2001-04-19,13.2651,13.3199,13.0065,13.1241,13000
2001-04-20,13.1632,13.3199,13.0144,13.0144,9200
2001-04-23,13.1241,13.3199,12.9282,13.0849,33600
2001-04-24,13.1632,13.7117,13.1632,13.3983,25800
2001-04-25,13.3983,13.7117,13.3983,13.4767,6700
2001-04-26,13.7117,13.8292,13.7117,13.8292,2600
2001-04-27,13.7901,13.7901,13.4531,13.4767,11500
2001-04-30,13.4531,13.5942,13.4531,13.4767,8900
2001-05-01,13.4531,13.4767,13.4531,13.4531,5100
2001-05-02,13.4531,13.461,13.3199,13.4296,64200
2001-05-03,13.2729,13.3983,13.2416,13.2808,1700
2001-05-04,13.2964,13.2964,13.1241,13.1241,5700
2001-05-07,13.1006,13.3199,13.1006,13.1241,4800
2001-05-08,13.3983,13.3983,13.3199,13.3591,11500
2001-05-09,13.3199,13.3199,13.2416,13.2494,3800
2001-05-10,13.3199,13.3199,13.1241,13.1241,2600
2001-05-11,13.3591,13.3591,13.1241,13.3591,8800
2001-05-14,13.3591,13.3983,13.3199,13.3199,34200
2001-05-15,13.367,13.367,13.2729,13.2729,10500
2001-05-16,13.2729,13.367,13.2729,13.367,79800
2001-05-17,13.367,13.5158,13.3199,13.5158,19600
2001-05-18,13.5158,13.5158,13.4375,13.5158,10500
2001-05-21,13.3513,13.5158,13.3278,13.5158,1800
2001-05-22,13.3591,13.4688,13.3199,13.3199,8000
2001-05-23,13.3199,13.5158,13.3199,13.5158,700
2001-05-24,13.3199,13.3199,13.2416,13.3199,1900
2001-05-25,13.5158,13.5158,13.4767,13.4767,500
2001-05-29,13.5158,13.5158,13.3199,13.3278,4000
2001-05-30,13.3278,13.3983,13.3199,13.3199,8900
2001-05-31,13.3983,13.3983,13.3199,13.3905,3900
2001-06-01,13.3983,13.3983,13.3199,13.3199,5100
2001-06-04,13.3826,13.3826,13.3199,13.3278,3300
2001-06-05,13.3826,13.3826,13.3199,13.3199,1100
2001-06-06,13.3826,13.3826,13.3199,13.3199,300
2001-06-07,13.3826,13.3826,13.3826,13.3826,300
2001-06-08,13.3199,13.3826,13.3199,13.3826,1500
2001-06-11,13.3199,13.3905,13.3199,13.3905,900
2001-06-12,13.3983,13.3983,13.3199,13.3983,31200
2001-06-13,13.3983,13.3983,13.3983,13.3983,3200
2001-06-14,13.3199,13.3199,13.2729,13.2729,3900
2001-06-15,13.2729,13.3905,13.2729,13.3905,2900
2001-06-18,13.2729,13.3591,13.2729,13.3591,4800
2001-06-19,13.3591,13.3591,13.3591,13.3591,900
2001-06-20,13.3356,13.3356,13.3199,13.3199,2700
2001-06-21,13.367,13.367,13.3199,13.3199,1100
2001-06-22,13.3199,13.4061,13.3199,13.3199,13800
2001-06-25,13.3591,13.4061,13.3199,13.4061,3900
2001-06-26,13.3983,13.5158,13.3983,13.3983,5100
2001-06-27,13.461,13.461,13.3983,13.461,5400
2001-06-28,13.4531,13.5942,13.3983,13.461,6700
2001-06-29,13.461,13.461,13.3983,13.3983,6700
2001-07-02,13.4375,13.7901,13.4375,13.7901,40600
2001-07-03,13.4923,13.8449,13.4923,13.649,45100
2001-07-05,13.649,13.8841,13.649,13.8684,2500
2001-07-06,13.6334,13.9781,13.6334,13.9781,8500
2001-07-09,13.9859,13.9859,13.649,13.9781,1800
2001-07-10,13.7509,13.8684,13.7117,13.7744,189900
2001-07-11,13.6334,13.8606,13.2024,13.3591,54600
2001-07-12,13.3199,13.3199,13.1632,13.1632,5000
2001-07-13,13.1632,13.2024,13.0849,13.0849,74900
2001-07-16,13.0457,13.0457,12.4737,12.6148,21500
2001-07-17,12.5364,13.1162,12.5364,13.1162,15800
2001-07-18,13.1241,13.2024,13.0849,13.0849,11800
2001-07-19,13.1241,13.1789,13.0849,13.1554,23300
2001-07-20,13.1319,13.1789,13.1241,13.1554,23300
2001-07-23,13.1554,13.1789,12.936,12.936,13200
2001-07-24,13.1711,13.1711,12.9439,13.1241,5200
2001-07-25,13.1632,13.2416,13.1632,13.2024,2700
2001-07-26,13.2416,13.2416,13.1241,13.1632,5200
2001-07-27,13.1632,13.2416,13.1241,13.1632,4600
2001-07-30,13.1632,13.1632,13.1006,13.1006,3700
2001-07-31,13.1632,13.1632,13.1084,13.1084,7200
2001-08-01,13.1241,13.1319,13.1006,13.1006,9700
2001-08-02,13.2416,13.3199,13.0849,13.3199,24200
2001-08-03,13.4767,14.221,13.3199,14.033,631500
