date,open,high,low,close,volume
2000-10-05,6.375,6.8333,6.1667,6.4375,45600
2000-10-06,6.2708,6.2708,6.1042,6.1042,300
2000-10-09,6.1667,6.1667,6.1667,6.1667,9100
2000-10-10,6.5104,6.5104,6.0833,6.1667,9600
2000-10-11,6.0938,6.0938,6.0,6.0,17400
2000-10-12,5.9271,6.0,5.9271,6.0,3700
2000-10-13,6.0833,6.1667,6.0833,6.1667,3900
2000-10-16,6.1667,6.1667,6.0,6.1667,3000
2000-10-17,6.0833,6.0833,6.0833,6.0833,5100
2000-10-18,6.0833,6.0833,6.0833,6.0833,1800
2000-10-19,6.25,6.5,6.25,6.375,32400
2000-10-20,6.4167,6.4167,6.3333,6.375,49000
2000-10-23,6.5833,6.5833,6.5833,6.5833,1500
2000-10-24,6.5833,6.5833,6.4583,6.5417,2800
2000-10-25,5.8438,6.3333,5.8438,6.25,35400
2000-10-26,6.25,6.25,6.25,6.25,0
2000-10-27,6.25,6.25,6.25,6.25,0
2000-10-30,6.0833,6.0833,5.9167,5.9167,13300
2000-10-31,6.0833,6.0833,6.0833,6.0833,7800
2000-11-01,6.0833,6.0833,6.0833,6.0833,6600
2000-11-02,5.625,5.9167,5.625,5.9167,151000
2000-11-03,5.75,6.0,5.75,5.75,6000
2000-11-06,5.9167,5.9167,5.75,5.8333,10500
2000-11-07,5.8333,5.8333,5.75,5.8333,65800
2000-11-08,5.75,5.75,5.5833,5.5833,19300
2000-11-09,5.5,5.5,5.4167,5.4375,700
2000-11-10,5.2708,5.2708,5.25,5.25,400
2000-11-13,5.1667,5.1667,4.6667,5.1667,293800
2000-11-14,5.1875,5.4583,5.1875,5.4167,40600
2000-11-15,5.4167,5.4167,5.2292,5.4167,9300
2000-11-16,5.4167,5.6042,5.4167,5.6042,30400
2000-11-17,5.6042,5.6042,5.6042,5.6042,1500
2000-11-20,5.625,5.625,5.4792,5.625,2100
2000-11-21,5.5,5.5417,5.4792,5.4792,9900
2000-11-22,5.3333,5.3333,5.3333,5.3333,600
2000-11-24,5.3333,5.5,5.3333,5.3333,79500
2000-11-27,5.3125,5.5417,4.9167,5.3333,8800
2000-11-28,5.3333,5.3333,5.1667,5.1667,17800
2000-11-29,4.9792,5.25,4.9792,5.25,6600
2000-11-30,5.0417,5.25,4.6667,5.0417,84600
2000-12-01,5.1667,5.25,5.1667,5.1667,2400
2000-12-04,5.2292,5.2292,5.2292,5.2292,1500
2000-12-05,5.2292,5.2292,4.875,4.875,40900
2000-12-06,4.8333,5.0833,4.8333,5.0833,14500
2000-12-07,4.8333,4.8333,4.8333,4.8333,300
2000-12-08,5.0833,5.6667,5.0833,5.6667,7000
2000-12-11,5.75,5.8333,5.6667,5.8333,19500
2000-12-12,5.8333,5.9167,5.8333,5.9167,3100
2000-12-13,5.875,5.875,5.5417,5.5417,5500
2000-12-14,5.6667,5.7917,5.5417,5.5417,8400
2000-12-15,5.6667,5.75,5.625,5.625,26700
2000-12-18,5.625,5.625,5.625,5.625,0
2000-12-19,5.625,5.625,5.1667,5.375,50100
2000-12-20,5.2083,5.2292,5.1458,5.1458,22000
2000-12-21,5.3333,5.3333,5.3333,5.3333,400
2000-12-22,5.1458,5.3333,5.1458,5.1458,19900
2000-12-26,5.0833,5.0833,5.0833,5.0833,300
2000-12-27,5.0833,5.0833,4.5,4.875,78000
2000-12-28,4.9167,5.0417,4.875,4.9167,13900
2000-12-29,5.0,5.1667,4.9583,5.0417,7500
2001-01-02,5.0,5.0833,4.8333,5.0833,1800
2001-01-03,4.75,5.0417,4.75,5.0417,900
2001-01-04,4.7083,4.9583,4.6667,4.9583,3600
2001-01-05,4.6562,5.1667,4.6562,5.1667,33400
2001-01-08,5.0417,5.0833,4.9167,5.0833,24400
2001-01-09,5.0833,5.4167,5.0833,5.4167,7300
2001-01-10,5.5,5.5833,5.1667,5.5,13000
2001-01-11,5.6667,5.6667,5.5417,5.5417,6600
2001-01-12,5.4583,5.8333,5.4583,5.8333,6000
2001-01-16,6.0,6.25,6.0,6.25,15600
2001-01-17,6.2917,6.5,6.2917,6.5,4300
2001-01-18,6.5,6.625,6.5,6.625,10800
2001-01-19,6.5833,6.5833,6.4167,6.5,6000
2001-01-22,6.5,6.5833,6.5,6.5833,19600
2001-01-23,6.6667,6.6667,6.6667,6.6667,5700
2001-01-24,6.5833,6.5833,6.5833,6.5833,6000
2001-01-25,6.5833,6.5833,6.5833,6.5833,3300
2001-01-26,6.5,6.5208,6.4583,6.5208,54100
2001-01-29,6.5,6.5312,6.5,6.5,22800
2001-01-30,6.375,6.4375,6.1667,6.25,61300
2001-01-31,6.2917,6.2917,6.1562,6.1562,15700
2001-02-01,6.1562,6.1562,6.1562,6.1562,0
2001-02-02,6.2083,6.2083,6.2083,6.2083,13500
2001-02-05,6.125,6.125,6.125,6.125,6700
2001-02-06,6.0417,6.0417,5.9167,5.9167,700
2001-02-07,5.9167,5.9167,5.9167,5.9167,0
2001-02-08,5.9167,5.9167,5.9167,5.9167,0
2001-02-09,5.9167,5.9167,5.9167,5.9167,0
2001-02-12,5.9167,5.9167,5.9167,5.9167,0
2001-02-13,6.1667,6.1667,6.1667,6.1667,2500
2001-02-14,6.0833,6.0833,6.0833,6.0833,100
2001-02-15,6.0,6.0,6.0,6.0,900
2001-02-16,5.875,5.875,5.875,5.875,100
2001-02-20,6.125,6.125,5.8333,5.8333,400
2001-02-21,5.7917,5.7917,5.5833,5.6667,48400
2001-02-22,5.8333,5.8333,5.5833,5.5833,300
2001-02-23,5.5,5.5,5.3333,5.3333,44800
2001-02-26,5.1667,5.2083,5.1667,5.2083,23200
2001-02-27,5.1667,5.25,5.1667,5.1667,20400
2001-02-28,5.1667,5.1667,5.0,5.0,59400
2001-03-01,4.9167,4.9167,4.6667,4.6667,6600
2001-03-02,4.7917,4.7917,4.625,4.7917,36400
2001-03-05,4.7917,4.7917,4.5833,4.6458,31900
2001-03-06,4.6458,4.7917,4.6354,4.6667,63600
2001-03-07,4.5,4.5417,4.4167,4.5417,26200
2001-03-08,4.5417,4.5417,4.5417,4.5417,3400
2001-03-09,4.5417,4.5833,4.5417,4.5833,7800
2001-03-12,4.6875,4.8542,4.6875,4.7917,22200
2001-03-13,4.8542,5.1667,4.8542,5.0833,10000
2001-03-14,5.1667,5.1667,5.1667,5.1667,400
2001-03-15,4.9583,4.9583,4.9583,4.9583,700
2001-03-16,5.1667,5.1667,5.1667,5.1667,100
2001-03-19,5.1667,5.1667,5.1667,5.1667,4500
2001-03-20,5.2917,5.2917,5.0417,5.0417,900
2001-03-21,5.0417,5.0417,5.0,5.0,1000
2001-03-22,4.875,5.0417,4.7917,5.0417,5100
2001-03-23,4.7188,4.9792,4.7188,4.9583,68800
2001-03-26,4.9583,4.9583,4.8125,4.8125,3400
2001-03-27,4.8125,4.8125,4.25,4.5,24300
2001-03-28,4.5,4.5417,4.3333,4.3333,3300
2001-03-29,4.3333,4.5833,4.2083,4.5833,7900
2001-03-30,4.5,4.5,4.5,4.5,14400
2001-04-02,4.5,4.5,4.5,4.5,1500
2001-04-03,4.2917,4.2917,4.2917,4.2917,3900
2001-04-04,4.3333,4.5,4.3333,4.3333,6100
2001-04-05,4.5,4.5417,4.1667,4.375,17700
2001-04-06,4.5,4.6667,4.375,4.375,9300
2001-04-09,4.4933,4.4933,4.4933,4.4933,4300
2001-04-10,4.6533,4.6667,4.6533,4.6667,1200
2001-04-11,4.7933,5.0,4.7933,4.9133,6900
2001-04-12,4.9333,4.9333,4.9333,4.9333,700
2001-04-16,4.94,4.94,4.94,4.94,3300
2001-04-17,4.8533,4.9,4.74,4.9,1500
2001-04-18,4.9733,4.9733,4.92,4.9267,3900
2001-04-19,4.8067,4.9667,4.8067,4.96,10900
2001-04-20,4.9667,4.9667,4.9667,4.9667,100
2001-04-23,4.8667,4.92,4.8333,4.8333,1600
2001-04-24,4.6667,4.6667,4.4667,4.54,3000
2001-04-25,4.54,4.54,4.54,4.54,0
2001-04-26,4.6333,4.8333,4.6333,4.8333,300
2001-04-27,4.8333,4.8333,4.8333,4.8333,0
2001-04-30,5.0133,5.1667,4.9067,5.1667,24300
2001-05-01,4.9333,5.0733,4.7333,4.7333,9600
2001-05-02,4.8,4.9267,4.7467,4.9267,16900
2001-05-03,4.98,4.98,4.8667,4.92,5800
2001-05-04,4.9867,4.9867,4.9867,4.9867,100
2001-05-07,5.02,5.1867,5.02,5.1867,900
2001-05-08,5.1133,5.2867,5.1133,5.2867,1000
2001-05-09,5.2933,5.36,5.2933,5.36,1000
2001-05-10,5.4067,5.7067,5.2067,5.7067,42100
2001-05-11,5.6867,5.8533,5.4667,5.4667,10900
2001-05-14,5.4,5.5533,5.3067,5.4133,7500
2001-05-15,5.4467,5.4467,5.4467,5.4467,100
2001-05-16,5.4467,5.4467,5.4467,5.4467,0
2001-05-17,5.62,6.02,5.62,6.02,1800
2001-05-18,6.0,6.0133,5.9867,5.9867,2700
2001-05-21,5.9933,6.0933,5.9933,6.0,3100
