date,open,high,low,close,volume
2000-10-05,6.1875,6.1875,6.125,6.1875,49800
2000-10-06,6.1875,6.1875,6.125,6.125,138500
2000-10-09,6.125,6.1875,6.125,6.1875,61200
2000-10-10,6.1875,6.25,6.1875,6.1875,48800
2000-10-11,6.1875,6.25,6.1875,6.1875,48300
2000-10-12,6.125,6.1875,6.125,6.125,221700
2000-10-13,6.125,6.1875,6.125,6.125,156200
2000-10-16,6.125,6.1875,6.125,6.125,119000
2000-10-17,6.125,6.25,6.125,6.1875,522900
2000-10-18,6.1875,6.25,6.125,6.25,75900
2000-10-19,6.1875,6.2188,6.1875,6.1875,48400
2000-10-20,6.1875,6.25,6.1875,6.25,31700
2000-10-23,6.1875,6.25,6.1875,6.1875,39200
2000-10-24,6.1875,6.25,6.1875,6.1875,57900
2000-10-25,6.1875,6.1875,6.125,6.125,32100
2000-10-26,6.125,6.1875,6.125,6.1875,29400
2000-10-27,6.125,6.1875,6.125,6.125,32600
2000-10-30,6.1875,6.1875,6.125,6.125,77800
2000-10-31,6.1875,6.25,6.125,6.1875,49200
2000-11-01,6.1875,6.25,6.1875,6.1875,123300
2000-11-02,6.1875,6.25,6.1875,6.25,68200
2000-11-03,6.1875,6.25,6.1875,6.1875,69600
2000-11-06,6.1875,6.25,6.1875,6.1875,38200
2000-11-07,6.1875,6.25,6.1875,6.1875,160100
2000-11-08,6.25,6.25,6.125,6.25,67200
2000-11-09,6.25,6.25,6.125,6.125,48300
2000-11-10,6.125,6.1875,6.125,6.125,50000
2000-11-13,6.125,6.1875,6.125,6.125,36600
2000-11-14,6.125,6.1875,6.125,6.125,61100
2000-11-15,6.125,6.1875,6.125,6.125,93300
2000-11-16,6.125,6.1875,6.125,6.125,25600
2000-11-17,6.1875,6.1875,6.125,6.125,47100
2000-11-20,6.1875,6.1875,6.125,6.1875,57800
2000-11-21,6.1875,6.1875,6.125,6.1875,43800
2000-11-22,6.1875,6.1875,6.125,6.125,199300
2000-11-24,6.125,6.125,6.125,6.125,17800
2000-11-27,6.1875,6.25,6.125,6.25,86600
2000-11-28,6.1875,6.3125,6.1875,6.1875,114000
2000-11-29,6.25,6.25,6.1875,6.2188,31000
2000-11-30,6.1875,6.25,6.1875,6.1875,66700
2000-12-01,6.25,6.25,6.1875,6.25,62600
2000-12-04,6.1875,6.3125,6.1875,6.25,46400
2000-12-05,6.25,6.375,6.25,6.3125,178000
2000-12-06,6.3125,6.3125,6.25,6.3125,61000
2000-12-07,6.375,6.375,6.25,6.3125,57900
2000-12-08,6.25,6.375,6.25,6.375,131300
2000-12-11,6.3125,6.375,6.3125,6.3125,156500
2000-12-12,6.3125,6.375,6.3125,6.3125,183300
2000-12-13,6.3125,6.375,6.25,6.375,232900
2000-12-14,6.3125,6.4375,6.3125,6.4375,190200
2000-12-15,6.4375,6.5,6.375,6.4375,81100
2000-12-18,6.5,6.5,6.4375,6.5,143700
2000-12-19,6.5,6.5,6.4375,6.4375,146100
2000-12-20,6.4375,6.5,6.4375,6.4375,117300
2000-12-21,6.5,6.5,6.375,6.375,84600
2000-12-22,6.375,6.5625,6.375,6.5,122500
2000-12-26,6.5,6.625,6.4375,6.5625,178500
2000-12-27,6.5625,6.625,6.5,6.5,47000
2000-12-28,6.5625,6.5625,6.5,6.5,57600
2000-12-29,6.5625,6.5625,6.5,6.5,65900
2001-01-02,6.5,6.5625,6.5,6.5,115200
2001-01-03,6.5625,6.5625,6.5,6.5625,52600
2001-01-04,6.5,6.5625,6.5,6.5,110200
2001-01-05,6.5,6.5625,6.5,6.5,89200
2001-01-08,6.5625,6.5625,6.5,6.5625,83900
2001-01-09,6.5625,6.625,6.5625,6.5625,64200
2001-01-10,6.625,6.6875,6.625,6.6875,65600
2001-01-11,6.625,6.6875,6.5625,6.5625,113900
2001-01-12,6.625,6.6875,6.5625,6.625,61800
2001-01-16,6.5625,6.625,6.5625,6.5625,64800
2001-01-17,6.5625,6.6875,6.5,6.6562,124700
2001-01-18,6.625,6.6875,6.625,6.625,58700
2001-01-19,6.625,6.6875,6.625,6.6875,45000
2001-01-22,6.5625,6.625,6.5,6.5,241600
2001-01-23,6.5,6.5625,6.5,6.5625,57300
2001-01-24,6.5625,6.5625,6.5,6.5,64800
2001-01-25,6.5625,6.5625,6.4375,6.5,296700
2001-01-26,6.5625,6.5625,6.4375,6.5625,87000
2001-01-29,6.56,6.56,6.5,6.56,67500
2001-01-30,6.56,6.57,6.51,6.57,120800
2001-01-31,6.56,6.57,6.52,6.53,97800
2001-02-01,6.57,6.62,6.53,6.6,103200
2001-02-02,6.62,6.62,6.6,6.62,74700
2001-02-05,6.62,6.63,6.59,6.61,81800
2001-02-06,6.62,6.63,6.61,6.62,50700
2001-02-07,6.62,6.63,6.61,6.62,67000
2001-02-08,6.62,6.62,6.6,6.62,33600
2001-02-09,6.61,6.63,6.6,6.61,31900
2001-02-12,6.62,6.66,6.61,6.61,77800
2001-02-13,6.59,6.68,6.59,6.6,114900
2001-02-14,6.6,6.61,6.56,6.56,150600
2001-02-15,6.56,6.59,6.55,6.57,72500
2001-02-16,6.56,6.58,6.54,6.54,24900
2001-02-20,6.53,6.54,6.49,6.49,68200
2001-02-21,6.48,6.53,6.46,6.46,36700
2001-02-22,6.47,6.47,6.43,6.44,90800
2001-02-23,6.44,6.56,6.42,6.55,92600
