date,open,high,low,close,volume
2005-08-26,25.0,25.01,24.9,25.01,866800
2005-08-29,25.0,25.01,25.0,25.0,226300
2005-08-30,25.0,25.05,25.0,25.01,297400
2005-08-31,25.03,25.03,25.0,25.0,96100
2005-09-01,25.0,25.01,24.99,25.0,110000
2005-09-02,25.0,25.01,25.0,25.01,52600
2005-09-06,25.01,25.01,25.0,25.0,98100
2005-09-07,25.01,25.01,25.0,25.01,135900
2005-09-08,25.01,25.01,25.0,25.0,104600
2005-09-09,25.05,25.05,25.0,25.0,71400
2005-09-12,25.0,25.01,25.0,25.0,67100
2005-09-13,25.01,25.01,25.0,25.01,39900
2005-09-14,25.0,25.01,25.0,25.01,203700
2005-09-15,25.0,25.01,25.0,25.0,115200
2005-09-16,25.01,25.01,25.0,25.01,66700
2005-09-19,25.0,25.01,25.0,25.01,114800
2005-09-20,25.0,25.01,25.0,25.01,123300
2005-09-21,25.0,25.01,25.0,25.0,208400
2005-09-22,25.0,25.01,25.0,25.01,162400
2005-09-23,25.0,25.01,25.0,25.0,178200
2005-09-26,25.0,25.01,25.0,25.0,468200
2005-09-27,25.0,25.01,25.0,25.0,190800
2005-09-28,25.0,25.01,25.0,25.0,85800
2005-09-29,25.0,25.01,24.8,24.8,511800
2005-09-30,24.8,24.8,24.45,24.5,226600
2005-10-03,24.35,24.5,23.65,23.96,64500
2005-10-04,23.8,23.86,23.55,23.79,39000
2005-10-05,23.8,23.85,23.1,23.55,67200
2005-10-06,23.7,24.18,23.56,23.78,46500
2005-10-07,23.78,23.78,23.0,23.69,41500
2005-10-10,23.15,24.05,23.05,23.05,33700
2005-10-11,23.3,23.4,22.56,22.65,46900
2005-10-12,22.52,22.64,21.96,22.52,68900
2005-10-13,22.73,22.8,21.9,22.5,22500
2005-10-14,22.4,22.4,21.72,21.8,70700
2005-10-17,21.8,22.2,21.63,21.86,72900
2005-10-18,21.92,22.15,21.8,22.0,53700
2005-10-19,22.0,22.1,21.82,21.96,53000
2005-10-20,21.99,22.03,21.77,21.88,36800
2005-10-21,21.98,22.03,21.5,21.5,55500
2005-10-24,21.5,21.5,20.87,21.15,98600
2005-10-25,20.65,21.74,20.65,21.46,78500
2005-10-26,21.54,21.82,21.01,21.33,47700
2005-10-27,21.43,22.0,21.43,21.7,48400
2005-10-28,21.7,21.72,21.05,21.7,49100
2005-10-31,21.65,21.7,21.3,21.4,44000
2005-11-01,21.44,21.48,21.1,21.16,55400
2005-11-02,21.2,21.25,20.85,20.87,86800
2005-11-03,20.85,21.05,20.5,20.71,112200
2005-11-04,20.95,21.95,20.76,21.67,96300
2005-11-07,21.75,22.1,21.26,21.27,57600
2005-11-08,21.3,21.3,20.85,21.06,75500
2005-11-09,20.95,21.1,20.75,20.88,82800
2005-11-10,20.9,20.99,20.6,20.84,82900
2005-11-11,21.04,21.04,20.52,20.55,71500
2005-11-14,20.59,20.84,20.51,20.57,74500
2005-11-15,20.53,20.6,20.0,20.38,138200
2005-11-16,20.48,20.5,20.1,20.28,86400
2005-11-17,20.3,20.35,19.89,20.12,114600
2005-11-18,20.2,20.38,19.85,20.1,107600
2005-11-21,20.25,20.5,19.85,20.05,130900
2005-11-22,20.0,20.22,19.87,20.12,124700
2005-11-23,20.25,20.6,20.25,20.58,92200
2005-11-25,20.65,20.8,20.4,20.8,55400
2005-11-28,20.97,20.99,20.31,20.79,100500
2005-11-29,20.75,20.99,20.71,20.93,115200
2005-11-30,20.95,20.98,20.45,20.69,89900
2005-12-01,20.5,20.64,20.2,20.23,125100
2005-12-02,20.25,20.4,20.12,20.3,112900
2005-12-05,20.25,20.25,19.99,20.17,141200
2005-12-06,20.2,20.54,20.0,20.54,237200
2005-12-07,20.3,20.34,19.7,19.77,173500
2005-12-08,19.87,19.98,19.76,19.94,171400
2005-12-09,19.97,19.99,19.77,19.89,139000
2005-12-12,19.89,19.95,19.63,19.7,183700
2005-12-13,19.72,19.88,19.7,19.79,129100
2005-12-14,19.92,19.93,19.64,19.8,180800
2005-12-15,19.75,20.08,19.75,20.0,147600
2005-12-16,20.07,20.4,19.9,20.03,113200
2005-12-19,20.03,20.18,19.72,19.76,171200
2005-12-20,19.76,19.95,19.67,19.7,155200
2005-12-21,19.75,20.06,19.7,20.04,185100
2005-12-22,19.86,20.14,19.86,20.05,189000
2005-12-23,20.11,20.4,19.9,20.38,174400
2005-12-27,20.45,20.47,19.8,19.81,191300
2005-12-28,19.75,19.75,19.5,19.65,232800
2005-12-29,19.55,19.86,19.48,19.78,236100
2005-12-30,19.7,19.95,19.54,19.69,208300
2006-01-03,19.65,20.12,19.65,20.12,67400
2006-01-04,20.18,20.76,20.1,20.76,84300
2006-01-05,20.79,21.17,20.7,21.1,94900
2006-01-06,21.15,21.39,21.15,21.28,100200
2006-01-09,21.39,21.55,21.22,21.55,98000
2006-01-10,21.53,21.53,21.16,21.35,83100
2006-01-11,21.35,21.5,21.15,21.17,84300
2006-01-12,21.2,21.26,21.03,21.18,70100
2006-01-13,21.08,21.27,21.0,21.05,48000
2006-01-17,21.0,21.45,20.99,21.3,72400
2006-01-18,21.4,21.48,21.08,21.21,61900
2006-01-19,21.22,21.54,21.17,21.52,58500
2006-01-20,21.54,21.65,21.38,21.49,63800
2006-01-23,21.52,21.79,21.4,21.77,54300
2006-01-24,21.79,21.79,21.55,21.74,61000
2006-01-25,21.56,21.87,21.56,21.87,59000
2006-01-26,21.88,22.05,21.51,21.91,104900
2006-01-27,21.85,22.35,21.85,22.13,44400
