date,open,high,low,close,volume
2020-10-15,24.4,24.9,20.65,20.88,21708500
2020-10-16,22.01,24.49,21.78,23.18,7596000
2020-10-19,23.76,23.89,20.65,20.88,4074200
2020-10-20,21.6,22.12,19.46,20.0,2263600
2020-10-21,20.3,22.5,20.28,21.05,2718100
2020-10-22,21.3,21.3,20.01,20.15,698300
2020-10-23,20.3,20.3,19.0,19.42,1367500
2020-10-26,19.267,19.27,18.34,18.45,1881600
2020-10-27,18.45,19.05,18.45,19.04,850000
2020-10-28,18.5,19.69,18.5,19.0,1045000
2020-10-29,19.064,19.31,18.75,19.0,893300
2020-10-30,18.8,19.155,18.8,19.1,508600
2020-11-02,19.0,19.31,18.7,19.3,881500
2020-11-03,19.05,20.65,18.99,20.24,552300
2020-11-04,20.24,21.2,19.16,20.45,882000
2020-11-05,20.4,20.79,19.945,20.39,631300
2020-11-06,20.15,20.67,19.57,20.45,449100
2020-11-09,22.54,24.79,21.98,22.91,3168800
2020-11-10,22.74,22.74,20.72,21.07,1491000
2020-11-11,21.08,21.43,20.57,20.72,697600
2020-11-12,20.72,21.0,19.91,20.03,934900
2020-11-13,20.29,20.63,19.99,20.11,576200
2020-11-16,20.5,20.695,20.02,20.46,803200
2020-11-17,20.2,20.325,19.84,20.0,414700
2020-11-18,20.0,20.18,18.8,19.95,412900
2020-11-19,19.86,19.89,18.85,19.73,405000
2020-11-20,19.71,19.73,18.94,19.01,592600
2020-11-23,19.15,19.347,18.35,18.37,684400
2020-11-24,18.42,18.42,17.98,18.02,1022500
2020-11-25,18.08,20.44,18.05,20.0,1653200
2020-11-27,20.0,20.34,19.02,20.1,1114900
2020-11-30,20.1,20.18,19.11,19.94,332400
2020-12-01,19.94,20.544,19.75,20.1,582800
2020-12-02,19.98,19.99,19.28,19.7,260100
2020-12-03,19.6,20.2,19.42,19.94,387600
2020-12-04,20.17,22.08,20.16,21.96,878300
2020-12-07,21.77,22.1,20.04,20.3,732400
2020-12-08,20.55,21.75,20.5,20.79,784800
2020-12-09,21.03,21.833,20.81,20.93,876500
2020-12-10,21.51,23.19,21.32,21.94,1758800
2020-12-11,21.8,23.11,21.8,22.84,837000
2020-12-14,23.33,23.35,21.864,22.17,894800
2020-12-15,22.104,23.33,21.22,23.18,1327200
2020-12-16,23.2,23.99,22.22,22.99,1380600
2020-12-17,23.5,24.4,23.43,24.2,2163000
2020-12-18,24.4,24.69,23.01,23.9,2643700
2020-12-21,23.99,28.799,23.83,27.85,2623800
2020-12-22,27.85,28.5,26.8,27.74,1784900
2020-12-23,27.5,30.24,27.37,29.54,1786400
2020-12-24,29.93,31.6,29.55,31.04,1001900
2020-12-28,29.59,29.66,24.33,25.63,2710100
2020-12-29,26.83,27.255,26.0,26.68,937500
2020-12-30,26.81,27.4,25.64,26.37,1367900
2020-12-31,26.39,27.38,26.18,26.39,679300
2021-01-04,26.42,26.7,25.222,25.42,941200
