date,open,high,low,close,volume
2020-04-09,9.8,9.8,9.8,9.8,0
2020-04-13,9.8,9.8,9.8,9.8,0
2020-04-14,9.85,9.9,9.79,9.81,1280700
2020-04-15,9.8,9.8,9.78,9.78,101000
2020-04-16,9.76,9.78,9.7,9.76,260500
2020-04-17,9.81,9.81,9.77,9.77,784200
2020-04-20,9.75,9.8,9.75,9.8,500
2020-04-21,9.8,9.8,9.8,9.8,0
2020-04-22,9.85,9.85,9.85,9.85,100
2020-04-23,9.85,9.85,9.8,9.82,8700
2020-04-24,9.75,9.85,9.75,9.84,250500
2020-04-27,9.95,9.95,9.95,9.95,2000
2020-04-28,9.94,9.94,9.94,9.94,1103000
2020-04-29,9.95,9.95,9.95,9.95,2100
2020-04-30,9.95,9.95,9.95,9.95,1100
2020-05-01,9.9,9.9,9.89,9.89,251700
2020-05-04,9.7,9.9,9.7,9.89,960600
2020-05-05,9.89,9.89,9.89,9.89,0
2020-05-06,9.85,9.86,9.85,9.86,404700
2020-05-07,9.86,9.86,9.86,9.86,0
2020-05-08,9.875,10.25,9.85,9.92,305600
2020-05-11,9.93,9.97,9.92,9.97,223400
2020-05-12,10.397,10.397,10.0,10.2,397700
2020-05-13,10.1,10.24,10.02,10.02,369700
2020-05-14,10.09,10.15,10.05,10.09,426100
2020-05-15,10.09,10.1,10.04,10.04,7300
2020-05-18,10.05,10.07,10.05,10.07,800
2020-05-19,10.065,10.1,10.065,10.09,702300
2020-05-20,10.05,10.24,10.05,10.1,523800
2020-05-21,10.076,10.12,10.076,10.1,10600
2020-05-22,10.1,10.1,10.1,10.1,2400
2020-05-26,10.14,10.18,10.05,10.1,16200
2020-05-27,10.15,10.2,10.078,10.14,54800
2020-05-28,10.11,10.2,10.1,10.2,21500
2020-05-29,10.17,10.36,10.15,10.25,153800
2020-06-01,10.25,10.25,10.03,10.23,39200
2020-06-02,10.3,10.3,10.135,10.2,23400
2020-06-03,10.22,10.23,10.042,10.19,21300
2020-06-04,10.24,10.24,10.06,10.19,419400
2020-06-05,10.19,10.25,10.117,10.25,619800
2020-06-08,10.25,10.3,10.14,10.26,20600
2020-06-09,10.26,10.3,10.26,10.29,61000
2020-06-10,10.29,10.45,10.19,10.32,253300
2020-06-11,10.2,10.42,10.2,10.2,61800
2020-06-12,10.28,10.3,10.06,10.1,104200
2020-06-15,10.16,10.28,9.91,10.09,146500
2020-06-16,10.16,10.23,10.07,10.19,50100
2020-06-17,10.29,10.3,10.17,10.26,175300
2020-06-18,10.31,10.31,10.17,10.25,70900
2020-06-19,10.53,10.53,10.2,10.25,156000
2020-06-22,10.4,10.4,10.25,10.25,172000
2020-06-23,10.33,10.5,10.25,10.437,476700
2020-06-24,10.44,10.44,10.29,10.35,74400
2020-06-25,10.36,10.406,10.3,10.38,62000
2020-06-26,10.44,10.44,10.27,10.27,604100
2020-06-29,10.35,10.42,10.26,10.4,133800
2020-06-30,10.45,11.7,10.4,10.79,3169800
2020-07-01,11.0,11.0,10.71,10.81,223500
2020-07-02,10.9,11.05,10.81,10.93,591200
2020-10-09,10.1,10.47,9.5,9.675,1105400
2020-10-12,9.82,9.821,8.71,9.0,3871300
2020-10-13,8.9,9.0,8.11,8.32,4729700
2020-10-14,8.45,8.79,8.22,8.73,2413900
2020-10-15,8.5,9.63,8.5,9.49,3953800
2020-10-16,9.48,9.5,9.22,9.37,2332000
2020-10-19,9.17,9.535,8.59,8.81,2649900
2020-10-20,8.87,8.95,8.39,8.39,2963500
2020-10-21,8.39,8.46,7.71,7.88,3453400
2020-10-22,7.92,8.07,7.05,8.0,6266500
2020-10-23,7.82,8.09,7.5,7.73,3019900
2020-10-26,7.55,8.1,7.4,7.8,2811500
2020-10-27,7.77,7.96,7.54,7.81,1262300
2020-10-28,7.65,7.88,7.43,7.5,1256600
2020-10-29,7.51,7.775,7.35,7.59,1130000
2020-10-30,7.57,7.85,7.17,7.3,2190800
2020-11-02,7.32,7.67,7.2,7.31,1469200
2020-11-03,7.35,7.805,7.35,7.69,1350200
2020-11-04,7.63,8.45,7.415,8.4,3656100
2020-11-05,8.74,9.115,8.54,8.85,5062900
2020-11-06,8.76,9.14,8.65,8.7,3468800
2020-11-09,8.99,9.04,8.37,8.67,2791600
2020-11-10,8.5,8.97,8.5,8.73,2148200
2020-11-11,8.69,8.97,6.2,7.01,27604400
2020-11-12,7.37,7.42,6.12,6.27,17362200
2020-11-13,6.21,6.96,6.21,6.69,7111900
2020-11-16,7.04,7.626,6.88,6.91,6954500
2020-11-17,7.18,7.21,6.91,7.06,6205800
2020-11-18,7.12,7.34,6.9,7.13,4709400
2020-11-19,7.09,7.65,7.07,7.58,5567100
2020-11-20,7.55,7.93,7.42,7.56,3515200
2020-11-23,7.6,7.79,7.27,7.56,4417500
2020-11-24,7.46,7.9,7.45,7.47,5382700
2020-11-25,7.47,7.58,7.4,7.5,4930700
2020-11-27,7.48,7.5,7.37,7.47,1969800
2020-11-30,7.35,7.4,6.72,6.94,4780500
2020-12-01,7.03,7.09,6.73,6.78,3169300
2020-12-02,6.72,7.08,6.43,7.05,5479900
2020-12-03,7.0,7.17,6.95,7.03,2904600
2020-12-04,7.0,7.74,6.93,7.59,4319000
2020-12-07,7.81,8.665,7.73,8.61,9056800
2020-12-08,8.72,9.12,8.19,8.24,6552900
2020-12-09,8.35,8.9,8.35,8.81,5972200
2020-12-10,8.7,9.29,8.39,8.39,4957000
2020-12-11,8.34,8.66,8.023,8.47,4426200
2020-12-14,8.56,8.93,8.47,8.68,4725000
2020-12-15,8.68,8.94,8.25,8.44,4420300
2020-12-16,8.44,8.98,8.27,8.87,9541700
2020-12-17,8.84,9.46,8.72,9.36,10080000
2020-12-18,9.37,9.82,9.2,9.62,27681800
2020-12-21,9.16,9.45,8.92,9.43,9658700
2020-12-22,9.31,9.74,9.31,9.7,9327600
2020-12-23,9.52,9.74,8.965,9.14,3991900
2020-12-24,9.08,9.22,8.92,8.93,3148000
2020-12-28,9.0,9.02,8.65,8.74,2301400
2020-12-29,8.77,8.88,8.51,8.56,2579700
2020-12-30,8.64,8.66,8.405,8.48,3092100
2020-12-31,8.56,8.56,7.915,7.99,4208800
2021-01-04,8.0,8.04,7.75,7.92,3767900
