date,open,high,low,close,volume
2000-10-05,12.0,12.0,11.8125,11.8125,18400
2000-10-06,11.8125,11.875,11.75,11.8125,15800
2000-10-09,11.875,11.875,11.75,11.8125,34600
2000-10-10,11.8125,11.875,11.8125,11.8125,15100
2000-10-11,11.8125,11.875,11.75,11.8125,56900
2000-10-12,11.8125,11.8125,11.75,11.75,28800
2000-10-13,11.75,11.75,11.5625,11.625,84500
2000-10-16,11.625,11.75,11.5625,11.625,39300
2000-10-17,11.75,11.75,11.5,11.5,27700
2000-10-18,11.5,11.5625,11.375,11.4375,37100
2000-10-19,11.4375,11.5,11.4375,11.5,11400
2000-10-20,11.5625,11.5625,11.375,11.4375,22700
2000-10-23,11.5,11.5,11.375,11.375,10900
2000-10-24,11.375,11.375,11.3125,11.375,19700
2000-10-25,11.375,11.375,11.25,11.3125,58600
2000-10-26,11.25,11.3125,11.1875,11.3125,15400
2000-10-27,11.375,11.375,11.25,11.3125,25800
2000-10-30,11.25,11.375,11.25,11.375,20100
2000-10-31,11.375,11.5,11.375,11.5,46000
2000-11-01,11.5,11.5625,11.4375,11.5,23000
2000-11-02,11.5625,11.5625,11.4375,11.4375,29700
2000-11-03,11.5,11.5,11.375,11.375,18000
2000-11-06,11.4375,11.4375,11.3125,11.375,20100
2000-11-07,11.4375,11.4375,11.3125,11.3125,24100
2000-11-08,11.375,11.4375,11.25,11.3125,31700
2000-11-09,11.375,11.375,11.3125,11.3125,15800
2000-11-10,11.3125,11.3125,11.25,11.3125,16800
2000-11-13,11.25,11.3125,11.1875,11.25,23900
2000-11-14,11.25,11.25,10.9375,10.9375,83000
2000-11-15,10.9375,11.0625,10.9375,11.0,48300
2000-11-16,10.875,11.0625,10.8125,11.0625,27100
2000-11-17,11.0625,11.125,10.9375,11.0625,23800
2000-11-20,11.125,11.125,11.0,11.0625,12700
2000-11-21,10.9375,10.9375,10.875,10.9375,47300
2000-11-22,10.875,11.0,10.875,11.0,34500
2000-11-24,11.0,11.0,10.875,10.9375,18700
2000-11-27,10.875,11.0625,10.875,11.0,37700
2000-11-28,11.0,11.0625,10.875,11.0625,44500
2000-11-29,11.0625,11.125,10.9375,11.0625,37800
2000-11-30,11.125,11.25,11.0625,11.25,83000
2000-12-01,11.1875,11.3125,11.1875,11.3125,42700
