date,open,high,low,close,volume
2000-10-05,3.5,3.5625,3.375,3.5,6600
2000-10-06,3.4375,3.4375,3.4375,3.4375,200
2000-10-09,3.4375,3.5,3.4375,3.5,4000
2000-10-10,3.5,3.5,3.375,3.375,24800
2000-10-11,3.4375,3.5,3.4375,3.5,15500
2000-10-12,3.5,3.5,3.4375,3.5,14800
2000-10-13,3.5,3.5,3.3125,3.3125,8700
2000-10-16,3.5,3.5,3.375,3.375,700
2000-10-17,3.3125,3.3125,3.3125,3.3125,400
2000-10-18,3.375,3.5625,3.375,3.5625,11900
2000-10-19,3.5,3.5,3.4375,3.4375,15200
2000-10-20,3.375,3.5,3.375,3.5,24300
2000-10-23,3.5,3.5,3.4375,3.4375,31200
2000-10-24,3.5,3.5,3.4375,3.4375,7300
2000-10-25,3.5,3.5,3.4375,3.5,9200
2000-10-26,3.375,3.4375,3.375,3.4375,600
2000-10-27,3.5,3.5,3.4375,3.4375,3000
2000-10-30,3.375,3.4375,3.3125,3.4375,17300
2000-10-31,3.375,3.4375,3.375,3.375,7700
2000-11-01,3.375,3.375,3.3125,3.375,15500
2000-11-02,3.3125,3.4375,3.3125,3.4375,600
2000-11-03,3.375,3.4375,3.3125,3.3125,3200
2000-11-06,3.4375,3.4375,3.375,3.375,2000
2000-11-07,3.375,3.4375,3.375,3.4375,3400
2000-11-08,3.375,3.4375,3.375,3.4375,2000
2000-11-09,3.4375,3.4375,3.375,3.375,17700
2000-11-10,3.375,3.375,3.25,3.375,28300
2000-11-13,3.5,3.5,3.375,3.375,11900
2000-11-14,3.3125,3.375,3.3125,3.375,2800
2000-11-15,3.375,3.375,3.375,3.375,8100
2000-11-16,3.375,3.375,3.375,3.375,1500
2000-11-17,3.375,3.4375,3.375,3.375,6400
2000-11-20,3.375,3.375,3.3125,3.375,7100
2000-11-21,3.3125,3.3125,3.25,3.25,47200
2000-11-22,3.1875,3.1875,3.1875,3.1875,6800
2000-11-24,3.25,3.25,3.25,3.25,100
