date,open,high,low,close,volume
2010-01-25,6.0459,6.9649,6.0459,6.5719,2705600
2010-01-26,6.575,6.575,6.2727,6.442,1151800
2010-01-27,6.3331,6.4389,6.1518,6.182,1590400
2010-01-28,6.3089,6.3089,6.1215,6.1669,931500
2010-01-29,6.1669,6.2394,5.8948,5.925,2655900
2010-02-01,6.2576,6.2576,5.925,5.9401,548700
2010-02-02,5.8978,6.0399,5.8978,5.925,489500
2010-02-03,5.925,5.9583,5.8343,5.8343,749200
2010-02-04,5.8222,5.8888,5.5925,5.5925,55900
2010-02-05,5.5925,5.5925,5.2902,5.4655,790200
2010-02-08,5.9915,5.9915,5.26,5.7134,436300
2010-02-09,5.8918,5.9522,5.4565,5.5079,2045900
2010-02-10,5.5623,5.9704,4.9426,5.2902,16512800
2010-02-11,5.3053,5.5774,5.1723,5.3567,14868700
2010-02-12,5.2449,6.1215,5.2418,5.9734,11665000
2010-02-16,6.0459,6.1185,5.8192,6.0459,4047300
2010-02-17,6.1064,6.1064,5.8948,6.0067,3395000
2010-02-18,5.8192,5.9794,5.7588,5.9522,5559000
2010-02-19,5.9129,5.9462,5.8646,5.8948,4070800
2010-02-22,5.792,5.922,5.7437,5.8434,2328500
2010-02-23,5.8434,5.8434,5.7195,5.7285,3727400
2010-02-24,5.659,5.8404,5.6288,5.7346,2753200
2010-02-25,5.6076,5.9432,5.5623,5.8283,1900100
2010-02-26,5.795,6.2757,5.6681,5.8948,5583500
2010-03-01,5.9341,6.1306,5.925,6.1215,2535500
2010-03-02,6.0671,6.2062,6.0459,6.1971,1779700
2010-03-03,6.1004,6.2031,6.052,6.1427,1864700
2010-03-04,6.1155,6.1669,5.9976,6.0339,2081000
2010-03-05,6.0732,6.0732,5.8343,5.925,1457800
2010-03-08,5.916,6.0459,5.8888,5.8948,608000
2010-03-09,5.8555,5.9825,5.8192,5.8555,870300
2010-03-10,5.8343,5.8343,5.7225,5.7406,1856400
2010-03-11,5.7164,5.8253,5.6681,5.7104,1968200
2010-03-12,5.7164,5.9764,5.7164,5.8646,2042300
2010-03-15,5.8646,5.8646,5.6741,5.7376,1285800
2010-03-16,5.6288,5.925,5.6288,5.8978,907700
2010-03-17,5.925,6.0883,5.8404,6.055,1065100
2010-03-18,6.0097,6.2424,5.9885,6.0641,1536800
2010-03-19,6.0701,6.1215,6.0097,6.0701,1145500
2010-03-22,6.0308,6.1155,6.0308,6.0792,849400
2010-03-23,6.0973,6.4027,6.0762,6.3452,1650300
2010-03-24,6.3059,6.321,6.182,6.2969,1571300
2010-03-25,6.3029,6.6475,6.2878,6.5236,2774000
2010-03-26,6.5417,6.6778,6.4661,6.6505,2753500
2010-03-29,6.6505,6.6505,6.5085,6.6203,493500
2010-03-30,6.5901,6.6626,6.5296,6.6233,626800
2010-03-31,6.6022,6.6022,6.5236,6.5689,1029100
2010-04-01,6.5871,6.6747,6.4873,6.5931,823300
2010-04-05,6.5629,6.6173,6.4843,6.5871,1711800
2010-04-06,6.5478,6.6868,6.4933,6.6687,5679800
2010-04-07,6.6294,6.6808,6.5538,6.6566,1193800
2010-04-08,6.6173,6.711,6.5719,6.6596,1003300
2010-04-09,6.6475,6.7201,6.6052,6.6989,730000
2010-04-12,6.717,6.8198,6.6233,6.7503,734700
2010-04-13,6.7805,6.8652,6.5568,6.6203,2003300
2010-04-14,6.6082,6.714,6.6082,6.6475,1678100
2010-04-15,6.6173,6.6505,6.6112,6.6445,346000
2010-04-16,6.6203,6.6385,6.4722,6.5931,1235200
2010-04-19,6.6052,6.6294,6.5387,6.5992,628500
2010-04-20,6.6385,6.7261,6.584,6.6264,1031700
2010-04-21,6.6143,6.6505,6.5538,6.6294,675800
2010-04-22,6.5689,6.5931,6.5206,6.5538,312200
2010-04-23,6.5236,6.5629,6.4631,6.5266,473000
2010-04-26,6.4873,6.6264,6.4873,6.5508,233200
2010-04-27,6.5115,6.5296,6.4299,6.4631,626200
2010-04-28,6.4631,6.4994,6.2092,6.3331,1824000
2010-04-29,6.3513,6.3755,6.2576,6.3482,2078700
